loss_kl,TimeElapsed,loss_ent,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_pol_entpen,EpThisIter,loss_vf_loss,EpRewMean,ev_tdlam_before,TimestepsSoFar
0.0144048,2.0634138584136963,8.40996,1000.0,-0.0358792,2,0.0,2,115.426,-792.525691607,-0.0273184776306,2000
0.013627,3.862488269805908,8.37747,1000.0,-0.031891,4,0.0,2,34.8175,-684.248069103,0.145690560341,4000
0.0155726,5.6585533618927,8.33318,1000.0,-0.039406,6,0.0,2,34.4432,-635.746133675,0.0868175625801,6000
0.0119325,7.433848142623901,8.29153,1000.0,-0.0350929,8,0.0,2,24.6665,-602.957689635,0.326683938503,8000
0.0146335,9.22221565246582,8.22705,1000.0,-0.03928,10,0.0,2,18.2064,-594.525707094,0.149925768375,10000
0.0114496,11.003512859344482,8.20218,1000.0,-0.0352962,12,0.0,2,31.6245,-579.047022601,0.188115477562,12000
0.0123042,12.800707817077637,8.16844,1000.0,-0.0351626,14,0.0,2,32.2471,-571.292589501,0.159726917744,14000
0.0134909,14.581328392028809,8.09154,1000.0,-0.0369643,16,0.0,2,31.7275,-563.673196545,0.202049851418,16000
0.0128588,16.371282815933228,8.03253,1000.0,-0.0434944,18,0.0,2,35.8844,-554.895611844,0.329988181591,18000
0.0137285,18.160284757614136,7.96388,1000.0,-0.0390996,20,0.0,2,22.8901,-540.327440404,0.233621895313,20000
0.0153604,19.961499452590942,7.8867,1000.0,-0.0401708,22,0.0,2,23.9743,-538.204284871,0.327784836292,22000
0.0145046,21.741817712783813,7.82636,1000.0,-0.0420343,24,0.0,2,37.7765,-530.360309618,0.372834980488,24000
0.0133335,23.52322793006897,7.79351,1000.0,-0.0393502,26,0.0,2,29.7778,-524.221032402,0.430613160133,26000
0.016096,25.296965837478638,7.74376,1000.0,-0.0412996,28,0.0,2,33.1971,-517.905572658,0.31731981039,28000
0.0152946,27.109689712524414,7.64757,1000.0,-0.0442442,30,0.0,2,37.0161,-510.578459298,0.313911557198,30000
0.0174452,28.881999492645264,7.57193,1000.0,-0.0439413,32,0.0,2,29.6717,-506.246203371,0.387129962444,32000
0.0161581,30.68373703956604,7.52704,1000.0,-0.0426708,34,0.0,2,29.8744,-495.83476527,0.488145053387,34000
0.0162453,32.47208571434021,7.49143,1000.0,-0.0445874,36,0.0,2,30.9452,-483.180016051,0.26762586832,36000
0.0123316,34.26208448410034,7.46428,1000.0,-0.0420088,38,0.0,2,48.2185,-470.835692688,0.277298331261,38000
0.0130656,36.0426390171051,7.43661,1000.0,-0.0436418,40,0.0,2,26.1795,-462.533223946,0.485446572304,40000
0.0142972,37.8388512134552,7.39159,1000.0,-0.0479634,43,0.0,3,44.9064,-457.949067047,0.383963882923,43000
0.0125301,39.623573780059814,7.30611,1000.0,-0.0402579,45,0.0,2,30.5558,-455.80020132,0.32233017683,45000
0.0138328,41.4141948223114,7.24658,1000.0,-0.047254,47,0.0,2,24.8827,-451.84015862,0.425108075142,47000
0.0143581,43.19564747810364,7.20247,1000.0,-0.0464947,49,0.0,2,29.7445,-444.089964325,0.173631727695,49000
0.015362,45.02306032180786,7.13127,1000.0,-0.0494711,51,0.0,2,30.9125,-434.904494416,0.306042194366,51000
0.0133336,46.848982095718384,7.04692,1000.0,-0.049102,53,0.0,2,21.4628,-428.600770563,0.585051178932,53000
0.0128987,48.64772081375122,6.99722,1000.0,-0.0480122,55,0.0,2,27.0616,-418.908904922,0.628037244081,55000
0.0151528,50.43605637550354,6.97296,1000.0,-0.0490368,57,0.0,2,22.7235,-411.9344443,0.696339637041,57000
0.0148989,52.21773433685303,6.91818,1000.0,-0.0486454,59,0.0,2,32.5157,-403.132593764,0.435173094273,59000
0.0161755,54.01435399055481,6.83136,1000.0,-0.0512974,61,0.0,2,20.4301,-394.303042778,0.30081653595,61000
0.0131637,55.81186652183533,6.78607,1000.0,-0.048934,63,0.0,2,13.2612,-392.471944448,0.739437043667,63000
0.0144047,57.609612226486206,6.72726,1000.0,-0.0520744,65,0.0,2,32.4106,-386.285628204,0.560077279806,65000
0.015409,59.38266611099243,6.71341,1000.0,-0.0485172,67,0.0,2,30.2623,-383.845431178,0.613977879286,67000
0.01309,61.17910718917847,6.64104,1000.0,-0.050102,69,0.0,2,36.9808,-377.202102346,0.581982851028,69000
0.0148399,62.9640634059906,6.56909,1000.0,-0.053259,71,0.0,2,20.1189,-369.114321877,0.688473522663,71000
0.0145617,64.76086640357971,6.50829,1000.0,-0.0505946,73,0.0,2,26.5056,-363.532783,0.675244659185,73000
0.0162038,66.53915810585022,6.47608,1000.0,-0.0542692,75,0.0,2,27.302,-356.461450366,0.496953129768,75000
0.0149014,68.33064603805542,6.43292,1000.0,-0.0577358,77,0.0,2,45.0851,-352.339775773,0.4758939147,77000
0.0134759,70.1115972995758,6.35488,1000.0,-0.0554305,79,0.0,2,29.5857,-348.448845435,0.58734279871,79000
0.0149985,71.90523099899292,6.33067,1000.0,-0.0553276,81,0.0,2,17.6232,-341.998613063,0.751881822944,81000
0.0166358,73.68623661994934,6.29701,1000.0,-0.0593974,83,0.0,2,35.0938,-337.662598582,0.554200828075,83000
0.013053,75.4757947921753,6.2775,1000.0,-0.0517001,86,0.0,3,28.2442,-328.280154776,0.346271574497,86000
0.0115959,77.2730770111084,6.22743,1000.0,-0.0533066,88,0.0,2,29.2864,-321.400718509,0.491626024246,88000
0.01285,79.08581638336182,6.19702,1000.0,-0.0568208,90,0.0,2,21.5593,-318.655211418,0.687493920326,90000
0.01333,80.85976791381836,6.1325,1000.0,-0.0574307,92,0.0,2,33.6696,-313.530096517,0.626967400312,92000
0.0160159,82.65588855743408,6.10249,1000.0,-0.0536735,94,0.0,2,30.2091,-304.81802312,0.43249809742,94000
0.0157161,84.42910933494568,6.08243,1000.0,-0.0547781,96,0.0,2,29.7841,-295.559855342,0.496839642525,96000
0.0145127,86.22609663009644,6.03574,1000.0,-0.0566718,98,0.0,2,43.0113,-287.63183108,0.41263884306,98000
0.0136465,87.9919970035553,5.95773,1000.0,-0.0586114,100,0.0,2,40.0139,-281.006192759,0.653684556484,100000
0.0151436,89.7743411064148,5.91183,1000.0,-0.0588448,102,0.0,2,28.2342,-264.730069575,0.789303645492,102000
0.0148789,91.55582928657532,5.884,1000.0,-0.0593394,104,0.0,2,31.3427,-248.72907526,0.685381740332,104000
