loss_kl,loss_pol_entpen,ev_tdlam_before,TimestepsSoFar,loss_pol_surr,TimeElapsed,EpRewMean,loss_vf_loss,EpLenMean,EpThisIter,loss_ent,EpisodesSoFar
0.0122716,0.0,-0.00927233695984,2000,-0.0353117,2.069439172744751,-636.746895977,86.4489,1000.0,2,8.42511,2
0.0136332,0.0,0.0343601703644,4000,-0.0355464,3.8584799766540527,-648.892887965,20.0062,1000.0,2,8.39015,4
0.0132275,0.0,0.166080594063,6000,-0.0348372,5.664672374725342,-630.435022898,20.35,1000.0,2,8.27825,6
0.0136633,0.0,0.131691217422,8000,-0.0376102,7.445916175842285,-625.232369956,44.1694,1000.0,2,8.21571,8
0.0147435,0.0,0.16262370348,10000,-0.0409642,9.242786169052124,-625.988118122,29.3158,1000.0,2,8.17531,10
0.0141558,0.0,0.180140435696,12000,-0.0396118,11.039655208587646,-612.339845741,32.2096,1000.0,2,8.11142,12
0.0182708,0.0,0.0472098588943,14000,-0.0440039,12.83652377128601,-601.61282613,32.2353,1000.0,2,7.98401,14
0.014591,0.0,0.0502336621284,16000,-0.0362654,14.621978998184204,-592.339562204,32.3538,1000.0,2,7.95485,16
0.0160939,0.0,-0.101630449295,18000,-0.0414041,16.415770053863525,-598.362259548,27.1966,1000.0,2,7.91461,18
0.016573,0.0,0.0966374874115,20000,-0.041198,18.20621633529663,-585.203613655,26.3712,1000.0,2,7.81523,20
0.0173749,0.0,0.0385568737984,22000,-0.0427114,20.00352120399475,-581.163010876,32.3778,1000.0,2,7.72458,22
0.0154899,0.0,0.0919985175133,24000,-0.0394431,21.801336526870728,-577.646282724,22.8267,1000.0,2,7.63013,24
0.0157666,0.0,0.139616131783,26000,-0.0404918,23.60143518447876,-569.961592347,24.2696,1000.0,2,7.54116,26
0.0171618,0.0,-0.0396741628647,28000,-0.0413611,25.400012731552124,-561.434219278,25.1174,1000.0,2,7.46426,28
0.0164972,0.0,0.136074483395,30000,-0.041352,27.179181575775146,-552.401616203,25.601,1000.0,2,7.37012,30
0.0165476,0.0,0.0878920555115,32000,-0.0413559,28.977851390838623,-543.392416484,22.6194,1000.0,2,7.27619,32
0.0152007,0.0,0.140489637852,34000,-0.0419186,30.774142026901245,-535.859605251,15.7224,1000.0,2,7.12866,34
0.0153592,0.0,0.00310921669006,36000,-0.045122,32.55620551109314,-528.966012662,24.8626,1000.0,2,7.05563,36
0.015136,0.0,0.15333211422,38000,-0.0403191,34.3525230884552,-518.891267061,21.3709,1000.0,2,6.96254,38
0.0177617,0.0,0.216453313828,40000,-0.044908,36.14497900009155,-509.353214914,25.3323,1000.0,2,6.87787,40
0.0162069,0.0,0.251179516315,43000,-0.0468232,37.941837787628174,-497.202942636,28.767,1000.0,3,6.77881,43
0.0178995,0.0,0.17649435997,45000,-0.046527,39.73592662811279,-487.440176864,15.8948,1000.0,2,6.68662,45
0.0154171,0.0,0.12347984314,47000,-0.0449141,41.532668590545654,-477.064946868,13.2528,1000.0,2,6.59994,47
0.0143186,0.0,0.160470128059,49000,-0.0406663,43.33710241317749,-467.169885827,12.2173,1000.0,2,6.51948,49
0.0169242,0.0,0.212289512157,51000,-0.0475374,45.133872270584106,-457.256052248,15.6463,1000.0,2,6.44661,51
0.0175548,0.0,0.374668717384,53000,-0.0493017,46.91469383239746,-448.047311838,17.492,1000.0,2,6.39775,53
