#{"env_id": "HalfCheetah-v2", "t_start": 1536381314.9230447}
r,l,t
-555.932692,1000,1.688871
-646.266154,1000,2.244398
-401.795187,1000,3.705133
-622.617845,1000,4.245116
-690.378791,1000,5.470991
-650.37621,1000,6.017865
-658.782054,1000,7.251539
-546.206065,1000,7.798415
-519.177795,1000,9.010282
-598.431486,1000,9.565265
-405.261855,1000,10.792788
-523.81924,1000,11.331162
-529.597337,1000,12.558697
-520.422127,1000,13.105572
-489.804813,1000,14.341188
-547.701839,1000,14.888062
-430.274274,1000,16.112736
-463.869696,1000,16.654978
-478.599449,1000,17.881761
-463.484784,1000,18.436718
-410.008517,1000,19.662811
-460.132874,1000,20.209685
-457.278078,1000,21.428464
-398.044243,1000,21.990963
-443.517046,1000,23.209541
-404.423672,1000,23.756415
-685.902117,1000,24.97516
-410.672442,1000,25.522034
-518.751745,1000,26.756405
-374.04712,1000,27.303279
-394.488738,1000,28.522025
-365.041724,1000,29.068898
-371.191944,1000,30.287644
-356.697395,1000,30.839857
-582.551161,1000,32.065706
-448.148847,1000,32.620407
-357.54153,1000,33.846269
-503.000859,1000,34.386261
-385.345972,1000,35.613415
-377.976746,1000,36.163002
-565.74903,1000,37.389614
-296.32595,1000,37.93649
-361.902091,1000,38.49114
-327.647412,1000,39.702337
-376.133441,1000,40.258056
-309.968333,1000,41.489036
-375.150792,1000,42.035909
-343.287736,1000,43.256844
-309.435279,1000,43.803717
-300.737281,1000,45.030666
-271.489812,1000,45.569652
-282.756526,1000,46.795515
-425.292961,1000,47.35082
-242.896395,1000,48.577662
-271.862408,1000,49.124535
-281.056352,1000,50.342182
-288.714057,1000,50.893622
-244.955658,1000,52.112369
-225.708932,1000,52.666995
-251.165282,1000,53.892829
-298.94636,1000,54.448375
-179.615662,1000,55.674247
-231.919252,1000,56.225836
-192.674492,1000,57.440173
-346.63439,1000,57.987047
-195.590486,1000,59.214565
-110.273836,1000,59.768552
-261.355853,1000,60.979639
-88.765457,1000,61.533661
-167.041038,1000,62.764699
-245.107996,1000,63.303756
-140.694228,1000,64.529609
-140.601879,1000,65.076482
-129.708784,1000,66.311291
-184.053492,1000,66.858164
-171.860762,1000,68.081148
-202.815808,1000,68.635827
-168.757387,1000,69.861728
-50.665496,1000,70.417418
-157.433583,1000,71.627651
-70.800326,1000,72.179147
-99.970124,1000,73.409109
-30.208004,1000,73.955982
-48.622377,1000,75.18272
-50.735549,1000,75.736695
-120.782096,1000,76.276772
-78.884525,1000,77.502601
-12.478763,1000,78.049474
50.561989,1000,79.268444
-31.147104,1000,79.830943
19.72526,1000,81.057547
-55.253699,1000,81.595897
39.942809,1000,82.823403
52.716077,1000,83.377437
64.369911,1000,84.604916
111.887493,1000,85.147089
116.60064,1000,86.372956
60.024483,1000,86.91983
78.882241,1000,88.147111
84.912436,1000,88.685467
