loss_kl,TimeElapsed,loss_pol_surr,ev_tdlam_before,loss_pol_entpen,TimestepsSoFar,EpLenMean,EpisodesSoFar,EpThisIter,loss_ent,EpRewMean,loss_vf_loss
0.014762,2.1258926391601562,-0.0358325,-0.0145701169968,0.0,2000,1000.0,2,2,8.44325,-697.134577376,79.9401
0.0129528,3.9575672149658203,-0.0362193,0.235182464123,0.0,4000,1000.0,4,2,8.4219,-647.274364157,29.5383
0.014129,5.770740747451782,-0.0387766,0.215978562832,0.0,6000,1000.0,6,2,8.33986,-638.381780069,46.2632
0.0138874,7.60001802444458,-0.039315,0.101573228836,0.0,8000,1000.0,8,2,8.25234,-622.417929631,21.2305
0.0136026,9.421972274780273,-0.0371386,0.331020772457,0.0,10000,1000.0,10,2,8.16797,-610.079302325,23.1133
0.0149925,11.267041206359863,-0.0438813,0.438948988914,0.0,12000,1000.0,12,2,8.09769,-584.615274798,25.8682
0.0133519,13.089473485946655,-0.0371688,0.00317108631134,0.0,14000,1000.0,14,2,8.01066,-575.472056352,25.001
0.015616,14.918718338012695,-0.0395066,0.490673005581,0.0,16000,1000.0,16,2,7.98967,-566.225515999,17.8758
0.0127821,16.74612283706665,-0.0384944,0.338953316212,0.0,18000,1000.0,18,2,7.94382,-558.920697171,28.8341
0.0133705,18.567239999771118,-0.0403499,-0.0961418151855,0.0,20000,1000.0,20,2,7.88613,-555.04833003,34.0983
0.0137735,20.410998582839966,-0.0377528,0.134339988232,0.0,22000,1000.0,22,2,7.85395,-548.813056283,28.249
0.0129101,22.239238262176514,-0.0398751,0.220906019211,0.0,24000,1000.0,24,2,7.81697,-538.294013244,32.7227
0.015913,24.059544324874878,-0.0417725,0.130028665066,0.0,26000,1000.0,26,2,7.72816,-530.967236654,28.9123
0.016055,25.887118101119995,-0.0424639,0.201161146164,0.0,28000,1000.0,28,2,7.62204,-521.562875024,30.9444
0.0146415,27.716670989990234,-0.0431366,0.528871029615,0.0,30000,1000.0,30,2,7.58203,-519.613494649,26.0526
0.0154622,29.542263984680176,-0.0450366,0.268994688988,0.0,32000,1000.0,32,2,7.51976,-509.438155053,26.4157
0.01524,31.364296197891235,-0.0405408,0.273929417133,0.0,34000,1000.0,34,2,7.46042,-502.524130644,20.8272
0.0155882,33.17704463005066,-0.0434391,-0.00430798530579,0.0,36000,1000.0,36,2,7.36996,-495.200484128,21.1378
0.0162054,35.00877833366394,-0.0457813,0.259811758995,0.0,38000,1000.0,38,2,7.33454,-489.053317579,27.052
0.0175561,36.8242769241333,-0.0475174,0.270467042923,0.0,40000,1000.0,40,2,7.28994,-482.981934315,33.8282
0.0145005,38.65299868583679,-0.0474898,0.231358230114,0.0,43000,1000.0,43,3,7.20293,-477.89953119,31.4262
0.0140534,40.46974992752075,-0.0504449,0.291596889496,0.0,45000,1000.0,45,2,7.11846,-470.176606256,34.3579
0.0143202,42.303844690322876,-0.0445416,0.309062421322,0.0,47000,1000.0,47,2,7.04788,-466.141450211,25.1776
0.0147531,44.119916677474976,-0.0477201,0.205342948437,0.0,49000,1000.0,49,2,6.95236,-459.84606008,20.6914
0.0132144,45.9513897895813,-0.0490801,0.187589168549,0.0,51000,1000.0,51,2,6.89528,-452.467136926,25.6198
0.0134708,47.77884125709534,-0.0495634,0.241161584854,0.0,53000,1000.0,53,2,6.82858,-446.536639954,23.4158
0.0144827,49.62203025817871,-0.0491165,0.0994572043419,0.0,55000,1000.0,55,2,6.77355,-440.342858224,20.9488
0.0160388,51.44237017631531,-0.0498581,0.145337939262,0.0,57000,1000.0,57,2,6.70459,-434.050230631,14.0639
0.0140225,53.28539776802063,-0.050668,0.25529396534,0.0,59000,1000.0,59,2,6.69075,-429.775186508,21.2949
0.0149268,55.113516092300415,-0.0519392,0.334331035614,0.0,61000,1000.0,61,2,6.61068,-423.827190563,12.7733
0.0144884,56.94622206687927,-0.0534331,0.408287227154,0.0,63000,1000.0,63,2,6.5477,-418.183801559,17.7638
0.0142245,58.7628173828125,-0.0527969,0.475259721279,0.0,65000,1000.0,65,2,6.50898,-413.281378346,14.7143
0.0159399,60.60839486122131,-0.0519269,0.523740410805,0.0,67000,1000.0,67,2,6.4566,-408.363672455,14.8545
0.0134177,62.45018815994263,-0.0519698,0.340525984764,0.0,69000,1000.0,69,2,6.37382,-402.569352263,12.7841
0.0136443,64.27866911888123,-0.0524263,0.47830671072,0.0,71000,1000.0,71,2,6.35434,-398.932502926,24.8038
0.0131244,66.10725522041321,-0.0555485,0.590309143066,0.0,73000,1000.0,73,2,6.30295,-393.217515318,18.2347
0.0177447,67.93479228019714,-0.055077,0.242404460907,0.0,75000,1000.0,75,2,6.22878,-390.024866921,15.6462
0.0163914,69.7635326385498,-0.0569193,0.49747556448,0.0,77000,1000.0,77,2,6.16325,-386.17544014,21.2577
0.0154105,71.58363103866577,-0.0533122,0.611006557941,0.0,79000,1000.0,79,2,6.08257,-382.391012597,18.5663
0.0167278,73.4127459526062,-0.060135,0.689395040274,0.0,81000,1000.0,81,2,6.01442,-377.721790074,15.7675
0.0151489,75.23927998542786,-0.0585588,0.220991969109,0.0,83000,1000.0,83,2,5.93275,-373.863230484,10.9073
0.0144101,77.06785798072815,-0.0572717,0.439881980419,0.0,86000,1000.0,86,3,5.83432,-364.092603372,14.2895
0.0164845,78.88320231437683,-0.0585387,0.637600928545,0.0,88000,1000.0,88,2,5.79766,-359.027194265,11.7167
0.0160075,80.71603226661682,-0.0648303,0.52694195509,0.0,90000,1000.0,90,2,5.72,-352.926557816,13.3752
0.0157748,82.53607392311096,-0.0627146,0.549528688192,0.0,92000,1000.0,92,2,5.63927,-347.084880526,11.2234
0.014981,84.36445665359497,-0.062342,0.333712399006,0.0,94000,1000.0,94,2,5.53641,-341.392410447,11.9439
0.0151451,86.1762170791626,-0.0631784,0.165148556232,0.0,96000,1000.0,96,2,5.44665,-333.421988734,8.42865
0.0185169,88.00433731079102,-0.0563296,0.414537847042,0.0,98000,1000.0,98,2,5.39609,-326.738407913,12.4842
0.0141653,89.83276748657227,-0.0590494,0.165034711361,0.0,100000,1000.0,100,2,5.35454,-319.991907838,12.2466
0.0170964,91.66837692260742,-0.0608036,0.409968614578,0.0,102000,1000.0,102,2,5.30728,-308.66793873,10.0892
0.0181627,93.49820351600647,-0.0633373,0.447220981121,0.0,104000,1000.0,104,2,5.2225,-294.437908274,10.477
0.0162751,95.32579922676086,-0.0602855,0.666268497705,0.0,106000,1000.0,106,2,5.15186,-280.747914362,9.2484
0.0158455,97.15305018424988,-0.0604309,0.164350032806,0.0,108000,1000.0,108,2,5.05099,-266.247693608,9.34299
0.0205686,98.98333287239075,-0.0667816,0.418594360352,0.0,110000,1000.0,110,2,4.92656,-251.584337261,7.85057
0.0170549,100.80106997489929,-0.0615374,0.482840299606,0.0,112000,1000.0,112,2,4.84538,-238.917943083,10.3724
0.0155344,102.62918996810913,-0.0620744,0.0477598309517,0.0,114000,1000.0,114,2,4.77361,-223.250968961,9.19104
0.0174834,104.44168448448181,-0.0578391,0.413712084293,0.0,116000,1000.0,116,2,4.74482,-208.293875192,10.7307
0.0157141,106.26980423927307,-0.0608854,0.125430703163,0.0,118000,1000.0,118,2,4.6508,-191.817827959,12.5936
0.0145388,108.08230018615723,-0.0608228,0.363602757454,0.0,120000,1000.0,120,2,4.59425,-175.363100925,15.6225
0.0178424,109.9260425567627,-0.0623673,0.578745871782,0.0,122000,1000.0,122,2,4.53163,-159.500645333,11.1963
0.0188379,111.73853850364685,-0.059819,0.468232750893,0.0,124000,1000.0,124,2,4.47031,-144.862654387,11.529
0.0169551,113.56666874885559,-0.0593467,0.504966259003,0.0,126000,1000.0,126,2,4.38222,-128.108922163,16.9325
0.0213344,115.37915086746216,-0.0545559,0.118473172188,0.0,129000,1000.0,129,3,4.30028,-102.313094079,19.3466
0.018258,117.20727205276489,-0.0577768,0.409085690975,0.0,131000,1000.0,131,2,4.24004,-83.9092176345,16.0393
0.0213595,119.04135227203369,-0.054386,0.850034609437,0.0,133000,1000.0,133,2,4.22961,-77.1618721979,10.0355
0.0197871,120.87472987174988,-0.0563884,0.368777394295,0.0,135000,1000.0,135,2,4.15562,-62.1330194635,17.7009
0.0186944,122.68583941459656,-0.0546631,0.290668189526,0.0,137000,1000.0,137,2,4.09439,-44.1734149346,19.04
0.0216823,124.50701236724854,-0.051199,0.18146276474,0.0,139000,1000.0,139,2,4.01389,-28.1148496942,19.3912
0.0173666,126.33731245994568,-0.0520566,0.101997554302,0.0,141000,1000.0,141,2,3.92253,-9.88740256839,21.1043
0.0209647,128.14494013786316,-0.0449826,0.188257753849,0.0,143000,1000.0,143,2,3.89845,9.73279268487,22.0341
0.0228462,129.97306060791016,-0.0446511,0.0803172588348,0.0,145000,1000.0,145,2,3.8625,28.0998728018,22.4557
0.0176364,131.78555560112,-0.0532976,0.151559948921,0.0,147000,1000.0,147,2,3.7596,48.1291267265,25.508
0.0193805,133.6136748790741,-0.0561741,0.38000524044,0.0,149000,1000.0,149,2,3.71591,66.2384795095,26.5576
0.0198677,135.42616963386536,-0.0534513,0.555989205837,0.0,151000,1000.0,151,2,3.65199,80.7772829,30.4339
0.0208575,137.25428867340088,-0.0421971,0.0594125390053,0.0,153000,1000.0,153,2,3.58335,99.4274421335,28.2515
0.0212782,139.08240842819214,-0.0544538,0.581843018532,0.0,155000,1000.0,155,2,3.55662,117.897408273,33.6775
0.0229168,140.91052746772766,-0.0441144,0.225062072277,0.0,157000,1000.0,157,2,3.52242,135.089272362,33.2653
0.0195701,142.7230224609375,-0.0483424,0.151405096054,0.0,159000,1000.0,159,2,3.47571,154.581306414,35.1749
0.0164401,144.5520932674408,-0.0453661,0.135823845863,0.0,161000,1000.0,161,2,3.40842,173.876695309,35.9697
0.0207161,146.39575147628784,-0.04268,0.0733128190041,0.0,163000,1000.0,163,2,3.38033,192.519770155,35.8538
0.024007,148.22398281097412,-0.0425457,0.155272305012,0.0,165000,1000.0,165,2,3.32233,211.352894448,37.693
0.0216393,150.03765273094177,-0.0434454,0.266262114048,0.0,167000,1000.0,167,2,3.29858,231.15166641,38.3342
0.0222512,151.86466360092163,-0.0439957,0.100660145283,0.0,169000,1000.0,169,2,3.23931,249.676135816,37.2898
0.0186894,153.6773133277893,-0.0479504,0.315202653408,0.0,172000,1000.0,172,3,3.23978,278.450651592,56.1891
0.0256946,155.50550055503845,-0.0441233,0.223978996277,0.0,174000,1000.0,174,2,3.19452,298.41183234,38.9779
0.0241897,157.30928921699524,-0.0411753,0.082800924778,0.0,176000,1000.0,176,2,3.12499,316.543242935,40.2016
0.020421,159.13738179206848,-0.0445476,0.148842036724,0.0,178000,1000.0,178,2,3.04481,337.887725754,42.8838
0.0288968,160.96557712554932,-0.0591521,0.560285210609,0.0,180000,1000.0,180,2,3.01221,359.298878829,47.7872
0.0213773,162.7945306301117,-0.0469536,0.557140350342,0.0,182000,1000.0,182,2,3.00459,375.971621906,51.1441
0.020043,164.60714077949524,-0.0460266,0.532812982798,0.0,184000,1000.0,184,2,2.95534,394.37014486,55.968
0.0215637,166.42713570594788,-0.0573791,0.768923074007,0.0,186000,1000.0,186,2,2.96272,413.353582875,60.8296
0.0215271,168.24856233596802,-0.0413189,0.147176623344,0.0,188000,1000.0,188,2,2.91709,430.042007772,51.4807
0.0227178,170.067524433136,-0.0383276,0.104433953762,0.0,190000,1000.0,190,2,2.89495,448.768575035,49.165
0.0216563,171.87993812561035,-0.0506625,0.691012352705,0.0,192000,1000.0,192,2,2.89316,465.93315669,60.908
0.0227994,173.7074794769287,-0.0418479,0.0372595191002,0.0,194000,1000.0,194,2,2.88112,484.116118246,51.945
0.0192399,175.51997447013855,-0.0408333,0.117983341217,0.0,196000,1000.0,196,2,2.84212,499.925701453,56.7474
0.0215618,177.34831857681274,-0.0403288,0.053223490715,0.0,198000,1000.0,198,2,2.76759,517.904546982,54.1279
0.0314466,179.15335416793823,-0.0347239,0.11942255497,0.0,200000,1000.0,200,2,2.76371,534.861264881,57.4059
0.0223495,180.99751734733582,-0.0453041,0.323227763176,0.0,202000,1000.0,202,2,2.76086,554.971658659,65.6701
0.0211967,182.86066579818726,-0.0462637,0.515718340874,0.0,204000,1000.0,204,2,2.76057,568.831907488,63.7528
0.0224041,184.68765115737915,-0.0411085,0.209737062454,0.0,206000,1000.0,206,2,2.71189,584.879269357,59.5674
0.0199781,186.51435708999634,-0.0493071,0.571873039007,0.0,208000,1000.0,208,2,2.71274,598.264872465,65.0117
0.019223,188.34823775291443,-0.0489609,0.56903013587,0.0,210000,1000.0,210,2,2.68978,612.358589373,64.4001
0.0251214,190.1695156097412,-0.0484903,0.645055115223,0.0,212000,1000.0,212,2,2.68346,624.92972694,67.4994
0.0230488,191.99784898757935,-0.041538,0.193519353867,0.0,215000,1000.0,215,3,2.64154,643.883602247,79.6812
0.0203273,193.82613849639893,-0.0441968,0.140390515327,0.0,217000,1000.0,217,2,2.57204,657.35079322,69.0765
0.0237681,195.6379427909851,-0.040428,0.0555974245071,0.0,219000,1000.0,219,2,2.56394,668.749055254,60.89
0.0220884,197.4816882610321,-0.0384059,0.0915150046349,0.0,221000,1000.0,221,2,2.55213,681.569545665,62.6792
0.0264025,199.29546427726746,-0.0393883,0.0907920002937,0.0,223000,1000.0,223,2,2.53938,693.508036382,62.0003
0.0225133,201.12257194519043,-0.0441128,0.517875313759,0.0,225000,1000.0,225,2,2.54008,703.701571947,65.6097
0.0200812,202.93637347221375,-0.0418851,0.167091548443,0.0,227000,1000.0,227,2,2.50439,713.83172609,67.1899
0.0255634,204.7629246711731,-0.0372414,0.122756302357,0.0,229000,1000.0,229,2,2.49151,723.353279742,63.8111
0.0193421,206.5901734828949,-0.0406558,0.142995774746,0.0,231000,1000.0,231,2,2.4715,732.939980374,66.4893
0.0306214,208.41952228546143,-0.0364407,0.0784601569176,0.0,233000,1000.0,233,2,2.46316,752.082808605,65.6556
0.0239681,210.2321960926056,-0.0478025,0.467857122421,0.0,235000,1000.0,235,2,2.45613,763.819061656,70.146
0.0302427,212.06041622161865,-0.0546258,0.672431200743,0.0,237000,1000.0,237,2,2.40874,771.813896652,80.7734
0.0217123,213.8721218109131,-0.0445064,0.56568056345,0.0,239000,1000.0,239,2,2.38982,778.407347796,71.0458
0.0192472,215.70917415618896,-0.0447346,0.134684979916,0.0,241000,1000.0,241,2,2.35171,787.834710764,72.9503
0.0229939,217.51302981376648,-0.0472606,0.56963083148,0.0,243000,1000.0,243,2,2.34145,795.464981486,74.9487
0.0224735,219.34155106544495,-0.045211,0.167230963707,0.0,245000,1000.0,245,2,2.29051,801.407160188,70.8055
0.0265633,221.1536078453064,-0.039646,0.139357566833,0.0,247000,1000.0,247,2,2.28813,809.033926145,74.7615
0.0247244,222.96651458740234,-0.041268,0.189724385738,0.0,249000,1000.0,249,2,2.24711,817.142309148,73.8675
0.0241028,224.78904366493225,-0.0395791,0.165799796581,0.0,251000,1000.0,251,2,2.17963,827.345479371,71.8697
0.023813,226.6067931652069,-0.0384701,0.0920524001122,0.0,253000,1000.0,253,2,2.13556,834.448637518,74.0189
0.0382184,228.42069721221924,-0.0419643,0.266120672226,0.0,256000,1000.0,256,3,2.10601,846.222326369,109.112
