#{"t_start": 1536383976.8320909, "env_id": "HalfCheetah-v2"}
r,l,t
-733.733648,1000,1.703406
-505.559105,1000,2.250532
-678.382062,1000,3.703526
-598.374333,1000,4.250446
-639.734214,1000,5.468568
-564.808434,1000,6.015441
-582.427603,1000,7.235198
-614.36276,1000,7.781151
-666.565915,1000,9.000978
-581.113825,1000,9.546672
-489.581117,1000,10.765415
-528.572895,1000,11.313174
-560.92882,1000,12.53097
-468.139356,1000,13.077843
-513.506753,1000,14.297225
-725.515912,1000,14.8441
-422.838526,1000,16.078278
-399.075025,1000,16.625101
-497.576849,1000,17.827935
-529.105345,1000,18.390489
-416.443933,1000,19.610012
-460.045901,1000,20.156885
-408.218277,1000,21.375038
-549.870561,1000,21.921911
-454.807963,1000,23.140679
-448.352389,1000,23.688707
-351.308173,1000,24.906506
-394.613249,1000,25.44508
-379.257321,1000,26.672547
-486.389257,1000,27.21942
-327.482516,1000,28.437468
-394.85286,1000,28.984343
-462.425189,1000,30.203643
-382.343095,1000,30.751295
-388.182942,1000,31.969084
-411.393369,1000,32.515922
-477.83647,1000,33.734334
-337.555521,1000,34.281319
-373.958559,1000,35.499777
-346.240863,1000,36.046651
-443.08523,1000,37.265749
-376.02321,1000,37.812621
-257.470805,1000,38.359653
-226.068406,1000,39.578582
-178.640316,1000,40.125454
-148.615518,1000,41.345068
-360.826309,1000,41.891941
-179.056753,1000,43.125321
-302.171337,1000,43.671878
-257.993575,1000,44.890642
-326.486043,1000,45.437909
-235.004878,1000,46.656668
-211.955284,1000,47.203541
-192.800136,1000,48.423152
-297.374317,1000,48.970026
-389.459122,1000,50.203123
-187.067559,1000,50.751139
-32.565591,1000,51.969802
-112.684094,1000,52.518335
-179.188707,1000,53.750469
-308.42271,1000,54.297341
-440.453897,1000,55.516818
-149.857719,1000,56.063686
-29.662327,1000,57.298616
-160.435452,1000,57.845489
-150.161989,1000,59.062265
-52.856924,1000,59.610882
17.874798,1000,60.844238
-50.964299,1000,61.375258
-246.287484,1000,62.593783
-62.632943,1000,63.14811
-58.943647,1000,64.359993
18.965926,1000,64.92249
158.820487,1000,66.125916
-96.377066,1000,66.678042
-111.998612,1000,67.906031
190.544256,1000,68.45287
37.207924,1000,69.672212
-342.9934,1000,70.219085
68.412165,1000,71.454343
47.160387,1000,72.001215
192.027414,1000,73.218973
396.583942,1000,73.766188
139.259601,1000,75.000601
169.422134,1000,75.547201
-4.592982,1000,76.094074
221.464816,1000,77.312573
254.269441,1000,77.859447
254.384,1000,79.093814
83.499784,1000,79.640368
378.471015,1000,80.85914
369.624413,1000,81.40637
316.165407,1000,82.626118
-184.382129,1000,83.172992
351.294444,1000,84.391075
297.64403,1000,84.954684
191.571525,1000,86.180707
401.853086,1000,86.718574
49.065072,1000,87.962114
298.405672,1000,88.500107
250.06406,1000,89.73475
350.868616,1000,90.28162
-404.867886,1000,91.500379
145.663783,1000,92.047253
191.173509,1000,93.266221
401.923195,1000,93.813094
424.101699,1000,95.031866
-317.348503,1000,95.578548
593.739709,1000,96.797304
604.927782,1000,97.344381
194.133177,1000,98.562243
521.573493,1000,99.109117
-66.16788,1000,100.343707
613.423355,1000,100.876057
390.994648,1000,102.095137
375.63054,1000,102.641153
602.545483,1000,103.890963
730.664126,1000,104.437439
-428.426855,1000,105.664097
632.653135,1000,106.205602
555.739,1000,107.422065
408.937629,1000,107.968939
532.817554,1000,109.188754
568.08392,1000,109.735421
733.571743,1000,110.962528
67.294282,1000,111.516905
-18.166528,1000,112.734429
619.465928,1000,113.281694
479.039346,1000,113.821087
797.23064,1000,115.047671
521.940144,1000,115.593579
698.707179,1000,116.819184
331.952572,1000,117.360664
554.080621,1000,118.578528
669.862416,1000,119.125402
502.839112,1000,120.360617
633.537879,1000,120.90749
-571.302328,1000,122.12547
71.707564,1000,122.672366
-611.661748,1000,123.890666
552.186536,1000,124.445711
1038.36274,1000,125.656881
879.604041,1000,126.203753
742.742057,1000,127.438164
822.750508,1000,127.985037
842.902029,1000,129.202996
1003.228027,1000,129.742975
-140.584887,1000,130.969437
1017.173451,1000,131.516291
844.575236,1000,132.735058
188.316882,1000,133.281846
313.754286,1000,134.500414
94.640042,1000,135.047287
1004.712532,1000,136.265552
-267.763901,1000,136.812426
1131.14919,1000,138.046887
917.86317,1000,138.594738
-294.459268,1000,139.812374
893.418356,1000,140.359208
854.022517,1000,141.594361
1007.093843,1000,142.141232
-380.385503,1000,143.359729
1163.049917,1000,143.913888
1193.88728,1000,145.141177
984.037701,1000,145.687778
980.11921,1000,146.897981
861.588609,1000,147.453645
1201.420971,1000,148.672056
1104.701745,1000,149.218928
801.611693,1000,150.437741
1048.762226,1000,150.984614
656.905151,1000,151.531375
1074.181066,1000,152.765754
966.265623,1000,153.312628
982.918757,1000,154.531368
1117.238943,1000,155.078242
992.102621,1000,156.297499
1076.646487,1000,156.844373
1045.87979,1000,158.063129
-447.75624,1000,158.609954
1146.415124,1000,159.844374
1130.765992,1000,160.390344
1141.006876,1000,161.610448
151.171641,1000,162.157322
1154.55698,1000,163.376715
884.480709,1000,163.923585
1010.160356,1000,165.140511
283.461662,1000,165.687313
1268.503104,1000,166.921715
1039.150458,1000,167.468909
1048.052124,1000,168.672097
1188.494294,1000,169.218972
624.426129,1000,170.453563
1161.662238,1000,171.000438
1010.83643,1000,172.218763
726.627534,1000,172.765651
1149.264612,1000,173.988616
-35.186753,1000,174.520274
1079.712999,1000,175.750332
918.708752,1000,176.281597
1251.936411,1000,177.51717
1158.640488,1000,178.064043
669.501525,1000,179.266337
1249.712623,1000,179.828831
1297.012101,1000,181.046683
1081.537952,1000,181.59406
1251.249003,1000,182.815113
1057.156371,1000,183.360267
1078.161787,1000,184.57792
1120.798082,1000,185.124794
1275.136361,1000,186.343569
1320.775239,1000,186.890443
397.466462,1000,188.107453
131.586854,1000,188.656319
1150.10132,1000,189.203192
1172.296478,1000,190.421945
1086.133681,1000,190.96882
1306.267914,1000,192.188089
1345.704281,1000,192.73597
