EpLenMean,EpThisIter,loss_pol_entpen,EpRewMean,loss_vf_loss,EpisodesSoFar,loss_pol_surr,TimestepsSoFar,loss_ent,loss_kl,TimeElapsed,ev_tdlam_before
1000.0,2,0.0,-619.646376489,86.7856,2,-0.0312767,2000,8.42836,0.013046,2.0617475509643555,-0.0100926160812
1000.0,2,0.0,-629.012286795,27.2206,4,-0.0348795,4000,8.37051,0.0134855,3.858412504196167,-0.00348150730133
1000.0,2,0.0,-620.098632572,23.3416,6,-0.0392612,6000,8.29526,0.0164174,5.64003849029541,0.21876013279
1000.0,2,0.0,-614.672769773,55.8356,8,-0.039958,8000,8.24411,0.0168677,7.437071323394775,0.153183162212
1000.0,2,0.0,-616.50618979,21.4355,10,-0.0396499,10000,8.11307,0.0157888,9.21713399887085,0.142706990242
1000.0,2,0.0,-598.601325807,27.1901,12,-0.0381822,12000,8.05043,0.0131435,11.014887571334839,0.191321671009
1000.0,2,0.0,-586.591720436,25.7469,14,-0.0374574,14000,7.97807,0.013702,12.812355995178223,0.194500744343
1000.0,2,0.0,-590.706671998,50.0129,16,-0.038919,16000,7.91372,0.0142417,14.608061790466309,0.0925330519676
1000.0,2,0.0,-570.734461275,22.8023,18,-0.0398251,18000,7.8405,0.0140337,16.389029026031494,0.246027171612
1000.0,2,0.0,-564.995124872,29.5596,20,-0.0399845,20000,7.79352,0.0157105,18.20235514640808,0.254061698914
1000.0,2,0.0,-553.472378703,26.9458,22,-0.0413189,22000,7.69356,0.0140103,19.9836585521698,0.466250181198
1000.0,2,0.0,-547.270048708,25.1354,24,-0.0443499,24000,7.59894,0.0145667,21.779898166656494,0.759549841285
1000.0,2,0.0,-539.909289265,27.9175,26,-0.0387146,26000,7.52968,0.0123412,23.57697343826294,0.50617364049
1000.0,2,0.0,-527.984390796,33.2245,28,-0.0378926,28000,7.45851,0.0132069,25.35863971710205,0.265543282032
1000.0,2,0.0,-521.640317369,39.6176,30,-0.0458885,30000,7.362,0.016323,27.15480947494507,0.330143868923
1000.0,2,0.0,-511.610778009,33.6514,32,-0.0421946,32000,7.31796,0.0148899,28.95223569869995,0.111833155155
1000.0,2,0.0,-506.362152362,21.3838,34,-0.0385274,34000,7.23126,0.0127185,30.733301162719727,0.333274245262
1000.0,2,0.0,-500.441374757,38.0879,36,-0.0453332,36000,7.18521,0.0156545,32.52980136871338,0.258222460747
1000.0,2,0.0,-495.560038997,21.0621,38,-0.0414228,38000,7.15767,0.0156516,34.3264946937561,0.290636897087
1000.0,2,0.0,-488.787022604,33.8539,40,-0.0478763,40000,7.08995,0.0178614,36.123714208602905,0.317624747753
1000.0,3,0.0,-479.722329032,39.8494,43,-0.0479514,43000,7.01605,0.0155005,37.90624141693115,0.402028918266
1000.0,2,0.0,-467.394863795,37.1162,45,-0.0505513,45000,6.99758,0.0157072,39.7021598815918,0.507683634758
1000.0,2,0.0,-458.344908463,23.7839,47,-0.0482069,47000,6.92253,0.0143342,41.49891209602356,0.487011730671
1000.0,2,0.0,-449.457934438,27.7961,49,-0.0504429,49000,6.85036,0.0180071,43.295480251312256,0.620624750853
1000.0,2,0.0,-443.29251776,29.7953,51,-0.0532707,51000,6.81172,0.0174455,45.09274387359619,0.529386430979
1000.0,2,0.0,-434.997708829,36.7094,53,-0.0490088,53000,6.74959,0.0151869,46.889259576797485,0.385645031929
1000.0,2,0.0,-428.091873109,39.1502,55,-0.0516385,55000,6.71696,0.0158954,48.68609309196472,0.394643545151
1000.0,2,0.0,-423.185608806,42.4219,57,-0.0529211,57000,6.6666,0.0145262,50.48401927947998,0.322286009789
1000.0,2,0.0,-411.302193003,28.0355,59,-0.0493121,59000,6.60386,0.0120325,52.29593777656555,0.436859071255
1000.0,2,0.0,-405.810504993,31.3897,61,-0.0529381,61000,6.54992,0.0140312,54.07718062400818,0.502642244101
1000.0,2,0.0,-402.297657469,26.7217,63,-0.0591049,63000,6.49389,0.0167987,55.88949489593506,0.182876169682
1000.0,2,0.0,-392.843849221,34.1931,65,-0.0540329,65000,6.42787,0.013286,57.67023277282715,0.527925878763
1000.0,2,0.0,-384.147300182,33.0102,67,-0.0541983,67000,6.36734,0.013418,59.483455657958984,0.515591531992
1000.0,2,0.0,-373.49215381,30.2703,69,-0.0551589,69000,6.30308,0.0138859,61.2642502784729,0.478692531586
1000.0,2,0.0,-367.322239987,33.9332,71,-0.0540958,71000,6.22008,0.0147647,63.06163740158081,0.50482109189
1000.0,2,0.0,-357.806256981,46.142,73,-0.0566914,73000,6.15813,0.0158278,64.85888361930847,0.537370979786
1000.0,2,0.0,-347.432177851,61.2081,75,-0.058125,75000,6.07042,0.0129407,66.65462327003479,0.462812423706
1000.0,2,0.0,-337.387892141,38.085,77,-0.0509745,77000,6.02934,0.0131823,68.45206046104431,0.469775080681
