loss_pol_surr,loss_kl,loss_ent,EpThisIter,TimeElapsed,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpRewMean,EpisodesSoFar,TimestepsSoFar
-0.0331722,0.0124856,8.45203,2,2.079524040222168,1000.0,-0.0295333862305,63.3905,0.0,-626.859736772,2,2000
-0.035699,0.0125265,8.42557,2,3.8760757446289062,1000.0,-0.0113357305527,24.0829,0.0,-659.998801693,4,4000
-0.0375868,0.0148786,8.35496,2,5.672077894210815,1000.0,0.246183693409,38.8818,0.0,-684.276408882,6,6000
-0.0357867,0.0135007,8.26227,2,7.500056266784668,1000.0,0.0946350097656,41.804,0.0,-671.707836739,8,8000
-0.0423557,0.0172074,8.17392,2,9.297512531280518,1000.0,0.0183935761452,23.3316,0.0,-661.200311344,10,10000
-0.0393526,0.0138851,8.0775,2,11.093777894973755,1000.0,0.0346346497536,31.1043,0.0,-641.202366506,12,12000
-0.0373848,0.012974,8.04257,2,12.891126155853271,1000.0,0.177920877934,34.4349,0.0,-629.610276488,14,14000
-0.0397972,0.0149368,7.97632,2,14.688830614089966,1000.0,0.230374217033,47.8946,0.0,-611.207265963,16,16000
-0.0396825,0.0151564,7.9111,2,16.500338792800903,1000.0,0.181861042976,44.6458,0.0,-613.497230053,18,18000
-0.0381761,0.0131986,7.86458,2,18.297592639923096,1000.0,0.141819655895,35.9326,0.0,-598.004198876,20,20000
-0.0416034,0.0143135,7.80912,2,20.094529628753662,1000.0,0.275774180889,38.5354,0.0,-583.066418926,22,22000
-0.0410183,0.0146019,7.75344,2,21.8910391330719,1000.0,0.279167532921,38.8978,0.0,-574.298243463,24,24000
-0.0427531,0.0161561,7.66384,2,23.69233512878418,1000.0,0.160715460777,32.4633,0.0,-573.464085329,26,26000
-0.0403904,0.0153297,7.61024,2,25.484907865524292,1000.0,0.0487470626831,28.9827,0.0,-565.121079981,28,28000
-0.0419557,0.0152838,7.49988,2,27.297119855880737,1000.0,0.0892559885979,35.6484,0.0,-561.978445377,30,30000
-0.0413743,0.0149365,7.4239,2,29.0942120552063,1000.0,0.143830120564,31.6599,0.0,-560.024097549,32,32000
-0.0402109,0.0143561,7.35869,2,30.907066822052002,1000.0,0.129685163498,32.8234,0.0,-549.961410032,34,34000
-0.0392726,0.0139011,7.3047,2,32.703816413879395,1000.0,0.0612685680389,26.4168,0.0,-540.961109744,36,36000
-0.0418584,0.0132788,7.22125,2,34.532076835632324,1000.0,0.261231124401,30.8821,0.0,-531.439357209,38,38000
-0.0402269,0.0149393,7.19109,2,36.32804775238037,1000.0,0.160187184811,32.9034,0.0,-522.516960761,40,40000
-0.0479569,0.0167382,7.10442,3,38.12548780441284,1000.0,0.311376750469,37.7498,0.0,-510.169109591,43,43000
-0.0453973,0.0167175,7.06033,2,39.938719511032104,1000.0,0.304196953773,26.2233,0.0,-502.155816279,45,45000
-0.0456324,0.0178396,6.96659,2,41.75020670890808,1000.0,0.159841239452,20.2892,0.0,-497.086006411,47,47000
-0.0411706,0.0146709,6.89566,2,43.54784822463989,1000.0,0.177163481712,16.8687,0.0,-490.251951612,49,49000
-0.0488244,0.0165362,6.78943,2,45.344338178634644,1000.0,0.181867718697,17.1451,0.0,-481.732466058,51,51000
-0.0452427,0.0144981,6.71029,2,47.156205892562866,1000.0,0.322023510933,16.0735,0.0,-473.725038206,53,53000
-0.0454811,0.0148862,6.66797,2,48.95375967025757,1000.0,0.490779042244,19.0958,0.0,-465.426619083,55,55000
-0.0461003,0.0159867,6.60323,2,50.745922803878784,1000.0,0.384393334389,18.4435,0.0,-458.665296249,57,57000
-0.0496723,0.0165957,6.53851,2,52.554993867874146,1000.0,0.466131031513,17.5624,0.0,-452.324810359,59,59000
-0.0448597,0.0149664,6.45831,2,54.35997772216797,1000.0,0.297919631004,11.912,0.0,-444.553379873,61,61000
-0.0494841,0.0168607,6.37602,2,56.15619659423828,1000.0,0.567687809467,13.0444,0.0,-437.892327378,63,63000
-0.051774,0.0160078,6.32848,2,57.9535014629364,1000.0,0.605194926262,18.6783,0.0,-431.872544905,65,65000
-0.0519888,0.016345,6.26322,2,59.7504608631134,1000.0,0.673336386681,14.05,0.0,-425.262024163,67,67000
-0.0517541,0.0178098,6.18951,2,61.54719853401184,1000.0,0.54964786768,10.7744,0.0,-417.755598572,69,69000
-0.0510655,0.0146458,6.14874,2,63.34565234184265,1000.0,0.386115431786,12.3762,0.0,-410.371052554,71,71000
-0.0513805,0.0146471,6.07672,2,65.15696310997009,1000.0,0.248465836048,9.56588,0.0,-404.067254552,73,73000
-0.0517116,0.0140806,6.03253,2,66.95311188697815,1000.0,0.330665051937,9.17344,0.0,-396.237800219,75,75000
-0.0549979,0.0153242,5.97395,2,68.76634740829468,1000.0,0.486926078796,12.4764,0.0,-388.573933717,77,77000
