loss_pol_surr,loss_pol_entpen,loss_kl,EpLenMean,loss_vf_loss,EpRewMean,TimestepsSoFar,EpisodesSoFar,loss_ent,ev_tdlam_before,TimeElapsed,EpThisIter
-0.0353449,0.0,0.0152221,1000.0,93.3603,-671.387355339,2000,2,8.39336,-0.013011932373,2.0778820514678955,2
-0.0374204,0.0,0.0143155,1000.0,14.2004,-623.526920585,4000,4,8.32891,-0.0385464429855,3.866501808166504,2
-0.036867,0.0,0.0147359,1000.0,24.2395,-604.901672392,6000,6,8.25198,0.164353907108,5.656360387802124,2
-0.0358571,0.0,0.0140565,1000.0,42.1481,-591.742682821,8000,8,8.27252,0.242909610271,7.454562425613403,2
-0.0389136,0.0,0.0146343,1000.0,31.1944,-579.622664779,10000,10,8.20748,0.213332355022,9.250377416610718,2
-0.0399448,0.0,0.0145106,1000.0,29.474,-560.151924814,12000,12,8.13071,0.281367599964,11.115756034851074,2
-0.041254,0.0,0.0168259,1000.0,26.7102,-559.455267447,14000,14,8.05942,0.131787240505,12.906514883041382,2
-0.0407007,0.0,0.015575,1000.0,25.8232,-554.202710152,16000,16,7.99648,0.124240636826,14.718510150909424,2
-0.0367743,0.0,0.0128507,1000.0,28.4671,-553.756959204,18000,18,7.97837,0.0362540483475,16.49974250793457,2
-0.042077,0.0,0.0135077,1000.0,37.8734,-548.727621039,20000,20,7.89865,0.219888210297,18.29839301109314,2
-0.0423322,0.0,0.0138872,1000.0,32.2452,-539.269240938,22000,22,7.85799,0.148643553257,20.09412455558777,2
-0.0391073,0.0,0.0137404,1000.0,26.911,-536.774039595,24000,24,7.75218,0.0697519779205,21.906331777572632,2
-0.0404323,0.0,0.0147497,1000.0,24.1832,-527.397017597,26000,26,7.66522,0.296299934387,23.703729391098022,2
-0.0435611,0.0,0.014367,1000.0,29.4024,-520.746456969,28000,28,7.6124,0.355662465096,25.50055956840515,2
-0.0417948,0.0,0.0147095,1000.0,24.7287,-514.105050877,30000,30,7.50629,0.437673568726,27.297327280044556,2
-0.0454545,0.0,0.0161843,1000.0,28.2483,-505.912965208,32000,32,7.41552,0.3839199543,29.1096510887146,2
-0.0441883,0.0,0.0143447,1000.0,27.7135,-502.560983809,34000,34,7.34131,0.244370996952,30.90745496749878,2
-0.0441097,0.0,0.0170389,1000.0,20.5829,-495.238328964,36000,36,7.27919,0.393992483616,32.68733859062195,2
-0.0427898,0.0,0.0144041,1000.0,25.0387,-483.132762365,38000,38,7.2007,0.410618543625,34.4848268032074,2
-0.0473833,0.0,0.0145251,1000.0,23.7731,-476.204349091,40000,40,7.09659,0.0928351283073,36.27813482284546,2
-0.0490372,0.0,0.0189384,1000.0,27.5625,-466.623468016,43000,43,7.03134,0.238882541656,38.06250238418579,3
-0.0468067,0.0,0.0171344,1000.0,16.989,-458.780321744,45000,45,6.94292,0.19456911087,39.87576699256897,2
-0.0475455,0.0,0.0164309,1000.0,17.6349,-452.88030959,47000,47,6.9057,0.383681356907,41.67152762413025,2
-0.0449306,0.0,0.0155457,1000.0,17.4561,-447.236384684,49000,49,6.82451,0.279578506947,43.501338481903076,2
-0.0474337,0.0,0.0135275,1000.0,13.9489,-439.151707321,51000,51,6.74864,0.224135160446,45.2971875667572,2
-0.049627,0.0,0.015698,1000.0,14.3263,-432.214294854,53000,53,6.69501,0.479701757431,47.094173431396484,2
-0.0460083,0.0,0.0131863,1000.0,15.7734,-424.999322305,55000,55,6.66413,0.123150527477,48.89938402175903,2
-0.0535951,0.0,0.0163354,1000.0,16.267,-420.454210148,57000,57,6.5876,0.189142167568,50.70374798774719,2
-0.0519265,0.0,0.0169257,1000.0,25.1614,-414.769103898,59000,59,6.52623,0.260174095631,52.48486018180847,2
-0.0497536,0.0,0.0131847,1000.0,14.9639,-407.094904544,61000,61,6.47338,0.231511831284,54.28109860420227,2
-0.0540364,0.0,0.0143216,1000.0,9.68725,-398.52757158,63000,63,6.38792,0.274796962738,56.06997466087341,2
-0.0493733,0.0,0.0124969,1000.0,9.52488,-389.69400684,65000,65,6.30089,0.271530687809,57.876465797424316,2
-0.0554511,0.0,0.0138533,1000.0,10.7538,-381.627309339,67000,67,6.2359,0.429173767567,59.672008752822876,2
-0.0577556,0.0,0.0196506,1000.0,9.62024,-373.086984944,69000,69,6.18591,0.39048910141,61.46865701675415,2
-0.0574638,0.0,0.0141943,1000.0,9.59608,-363.392453071,71000,71,6.1252,0.301034808159,63.249672174453735,2
-0.0562051,0.0,0.0147918,1000.0,7.65932,-353.894891609,73000,73,6.06897,0.45604634285,65.0473906993866,2
-0.0560442,0.0,0.0128029,1000.0,7.38821,-345.691343292,75000,75,6.02245,0.249092102051,66.8442611694336,2
-0.058315,0.0,0.0147923,1000.0,8.06885,-336.960536599,77000,77,5.97418,0.178579509258,68.67240238189697,2
-0.0597099,0.0,0.015382,1000.0,11.9289,-329.261519462,79000,79,5.85028,0.364506006241,70.43802165985107,2
-0.0515541,0.0,0.0174494,1000.0,11.5875,-327.249503388,81000,81,5.8294,0.131466448307,72.25090217590332,2
-0.0620655,0.0,0.0140674,1000.0,8.36194,-317.845333509,83000,83,5.74132,0.145810186863,74.03275299072266,2
-0.0604221,0.0,0.0139579,1000.0,11.7693,-304.821328112,86000,86,5.68373,0.155996978283,75.81284999847412,3
-0.0630474,0.0,0.0166754,1000.0,10.0479,-296.122761319,88000,88,5.6035,0.283645629883,77.61002373695374,2
-0.0639789,0.0,0.0161772,1000.0,8.20545,-287.603708816,90000,90,5.52405,0.156833708286,79.39059090614319,2
-0.0680048,0.0,0.0179708,1000.0,8.32929,-279.526791761,92000,92,5.39224,0.267135202885,81.17193293571472,2
-0.0644575,0.0,0.0149759,1000.0,8.31176,-270.747266004,94000,94,5.30749,0.285018920898,82.96882200241089,2
-0.0691902,0.0,0.0189164,1000.0,9.86002,-262.070197597,96000,96,5.24336,0.329825162888,84.75056576728821,2
-0.0605323,0.0,0.0168891,1000.0,11.6915,-253.038174853,98000,98,5.18897,0.345054209232,86.54714584350586,2
-0.0612757,0.0,0.0162831,1000.0,10.3104,-244.878404146,100000,100,5.11428,0.205246627331,88.31271147727966,2
