TimestepsSoFar,TimeElapsed,loss_kl,loss_pol_entpen,ev_tdlam_before,loss_vf_loss,EpThisIter,EpLenMean,loss_ent,loss_pol_surr,EpisodesSoFar,EpRewMean
2000,2.032606840133667,0.0136305,0.0,-0.0136227607727,77.925,2,1000.0,8.46547,-0.0336252,2,-646.575916167
4000,3.812575101852417,0.0135146,0.0,0.152124285698,30.9746,2,1000.0,8.34868,-0.035452,4,-629.481309165
6000,5.624967336654663,0.0163921,0.0,0.0987257957458,26.6601,2,1000.0,8.25052,-0.0411459,6,-618.657404708
8000,7.4067223072052,0.0127861,0.0,-0.0687185525894,33.2356,2,1000.0,8.17321,-0.0380449,8,-624.113099371
10000,9.195571899414062,0.0181715,0.0,-0.087367773056,16.1933,2,1000.0,8.10478,-0.0436993,10,-606.958584801
12000,11.000093936920166,0.0167156,0.0,0.0284568667412,20.7811,2,1000.0,8.03086,-0.0419814,12,-600.294533762
14000,12.78136944770813,0.0140115,0.0,0.0871837735176,26.2677,2,1000.0,7.95957,-0.0398242,14,-579.925202812
16000,14.56348180770874,0.0149875,0.0,0.186069011688,17.6076,2,1000.0,7.87211,-0.0409687,16,-568.898155684
18000,16.374661445617676,0.0143528,0.0,0.0971531271935,18.2622,2,1000.0,7.79292,-0.0346532,18,-558.644801269
20000,18.156687021255493,0.0153848,0.0,0.0201708674431,25.9821,2,1000.0,7.74473,-0.0389744,20,-552.892495947
22000,19.937823057174683,0.0153662,0.0,0.0767229795456,25.9282,2,1000.0,7.63123,-0.0376886,22,-549.055379215
24000,21.723649501800537,0.0175932,0.0,0.280223309994,24.1241,2,1000.0,7.55223,-0.0432354,24,-537.352789587
26000,23.51551580429077,0.0139274,0.0,0.151497066021,25.0505,2,1000.0,7.47562,-0.0392268,26,-527.170653154
28000,25.296619415283203,0.0181412,0.0,0.235211312771,21.2789,2,1000.0,7.3521,-0.0439147,28,-517.563855008
30000,27.09402298927307,0.0164507,0.0,0.135750770569,19.4337,2,1000.0,7.26686,-0.0396953,30,-505.642933269
32000,28.890193462371826,0.0140638,0.0,0.284882903099,21.4442,2,1000.0,7.18088,-0.0430045,32,-493.711862346
34000,30.673362970352173,0.0160285,0.0,0.0432029366493,22.2088,2,1000.0,7.15106,-0.0413778,34,-485.951937705
36000,32.46851468086243,0.014673,0.0,0.0845417976379,16.5739,2,1000.0,7.05704,-0.0421809,36,-477.505615421
38000,34.250497579574585,0.0160687,0.0,0.0789033770561,15.937,2,1000.0,6.92837,-0.0470357,38,-467.555842783
40000,36.04692339897156,0.0153384,0.0,0.160832643509,14.5317,2,1000.0,6.84653,-0.046288,40,-455.478000349
43000,37.832300424575806,0.0162464,0.0,0.13920211792,16.8786,3,1000.0,6.74071,-0.0492205,43,-441.123259547
45000,39.624634742736816,0.0154876,0.0,0.165656805038,15.1701,2,1000.0,6.68068,-0.0482369,45,-431.677120856
47000,41.42223501205444,0.0145119,0.0,0.17040258646,10.9145,2,1000.0,6.63838,-0.0500179,47,-419.466453293
49000,43.18764925003052,0.0148789,0.0,0.0828005671501,10.5535,2,1000.0,6.51616,-0.0497988,49,-408.24367602
51000,44.989102840423584,0.0146656,0.0,0.250067949295,12.7673,2,1000.0,6.46769,-0.0484543,51,-398.064635884
53000,46.75023055076599,0.0161711,0.0,0.202864348888,9.2817,2,1000.0,6.38288,-0.0507135,53,-390.312252396
55000,48.53113651275635,0.0140643,0.0,0.166480243206,8.39691,2,1000.0,6.27758,-0.0512343,55,-381.459636111
57000,50.31206178665161,0.0133166,0.0,0.150455653667,9.6758,2,1000.0,6.22313,-0.0501195,57,-370.711028797
59000,52.09362578392029,0.0147105,0.0,0.521580725908,13.6258,2,1000.0,6.20529,-0.0499908,59,-363.308947733
