loss_vf_loss,loss_kl,EpThisIter,EpisodesSoFar,EpLenMean,TimeElapsed,loss_ent,loss_pol_surr,loss_pol_entpen,ev_tdlam_before,EpRewMean,TimestepsSoFar
85.2878,0.0116227,2,2,1000.0,2.065325975418091,8.43991,-0.0282969,0.0,-0.0050745010376,-647.332031212,2000
25.8717,0.0128517,2,4,1000.0,3.859759569168091,8.35252,-0.0330999,0.0,0.0493858456612,-682.276423299,4000
36.2156,0.0137626,2,6,1000.0,5.984448432922363,8.30143,-0.0352632,0.0,0.0802329182625,-659.500978437,6000
35.0485,0.0134915,2,8,1000.0,7.780958890914917,8.20033,-0.0361025,0.0,0.088964164257,-651.478788197,8000
24.4338,0.0133483,2,10,1000.0,9.578851461410522,8.12997,-0.0357884,0.0,0.110231995583,-629.540938109,10000
24.2846,0.0165173,2,12,1000.0,11.390745162963867,8.01833,-0.043998,0.0,0.16259598732,-614.766266814,12000
24.5251,0.0133749,2,14,1000.0,13.188021898269653,7.92215,-0.0380135,0.0,0.228860855103,-601.291272552,14000
23.8808,0.0135429,2,16,1000.0,14.984542608261108,7.86224,-0.0370455,0.0,0.238458812237,-591.32064476,16000
21.1865,0.0155467,2,18,1000.0,16.796959161758423,7.79784,-0.0382379,0.0,0.178760111332,-579.803945757,18000
34.509,0.0145047,2,20,1000.0,18.59354519844055,7.72464,-0.0407434,0.0,0.322841584682,-565.840876364,20000
38.7471,0.0161248,2,22,1000.0,20.390223264694214,7.64833,-0.0401375,0.0,0.214796662331,-553.08466186,22000
42.8872,0.0163818,2,24,1000.0,22.20347285270691,7.56345,-0.0452783,0.0,0.175807535648,-543.429753337,24000
29.7321,0.0149907,2,26,1000.0,23.9996178150177,7.50415,-0.0444865,0.0,0.251233696938,-535.999294572,26000
29.5198,0.0159888,2,28,1000.0,25.79717993736267,7.42544,-0.0425925,0.0,0.128532528877,-525.541280418,28000
44.7406,0.0142986,2,30,1000.0,27.594037771224976,7.37459,-0.0429298,0.0,0.291529417038,-515.775818185,30000
33.2821,0.0151445,2,32,1000.0,29.390696048736572,7.29786,-0.0460291,0.0,0.373974382877,-510.605731036,32000
30.8857,0.0163919,2,34,1000.0,31.187964916229248,7.27794,-0.0421369,0.0,0.173550307751,-501.72880988,34000
