EpLenMean,loss_pol_entpen,ev_tdlam_before,loss_kl,loss_vf_loss,loss_ent,EpisodesSoFar,TimeElapsed,loss_pol_surr,TimestepsSoFar,EpRewMean,EpThisIter
1000.0,0.0,-0.012634396553,0.0137103,86.5478,8.44932,2,2.0483248233795166,-0.0305991,2000,-637.607246851,2
1000.0,0.0,0.153681993484,0.0117402,49.6571,8.37021,4,3.844982624053955,-0.032934,4000,-638.201569669,2
1000.0,0.0,-0.232995867729,0.0134471,19.5116,8.31284,6,5.640973329544067,-0.0382464,6000,-614.387926736,2
1000.0,0.0,0.459538459778,0.01493,16.143,8.21253,8,7.4382147789001465,-0.0393734,8000,-602.064954832,2
1000.0,0.0,0.30936062336,0.0126633,33.1611,8.14847,10,9.250356435775757,-0.0390397,10000,-589.547911355,2
1000.0,0.0,0.342448174953,0.014582,34.4802,8.12806,12,11.047682762145996,-0.0394347,12000,-577.224500293,2
1000.0,0.0,0.358442306519,0.0148086,30.2892,8.05556,14,12.84376859664917,-0.0393078,14000,-575.775617225,2
1000.0,0.0,0.12978386879,0.0140883,31.2957,7.96248,16,14.641728401184082,-0.0387991,16000,-575.776739137,2
1000.0,0.0,0.0938348174095,0.0142394,29.0384,7.88747,18,16.422714710235596,-0.0360031,18000,-576.053123811,2
1000.0,0.0,0.149748444557,0.0128022,30.7711,7.83517,20,18.218968391418457,-0.037868,20000,-560.494147209,2
1000.0,0.0,0.19827747345,0.0150756,38.6525,7.74063,22,20.015599727630615,-0.0433697,22000,-547.895763182,2
1000.0,0.0,0.264216899872,0.0136766,28.9572,7.66964,24,21.812697887420654,-0.0412758,24000,-539.794477793,2
1000.0,0.0,0.195289134979,0.0140115,45.3099,7.57741,26,23.5939998626709,-0.041956,26000,-530.500676033,2
1000.0,0.0,0.12300914526,0.0138824,29.3255,7.51085,28,25.39099407196045,-0.0399369,28000,-519.337969576,2
1000.0,0.0,0.112232863903,0.0154103,26.1981,7.42786,30,27.18770933151245,-0.0424353,30000,-511.668057966,2
1000.0,0.0,0.276267290115,0.0143205,38.3101,7.36882,32,28.98503065109253,-0.0433786,32000,-507.660147545,2
1000.0,0.0,0.0972506403923,0.014517,20.4264,7.24455,34,30.765610456466675,-0.0428701,34000,-497.674838186,2
1000.0,0.0,0.274941921234,0.014758,20.907,7.13445,36,32.57885718345642,-0.0451473,36000,-489.48638408,2
1000.0,0.0,0.15996325016,0.0169525,19.7936,7.05171,38,34.36003637313843,-0.0453738,38000,-482.758648688,2
1000.0,0.0,0.20059543848,0.0154988,20.165,7.03001,40,36.15628004074097,-0.0400824,40000,-476.601965114,2
1000.0,0.0,0.31773608923,0.0165246,28.0845,6.936,43,37.96883678436279,-0.0458179,43000,-461.306319182,3
1000.0,0.0,0.139129400253,0.0157152,28.9227,6.90251,45,39.78211450576782,-0.0466948,45000,-455.459545534,2
1000.0,0.0,0.276902496815,0.0184088,20.1127,6.82689,47,41.56333661079407,-0.0509962,47000,-447.879073787,2
1000.0,0.0,0.223724246025,0.0149701,15.9541,6.77138,49,43.37558197975159,-0.0472634,49000,-438.647516143,2
1000.0,0.0,0.30679577589,0.014072,22.4341,6.65526,51,45.187808990478516,-0.0491332,51000,-433.697443865,2
1000.0,0.0,0.299658477306,0.0148165,16.0373,6.55336,53,47.00014901161194,-0.0502182,53000,-426.275861037,2
1000.0,0.0,0.198561429977,0.0162055,13.7924,6.47462,55,48.797263383865356,-0.0484505,55000,-418.47959762,2
1000.0,0.0,0.177288353443,0.0152104,15.3416,6.39072,57,50.60939145088196,-0.0473697,57000,-412.217683188,2
1000.0,0.0,0.201730430126,0.0137935,13.0421,6.31455,59,52.4076087474823,-0.0517258,59000,-404.622722281,2
1000.0,0.0,0.130943953991,0.0155204,8.79612,6.22537,61,54.20359516143799,-0.0524857,61000,-396.300679331,2
1000.0,0.0,0.250428676605,0.016669,9.54249,6.14081,63,56.01632809638977,-0.0521577,63000,-387.095463699,2
1000.0,0.0,0.23003745079,0.0197829,11.2222,5.99951,65,57.812997579574585,-0.0617093,65000,-380.313317787,2
1000.0,0.0,0.0284564495087,0.0170889,9.92659,5.89209,67,59.60984969139099,-0.0567842,67000,-371.372938608,2
1000.0,0.0,0.245990693569,0.0152417,9.44428,5.77515,69,61.40662693977356,-0.0549079,69000,-362.977050219,2
1000.0,0.0,0.38038444519,0.0143901,9.90082,5.68393,71,63.21881818771362,-0.0541239,71000,-353.145580182,2
1000.0,0.0,0.150485157967,0.0150058,6.58011,5.58334,73,65.01746153831482,-0.0564798,73000,-343.097859405,2
1000.0,0.0,0.238319456577,0.016665,8.68243,5.5046,75,66.82959127426147,-0.0572008,75000,-332.838192074,2
1000.0,0.0,0.198368430138,0.0166036,6.04586,5.42462,77,68.63198900222778,-0.0536444,77000,-322.766498459,2
1000.0,0.0,0.408081412315,0.0149681,7.94266,5.37169,79,70.43821716308594,-0.0547242,79000,-312.247224326,2
1000.0,0.0,0.299105465412,0.0157161,5.95295,5.29292,81,72.21992421150208,-0.0604931,81000,-303.655895195,2
1000.0,0.0,0.288375914097,0.0167695,7.12294,5.21253,83,74.03207302093506,-0.0592041,83000,-293.055534315,2
1000.0,0.0,0.328543543816,0.0185634,9.24534,5.11753,86,75.82973289489746,-0.0594353,86000,-276.177679355,3
1000.0,0.0,0.472598671913,0.0172886,10.6185,5.05913,88,77.63797616958618,-0.058961,88000,-266.741402595,2
1000.0,0.0,0.433482706547,0.0159903,7.95677,4.94649,90,79.42221307754517,-0.061117,90000,-256.004439599,2
1000.0,0.0,0.504185557365,0.0182569,10.8921,4.85318,92,81.23433208465576,-0.0591421,92000,-245.058218421,2
1000.0,0.0,0.441405713558,0.0158733,9.30307,4.78893,94,83.03201818466187,-0.0569525,94000,-233.850128209,2
1000.0,0.0,0.265699326992,0.0167548,9.02289,4.67949,96,84.83881640434265,-0.0581551,96000,-221.930441147,2
1000.0,0.0,0.256545305252,0.0187995,11.3741,4.60412,98,86.6414167881012,-0.0563633,98000,-209.828430798,2
1000.0,0.0,0.194986641407,0.0171586,13.2966,4.53164,100,88.4377510547638,-0.0526537,100000,-197.904455127,2
1000.0,0.0,0.100800514221,0.0179812,11.3911,4.47577,102,90.23429894447327,-0.0531287,102000,-176.194711843,2
1000.0,0.0,0.128551006317,0.0208406,16.2927,4.38377,104,92.03200578689575,-0.0545481,104000,-154.628011641,2
1000.0,0.0,0.130798339844,0.0164657,16.2394,4.31994,106,93.81329894065857,-0.0464585,106000,-134.033077941,2
1000.0,0.0,0.121188700199,0.0177682,16.4925,4.26557,108,95.62495017051697,-0.0481688,108000,-113.265686326,2
1000.0,0.0,0.246778488159,0.0161486,19.4532,4.23271,110,97.40697765350342,-0.0555234,110000,-91.9303684138,2
1000.0,0.0,0.301883876324,0.0173162,21.1026,4.16659,112,99.21939206123352,-0.0477865,112000,-72.3946573155,2
1000.0,0.0,0.43958568573,0.0218818,21.6262,4.10358,114,101.0002932548523,-0.0530455,114000,-50.5083537741,2
1000.0,0.0,0.505906492472,0.0192858,22.2685,4.03694,116,102.82803535461426,-0.0508808,116000,-29.756945172,2
1000.0,0.0,0.338616192341,0.0207809,24.2862,4.01275,118,104.62564897537231,-0.0506245,118000,-7.32154967825,2
1000.0,0.0,0.154175341129,0.0199406,25.3804,3.9556,120,106.42220640182495,-0.0464155,120000,13.0050927938,2
1000.0,0.0,0.177489697933,0.0193585,24.5894,3.92323,122,108.20384216308594,-0.0400065,122000,33.6196686304,2
1000.0,0.0,0.3479616642,0.0213478,27.6615,3.87569,124,110.01591563224792,-0.0484618,124000,54.7125140522,2
1000.0,0.0,0.292845845222,0.0194939,28.17,3.83752,126,111.79683709144592,-0.041786,126000,75.4205774243,2
1000.0,0.0,0.457364916801,0.0227831,42.7037,3.76566,129,113.59366798400879,-0.0506216,129000,104.238697709,3
1000.0,0.0,0.217170596123,0.021309,32.1535,3.73692,131,115.37560749053955,-0.0452838,131000,125.958780502,2
1000.0,0.0,0.122420072556,0.0237171,33.6477,3.68252,133,117.17188549041748,-0.0419039,133000,146.253968143,2
1000.0,0.0,0.29686820507,0.0211026,34.4556,3.65792,135,118.9847002029419,-0.046028,135000,166.880386387,2
1000.0,0.0,0.0478076338768,0.0191643,34.4893,3.62107,137,120.78231501579285,-0.0440862,137000,187.360249789,2
1000.0,0.0,0.158186674118,0.0182054,34.6308,3.55274,139,122.56325078010559,-0.0436195,139000,209.221699491,2
1000.0,0.0,0.124044716358,0.0252131,36.0774,3.49507,141,124.35946011543274,-0.0401395,141000,228.990978051,2
1000.0,0.0,0.0964751839638,0.0222619,36.4015,3.46314,143,126.16422891616821,-0.0397743,143000,247.99408845,2
1000.0,0.0,0.118445694447,0.0198341,37.8064,3.41407,145,127.95723748207092,-0.0415064,145000,268.401928809,2
1000.0,0.0,0.340740025043,0.0221997,39.8941,3.37574,147,129.735901594162,-0.0477434,147000,288.022027966,2
1000.0,0.0,0.29672318697,0.0239737,43.0313,3.3437,149,131.53174543380737,-0.0450301,149000,306.533538726,2
1000.0,0.0,0.486246049404,0.026433,44.2403,3.31494,151,133.31331658363342,-0.0455872,151000,326.037500803,2
1000.0,0.0,0.167933344841,0.0226851,43.8001,3.30829,153,135.1093201637268,-0.0406722,153000,345.10417588,2
1000.0,0.0,0.171844542027,0.0236439,43.5895,3.30328,155,136.8912844657898,-0.0390804,155000,364.896323356,2
1000.0,0.0,0.335324406624,0.0207342,43.2386,3.28341,157,138.68782830238342,-0.0438653,157000,384.521821282,2
1000.0,0.0,0.254045069218,0.0202396,48.7055,3.2385,159,140.48447275161743,-0.0458179,159000,404.500867637,2
1000.0,0.0,0.187718093395,0.0198538,47.481,3.19016,161,142.26612091064453,-0.0438057,161000,423.287472855,2
1000.0,0.0,0.178187608719,0.0214438,53.4167,3.17798,163,144.06293034553528,-0.0424164,163000,441.823566396,2
1000.0,0.0,0.0355494618416,0.0184215,49.8015,3.15929,165,145.8444333076477,-0.0364412,165000,461.479431636,2
1000.0,0.0,0.221749126911,0.0265847,49.7703,3.16897,167,147.64169263839722,-0.0402537,167000,478.774787652,2
1000.0,0.0,0.225869476795,0.0195177,50.0167,3.1554,169,149.4219355583191,-0.0395005,169000,496.250317127,2
1000.0,0.0,0.192931771278,0.0195841,70.3338,3.16612,172,151.21931076049805,-0.0409644,172000,521.980462199,3
