TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpRewMean,loss_ent,EpisodesSoFar,TimeElapsed,loss_kl,EpThisIter,loss_pol_entpen,EpLenMean,loss_vf_loss
2000,-0.0165392160416,-0.0335811,-573.175635419,8.4573,2,2.0628859996795654,0.0120389,2,0.0,1000.0,57.5956
4000,0.103201985359,-0.0306065,-585.851077233,8.38218,4,3.844851016998291,0.0124088,2,0.0,1000.0,46.7835
6000,-0.523670911789,-0.0378202,-577.711630484,8.34648,6,5.640892744064331,0.0126302,2,0.0,1000.0,38.1944
8000,0.022383928299,-0.0370995,-590.292626669,8.28328,8,7.437389373779297,0.0146109,2,0.0,1000.0,22.9997
10000,0.0433573126793,-0.0391116,-578.731779011,8.2106,10,9.234124183654785,0.0151245,2,0.0,1000.0,24.8991
12000,0.0879552364349,-0.0403576,-556.155891294,8.16156,12,11.030950784683228,0.0143507,2,0.0,1000.0,35.5337
14000,0.0674538612366,-0.0388631,-549.885096189,8.09518,14,12.81206750869751,0.01261,2,0.0,1000.0,24.4108
16000,0.185186982155,-0.0390132,-545.158454922,7.97269,16,14.625259160995483,0.0122631,2,0.0,1000.0,30.5872
18000,0.0481542944908,-0.0398803,-544.969375567,7.92162,18,16.421812295913696,0.0144547,2,0.0,1000.0,27.8039
20000,-0.00979268550873,-0.0415373,-540.517103251,7.82611,20,18.21835684776306,0.0149873,2,0.0,1000.0,27.2888
22000,0.0921657681465,-0.040211,-539.068254859,7.82326,22,20.015196800231934,0.0124303,2,0.0,1000.0,36.8844
24000,0.0227175354958,-0.0459387,-532.792086689,7.77848,24,21.79714560508728,0.0142604,2,0.0,1000.0,34.696
26000,-0.359812021255,-0.0462998,-535.673044159,7.71227,26,23.594741821289062,0.0174282,2,0.0,1000.0,29.0883
28000,0.0147888064384,-0.0412406,-530.592621333,7.62595,28,25.377000331878662,0.0146404,2,0.0,1000.0,22.382
30000,0.0229117870331,-0.0430711,-522.768861905,7.5025,30,27.171598196029663,0.0148922,2,0.0,1000.0,20.1306
32000,0.105091094971,-0.0432633,-517.305458087,7.42933,32,28.968318223953247,0.0142682,2,0.0,1000.0,26.5962
34000,0.0914667844772,-0.0460485,-509.739945804,7.34259,34,30.766874074935913,0.0141007,2,0.0,1000.0,21.1939
36000,0.166071712971,-0.0496225,-503.00860337,7.25383,36,32.56237435340881,0.0177549,2,0.0,1000.0,31.1878
38000,0.0819805264473,-0.0437677,-494.776062932,7.15505,38,34.36026692390442,0.0159723,2,0.0,1000.0,16.8963
40000,0.0264975428581,-0.0448484,-486.353499501,7.10135,40,36.15773868560791,0.0163927,2,0.0,1000.0,20.9385
43000,0.211758971214,-0.0462186,-477.088348467,7.02898,43,37.95329928398132,0.0138167,3,0.0,1000.0,30.9263
45000,0.133202135563,-0.050967,-468.302490892,6.95138,45,39.73533082008362,0.0127773,2,0.0,1000.0,20.2244
47000,0.186879992485,-0.0458375,-458.175529165,6.89895,47,41.52748489379883,0.0121902,2,0.0,1000.0,17.789
49000,0.2769947052,-0.0540887,-447.397994097,6.84476,49,43.31288981437683,0.0177426,2,0.0,1000.0,16.1476
51000,0.155729293823,-0.051837,-438.466322815,6.77245,51,45.109474420547485,0.0148446,2,0.0,1000.0,16.0445
53000,0.186805665493,-0.0513019,-431.208092653,6.6342,53,46.9066481590271,0.015648,2,0.0,1000.0,16.4511
55000,0.256590008736,-0.0507633,-422.073108274,6.55613,55,48.704469203948975,0.0162659,2,0.0,1000.0,14.1953
57000,0.109563052654,-0.0524961,-413.936588732,6.46804,57,50.50092053413391,0.0144919,2,0.0,1000.0,12.8313
59000,0.156662940979,-0.0546043,-405.253235904,6.36429,59,52.297513008117676,0.0152155,2,0.0,1000.0,12.2734
61000,0.2276943326,-0.0565824,-396.207504376,6.25842,61,54.07766628265381,0.013204,2,0.0,1000.0,12.9214
63000,0.182840704918,-0.0555706,-387.60011207,6.14677,63,55.874839067459106,0.0156596,2,0.0,1000.0,10.5039
65000,0.279266834259,-0.0612087,-376.109784361,6.07225,65,57.672417402267456,0.0173814,2,0.0,1000.0,10.35
67000,0.213043749332,-0.0601556,-366.21562834,5.95625,67,59.46892333030701,0.0165151,2,0.0,1000.0,8.68572
69000,0.245083510876,-0.0612126,-356.006751985,5.85808,69,61.26545000076294,0.0163441,2,0.0,1000.0,7.85134
71000,0.17624682188,-0.0610237,-345.472880968,5.77421,71,63.06261467933655,0.0146933,2,0.0,1000.0,9.23252
73000,0.27799487114,-0.0629064,-335.907305825,5.67713,73,64.8591845035553,0.0135416,2,0.0,1000.0,8.56868
75000,0.209587037563,-0.0584442,-325.989144123,5.59662,75,66.65695095062256,0.0163117,2,0.0,1000.0,8.32337
77000,0.477135062218,-0.0584236,-315.875970626,5.5029,77,68.45280909538269,0.0163696,2,0.0,1000.0,10.7965
79000,0.607576519251,-0.0635124,-305.645767046,5.41752,79,70.23497223854065,0.0143767,2,0.0,1000.0,14.8027
81000,-0.0448198318481,-0.0606854,-295.073378773,5.32475,81,72.0314998626709,0.0144642,2,0.0,1000.0,8.88092
83000,0.396753907204,-0.0606769,-284.561977153,5.23668,83,73.79782509803772,0.0150126,2,0.0,1000.0,10.7426
86000,0.205153048038,-0.0605596,-269.366988702,5.14654,86,75.59965658187866,0.016324,3,0.0,1000.0,9.04487
88000,0.348312437534,-0.0571159,-261.161571169,5.09955,88,77.37498569488525,0.0153302,2,0.0,1000.0,10.7716
90000,0.388140916824,-0.058755,-250.410855787,5.05942,90,79.15638470649719,0.0153016,2,0.0,1000.0,8.92747
92000,0.522275209427,-0.0643752,-240.783551155,4.95112,92,80.92196846008301,0.0174784,2,0.0,1000.0,9.72642
94000,0.187979459763,-0.0656587,-231.248922162,4.85006,94,82.71960878372192,0.0174908,2,0.0,1000.0,9.36448
96000,0.341313302517,-0.0604044,-221.257680733,4.7904,96,84.50102114677429,0.0143832,2,0.0,1000.0,10.4511
98000,0.254226088524,-0.0633956,-210.745538903,4.71231,98,86.2818865776062,0.0182579,2,0.0,1000.0,11.19
100000,0.480318486691,-0.0591998,-201.263180324,4.65299,100,88.06309413909912,0.0151503,2,0.0,1000.0,12.0743
102000,0.336542606354,-0.0631626,-183.467975028,4.59138,102,89.84399390220642,0.0191319,2,0.0,1000.0,11.7003
104000,0.289557099342,-0.057944,-164.887037216,4.50586,104,91.6100115776062,0.0190666,2,0.0,1000.0,9.66174
106000,0.231111705303,-0.0615162,-146.20277142,4.43064,106,93.40656614303589,0.0184185,2,0.0,1000.0,13.9808
108000,0.174943327904,-0.0592491,-125.473304973,4.35977,108,95.1739821434021,0.0185603,2,0.0,1000.0,12.8225
110000,0.326588094234,-0.0638659,-107.95834602,4.29872,110,96.95332980155945,0.0181139,2,0.0,1000.0,16.4621
112000,0.166927456856,-0.05895,-90.6119695381,4.23321,112,98.72010970115662,0.0167453,2,0.0,1000.0,16.1507
114000,0.790348127484,-0.0631858,-80.8973749452,4.23123,114,100.51593565940857,0.0177522,2,0.0,1000.0,10.4557
116000,0.193967700005,-0.0570963,-62.7349966185,4.14414,116,102.28243494033813,0.019793,2,0.0,1000.0,18.8385
118000,0.153388559818,-0.0567765,-43.0784526942,4.08147,118,104.06350040435791,0.0195125,2,0.0,1000.0,18.7038
120000,0.186396658421,-0.0512495,-23.0658321216,4.03789,120,105.82871294021606,0.0172769,2,0.0,1000.0,18.288
122000,0.201797246933,-0.0498885,-2.64609970249,3.95899,122,107.61083602905273,0.019318,2,0.0,1000.0,18.6315
124000,0.287692725658,-0.0468753,16.2581169333,3.90988,124,109.37518358230591,0.026752,2,0.0,1000.0,21.1825
126000,0.188588678837,-0.0527954,38.273279615,3.84232,126,111.17170262336731,0.0204742,2,0.0,1000.0,23.2034
129000,0.0785349607468,-0.0460914,68.8212538258,3.788,129,112.93798041343689,0.0209504,3,0.0,1000.0,31.0321
131000,0.13418340683,-0.0500519,89.0061842482,3.74381,131,114.73482155799866,0.0215202,2,0.0,1000.0,25.1111
133000,0.0981015563011,-0.0447361,109.79070755,3.69948,133,116.49961256980896,0.0176127,2,0.0,1000.0,24.8219
135000,0.166184663773,-0.0466233,130.040087907,3.66589,135,118.29750609397888,0.0179956,2,0.0,1000.0,27.5796
137000,0.268994033337,-0.0468636,150.736189603,3.63041,137,120.04825830459595,0.0190475,2,0.0,1000.0,26.6035
139000,0.49864423275,-0.0485599,170.510745996,3.60348,139,121.84394097328186,0.0237794,2,0.0,1000.0,31.6007
141000,0.0801741480827,-0.0467435,190.468315519,3.61547,141,123.61019444465637,0.0183251,2,0.0,1000.0,34.0429
143000,0.207135915756,-0.046298,209.376831091,3.5749,143,125.39273881912231,0.0218263,2,0.0,1000.0,34.0304
145000,0.149516820908,-0.0431544,228.908645687,3.52073,145,127.15730357170105,0.0261702,2,0.0,1000.0,35.1236
147000,0.430442512035,-0.0518159,247.242376499,3.47698,147,128.94920682907104,0.0240004,2,0.0,1000.0,35.0157
149000,0.296325325966,-0.0464515,264.654469,3.4334,149,130.71848797798157,0.0222838,2,0.0,1000.0,38.1817
151000,0.266297876835,-0.0456824,282.765351697,3.35693,151,132.49981260299683,0.0218487,2,0.0,1000.0,38.4878
153000,0.249370992184,-0.0465329,302.804054517,3.28521,153,134.26608538627625,0.0198522,2,0.0,1000.0,40.932
155000,0.151095688343,-0.0410881,323.311055352,3.27928,155,136.06261730194092,0.0201735,2,0.0,1000.0,42.5662
157000,0.307597577572,-0.0437642,343.395624112,3.28824,157,137.8435661792755,0.018884,2,0.0,1000.0,40.5848
159000,0.41964495182,-0.0388914,361.879697736,3.24135,159,139.6245756149292,0.0303639,2,0.0,1000.0,47.1496
161000,0.157196640968,-0.0408369,380.283083936,3.18638,161,141.39081525802612,0.0232845,2,0.0,1000.0,46.5919
163000,0.100697934628,-0.0403969,399.385474704,3.17159,163,143.17257714271545,0.0255292,2,0.0,1000.0,48.2432
165000,0.143709421158,-0.0397233,416.345883265,3.14448,165,144.95339179039001,0.0190438,2,0.0,1000.0,47.8576
167000,0.0636164546013,-0.0360301,432.765090813,3.12398,167,146.73438572883606,0.0239079,2,0.0,1000.0,48.7856
169000,0.094966173172,-0.0428313,450.598577094,3.06536,169,148.51558566093445,0.0227293,2,0.0,1000.0,52.3572
172000,0.118068099022,-0.0448388,475.381182723,3.05147,172,150.3133625984192,0.0223571,3,0.0,1000.0,71.3598
174000,0.411400556564,-0.0569668,490.026177026,3.00967,174,152.07922887802124,0.0225879,2,0.0,1000.0,57.3143
176000,0.138163626194,-0.0406903,506.250653522,2.94704,176,153.89147186279297,0.0206741,2,0.0,1000.0,57.298
178000,0.0847907066345,-0.0379804,523.026779049,2.9255,178,155.65675139427185,0.0200156,2,0.0,1000.0,54.9873
180000,0.137115836143,-0.0392719,538.471041718,2.88473,180,157.45426440238953,0.0267383,2,0.0,1000.0,56.7028
182000,0.162280082703,-0.0410792,553.263004938,2.85327,182,159.21830677986145,0.0239437,2,0.0,1000.0,57.699
184000,0.162963449955,-0.0435072,568.049495566,2.76684,184,161.01582050323486,0.0245787,2,0.0,1000.0,61.6243
186000,0.144289255142,-0.0426016,583.201623634,2.71616,186,162.78151512145996,0.0266223,2,0.0,1000.0,58.5998
188000,0.0893420577049,-0.0379473,599.297174284,2.69636,188,164.57045555114746,0.024136,2,0.0,1000.0,58.9792
190000,0.138848245144,-0.0383199,612.931678625,2.67233,190,166.34434413909912,0.0274906,2,0.0,1000.0,60.3285
192000,0.229519307613,-0.0380591,627.32223049,2.63889,192,168.12488436698914,0.0242154,2,0.0,1000.0,61.4247
194000,0.231337368488,-0.0386666,641.250341078,2.62451,194,169.90585088729858,0.0261375,2,0.0,1000.0,64.8031
196000,0.110207676888,-0.0419623,655.084788297,2.55362,196,171.7034773826599,0.0230396,2,0.0,1000.0,65.97
198000,0.115944445133,-0.0372137,668.006510154,2.50993,198,173.4845747947693,0.0255782,2,0.0,1000.0,62.9855
200000,0.0707660317421,-0.0367921,681.518579232,2.47004,200,175.2809579372406,0.0182127,2,0.0,1000.0,64.9663
202000,0.0568497776985,-0.0349262,695.452548436,2.4423,202,177.046888589859,0.0261927,2,0.0,1000.0,67.0219
204000,0.152893602848,-0.0390842,707.669095174,2.40827,204,178.8277816772461,0.0243727,2,0.0,1000.0,66.3169
