loss_pol_entpen,loss_vf_loss,EpThisIter,loss_ent,ev_tdlam_before,EpRewMean,EpisodesSoFar,TimeElapsed,loss_pol_surr,TimestepsSoFar,loss_kl,EpLenMean
0.0,23.4971,101,4.24029,0.0355975031853,15.1765712309,101,2.484543800354004,-0.0264504,2045,0.0132566,20.28
0.0,54.9736,88,4.2368,0.30732190609,21.4270768501,189,4.680307388305664,-0.0343024,4091,0.0169083,22.59
0.0,120.032,59,4.18814,0.272152841091,35.7037986338,248,6.9534993171691895,-0.0360039,6119,0.0153774,29.94
0.0,138.782,41,4.10934,0.156288683414,59.6081232214,289,9.285189390182495,-0.0347204,8185,0.0145141,40.94
0.0,154.566,29,4.0605,0.270176053047,85.3291188979,318,11.766965389251709,-0.0291857,10195,0.0114693,51.32
0.0,176.262,26,4.03948,0.432856678963,112.321796214,344,14.305601596832275,-0.0308924,12268,0.0116556,62.86
0.0,161.124,21,4.06113,0.632137805223,139.588787973,365,16.890170574188232,-0.0254893,14316,0.0108951,73.6
0.0,173.655,21,4.06703,0.651069790125,164.19844844,386,19.157569408416748,-0.0225836,16316,0.0103916,82.41
0.0,129.918,20,4.07718,0.800486460328,185.00321393,406,21.300038814544678,-0.0227902,18342,0.00773725,89.63
0.0,125.384,21,4.05184,0.823765069246,200.177348697,427,23.449392080307007,-0.019575,20423,0.00791692,94.64
0.0,113.794,20,4.05777,0.871049076319,216.121945172,447,25.593210220336914,-0.0231674,22517,0.0086915,99.45
0.0,77.6817,19,4.05341,0.92027913034,221.939630162,466,27.71006417274475,-0.0190763,24505,0.00708197,100.87
0.0,71.0921,19,4.05724,0.93729570508,230.645039642,485,29.834758520126343,-0.0247945,26601,0.00833816,104.03
0.0,92.504,19,4.02327,0.895288072526,235.351965343,504,32.05557417869568,-0.0283046,28640,0.0109866,105.17
0.0,77.9568,17,3.99718,0.91517675668,244.595817498,521,34.39164853096008,-0.02607,30642,0.00983243,107.93
0.0,102.925,19,4.00791,0.867922648787,251.472048635,540,36.803988456726074,-0.0254266,32750,0.0117762,109.61
0.0,62.8512,17,3.99625,0.931455850601,258.376016064,557,39.21114420890808,-0.0263956,34722,0.00780164,111.59
0.0,67.3259,18,4.00002,0.929305270314,266.453807598,575,41.74945640563965,-0.0283403,36864,0.0111547,113.95
0.0,87.4818,17,3.96902,0.917078122497,274.168183825,592,44.26524543762207,-0.0233611,38901,0.0107882,115.47
0.0,63.0592,16,3.97068,0.932895235717,286.046845135,608,46.50003170967102,-0.0247558,40947,0.0088258,118.44
0.0,57.9287,15,3.95641,0.91054507345,295.674379431,623,48.6659038066864,-0.0295113,42883,0.0110479,120.16
0.0,106.181,16,3.9919,0.88744699955,310.780546635,639,50.75018525123596,-0.0271329,45053,0.0105633,124.3
0.0,80.2081,15,3.96902,0.92916829139,324.945457796,654,52.89084577560425,-0.0267967,47080,0.0114291,127.49
0.0,139.862,15,3.94803,0.844871535897,335.216671347,669,54.994874715805054,-0.021722,49102,0.00732928,129.54
0.0,75.2645,14,3.91487,0.942161399871,348.050819268,683,57.156830072402954,-0.0255542,51061,0.0107686,132.26
0.0,66.303,15,3.88817,0.948250900954,359.864229933,698,59.2810537815094,-0.0278755,53210,0.00980306,135.42
0.0,52.1101,13,3.86536,0.960773475468,371.474316522,711,61.53074049949646,-0.0242646,55157,0.00870885,138.29
0.0,64.0567,14,3.8314,0.960390098393,381.983767028,725,63.80532717704773,-0.026152,57288,0.0104879,141.12
0.0,154.414,14,3.81895,0.910758443177,390.723809427,739,66.26532578468323,-0.0237393,59318,0.0120941,142.65
0.0,44.5749,14,3.8325,0.972615331411,399.360010625,753,68.75767064094543,-0.0247964,61425,0.00965759,145.08
0.0,57.5375,12,3.78412,0.968015085906,411.209979232,765,71.25029301643372,-0.0267482,63358,0.00885122,147.51
0.0,148.277,13,3.75094,0.920975364745,422.17905041,778,73.60931277275085,-0.0236207,65366,0.0147171,150.09
0.0,49.666,12,3.72535,0.970613244921,437.499270196,790,75.72686171531677,-0.0264972,67436,0.0115303,154.23
0.0,58.5827,13,3.68666,0.965713314712,447.139327723,803,77.86778664588928,-0.025593,69629,0.0103366,156.41
0.0,62.7975,12,3.67747,0.965986214578,454.004350072,815,79.98452687263489,-0.0295782,71611,0.0112509,158.0
0.0,53.1421,12,3.67236,0.97005077824,464.435732277,827,82.11298871040344,-0.028998,73676,0.0134391,160.71
0.0,136.413,12,3.64918,0.930716879666,476.268303552,839,84.21024227142334,-0.0238568,75716,0.0095058,163.98
0.0,44.8435,12,3.59824,0.975631646812,487.060804099,851,86.3360800743103,-0.0280213,77791,0.0122896,166.61
0.0,27.0122,11,3.54865,0.981473546475,495.513273316,862,88.56230878829956,-0.0286791,79694,0.0101764,168.71
0.0,34.7381,12,3.52306,0.979579802603,505.175946635,874,90.88322138786316,-0.0242537,81787,0.0122435,171.0
0.0,67.366,12,3.47243,0.954773634672,508.773950311,886,93.2506160736084,-0.0231258,83889,0.0117679,171.69
0.0,25.5174,12,3.43094,0.9822856877,510.460041005,898,95.67130184173584,-0.0301075,85997,0.00979464,171.73
0.0,49.6611,11,3.38998,0.977574395016,520.584637253,909,98.24510669708252,-0.0258665,87904,0.0123908,173.7
0.0,47.5562,12,3.40102,0.97498527728,522.620649904,921,100.82841801643372,-0.0245034,90047,0.00989071,174.0
0.0,21.2181,12,3.35404,0.986643733457,526.155152893,933,103.05055499076843,-0.0280585,92117,0.009132,173.66
0.0,23.1716,11,3.32165,0.990650416352,533.748828503,944,105.14733457565308,-0.0286809,94071,0.011557,174.72
0.0,16.7404,12,3.3345,0.989327709191,542.499765916,956,107.2615258693695,-0.0266056,96239,0.0113269,176.17
0.0,198.578,12,3.34077,0.932195268571,541.034372531,968,109.43729758262634,-0.0163788,98290,0.0106042,175.13
0.0,31.2402,11,3.3033,0.982895728201,544.545864737,979,111.56283116340637,-0.026857,100180,0.0130325,175.57
0.0,25.7183,12,3.29394,0.981665255502,546.652183972,991,113.68710231781006,-0.0259829,102343,0.00867826,175.58
0.0,36.8972,12,3.32401,0.979938790202,547.479072745,1003,115.81274223327637,-0.0273526,104424,0.0129744,175.59
0.0,40.2197,11,3.35112,0.981062838808,550.909169125,1014,118.09627866744995,-0.0245304,106425,0.0107502,176.0
0.0,38.3961,11,3.32325,0.984519036487,552.456688298,1025,120.4138765335083,-0.0281443,108350,0.0118975,175.98
0.0,196.276,12,3.29553,0.930852882564,552.495001689,1037,122.78466749191284,-0.0192025,110423,0.0119357,176.31
0.0,26.6282,12,3.26342,0.985571233556,552.772049724,1049,125.19621706008911,-0.0248199,112593,0.0102327,176.44
0.0,18.0439,11,3.2032,0.989768411964,557.120224944,1060,127.68135905265808,-0.0245232,114637,0.0163668,177.6
0.0,31.6189,12,3.19876,0.986457818188,558.852998929,1072,130.21827793121338,-0.0239962,116719,0.00864396,178.06
0.0,16.2007,11,3.20441,0.991195024922,560.696140499,1083,132.5791175365448,-0.026824,118751,0.0122632,178.46
0.0,24.1807,11,3.21471,0.98970226571,559.291006366,1094,134.79384303092957,-0.0226775,120723,0.0137968,178.28
0.0,17.2622,11,3.21524,0.993751051836,563.546821454,1105,136.86025738716125,-0.025417,122701,0.0172041,178.88
0.0,26.4783,12,3.20684,0.990176057443,563.052335911,1117,139.01897954940796,-0.0265293,124869,0.0121143,178.74
0.0,26.6533,11,3.20521,0.989737144671,564.71212861,1128,141.16284847259521,-0.0219724,126847,0.00872307,179.3
0.0,37.5182,11,3.19143,0.986464029178,570.458354647,1139,143.35177969932556,-0.0291738,128845,0.0129172,180.69
0.0,7.80193,12,3.23764,0.996302574174,573.750763214,1151,145.4926300048828,-0.0269235,131070,0.0117923,181.33
0.0,10.4501,11,3.22908,0.996239648433,574.93879561,1162,147.89339566230774,-0.026403,133111,0.014111,181.47
0.0,11.982,11,3.24317,0.994906167034,578.592253999,1173,150.2723469734192,-0.0261044,135104,0.00935349,182.09
0.0,13.7908,11,3.24018,0.994487258606,579.038946392,1184,152.72663378715515,-0.0250949,137138,0.00925703,181.9
0.0,14.8549,11,3.24569,0.993582482915,582.212755061,1195,155.28411889076233,-0.0269668,139139,0.0105716,182.43
0.0,8.88558,11,3.23499,0.996211465215,583.590261303,1206,157.79698538780212,-0.0284434,141151,0.0129338,182.58
0.0,6.61003,12,3.23001,0.997403434711,586.567648599,1218,160.39695501327515,-0.0270561,143337,0.00981805,182.7
0.0,11.4839,11,3.22333,0.994532427751,588.34297469,1229,162.65893149375916,-0.0282329,145315,0.0158448,182.65
0.0,5.64979,11,3.204,0.997209319612,592.191306131,1240,164.80490493774414,-0.0310322,147328,0.00957854,183.03
0.0,8.37263,11,3.17584,0.996249239193,592.409110398,1251,166.93024039268494,-0.024277,149366,0.0119181,182.96
0.0,11.3993,12,3.18686,0.993127856869,589.818300379,1263,169.01580166816711,-0.0246452,151469,0.00954736,181.73
0.0,8.94369,11,3.20213,0.996526093921,593.737768627,1274,171.1102113723755,-0.0264238,153549,0.0125289,182.75
0.0,7.56007,11,3.20574,0.99567490397,594.874413124,1285,173.23415756225586,-0.0322675,155601,0.0106628,182.71
0.0,171.64,11,3.20268,0.936879895627,593.602251741,1296,175.39061880111694,-0.0148708,157567,0.0123811,182.45
0.0,20.5426,11,3.21221,0.984607361257,592.754101325,1307,177.54635047912598,-0.0217096,159551,0.0137877,182.13
0.0,14.1922,11,3.16177,0.994753113482,593.240058541,1318,179.80514192581177,-0.028708,161622,0.0167717,182.85
0.0,9.82744,11,3.14969,0.996545081725,595.343993797,1329,182.09345865249634,-0.0295238,163691,0.0122174,183.76
0.0,8.85241,11,3.14766,0.99529258674,596.663748616,1340,184.57793426513672,-0.0279316,165787,0.011342,184.59
0.0,14.9012,11,3.1599,0.994666075334,597.967689442,1351,187.07038736343384,-0.0299871,167858,0.0117528,184.92
0.0,9.93222,11,3.15154,0.996449792059,603.949444767,1362,189.60954689979553,-0.0244303,169982,0.00891526,186.81
0.0,13.4332,10,3.15634,0.994914550334,604.48088959,1372,192.00660920143127,-0.0290089,171875,0.0146212,187.22
0.0,8.28268,11,3.12767,0.996949926484,606.378767834,1383,194.10489416122437,-0.0258773,173984,0.0110856,187.8
0.0,25.8059,11,3.1304,0.991613356397,611.484883365,1394,196.2207612991333,-0.0244059,176119,0.0115882,189.42
