EpThisIter,loss_vf_loss,loss_pol_entpen,TimestepsSoFar,EpRewMean,TimeElapsed,loss_pol_surr,EpisodesSoFar,loss_ent,loss_kl,EpLenMean,ev_tdlam_before
99,38.3901,0.0,2037,17.624329254,2.4532485008239746,-0.0271148,99,4.21294,0.0115924,20.5757575758,0.0161345005035
77,70.7218,0.0,4062,24.3771469742,4.644425630569458,-0.0356588,176,4.188,0.0194299,24.93,0.368679285049
56,121.253,0.0,6131,38.6135760135,6.772974252700806,-0.0348929,232,4.14855,0.0160397,32.18,0.308268606663
43,180.729,0.0,8190,61.2531486617,8.961599826812744,-0.0278107,275,4.12871,0.0103972,41.7,0.134594082832
33,162.884,0.0,10189,79.8989969974,11.078967809677124,-0.030827,308,4.11534,0.0109855,49.88,0.0804162621498
29,173.991,0.0,12261,103.408266363,13.211934804916382,-0.0323851,337,4.10004,0.0119248,60.12,0.249381005764
26,200.212,0.0,14247,121.401376212,15.34412431716919,-0.0271461,363,4.0907,0.00908686,67.49,0.403073370457
21,140.362,0.0,16364,144.604213631,17.566641569137573,-0.0227515,384,4.07194,0.00851443,77.34,0.673467427492
19,127.347,0.0,18409,164.057954711,20.02085566520691,-0.0240518,403,4.08023,0.00657948,85.5,0.746911734343
19,103.606,0.0,20425,183.259381379,22.334079027175903,-0.021553,422,4.0583,0.00884632,93.13,0.80709156394
21,177.879,0.0,22490,193.890781397,24.711594820022583,-0.0240302,443,4.05793,0.0105445,97.31,0.738518595695
20,98.1801,0.0,24562,210.379547753,27.156575918197632,-0.0244383,463,4.00235,0.00919953,103.15,0.836307018995
19,59.3865,0.0,26604,218.087586583,29.66551971435547,-0.0262912,482,3.99786,0.0085757,104.63,0.920923449099
19,52.0263,0.0,28649,223.220264346,32.20375680923462,-0.0258861,501,4.01785,0.0107115,104.54,0.946604732424
18,62.1687,0.0,30622,228.432277801,34.758840560913086,-0.0288121,519,4.01845,0.0103482,105.22,0.93175727129
18,68.5463,0.0,32689,237.647433448,37.12469983100891,-0.0269896,537,4.01453,0.0100823,107.62,0.900167651474
16,65.9513,0.0,34704,252.655572137,39.25839114189148,-0.02913,553,4.01744,0.0126462,112.14,0.920945212245
18,59.3814,0.0,36819,260.246662474,41.39096999168396,-0.0226532,571,3.99601,0.0104364,113.96,0.91539324075
17,66.4206,0.0,38905,270.208723559,43.50376868247986,-0.0217799,588,3.96017,0.0106473,116.49,0.904535740614
16,50.3471,0.0,40938,280.775289416,45.5867338180542,-0.0227311,604,3.97375,0.00925503,119.61,0.948108192533
16,27.5432,0.0,42981,289.596210864,47.68733763694763,-0.0258254,620,3.96695,0.0092415,122.28,0.965456549078
16,50.1154,0.0,45026,297.984405304,49.837040185928345,-0.0216495,636,3.95823,0.00722793,124.24,0.958447411656
16,36.4225,0.0,47051,302.168532553,51.951943159103394,-0.025016,652,3.952,0.0101253,124.54,0.93078943342
16,26.7149,0.0,49133,309.504390563,54.07816791534424,-0.0272365,668,3.938,0.0128945,126.24,0.971200335771
15,35.5049,0.0,51103,315.947412258,56.16469860076904,-0.0281171,683,3.90619,0.0104399,127.74,0.965592052788
17,96.2207,0.0,53240,320.421917073,58.33571529388428,-0.0197372,700,3.90832,0.00839383,128.27,0.935725830495
14,44.2718,0.0,55260,330.169857922,60.633429527282715,-0.0253908,714,3.91458,0.010659,130.48,0.962035596371
13,156.693,0.0,57179,340.464743809,62.975135803222656,-0.0244227,727,3.89442,0.00894539,132.85,0.897488333285
