EpisodesSoFar,TimestepsSoFar,loss_vf_loss,EpLenMean,EpRewMean,loss_pol_surr,TimeElapsed,loss_kl,loss_pol_entpen,EpThisIter,ev_tdlam_before,loss_ent
109,2025,31.6299,18.44,15.072035304,-0.0315003,2.9182186126708984,0.0143027,0.0,109,0.0080583691597,4.20023
191,4094,75.3095,24.03,25.399038654,-0.0388373,5.55276083946228,0.0196122,0.0,82,0.323601007462,4.15935
248,6128,146.174,31.31,41.1505523267,-0.038071,8.152825832366943,0.0164637,0.0,57,0.306714713573,4.13386
285,8189,205.293,42.27,66.0740333957,-0.0354064,10.46837568283081,0.0123596,0.0,37,0.169731676579,4.10673
315,10187,224.015,53.76,93.0502650501,-0.0314657,12.589576244354248,0.0114407,0.0,30,0.133513152599,4.10191
342,12238,209.14,63.13,116.166040909,-0.0252483,14.730441331863403,0.00820453,0.0,27,0.262199997902,4.10707
367,14324,207.738,72.26,140.163038033,-0.0220705,16.903400421142578,0.0104981,0.0,25,0.524032443762,4.06879
392,16331,193.14,76.07,151.900292324,-0.0272167,19.058282136917114,0.011939,0.0,25,0.598904877901,4.07849
413,18334,121.194,83.18,171.125843442,-0.0252574,21.20020627975464,0.00940851,0.0,21,0.799320235848,4.08131
433,20463,133.091,88.99,187.48282688,-0.0228135,23.29991841316223,0.0102469,0.0,20,0.85662907362,4.07134
454,22500,145.593,91.73,198.44608983,-0.0245121,25.45701313018799,0.0102913,0.0,21,0.797964259982,4.09665
472,24471,145.018,96.78,214.732497715,-0.0237051,27.60509943962097,0.0100329,0.0,18,0.846689492464,4.08106
489,26586,123.032,104.91,239.032624599,-0.0281942,29.76177740097046,0.0121457,0.0,17,0.848603114486,4.05801
505,28542,128.167,109.94,253.824851886,-0.025924,31.90397548675537,0.00922222,0.0,16,0.852533355355,4.03483
522,30672,146.182,113.67,265.918470151,-0.0258658,34.138834714889526,0.00641168,0.0,17,0.845934331417,4.05064
538,32655,203.605,117.32,279.076716184,-0.0202151,36.49044179916382,0.00849341,0.0,16,0.829723626375,4.04546
554,34764,159.595,122.64,297.001517046,-0.0262849,38.832183599472046,0.00963115,0.0,16,0.861059993505,4.00197
569,36813,116.868,127.3,312.881163282,-0.0220114,41.22150468826294,0.00955959,0.0,15,0.913323052227,4.03075
583,38821,121.066,129.73,324.596262468,-0.0233806,43.64871335029602,0.00801085,0.0,14,0.912143833935,4.02513
597,40840,140.591,132.56,337.179847454,-0.0265243,46.10511755943298,0.00916181,0.0,14,0.874236032367,4.01002
611,42875,118.902,135.89,351.073400649,-0.0216592,48.60559678077698,0.00775647,0.0,14,0.883369386196,3.99598
626,45024,139.691,138.23,363.55272187,-0.0283118,51.23345613479614,0.0141308,0.0,15,0.895757414401,3.96614
639,46967,103.125,141.75,378.40606678,-0.0249236,53.73403978347778,0.00818439,0.0,13,0.933236375451,3.98685
653,49068,82.2493,144.4,390.914660643,-0.0254504,55.88619136810303,0.0097197,0.0,14,0.951041594148,3.94879
665,51162,116.18,148.95,410.85021749,-0.0232201,57.99850106239319,0.00862519,0.0,12,0.944226510823,3.90245
677,53120,113.466,151.14,421.464378002,-0.0245033,60.11209034919739,0.00755838,0.0,12,0.940252833068,3.8499
688,55194,110.789,156.83,444.936605468,-0.0215118,62.28409171104431,0.00877594,0.0,11,0.959934469312,3.84439
699,57244,113.173,160.58,461.467542872,-0.0259708,64.36334037780762,0.00849517,0.0,11,0.952380817384,3.79092
710,59160,94.4498,164.33,478.196107247,-0.0231689,66.48901104927063,0.00794492,0.0,11,0.963749177754,3.74963
721,61331,110.417,170.27,501.694312097,-0.0281294,68.5898129940033,0.010319,0.0,11,0.95401192084,3.71034
734,63386,87.8744,171.3,508.790206258,-0.0229828,70.73826789855957,0.00923659,0.0,13,0.962141241878,3.69276
746,65477,117.125,174.21,521.708646738,-0.0245707,72.87782669067383,0.0108853,0.0,12,0.949016027153,3.69467
756,67380,118.998,177.37,534.350314536,-0.0274339,74.97308945655823,0.00890795,0.0,10,0.946463935077,3.68015
766,69507,96.2167,181.9,549.930677497,-0.0236697,77.16072106361389,0.00876302,0.0,10,0.95942427218,3.65968
776,71552,122.924,186.06,565.532769649,-0.0279413,79.43317222595215,0.00823351,0.0,10,0.952260322869,3.64531
786,73689,98.3915,188.32,575.251643873,-0.0292869,81.78536653518677,0.010601,0.0,10,0.959554202855,3.61256
793,75523,62.4949,194.4,594.639194242,-0.0242888,84.09367823600769,0.00849964,0.0,7,0.964038502425,3.58772
802,77664,63.2048,198.88,612.505177452,-0.0262365,86.50560212135315,0.0108514,0.0,9,0.968224596232,3.58284
811,79758,49.5597,203.19,628.891197627,-0.024417,88.91875219345093,0.00987115,0.0,9,0.978541335091,3.55267
820,81889,51.4416,207.82,647.976943229,-0.025895,91.41378688812256,0.00748649,0.0,9,0.977782029659,3.5424
829,83945,49.8419,213.15,668.702595996,-0.0264194,93.94903182983398,0.00963017,0.0,9,0.974260516465,3.53667
839,85888,42.2708,216.48,683.216894155,-0.0243625,96.52780079841614,0.0117107,0.0,10,0.981763007119,3.53626
848,87900,60.9999,220.84,701.186838889,-0.0249498,98.9023494720459,0.0107046,0.0,9,0.966499783099,3.51108
857,89975,32.1058,223.63,711.836011457,-0.0227862,101.01180076599121,0.0102061,0.0,9,0.984582094476,3.51097
867,92055,44.4812,222.97,711.844476559,-0.0275413,103.13695669174194,0.0100615,0.0,10,0.983428303152,3.48687
875,94005,40.3671,226.76,726.536598363,-0.0271151,105.26524424552917,0.0108999,0.0,8,0.981018379331,3.47394
885,96204,22.1647,227.2,729.699852242,-0.0269157,107.44189453125,0.00961805,0.0,10,0.990655156784,3.46781
893,98120,22.3269,225.97,730.039807867,-0.0247115,109.5113615989685,0.00774203,0.0,8,0.991966785863,3.43183
902,100337,25.2264,226.73,731.822251936,-0.0234428,111.63580179214478,0.00957256,0.0,9,0.989726928063,3.42071
909,102188,18.3991,229.38,742.573967755,-0.0227513,113.77012133598328,0.00844927,0.0,7,0.991871995851,3.43019
917,104250,21.5666,231.08,747.766786681,-0.0275094,116.01002025604248,0.0105323,0.0,8,0.988047152758,3.40894
925,106326,18.9136,233.84,756.467092858,-0.0266029,118.11179828643799,0.011357,0.0,8,0.988551320508,3.40296
933,108368,20.0863,236.55,764.497192257,-0.0297364,120.21487021446228,0.00984402,0.0,8,0.992305785418,3.36602
942,110529,22.9309,240.88,779.871740162,-0.0249913,122.54256272315979,0.0117342,0.0,9,0.989508428611,3.37725
949,112367,17.8355,241.89,783.167505501,-0.0274999,124.83953213691711,0.0113023,0.0,7,0.992706639227,3.32294
957,114648,16.6553,246.73,798.246071138,-0.0269435,127.18354368209839,0.0101035,0.0,8,0.988633543253,3.29557
964,116554,17.8276,250.61,810.406669418,-0.0273463,129.45061349868774,0.00938367,0.0,7,0.992847646587,3.28347
971,118461,16.6685,254.37,823.090744282,-0.0283696,131.887065410614,0.0142083,0.0,7,0.993805522099,3.25392
979,120756,18.8254,258.16,836.733080625,-0.0273855,134.31477522850037,0.0097675,0.0,8,0.994093793444,3.23641
986,122707,10.1345,262.98,852.17314362,-0.0249955,136.8129003047943,0.0133106,0.0,7,0.99579172302,3.22881
993,124899,14.9505,267.79,866.08494188,-0.0279925,139.34763526916504,0.00851172,0.0,7,0.99340276001,3.23695
1000,126954,13.3725,271.08,876.378800227,-0.0325304,141.8559079170227,0.0122063,0.0,7,0.993081334513,3.21451
1006,128786,13.0433,274.08,886.906684461,-0.028743,144.29929542541504,0.0108397,0.0,6,0.991698328406,3.21421
1012,130731,14.5719,277.72,898.830406331,-0.0273497,146.41088199615479,0.0131075,0.0,6,0.994302367326,3.19542
1018,132873,13.4796,283.95,918.485245644,-0.0267574,148.58295845985413,0.0087569,0.0,6,0.994143841323,3.17232
1026,135163,7.64375,285.56,924.101080288,-0.0301721,150.68689370155334,0.00996783,0.0,8,0.996863519307,3.16933
1032,137147,11.4774,290.5,941.66453624,-0.0283119,152.78500652313232,0.0108117,0.0,6,0.995402165223,3.13667
1039,139227,13.0742,294.26,954.137529131,-0.0305568,154.8796410560608,0.0108606,0.0,7,0.996221309295,3.10776
1046,141184,11.1801,295.02,958.714413441,-0.0266537,157.02756142616272,0.0106231,0.0,7,0.995707099792,3.08931
1052,143333,17.5218,301.42,980.287573518,-0.0300888,159.15377855300903,0.00978259,0.0,6,0.993002404924,3.10126
