loss_kl,EpRewMean,loss_vf_loss,loss_ent,loss_pol_entpen,EpisodesSoFar,EpThisIter,loss_pol_surr,EpLenMean,TimeElapsed,TimestepsSoFar,ev_tdlam_before
0.011979,16.4111222339,25.2278,4.20868,0.0,100,100,-0.0259166,20.38,2.658059597015381,2038,0.0131684541702
0.023203,23.2555622096,51.4976,4.15872,0.0,184,84,-0.0401406,24.52,5.018402814865112,4083,0.366283595562
0.0157487,37.1844018747,154.592,4.13164,0.0,241,57,-0.0351438,29.68,7.3598456382751465,6112,0.281246900558
0.0105484,64.8725918895,199.057,4.12493,0.0,276,35,-0.0293174,41.88,9.69065809249878,8147,0.0498925447464
0.0116502,91.2268729795,261.341,4.11436,0.0,305,29,-0.0305271,52.95,12.180046081542969,10226,0.128688573837
0.00828861,121.597270174,213.266,4.10815,0.0,329,24,-0.0201916,64.66,14.65633225440979,12251,0.348675072193
0.00751788,150.745313004,194.354,4.10132,0.0,351,22,-0.0200705,75.85,17.1421537399292,14315,0.663094073534
0.00924261,171.928611685,239.885,4.0821,0.0,374,23,-0.0276249,83.15,19.625559091567993,16305,0.560328722
0.00919134,188.504285897,200.72,4.05349,0.0,396,22,-0.0217794,88.17,22.174190521240234,18374,0.717009067535
0.00833389,203.750327671,127.739,4.03979,0.0,416,20,-0.0196092,93.47,24.70352029800415,20446,0.855911955237
0.00704547,210.912544763,154.708,4.03958,0.0,436,20,-0.0219703,95.24,26.877994298934937,22426,0.79386587441
0.0135602,220.782642186,129.028,4.02476,0.0,457,21,-0.0289206,98.37,28.986736536026,24549,0.818317949772
0.0084383,230.459780763,145.919,3.98988,0.0,475,18,-0.0261925,101.87,31.07206916809082,26583,0.826762959361
0.00932617,241.425836054,141.054,3.95618,0.0,492,17,-0.0229913,105.58,33.18718481063843,28553,0.848016753793
0.00951937,251.728337315,91.1528,3.92727,0.0,509,17,-0.0236194,109.16,35.31247544288635,30632,0.920570738614
0.00765784,261.677400749,100.882,3.91086,0.0,527,18,-0.0212386,112.41,37.46026563644409,32755,0.873164474964
0.0102034,272.948267537,103.837,3.925,0.0,543,16,-0.0243674,115.33,39.539791107177734,34713,0.89551077038
0.013998,288.017852031,101.854,3.9188,0.0,559,16,-0.028175,120.34,41.6403694152832,36838,0.893698006868
0.00837751,295.435974552,84.3894,3.90608,0.0,574,15,-0.0248569,122.43,43.71855092048645,38783,0.932183153927
0.0112591,310.986513155,107.317,3.89206,0.0,589,15,-0.0245767,126.95,45.837740659713745,40881,0.910259097815
0.0112606,327.229035691,174.488,3.84449,0.0,603,14,-0.0289254,130.8,47.984745264053345,42963,0.856234371662
0.00896149,346.159206559,119.638,3.84245,0.0,616,13,-0.0277757,135.96,50.094266176223755,45001,0.919321104884
0.0107001,359.361388306,163.7,3.80239,0.0,630,14,-0.0261301,138.5,52.34408521652222,47006,0.887241490185
0.00930726,376.412910825,175.171,3.76791,0.0,644,14,-0.024351,142.53,54.62486910820007,49102,0.890437632799
0.0101293,393.897600636,131.066,3.71589,0.0,657,13,-0.0253963,146.12,56.952930212020874,51165,0.932718224823
0.00864808,411.050369318,121.845,3.66197,0.0,669,12,-0.0251063,149.58,59.25019359588623,53117,0.933523274958
0.00834952,431.061030656,117.351,3.63225,0.0,682,13,-0.0241239,153.5,61.68792366981506,55285,0.946464926004
0.00921081,455.271022598,130.208,3.6138,0.0,692,10,-0.0256213,158.84,64.09658741950989,57176,0.946346070617
0.00729958,471.318893939,97.8125,3.62111,0.0,704,12,-0.023212,162.63,66.54656171798706,59363,0.952679850161
0.0117069,477.314253637,206.482,3.63792,0.0,716,12,-0.0176753,163.08,69.04726815223694,61309,0.905711971223
0.00955171,496.547808109,88.9898,3.65099,0.0,727,11,-0.0260664,167.68,71.61316776275635,63301,0.962039634585
0.0111915,510.03744114,88.6039,3.62484,0.0,740,13,-0.0223129,170.95,74.08606338500977,65535,0.964777007699
0.00859127,510.506222293,78.1404,3.60554,0.0,752,12,-0.0229201,170.83,76.29649090766907,67513,0.96403894946
0.00867483,521.402326664,91.702,3.58101,0.0,763,11,-0.0252478,173.43,78.39744663238525,69544,0.95300129801
0.0112989,535.990649497,101.931,3.52577,0.0,774,11,-0.0331729,176.86,80.50807642936707,71670,0.9549735412
0.010982,546.299083938,65.7392,3.51928,0.0,784,10,-0.0245118,179.58,82.61659121513367,73611,0.96743767336
0.009834,552.599413012,64.5375,3.49316,0.0,794,10,-0.0277655,181.33,84.67956852912903,75641,0.964361038059
0.00973698,556.169649134,50.0731,3.48926,0.0,805,11,-0.0253349,182.13,86.8037223815918,77729,0.973116701469
0.00812541,572.04784536,50.7902,3.48397,0.0,815,10,-0.024425,186.36,88.91516280174255,79809,0.979921707883
0.0166607,575.286416962,193.698,3.47881,0.0,826,11,-0.0232871,186.89,91.06233668327332,81804,0.9314583987
0.0087699,586.219411822,51.1158,3.45245,0.0,836,10,-0.0258058,190.05,93.14110469818115,83870,0.97425709106
0.00844423,599.693677593,40.1345,3.4438,0.0,846,10,-0.0223968,193.36,95.2189679145813,85873,0.984825843014
0.00860314,611.559358031,50.5874,3.43656,0.0,857,11,-0.0217336,196.18,97.85229682922363,88023,0.978382429108
0.00962152,615.437964575,36.5349,3.43189,0.0,867,10,-0.0209632,197.46,100.01534748077393,90110,0.981785664335
0.00829199,620.963227297,33.566,3.40345,0.0,877,10,-0.0282059,198.56,102.3126904964447,92131,0.987353146076
0.00891382,626.602551043,23.5538,3.37391,0.0,886,9,-0.0292453,199.91,104.55533194541931,94045,0.989762252197
0.0107223,628.200178359,33.7793,3.31113,0.0,897,11,-0.0270606,199.65,106.8452537059784,96229,0.986076017842
0.0115133,628.473090155,55.2883,3.29742,0.0,908,11,-0.0283935,199.5,109.14292740821838,98268,0.974442351609
0.00882294,628.9833568,18.5802,3.27013,0.0,917,9,-0.0261747,199.59,111.70600771903992,100179,0.988758852705
0.0111419,637.331703309,29.2117,3.25877,0.0,927,10,-0.0255303,201.74,114.22837495803833,102185,0.987338464707
0.0143437,642.412112608,28.8791,3.27104,0.0,936,9,-0.0304597,203.39,116.64108467102051,104209,0.985063409433
0.0125342,654.479999619,37.8212,3.26723,0.0,945,9,-0.0262143,207.09,119.10522866249084,106415,0.984505178407
0.0086439,664.166337339,19.8017,3.26299,0.0,954,9,-0.0279589,210.17,121.64792776107788,108426,0.990813331679
0.0085049,674.762738957,33.8729,3.25756,0.0,963,9,-0.0234263,213.04,124.1957631111145,110570,0.98596282769
0.0111523,687.240095946,13.3554,3.24291,0.0,971,8,-0.0279677,216.52,126.35995769500732,112504,0.993996707257
0.0134294,687.171855244,36.2736,3.21163,0.0,980,9,-0.0266761,217.28,128.46887493133545,114562,0.979334807023
0.0107795,690.572207292,53.5067,3.19855,0.0,989,9,-0.0292632,219.5,130.5475618839264,116668,0.979146623984
0.0120702,710.28484349,21.5099,3.17509,0.0,997,8,-0.0284164,225.47,132.6897485256195,118776,0.98985800799
0.0108182,730.196458574,15.4174,3.16135,0.0,1004,7,-0.0305962,231.28,134.79683113098145,120696,0.990529180504
0.0113925,753.262158755,16.3595,3.15957,0.0,1012,8,-0.0277408,238.33,136.90619277954102,122851,0.992555614561
0.0106682,762.238223451,14.6727,3.16218,0.0,1020,8,-0.0268205,240.97,138.9851770401001,124914,0.994659286458
0.00903182,777.276231201,14.1527,3.17931,0.0,1028,8,-0.0225605,245.37,141.06261658668518,126947,0.991696514189
0.0103184,783.708025443,12.0705,3.1344,0.0,1036,8,-0.0267436,246.5,143.15624022483826,128859,0.996057726908
0.0121345,792.457498869,15.037,3.11886,0.0,1044,8,-0.0274943,248.77,145.28125762939453,131046,0.994661634788
0.0115418,808.91870638,25.0622,3.06719,0.0,1051,7,-0.0252465,253.8,147.39859104156494,133070,0.988919992931
0.00998108,814.459966458,10.5689,3.04722,0.0,1058,7,-0.0277913,255.65,149.55761575698853,134986,0.995360272937
0.0120151,829.888463391,14.4799,3.01533,0.0,1065,7,-0.0279046,260.54,151.82780194282532,137016,0.99464000389
0.00902632,838.235939202,12.1951,2.98238,0.0,1072,7,-0.0256903,262.93,154.1264820098877,139011,0.992765127681
0.0119128,853.622025166,9.78658,2.97452,0.0,1080,8,-0.025901,266.25,156.48503398895264,141187,0.996326347115
0.0123372,865.040285714,15.4503,2.97665,0.0,1088,8,-0.0260364,268.33,158.799644947052,143282,0.993271214887
0.0106348,873.113509375,11.8783,2.98972,0.0,1095,7,-0.0352482,270.68,161.2267439365387,145298,0.994345052633
0.011915,873.837098026,8.48178,2.98247,0.0,1103,8,-0.0240585,270.04,163.61818766593933,147410,0.996556663653
0.0125596,881.604307707,11.7958,2.96696,0.0,1110,7,-0.0294012,271.57,166.10991406440735,149461,0.992288967595
0.0124822,889.115470934,29.9345,2.93813,0.0,1117,7,-0.0217277,273.47,168.6567828655243,151505,0.985663089901
0.0156734,891.627064712,16.3009,2.92589,0.0,1125,8,-0.0293421,273.96,171.19628620147705,153562,0.992651044857
0.00918269,899.513563864,9.26033,2.91039,0.0,1132,7,-0.0286576,275.65,173.52275919914246,155459,0.995898076333
0.0119195,910.032407883,12.2319,2.90433,0.0,1139,7,-0.0313409,278.49,175.61753010749817,157596,0.994637477212
0.0143776,910.850086895,9.30921,2.89644,0.0,1147,8,-0.026672,278.08,177.74711084365845,159716,0.995345525909
0.0115057,916.264818073,20.5075,2.89919,0.0,1153,6,-0.0279362,279.16,179.86536049842834,161511,0.992956430651
0.0146476,928.395214996,8.95766,2.8518,0.0,1159,6,-0.0284676,281.98,181.96058893203735,163455,0.995973040815
0.0122924,934.411536662,6.85929,2.81396,0.0,1166,7,-0.0289046,282.7,184.04030871391296,165601,0.99703687639
0.0111462,935.666734598,13.0462,2.80084,0.0,1174,8,-0.0271851,282.73,186.1577959060669,167843,0.995584285818
0.0120088,953.341477073,6.26429,2.77194,0.0,1180,6,-0.0295679,287.47,188.2537727355957,169934,0.997235435294
0.0131904,968.903933724,6.69158,2.77743,0.0,1185,5,-0.029947,292.19,190.3939311504364,171730,0.995990957599
0.0140183,981.255866125,13.1721,2.76153,0.0,1192,7,-0.0270073,295.54,192.4459581375122,173962,0.994333837647
0.0145958,993.663167479,10.7533,2.72643,0.0,1198,6,-0.0276246,298.56,194.5411536693573,175935,0.994112450629
0.0165762,1009.68969878,6.20534,2.67697,0.0,1204,6,-0.0318446,303.26,196.65663146972656,178054,0.997916761786
0.0101826,1028.86157588,6.96093,2.63533,0.0,1209,5,-0.0292306,308.79,198.8312633037567,179953,0.997733321507
