EpRewMean,EpLenMean,EpisodesSoFar,loss_pol_entpen,loss_ent,EpThisIter,loss_pol_surr,loss_vf_loss,TimestepsSoFar,ev_tdlam_before,loss_kl,TimeElapsed
12.5739637117,17.31,118,0.0,4.23346,118,-0.0222393,13.7334,2038,-0.0456627607346,0.0114936,2.7122790813446045
19.9346056939,22.36,206,0.0,4.16754,88,-0.0383199,37.5073,4054,0.383709847927,0.0194229,5.031426191329956
42.4935168633,34.28,251,0.0,4.15935,45,-0.036754,118.578,6124,0.238008499146,0.0152143,7.36799955368042
66.8152048724,45.59,288,0.0,4.12894,37,-0.0333998,181.963,8185,0.197670102119,0.0134898,9.790392875671387
95.2429920654,57.26,315,0.0,4.08769,27,-0.0271683,224.254,10188,0.0683240294456,0.0120625,12.305608987808228
118.400128336,65.31,340,0.0,4.10143,25,-0.026262,228.026,12215,0.21423459053,0.00972029,14.806951761245728
144.583142226,74.03,363,0.0,4.08732,23,-0.0221407,202.561,14283,0.530728727579,0.00712808,17.242756605148315
167.783058512,82.33,385,0.0,4.09368,22,-0.0255537,181.707,16315,0.669008851051,0.00809981,19.8082115650177
185.516305041,88.36,406,0.0,4.08692,21,-0.0247353,132.334,18383,0.815570414066,0.00808949,22.377386569976807
198.908797542,93.23,427,0.0,4.0808,21,-0.0245898,129.569,20448,0.824146613479,0.00939509,24.953742742538452
204.879444612,94.91,448,0.0,4.10263,21,-0.0222175,117.518,22455,0.842254534364,0.00854938,27.094438552856445
211.48726194,96.84,469,0.0,4.09494,21,-0.0209776,111.256,24483,0.871205836535,0.00953161,29.188262462615967
214.165067089,97.48,490,0.0,4.08606,21,-0.0219181,95.3416,26551,0.896704532206,0.0116696,31.3517484664917
221.909476075,98.99,509,0.0,4.07781,19,-0.0243469,64.9644,28577,0.946603924036,0.0117921,33.48473763465881
226.70995593,99.64,530,0.0,4.08575,21,-0.0253208,96.7459,30706,0.907826311886,0.0112869,35.65643072128296
240.011837941,103.44,546,0.0,4.07949,16,-0.0274276,88.7894,32642,0.885690920055,0.010049,37.75079107284546
257.754243724,108.78,563,0.0,4.05932,17,-0.0287053,101.25,34756,0.87573428452,0.0103831,39.893845558166504
277.267799096,114.16,578,0.0,4.0685,15,-0.0296221,88.6194,36753,0.895111806691,0.0135755,42.00827431678772
290.234254028,117.31,595,0.0,4.02391,17,-0.0278913,137.336,38848,0.870245993137,0.012568,44.14127969741821
308.23312824,121.51,611,0.0,3.98457,16,-0.0249707,84.6569,40921,0.945301901549,0.0114513,46.27127456665039
326.949094259,126.39,627,0.0,3.95442,16,-0.0296593,118.903,42997,0.908195853233,0.0106429,48.39852786064148
337.500014414,128.37,642,0.0,3.93422,15,-0.0270346,116.061,45003,0.905376665294,0.0138949,50.60127329826355
352.670977317,131.86,656,0.0,3.92315,14,-0.0237297,87.1421,47046,0.949053518474,0.0104482,52.88373565673828
362.773532773,133.98,670,0.0,3.90369,14,-0.0284112,75.7527,49081,0.936481304467,0.0102126,55.23739719390869
374.189433105,136.36,684,0.0,3.87302,14,-0.0269769,81.559,51145,0.950385563076,0.00807917,57.55904722213745
388.685311563,140.16,698,0.0,3.87211,14,-0.0270996,81.272,53245,0.951522417367,0.0103257,59.91064476966858
401.314462593,143.51,711,0.0,3.86949,13,-0.0233536,86.6987,55272,0.955837182701,0.00828052,62.304707288742065
415.015893267,146.99,724,0.0,3.82655,13,-0.0275225,153.428,57255,0.907678350806,0.00993514,64.76634097099304
427.711111972,150.25,736,0.0,3.827,12,-0.0260243,102.23,59264,0.939428050071,0.00794212,67.21912884712219
438.239599949,152.57,749,0.0,3.81472,13,-0.0241544,84.8973,61318,0.954903881997,0.00918783,69.78446102142334
452.035130894,156.35,761,0.0,3.80519,12,-0.0255443,74.8668,63366,0.951146598905,0.00809187,72.26644206047058
458.69504399,157.98,774,0.0,3.81571,13,-0.0269221,116.794,65482,0.93982456997,0.0105577,74.76999282836914
470.005394349,160.43,786,0.0,3.83141,12,-0.0242618,100.13,67517,0.893037751317,0.00959372,76.93006658554077
483.368873398,163.78,798,0.0,3.82795,12,-0.0249382,52.5219,69623,0.965952917933,0.00984392,79.0553240776062
486.673375964,164.95,810,0.0,3.83463,12,-0.0229429,71.9049,71582,0.957380980253,0.00954376,81.17235660552979
496.655524534,168.02,822,0.0,3.85227,12,-0.0282439,58.6669,73715,0.970849495381,0.00969368,83.26697301864624
501.68725332,169.25,833,0.0,3.82668,11,-0.0248656,38.5667,75642,0.979563606903,0.0106175,85.42200422286987
507.435232714,171.07,845,0.0,3.79354,12,-0.0230341,35.6517,77813,0.984038854018,0.00812444,87.5318078994751
510.34449468,171.29,857,0.0,3.76583,12,-0.0294103,59.721,79815,0.969170406461,0.013016,89.68080067634583
510.213787599,170.81,869,0.0,3.73166,12,-0.0238067,39.1127,81816,0.979547666386,0.0121068,91.76648235321045
512.520972451,171.25,881,0.0,3.73832,12,-0.0255906,66.8881,83891,0.964831542224,0.0117672,93.84748005867004
517.054436748,172.49,893,0.0,3.72839,12,-0.0218162,43.3373,85972,0.973396738991,0.0094367,95.96920204162598
515.974538019,171.77,905,0.0,3.70041,12,-0.0245053,45.2566,87979,0.977896906435,0.0122405,98.10230040550232
525.202766149,173.62,916,0.0,3.68649,11,-0.0275483,25.7369,90023,0.986256480217,0.0103043,100.31316709518433
532.417361918,174.98,927,0.0,3.67687,11,-0.0267374,26.1589,92095,0.985503781587,0.0090125,102.50471949577332
538.752697982,176.51,938,0.0,3.65347,11,-0.0284079,30.5528,94197,0.984806118533,0.0137111,104.79158973693848
542.921421058,177.3,949,0.0,3.62741,11,-0.0244999,20.9704,96206,0.988358552568,0.0132562,107.06259560585022
544.370584175,177.61,961,0.0,3.58488,12,-0.0292481,43.2186,98191,0.976482341066,0.0110084,109.38226866722107
549.446470648,178.37,973,0.0,3.56406,12,-0.0274597,14.3409,100338,0.992650100496,0.0112573,111.8211829662323
544.520866492,177.17,985,0.0,3.55827,12,-0.0249017,28.6674,102365,0.982128594071,0.010989,114.2529845237732
546.252922728,178.13,996,0.0,3.54927,11,-0.0221782,114.189,104289,0.934839121997,0.00996686,116.64940094947815
552.588345396,179.7,1007,0.0,3.54026,11,-0.0225104,32.6012,106333,0.979003956541,0.0106153,119.11824178695679
