TimestepsSoFar,EpRewMean,EpisodesSoFar,loss_pol_entpen,loss_vf_loss,loss_kl,TimeElapsed,loss_ent,ev_tdlam_before,loss_pol_surr,EpThisIter,EpLenMean
2047,14.8551537083,107,0.0,34.186,0.0144212,2.6951422691345215,4.2055,-0.0018515586853,-0.0289653,107,19.02
4038,28.1457272656,173,0.0,73.343,0.017679,5.040594816207886,4.15434,0.352357387543,-0.0381278,66,27.16
6139,43.1210230296,229,0.0,135.783,0.0181134,7.432811260223389,4.09906,0.332060873508,-0.0396481,56,33.9
8154,61.5643978608,271,0.0,198.886,0.01366,9.813925743103027,4.0882,0.157984435558,-0.0380568,42,41.57
10165,84.6886288897,301,0.0,189.091,0.00948835,12.289567232131958,4.0795,0.127697944641,-0.0270837,30,50.86
12274,114.018580619,327,0.0,226.162,0.00969026,14.717762231826782,4.05848,0.225836277008,-0.0287139,26,61.86
14242,134.239063718,352,0.0,228.458,0.0092153,17.22948694229126,4.03139,0.459488272667,-0.0254663,25,68.45
16342,161.464509603,376,0.0,209.45,0.00959814,19.75058889389038,4.00461,0.604339778423,-0.024547,24,78.64
18414,181.28021203,397,0.0,171.671,0.00996979,22.313120126724243,3.99161,0.736954540014,-0.0258123,21,85.13
20376,191.615866657,416,0.0,175.795,0.00952748,24.7981059551239,3.99331,0.730067640543,-0.0271265,19,88.9
22459,210.429990377,435,0.0,171.72,0.00913427,27.172788858413696,3.98203,0.775986209512,-0.0269481,19,95.68
24518,223.450184559,455,0.0,177.572,0.0126236,29.336297750473022,3.98005,0.730279415846,-0.0274355,20,100.36
26589,236.966684154,473,0.0,125.443,0.0111659,31.47154927253723,3.96482,0.86049066484,-0.0263252,18,105.03
28667,246.743506839,491,0.0,148.474,0.0136727,33.60499095916748,3.89402,0.812507584691,-0.0298647,18,108.78
30606,262.152069232,507,0.0,85.4345,0.00882582,35.70342755317688,3.86227,0.927015349269,-0.0236178,16,112.78
32637,268.389178231,524,0.0,81.1787,0.0116771,37.85863471031189,3.84242,0.931709095836,-0.0229237,17,114.04
34816,281.294380688,542,0.0,58.5716,0.0108422,39.98445391654968,3.87446,0.956667043269,-0.0221204,18,117.43
36771,288.106977468,558,0.0,50.2495,0.00755454,42.13971471786499,3.87958,0.96406230703,-0.0246022,16,118.9
38854,296.611127157,575,0.0,43.035,0.00799284,44.23459196090698,3.85732,0.967752907425,-0.0210318,17,120.71
40950,302.505878483,592,0.0,36.8514,0.00810214,46.35862374305725,3.86628,0.970316966996,-0.0206203,17,121.62
42885,303.382195048,608,0.0,31.8688,0.00852737,48.46925234794617,3.82703,0.971634818241,-0.0204889,16,121.61
44944,303.916745383,625,0.0,24.0948,0.00855864,50.61024785041809,3.82797,0.978374913335,-0.0206806,17,121.72
47078,306.805427055,642,0.0,20.8008,0.0122697,53.26645040512085,3.78715,0.983504010364,-0.0261006,17,122.62
49127,310.441610434,658,0.0,17.5784,0.00898924,55.430166244506836,3.78189,0.986496979371,-0.019272,16,123.56
51073,314.67885672,673,0.0,15.6654,0.00728395,57.74610257148743,3.75149,0.988203139976,-0.021103,15,124.78
53172,320.010811248,689,0.0,13.6805,0.0072804,60.0398895740509,3.74042,0.987828513607,-0.024014,16,125.95
55267,325.975107462,705,0.0,26.9761,0.00853196,62.398622035980225,3.75004,0.972350044176,-0.023545,16,127.38
57292,334.976139307,720,0.0,33.3439,0.0105836,64.74294185638428,3.72585,0.972744526342,-0.0247901,15,129.76
59338,343.232858016,735,0.0,40.7969,0.0101106,67.163729429245,3.7026,0.963517673314,-0.0173553,15,131.36
61424,347.812520954,751,0.0,17.4399,0.0106353,69.54309296607971,3.69224,0.987584572285,-0.02502,16,132.02
63441,352.929536832,766,0.0,15.7977,0.00906033,72.01615619659424,3.65056,0.989189868793,-0.0221527,15,132.78
65486,357.95215888,781,0.0,57.9699,0.0108971,74.53909397125244,3.65436,0.94904448837,-0.0258081,15,133.69
67469,363.028406509,795,0.0,57.772,0.0134452,77.07067394256592,3.63091,0.942952584475,-0.0234135,14,134.76
69508,373.081223202,809,0.0,75.4746,0.0134055,79.53924632072449,3.60193,0.947756383568,-0.0226118,14,137.2
71617,380.086557692,823,0.0,44.4237,0.00778863,81.81071519851685,3.57353,0.969282677397,-0.0250493,14,138.98
73694,388.131411051,837,0.0,69.1079,0.00839701,83.96949124336243,3.50661,0.958764728159,-0.0231255,14,141.03
75692,400.013466966,850,0.0,72.4941,0.00995888,86.10274744033813,3.49003,0.959428008646,-0.0223362,13,144.0
77702,415.282720413,862,0.0,58.428,0.0113249,88.2420494556427,3.46384,0.953128803521,-0.0259235,12,147.89
79749,429.677920496,874,0.0,69.4795,0.0124832,90.35196781158447,3.43264,0.959638085216,-0.0269763,12,151.9
81890,450.79425733,886,0.0,102.429,0.0104946,92.47789216041565,3.42422,0.939671907574,-0.027213,12,157.09
83962,471.565547987,897,0.0,79.1737,0.00916988,94.61772394180298,3.38157,0.961287297308,-0.0244656,11,161.88
85823,494.294699321,906,0.0,94.6062,0.00952246,96.7582380771637,3.36719,0.94513900578,-0.0245759,9,167.68
87938,522.556240214,916,0.0,67.8593,0.0112881,98.8345558643341,3.3638,0.96087866649,-0.0295152,10,174.64
89965,541.142559173,926,0.0,59.0989,0.0122713,100.9238440990448,3.32493,0.965006910264,-0.0293865,10,178.9
92016,570.178331823,935,0.0,46.5951,0.0112126,103.00438737869263,3.28051,0.974634684622,-0.0258928,9,185.92
94087,599.325408518,944,0.0,42.5103,0.0088643,105.15642786026001,3.28738,0.973359927535,-0.0249892,9,193.3
96071,622.846621569,953,0.0,57.7132,0.00926631,107.29602313041687,3.31681,0.97459978424,-0.0218973,9,199.17
98204,637.977505261,963,0.0,92.6475,0.0162802,109.43829274177551,3.30833,0.961289618164,-0.0288573,10,203.32
100311,660.903589515,972,0.0,42.0558,0.0131409,111.69495439529419,3.26288,0.985275315121,-0.028023,9,209.03
102305,676.282265136,981,0.0,46.8487,0.0129927,114.00763535499573,3.24229,0.977967621759,-0.0262111,9,212.98
104210,685.273681399,990,0.0,181.521,0.00995694,116.34617233276367,3.23828,0.883380845189,-0.0209943,9,215.36
106324,704.829358383,999,0.0,31.2377,0.0118996,118.63557076454163,3.19247,0.983812723309,-0.0259917,9,220.28
108496,716.244526515,1008,0.0,28.4732,0.014803,121.05616927146912,3.16222,0.986699169502,-0.0251807,9,222.54
110564,721.561702521,1017,0.0,34.7221,0.0156186,123.43837833404541,3.14691,0.984459649771,-0.0309956,9,223.79
112622,740.177672978,1025,0.0,25.679,0.00979634,125.88502669334412,3.11094,0.986628050916,-0.0264221,8,228.73
114491,740.009808339,1033,0.0,36.697,0.0117538,128.40807485580444,3.07236,0.986798111349,-0.0286608,8,229.04
116636,743.067860144,1042,0.0,22.2647,0.0133326,130.97615337371826,3.0391,0.990242108703,-0.0267656,9,229.83
118708,754.494343507,1050,0.0,22.865,0.01265,133.42254209518433,3.02058,0.989370175637,-0.02735,8,232.96
120806,768.157530658,1058,0.0,15.188,0.0119715,135.89930486679077,2.98966,0.99287692178,-0.0250525,8,236.68
122695,783.280235466,1065,0.0,31.8719,0.0129033,138.03937911987305,3.02427,0.986330170184,-0.0287766,7,240.68
124858,792.477704225,1073,0.0,95.099,0.00991381,140.18213295936584,3.02118,0.935863606632,-0.0225013,8,243.53
126761,805.505548178,1080,0.0,25.758,0.00970567,142.28199696540833,2.99743,0.98664505966,-0.0252902,7,246.94
