loss_kl,TimeElapsed,ev_tdlam_before,loss_ent,EpisodesSoFar,loss_pol_surr,EpRewMean,loss_vf_loss,EpLenMean,EpThisIter,TimestepsSoFar,loss_pol_entpen
0.0189022,2.458869695663452,-0.0261187553406,4.22977,120,-0.0340897,12.4826321176,15.3202,16.2,120,2029,0.0
0.0198856,4.604765892028809,0.349970161915,4.20043,204,-0.0382632,21.1372904005,40.3441,23.07,84,4080,0.0
0.0144998,6.806270122528076,0.253845214844,4.17759,248,-0.0319279,38.7664329912,106.535,33.58,44,6096,0.0
0.0150103,9.053643941879272,0.147721588612,4.1792,279,-0.0325753,67.3426836455,181.13,47.06,31,8185,0.0
0.0114613,11.333674907684326,0.0879538059235,4.16766,307,-0.0298385,98.6160520781,237.09,60.33,28,10217,0.0
0.0116401,13.626341581344604,0.118520736694,4.14558,333,-0.0282658,120.976016669,232.361,68.52,26,12288,0.0
0.0094032,15.95274806022644,0.372502207756,4.14928,356,-0.0240115,144.638607118,223.792,76.98,23,14314,0.0
0.00955735,18.27307105064392,0.652903825045,4.11866,374,-0.0232372,168.307996656,166.591,85.63,18,16246,0.0
0.00717241,20.795711994171143,0.709690988064,4.11383,396,-0.0200347,184.481516573,159.916,90.51,22,18406,0.0
0.010102,23.234630823135376,0.713706940413,4.0892,418,-0.0222562,196.66930891,168.537,93.8,22,20407,0.0
0.00899559,25.689173698425293,0.843843922019,4.08861,439,-0.0210783,207.319000392,129.614,97.31,21,22523,0.0
0.00826515,28.17394495010376,0.903844252229,4.04427,459,-0.0196192,214.423232064,83.3441,99.15,20,24576,0.0
0.0107668,30.757492780685425,0.868952825665,4.00492,479,-0.0268461,213.311120217,101.465,97.81,20,26577,0.0
0.00999194,33.37624430656433,0.884383946657,4.01312,499,-0.0221333,218.878295928,103.747,99.74,20,28653,0.0
0.0102059,35.85125231742859,0.844243586063,3.98963,517,-0.0246612,230.349417301,119.798,103.64,18,30672,0.0
0.00944221,38.114940881729126,0.872061446309,3.94609,535,-0.0216607,238.638394778,115.111,105.87,18,32747,0.0
0.0107208,40.21103310585022,0.907497920096,3.93408,552,-0.0261533,249.226405657,71.8834,108.46,17,34728,0.0
0.00982679,42.358296394348145,0.952322702855,3.90722,568,-0.0228671,265.410959412,59.0805,113.41,16,36746,0.0
