#{"t_start": 1536329484.1525989, "env_id": "Hopper-v2"}
r,l,t
14.791467,15,1.899768
7.710735,14,1.92167
6.694435,19,1.937296
10.216456,18,1.952922
8.297194,12,1.952922
12.995372,14,1.968547
20.601111,22,1.999795
29.470469,31,2.017621
17.595151,20,2.033247
10.011364,17,2.048872
11.180962,13,2.064498
12.460557,14,2.080122
13.285516,16,2.080122
24.535837,34,2.111372
5.063935,7,2.126996
33.308922,28,2.142622
7.608404,9,2.158247
37.476053,39,2.189497
7.967498,16,2.205122
10.467946,14,2.205122
48.131185,33,2.236371
7.692579,15,2.251996
11.923333,22,2.267622
7.233238,19,2.283246
11.6439,16,2.29887
22.76642,21,2.314497
5.497926,14,2.330121
60.344598,47,2.361372
11.17892,14,2.376995
11.482875,16,2.392621
25.342058,23,2.408245
5.63786,34,2.439496
8.979253,20,2.45512
13.859351,17,2.470747
18.358199,18,2.486371
8.422132,15,2.501995
97.659333,66,2.54887
56.134878,35,2.58012
28.829578,29,2.61137
12.378145,14,2.61137
11.118465,14,2.626995
21.045684,24,2.64262
11.610353,23,2.673871
5.50415,21,2.689495
6.790995,9,2.689495
9.741945,15,2.705121
11.037732,27,2.720745
7.192509,9,2.736371
11.297639,27,2.751995
18.486335,20,2.76762
30.363675,30,2.79887
16.88792,17,2.814495
9.473167,20,2.83012
7.33048,12,2.845745
12.764493,16,2.845745
25.000172,22,2.876995
6.378032,8,2.876995
15.006244,17,2.89262
28.833279,33,2.921576
63.053379,43,2.952826
13.419009,19,2.968451
10.853444,16,2.984076
9.971233,16,2.9997
12.754896,15,3.015326
9.133331,11,3.015326
9.466764,13,3.030951
6.620259,12,3.030951
8.331822,19,3.046577
116.139074,67,3.109077
21.955383,21,3.124701
7.050847,11,3.140325
24.756864,32,3.155952
23.10251,30,3.187203
6.396254,8,3.187203
11.039456,14,3.202827
17.284244,29,3.234076
19.972937,20,3.2497
49.291464,33,3.280951
27.987329,32,3.296575
23.816178,25,3.327825
11.458466,19,3.343449
8.013927,13,3.343449
7.398142,11,3.359076
16.050307,19,3.3747
12.50467,19,3.390325
12.768342,26,3.40595
7.351487,17,3.421575
10.790531,13,3.4372
8.028364,11,3.4372
17.054106,19,3.452826
33.623431,36,3.484073
6.123135,8,3.4997
6.477419,9,3.4997
9.670989,13,3.515324
7.776952,9,3.515324
75.106672,49,3.562199
9.200768,15,3.577825
14.438643,29,3.59345
12.583733,18,4.790095
11.827071,16,4.805721
16.066969,20,4.821345
6.21486,12,4.836972
17.462697,23,4.852595
14.089422,21,4.86822
31.234438,33,4.883846
24.808483,23,4.89947
7.59539,11,4.915095
6.481991,10,4.921823
29.24324,24,4.937449
24.898211,20,4.953075
34.709359,28,4.968699
44.545244,43,4.999949
13.276399,16,5.015656
8.122706,13,5.017688
21.377325,29,5.033315
32.765475,31,5.064565
32.100962,27,5.08019
26.844636,24,5.095815
23.885669,24,5.11144
8.622012,13,5.127065
20.797531,22,5.14269
30.368648,34,5.158314
7.909665,12,5.173939
88.596588,58,5.205189
14.412934,15,5.220814
26.629095,25,5.236439
31.645152,26,5.252065
16.382942,23,5.267689
19.429862,18,5.283314
13.07044,15,5.298939
6.445043,8,5.298939
15.094742,32,5.330189
19.68057,35,5.345814
6.104412,9,5.361439
10.823367,18,5.361439
10.308394,31,5.392689
11.798641,13,5.392689
30.549207,22,5.408314
16.032333,31,5.439564
9.832389,13,5.439564
9.75308,23,5.455189
7.421505,20,5.470813
8.221287,13,5.486438
28.45076,29,5.502063
6.471005,14,5.517689
10.137845,13,5.517689
7.742506,14,5.533314
48.372743,49,5.564563
23.015926,23,5.580188
14.448048,17,5.595813
7.509053,10,5.595813
104.181271,59,5.642688
36.946452,30,5.658313
26.586102,23,5.673938
8.998599,11,5.689563
10.705584,13,5.705188
20.912188,37,5.720813
23.730983,29,5.752063
39.067623,36,5.767687
13.896911,17,5.783313
30.69397,40,5.814562
