loss_pol_entpen,EpisodesSoFar,TimestepsSoFar,TimeElapsed,loss_ent,loss_vf_loss,EpLenMean,loss_kl,EpThisIter,EpRewMean,loss_pol_surr,ev_tdlam_before
0.0,98,2045,2.9372026920318604,4.2326,46.7274,20.8673469388,0.0104476,98,18.442157544,-0.0259256,-0.0435508489609
0.0,184,4067,5.099454402923584,4.20026,44.3672,22.95,0.0225065,86,21.0944828696,-0.0420553,0.431204319
0.0,238,6123,7.21733283996582,4.16108,116.987,31.83,0.0181783,54,38.1789755457,-0.0392003,0.277920603752
0.0,274,8189,9.350069999694824,4.17642,208.376,43.69,0.0109733,36,66.8692247,-0.0329731,0.148263990879
0.0,300,10136,11.490625619888306,4.16765,219.422,52.46,0.0135042,26,87.3403888401,-0.0331034,0.122038245201
0.0,326,12258,13.668250322341919,4.15234,233.032,64.97,0.010355,26,120.649081825,-0.023885,0.363637268543
0.0,349,14334,15.764259099960327,4.13895,206.664,76.23,0.00915024,23,151.199246132,-0.0210182,0.648801863194
0.0,370,16352,17.858126401901245,4.13084,204.573,84.58,0.00855171,21,174.349291913,-0.0199693,0.678925037384
0.0,392,18431,19.966708421707153,4.13443,200.976,88.63,0.00981557,22,188.260940414,-0.0240873,0.678016543388
0.0,412,20391,22.11538338661194,4.1197,159.027,92.11,0.00844975,20,198.845387987,-0.0255764,0.791268780828
0.0,434,22486,24.278627395629883,4.10365,128.047,95.13,0.00836263,22,208.524681154,-0.0187585,0.857235580683
0.0,455,24568,26.38968777656555,4.09251,103.13,96.76,0.00973818,21,213.728964742,-0.0232161,0.87330044806
0.0,475,26614,28.508984088897705,4.08322,90.3847,97.51,0.0100182,20,216.676595307,-0.0246383,0.896094858646
0.0,493,28617,30.592821836471558,4.07866,85.0088,100.79,0.011046,18,225.969293711,-0.0303869,0.906525097787
0.0,510,30638,32.740548610687256,4.05982,121.05,104.5,0.00848029,17,239.916566951,-0.0243269,0.869864046574
0.0,529,32760,34.92973804473877,4.02559,186.812,107.08,0.00914444,19,250.018439061,-0.0277325,0.818373009562
0.0,545,34754,37.12829637527466,4.01781,103.805,111.98,0.00784998,16,267.509638556,-0.0264515,0.914569303393
0.0,561,36794,39.34971046447754,4.01173,98.6389,115.99,0.00872191,16,282.241051305,-0.0253603,0.918500222266
0.0,577,38875,41.64703702926636,3.99464,77.2367,120.64,0.0113283,16,300.169658313,-0.0315369,0.945762369782
0.0,593,40919,43.945862770080566,3.95617,107.346,123.02,0.011228,16,312.665630573,-0.023551,0.901687256992
0.0,609,42990,46.28810739517212,3.94897,89.5734,124.74,0.0112311,16,320.236151383,-0.0295559,0.928570486605
0.0,625,45046,48.56870722770691,3.92097,70.0723,126.74,0.0107535,16,328.965261184,-0.0237486,0.949758887291
0.0,640,47092,50.97535276412964,3.92901,57.6034,129.84,0.00981885,15,342.453133126,-0.0253438,0.962841708213
0.0,655,49018,53.38073015213013,3.90042,121.003,129.97,0.0145276,15,345.720938221,-0.0192081,0.917897835374
0.0,669,51171,55.834697008132935,3.88153,82.5544,133.48,0.0102592,14,360.80682026,-0.027518,0.94090308249
0.0,681,53153,58.28790783882141,3.84616,105.464,137.61,0.0124941,12,376.906427819,-0.0265425,0.935569733381
0.0,694,55244,60.72311329841614,3.85253,113.773,141.82,0.00944188,13,395.514118036,-0.0257131,0.942868798971
0.0,707,57276,63.20885109901428,3.84319,98.7958,145.32,0.00874455,13,410.834797549,-0.0203464,0.945907469839
0.0,720,59381,65.69616961479187,3.80202,87.3351,150.23,0.00813577,13,430.646256659,-0.0255609,0.957718662918
0.0,732,61393,68.2418487071991,3.79897,78.5861,153.99,0.00874391,12,445.96238006,-0.0226244,0.960780758411
0.0,744,63306,70.45901942253113,3.76264,77.7756,156.81,0.0112954,12,458.158461096,-0.0271383,0.965476699173
0.0,758,65527,72.53740072250366,3.73369,107.824,159.99,0.00813374,14,472.152533688,-0.0220708,0.959234666079
0.0,770,67529,74.60004377365112,3.71895,84.5038,162.18,0.00925578,12,482.328799215,-0.022906,0.966885272413
0.0,782,69625,76.69409108161926,3.68278,90.0581,162.85,0.00918384,12,486.663501092,-0.0283086,0.965413954109
0.0,794,71524,78.77229428291321,3.64533,88.562,162.8,0.00965946,12,486.762797668,-0.028149,0.963757958263
0.0,806,73589,80.8798451423645,3.61209,79.8975,165.02,0.0102954,12,495.879252547,-0.0265246,0.967331767082
0.0,819,75690,82.95920586585999,3.597,92.313,164.81,0.0101493,13,496.789264231,-0.0218332,0.960941769183
0.0,832,77770,85.06096363067627,3.58065,211.539,163.77,0.00973595,13,494.291745246,-0.0236648,0.929252065718
0.0,843,79701,87.13164043426514,3.53451,69.3975,165.2,0.0117835,11,500.617844908,-0.0297715,0.968045026064
0.0,855,81861,89.24080562591553,3.52267,53.2917,168.73,0.0118679,12,514.709344672,-0.02586,0.981206029654
0.0,866,83862,91.34974551200867,3.50528,63.8352,170.07,0.00798684,11,521.518855882,-0.0246818,0.967430725694
0.0,877,85866,93.41243577003479,3.47435,84.837,171.51,0.012365,11,529.159098421,-0.0207539,0.962505027652
0.0,887,87872,95.50601696968079,3.46403,47.4031,174.85,0.0147667,10,542.927056368,-0.0255705,0.971924168989
0.0,899,90088,97.60688734054565,3.47849,36.8935,177.82,0.0103993,12,557.21980355,-0.0253092,0.982382021844
0.0,909,91983,99.73328900337219,3.45942,37.708,179.19,0.00894218,10,565.132382333,-0.0242204,0.984310824424
0.0,920,94025,101.88161420822144,3.47144,40.3967,181.7,0.00958758,11,577.759132879,-0.0222181,0.962313394994
0.0,931,96154,104.03742051124573,3.5015,29.1552,185.15,0.0105462,11,593.762568088,-0.027454,0.983896039426
0.0,942,98253,106.21737670898438,3.49692,20.8144,187.4,0.0112745,11,605.067458705,-0.0272955,0.99100562837
0.0,952,100227,108.5136547088623,3.4834,25.8785,189.24,0.0118531,10,612.467516011,-0.0247399,0.99025281705
0.0,964,102384,110.7958869934082,3.5014,22.6859,189.08,0.0136289,12,614.010934455,-0.0223508,0.986789430492
0.0,974,104399,113.11599493026733,3.47962,30.4966,190.99,0.00957827,10,620.20728513,-0.0263632,0.981232650578
0.0,985,106490,115.31857395172119,3.47511,33.2508,190.39,0.0105383,11,619.738004377,-0.0222796,0.980206798762
0.0,996,108478,117.69986176490784,3.46145,13.567,189.21,0.0109111,11,617.293734965,-0.0253714,0.986023649573
0.0,1007,110507,120.08455896377563,3.44859,18.8236,189.39,0.0110362,11,616.598211215,-0.025646,0.98600183893
0.0,1018,112560,122.52392959594727,3.43681,16.3938,189.33,0.0149186,11,616.229018638,-0.0234626,0.992532233242
0.0,1028,114522,124.9510018825531,3.41327,21.6494,189.71,0.00894861,10,618.581899698,-0.02112,0.992080701515
0.0,1038,116543,127.3114550113678,3.41617,17.3521,190.58,0.00898446,10,621.225293324,-0.0212496,0.992464714684
0.0,1049,118618,129.77781319618225,3.43287,16.152,189.75,0.0120926,11,618.905517819,-0.028668,0.987930652685
0.0,1060,120758,132.2758867740631,3.40636,19.0121,191.0,0.00956372,11,624.183249218,-0.0243421,0.991336944513
0.0,1071,122830,134.8068299293518,3.40633,16.9047,189.95,0.00943396,11,623.083844767,-0.0237669,0.993384079076
0.0,1081,124884,137.31875681877136,3.41465,24.4899,192.03,0.0123954,10,630.136328918,-0.0290347,0.991272160783
0.0,1091,126927,139.42831873893738,3.42261,12.788,193.99,0.012646,10,637.46800349,-0.0271558,0.994269462768
0.0,1100,128939,141.50661158561707,3.42769,13.1614,197.2,0.0106399,9,648.771968508,-0.027986,0.990697171539
0.0,1109,130934,143.61787867546082,3.43416,19.2322,200.68,0.0123818,9,662.727174248,-0.0306305,0.988939555362
0.0,1118,132998,145.71589064598083,3.39557,15.2423,204.38,0.0148451,9,676.123939999,-0.0302677,0.993013520259
0.0,1127,135139,147.8254373073578,3.38993,22.3559,208.18,0.0101468,9,687.994651939,-0.0262299,0.988787600771
0.0,1136,137126,149.86532711982727,3.40056,14.6481,209.7,0.00981794,9,693.673756256,-0.0279441,0.994665131439
0.0,1145,139022,151.95902395248413,3.4013,20.5946,211.98,0.0126562,9,702.551000928,-0.0247203,0.993023953866
0.0,1155,141182,154.03740644454956,3.35381,15.621,213.63,0.0111143,10,709.06542719,-0.0275741,0.991990369745
0.0,1164,143229,156.2003185749054,3.34102,62.8242,217.12,0.00952992,9,718.299002275,-0.0249244,0.943275541067
0.0,1173,145386,158.3028757572174,3.32428,14.4003,221.44,0.0104703,9,733.972256386,-0.0239144,0.987556918524
0.0,1183,147449,160.3654980659485,3.31042,33.2263,221.71,0.0108682,10,735.230556666,-0.0296889,0.988551354967
0.0,1191,149274,162.46609568595886,3.30265,17.5603,223.47,0.0107007,8,740.149764343,-0.029924,0.992289536633
0.0,1201,151505,164.56349182128906,3.26749,28.5059,223.74,0.0153321,10,739.276606288,-0.0225809,0.988685990684
0.0,1209,153376,166.72882890701294,3.24687,24.1492,224.42,0.0145877,8,741.027539891,-0.0271323,0.989826351404
0.0,1218,155580,168.88815593719482,3.25917,26.4352,225.82,0.010069,9,743.391856251,-0.0280647,0.985384166241
0.0,1225,157490,171.1157579421997,3.26899,17.9167,227.57,0.0128076,7,746.870957995,-0.0281251,0.988394342363
0.0,1233,159611,173.35038995742798,3.26238,31.9937,231.34,0.00924866,8,758.160480913,-0.026401,0.986877153628
0.0,1242,161771,175.79050660133362,3.2079,40.0888,234.15,0.0141323,9,764.474153051,-0.0323655,0.98430698365
0.0,1250,163839,178.24338102340698,3.18975,21.7591,237.51,0.00975388,8,773.79109731,-0.030295,0.988313972019
0.0,1258,165703,180.65534138679504,3.17221,53.5931,237.83,0.0156704,8,772.100904577,-0.0317297,0.977048518136
0.0,1266,167881,183.02143049240112,3.15775,20.8385,241.51,0.0109481,8,784.645953296,-0.0279047,0.986583839171
0.0,1273,169708,185.56204342842102,3.13211,14.6549,243.22,0.0113139,7,788.072232196,-0.0316971,0.994814076927
