loss_pol_surr,loss_pol_entpen,EpRewMean,EpThisIter,EpLenMean,TimestepsSoFar,loss_kl,loss_ent,TimeElapsed,loss_vf_loss,EpisodesSoFar,ev_tdlam_before
-0.0317211,0.0,15.9782489822,104,19.78,2039,0.0150934,4.252,3.0309300422668457,24.7688,104,-0.0120193958282
-0.038997,0.0,23.826964259,78,25.07,4088,0.0190053,4.22028,5.484289646148682,42.1437,182,0.381673753262
-0.0342616,0.0,40.6571611965,56,32.45,6142,0.0139691,4.21535,7.687028884887695,127.135,238,0.224879860878
-0.0281166,0.0,64.2578798223,39,42.82,8188,0.0100553,4.22172,9.865894556045532,157.902,277,0.130126535892
-0.0273051,0.0,90.9985722128,27,52.78,10180,0.0116046,4.19155,12.07041311264038,180.042,304,0.287219703197
-0.0270556,0.0,118.627118663,25,63.74,12214,0.0123847,4.15171,14.241881608963013,228.976,329,0.314459264278
-0.0279753,0.0,143.225962739,27,72.37,14334,0.00984203,4.10944,16.39889121055603,243.552,356,0.461232542992
-0.0234015,0.0,169.157930299,21,81.73,16361,0.00944834,4.12905,18.679950714111328,183.439,377,0.699444383383
-0.0248444,0.0,179.64115348,23,85.12,18383,0.00811718,4.13802,20.92148447036743,180.548,400,0.685002714396
-0.0220344,0.0,192.203422117,21,88.94,20430,0.0088255,4.1695,23.20529270172119,107.266,421,0.868100300431
-0.017043,0.0,200.652994102,22,91.81,22479,0.00703083,4.13448,25.36676573753357,120.582,443,0.840208351612
-0.0258829,0.0,205.971778381,22,92.63,24568,0.0101348,4.15194,27.546680212020874,107.197,465,0.873014166951
-0.01864,0.0,213.424745723,21,94.85,26623,0.00721385,4.1646,29.73408055305481,71.9132,486,0.93253262341
-0.0209425,0.0,219.657750473,20,96.53,28615,0.00989836,4.17464,31.90629553794861,62.4362,506,0.940057389438
-0.0277049,0.0,224.00414778,20,97.36,30645,0.0129847,4.14153,34.06166982650757,64.885,526,0.931530989707
-0.0275241,0.0,232.398822074,20,99.7,32742,0.0109563,4.10416,36.17229628562927,86.6008,546,0.892034940422
-0.0232859,0.0,240.478643909,19,101.98,34766,0.00966258,4.05978,38.34516215324402,101.112,565,0.875371910632
-0.0243151,0.0,248.267191079,19,104.16,36835,0.00940069,4.04409,40.5478401184082,77.3989,584,0.925033390522
-0.0231461,0.0,257.035584742,18,106.31,38847,0.0112895,3.99883,42.847052574157715,96.8619,602,0.915668047965
-0.0271691,0.0,268.64558727,17,109.34,40875,0.0101746,3.96885,45.120147943496704,51.7091,619,0.948246225715
-0.0259564,0.0,282.857595748,17,113.41,42982,0.0097682,3.96507,47.43939757347107,42.7137,636,0.966001857072
-0.0280279,0.0,291.370319258,16,115.99,45006,0.00936132,3.94611,49.7200984954834,47.8254,652,0.954153262079
-0.0247969,0.0,305.857076992,16,119.94,47071,0.00859915,3.92786,52.06429696083069,36.9389,668,0.975303843617
-0.0281177,0.0,320.254744397,15,123.7,49101,0.0111306,3.88891,54.41445255279541,33.1996,683,0.977015562356
-0.0163858,0.0,333.456856715,15,127.26,51110,0.0118169,3.8819,56.85158562660217,123.829,698,0.936517119408
-0.0266872,0.0,343.354698513,16,129.73,53233,0.0140208,3.89969,59.25828242301941,132.716,714,0.925523772836
-0.0247881,0.0,352.808404582,14,132.27,55223,0.0106101,3.89313,61.69549870491028,47.8959,728,0.957526385784
-0.0248455,0.0,364.574627027,14,135.21,57250,0.0119718,3.89001,64.17299723625183,44.9299,742,0.956436809152
-0.0257633,0.0,375.048933952,14,137.74,59303,0.00978893,3.84479,66.68399381637573,48.91,756,0.969580302015
-0.0266698,0.0,384.481148873,14,140.15,61356,0.0106062,3.81644,69.15610837936401,49.2307,770,0.9736278411
-0.0268155,0.0,395.287012676,13,142.73,63374,0.0103161,3.77705,71.61797857284546,57.7235,783,0.967206127942
-0.0244314,0.0,411.134016141,13,146.85,65525,0.00768611,3.75845,74.23783564567566,71.547,796,0.956491030753
-0.021871,0.0,420.462037899,13,149.01,67549,0.00959907,3.72355,77.03113460540771,173.902,809,0.915928684175
-0.0233419,0.0,439.384701039,11,153.99,69483,0.00903395,3.67298,79.47173380851746,76.3122,820,0.952526893467
-0.0249419,0.0,456.724907752,12,158.77,71667,0.0119564,3.64116,81.82764053344727,46.9524,832,0.97487571463
-0.0248532,0.0,471.786699173,11,162.84,73690,0.00999072,3.63515,84.20308589935303,49.8269,843,0.974294019863
-0.0257582,0.0,487.50008578,10,167.41,75607,0.0108413,3.64587,86.56181645393372,34.3405,853,0.982747841626
-0.0236544,0.0,503.179583595,11,171.91,77645,0.0128897,3.59971,88.9066641330719,55.6618,864,0.959707647562
-0.0236334,0.0,519.116168064,11,176.32,79774,0.00889261,3.58343,91.00047016143799,20.6321,875,0.989870090969
-0.0289586,0.0,532.871809265,10,180.44,81736,0.00936338,3.55914,93.08106327056885,17.8505,885,0.989694250748
-0.0207441,0.0,543.663545137,11,183.7,83895,0.0114329,3.55334,95.21028232574463,15.1456,896,0.992719727103
-0.0217691,0.0,558.875883247,10,188.0,85865,0.0122699,3.5108,97.33452820777893,13.8492,906,0.993200495839
-0.024899,0.0,566.789797819,11,190.54,88042,0.00953323,3.50694,99.47639608383179,10.8426,917,0.995330255479
-0.0194347,0.0,568.776269193,11,191.13,90080,0.00924645,3.50897,101.58148550987244,247.611,928,0.868340760469
-0.0244297,0.0,576.009857475,10,192.97,92072,0.0121037,3.47347,103.69453573226929,34.3543,938,0.969246577471
-0.0336187,0.0,584.72734412,10,195.53,94195,0.0118041,3.47199,105.78696513175964,35.6418,948,0.981865368783
-0.0267282,0.0,594.986142531,9,198.25,96216,0.0111106,3.4567,107.92966198921204,12.8272,957,0.992803039495
-0.0229743,0.0,600.320388706,10,199.53,98181,0.0109446,3.45108,110.07021141052246,103.423,967,0.940019126981
-0.0301805,0.0,606.983059431,10,201.51,100332,0.0140404,3.41476,112.22427082061768,38.5376,977,0.972760478035
-0.0290571,0.0,615.246127126,9,203.84,102324,0.0129343,3.41075,114.41400170326233,42.4518,986,0.980031285435
