EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr
106,19.32,106,14.5996769269,-0.0269041061401,4.2334,2042,0.0,27.6777,2.508237600326538,0.0110306,-0.0237206
80,24.59,186,21.8281990964,0.352631390095,4.18189,4085,0.0,46.4078,4.6490724086761475,0.02065,-0.0383893
54,32.22,240,35.3833458646,0.301657915115,4.16566,6113,0.0,85.1025,6.797605514526367,0.0187113,-0.041263
38,43.59,278,59.5932894163,0.149349629879,4.16426,8180,0.0,146.093,8.997402667999268,0.0151755,-0.0346007
32,51.99,310,80.8907058085,0.0745430588722,4.16867,10208,0.0,168.235,11.187617301940918,0.0112926,-0.0290715
31,60.01,341,106.128306321,0.272049188614,4.13837,12258,0.0,213.782,13.445302486419678,0.01258,-0.0288116
23,67.89,364,129.524908815,0.463743448257,4.14184,14285,0.0,189.98,15.673253297805786,0.0100671,-0.0268618
25,74.08,389,148.146127566,0.4224781394,4.12664,16346,0.0,231.448,18.01888394355774,0.0100034,-0.0275695
20,82.06,409,171.705747958,0.737665116787,4.11473,18370,0.0,141.039,20.33097767829895,0.00812234,-0.0180555
20,89.33,429,191.603952744,0.826339945197,4.12944,20384,0.0,123.892,22.664539098739624,0.00973942,-0.0167417
23,92.83,452,201.545337613,0.726700544357,4.10677,22439,0.0,165.229,24.92891502380371,0.00888385,-0.0225877
22,93.95,474,207.170752543,0.825255483389,4.1216,24521,0.0,153.556,27.218249320983887,0.00852542,-0.020628
20,97.59,494,217.660056176,0.838687881827,4.12224,26608,0.0,92.995,29.68964719772339,0.00999112,-0.0293517
19,98.6,513,221.308779472,0.88527623564,4.09838,28614,0.0,114.41,32.17216110229492,0.0106328,-0.0234879
18,101.91,531,229.253657,0.897302344441,4.06596,30717,0.0,98.3716,34.6491117477417,0.00765016,-0.0245414
17,106.7,548,241.644290143,0.901485905051,4.04825,32711,0.0,107.789,37.03107571601868,0.0103581,-0.0227842
17,111.73,565,253.641933899,0.914260573685,4.05289,34785,0.0,62.195,39.4771044254303,0.0106888,-0.0269954
16,116.22,581,265.619912983,0.942638408393,4.06412,36856,0.0,62.3146,41.93716764450073,0.0107968,-0.0242895
16,119.24,597,275.488347786,0.956724740565,4.04221,38891,0.0,48.6064,44.51958250999451,0.0117509,-0.019018
17,121.79,614,284.709313971,0.92147616297,4.0299,40907,0.0,76.849,47.00955891609192,0.0105573,-0.0217359
16,123.43,630,293.33934479,0.9552144669,3.99588,42937,0.0,41.9178,49.52301359176636,0.00921359,-0.026502
