loss_vf_loss,EpRewMean,ev_tdlam_before,loss_pol_entpen,loss_pol_surr,TimeElapsed,loss_ent,loss_kl,EpThisIter,EpisodesSoFar,TimestepsSoFar,EpLenMean
42.1248,16.8937839619,-0.0551543235779,0.0,-0.0260973,2.757622003555298,4.25098,0.011067,96,96,1993,20.7604166667
50.9685,20.8357497489,0.398260653019,0.0,-0.0409506,5.226961135864258,4.19763,0.0199402,93,189,4095,22.75
88.0031,32.5759199289,0.331497788429,0.0,-0.0398818,7.679577589035034,4.15984,0.0166071,58,247,6117,29.43
165.592,55.2477664651,0.192620575428,0.0,-0.0336832,10.13572883605957,4.13661,0.0109191,43,290,8191,40.75
136.704,81.0297313797,0.0850219726563,0.0,-0.0322531,12.60537052154541,4.14903,0.0100478,31,321,10236,51.61
131.489,104.233186703,0.40950769186,0.0,-0.0332747,15.112810134887695,4.15426,0.0142289,27,348,12253,60.5
175.879,128.178802814,0.435475826263,0.0,-0.0337428,17.601858854293823,4.15478,0.0118369,26,374,14255,70.5
163.672,148.288522009,0.625133931637,0.0,-0.0240654,20.11989188194275,4.12883,0.00952736,22,396,16369,76.48
127.701,168.198268717,0.680116057396,0.0,-0.0221145,22.641568183898926,4.10976,0.00798217,21,417,18361,83.5
116.629,186.426507161,0.838798642159,0.0,-0.0184202,25.21081018447876,4.15033,0.00799679,21,438,20440,89.7
73.2399,200.896129494,0.913513846695,0.0,-0.0220236,27.766505479812622,4.13809,0.00961721,20,458,22431,94.65
123.968,208.046401839,0.839876979589,0.0,-0.0262346,30.212316036224365,4.16193,0.0129082,22,480,24489,96.83
111.055,209.656075753,0.843634188175,0.0,-0.0276768,32.32700753211975,4.15307,0.0126293,21,501,26523,96.78
102.602,220.559907456,0.822879225016,0.0,-0.0313212,34.461021900177,4.13248,0.0113196,17,518,28561,100.95
89.849,234.314140074,0.872491031885,0.0,-0.0294972,36.617228269577026,4.15845,0.0125412,16,534,30630,105.75
132.833,246.46524312,0.828345626593,0.0,-0.026382,38.78886079788208,4.1424,0.008537,18,552,32768,109.19
141.831,262.578751285,0.827403202653,0.0,-0.0303717,40.93685793876648,4.10194,0.0104564,16,568,34745,113.75
118.414,284.346826327,0.875194095075,0.0,-0.0286742,43.04734444618225,4.08378,0.0104064,15,583,36817,120.76
86.7686,300.965094726,0.932941257954,0.0,-0.0287347,45.203779458999634,4.0826,0.00815069,16,599,38862,125.33
77.338,316.493203775,0.942591868341,0.0,-0.0236659,47.355488777160645,4.09595,0.00675508,15,614,40919,128.8
71.9423,325.476366202,0.948339331895,0.0,-0.0242646,49.53140830993652,4.04515,0.0113655,15,629,42995,130.11
90.3322,342.737609217,0.907352752984,0.0,-0.0249403,51.64044380187988,4.02504,0.00829065,13,642,44948,134.55
92.7103,357.629439194,0.93328230083,0.0,-0.0268366,53.766555070877075,3.98697,0.011274,14,656,47018,138.55
83.77,369.054766248,0.951303079724,0.0,-0.0267767,55.96156597137451,3.94468,0.0100415,14,670,49131,141.23
77.537,377.476207898,0.938594784588,0.0,-0.0223255,58.10395312309265,3.95896,0.00801521,14,684,51198,142.39
88.6842,393.333519922,0.943494338542,0.0,-0.0262367,60.30127835273743,3.92108,0.00901263,12,696,53116,146.5
91.3137,410.42670262,0.948543023318,0.0,-0.0267444,62.399556159973145,3.9257,0.0121244,13,709,55269,150.6
146.579,427.995618803,0.918312214315,0.0,-0.0248675,64.52401757240295,3.90306,0.0103076,12,721,57313,154.46
79.5123,440.525724804,0.958429072052,0.0,-0.0263487,66.65654420852661,3.88509,0.0103388,12,733,59319,157.13
89.8547,454.120794007,0.959916226566,0.0,-0.0266675,68.82759070396423,3.87666,0.0117564,12,745,61332,159.53
107.902,467.403848701,0.952694091946,0.0,-0.0253187,71.06210160255432,3.84118,0.010053,12,757,63338,161.9
135.482,482.047562831,0.926140464842,0.0,-0.0240155,73.27392435073853,3.86572,0.0103455,12,769,65455,165.11
96.2037,500.780296614,0.944528792053,0.0,-0.0246896,75.5703513622284,3.84022,0.00818169,11,780,67553,169.52
