EpThisIter,ev_tdlam_before,EpRewMean,EpisodesSoFar,TimestepsSoFar,EpLenMean,loss_pol_surr,loss_pol_entpen,loss_vf_loss,TimeElapsed,loss_kl,loss_ent
108,0.0225961208344,13.6026523369,108,2033,18.32,-0.0298324,0.0,28.0553,2.696046829223633,0.0147996,4.1965
74,0.330207943916,26.0466377192,182,4079,24.86,-0.0392311,0.0,65.1628,5.024455308914185,0.0180282,4.12678
55,0.273210644722,41.7483017389,237,6136,32.66,-0.0367689,0.0,129.408,7.367781162261963,0.0163785,4.10464
34,0.170446276665,64.1395565535,271,8168,43.61,-0.036057,0.0,162.491,9.711693048477173,0.0160576,4.10207
27,0.428042173386,93.0816826541,298,10158,54.75,-0.0312296,0.0,176.883,12.312772512435913,0.0112119,4.09519
24,0.583853602409,125.892899551,322,12270,66.75,-0.0279025,0.0,190.869,14.782403945922852,0.0109869,4.06934
23,0.669001251459,154.720382197,345,14311,77.18,-0.0247565,0.0,204.269,17.21934461593628,0.00803421,4.02301
22,0.747378647327,177.679129242,367,16338,83.96,-0.0203692,0.0,177.181,19.76839256286621,0.00912564,4.01241
22,0.813499897718,195.300455443,389,18362,89.97,-0.0181408,0.0,152.933,22.22785472869873,0.00923791,4.01568
22,0.836798116565,202.927493745,411,20445,92.03,-0.0214953,0.0,125.608,24.671804666519165,0.0077894,3.99862
22,0.869494318962,204.814539073,433,22523,92.29,-0.0191057,0.0,98.713,27.141313076019287,0.00813312,3.97552
22,0.887804672122,209.226613015,455,24576,93.84,-0.0219383,0.0,95.6674,29.676318168640137,0.0110161,4.00529
21,0.916705012321,211.783026259,476,26584,94.6,-0.0235397,0.0,72.9502,32.21983027458191,0.00857705,4.0314
21,0.912114925683,212.227807935,497,28588,94.77,-0.0248907,0.0,59.086,34.8013174533844,0.0102327,4.00052
21,0.959668878466,214.249179239,518,30658,95.5,-0.0213246,0.0,43.363,37.31281352043152,0.00771445,3.99314
21,0.962535791099,217.183953705,539,32733,96.62,-0.0260952,0.0,36.7331,39.54739737510681,0.0128117,3.98368
19,0.94848362729,224.591783498,558,34793,99.41,-0.0277972,0.0,53.0362,41.70385217666626,0.0116463,3.97905
19,0.907971531153,228.968004251,577,36813,101.38,-0.0268911,0.0,72.7883,43.831085205078125,0.0105384,3.97094
18,0.963542949408,237.089109777,595,38878,104.75,-0.0239347,0.0,28.9665,45.99213171005249,0.0105784,3.94743
16,0.935177206993,246.477464826,611,40816,108.67,-0.0305946,0.0,50.3875,48.08675241470337,0.0103772,3.90285
17,0.976437913254,257.483233144,628,42939,112.91,-0.0312805,0.0,21.7779,50.17230677604675,0.0157424,3.86076
15,0.95327398926,272.385892206,643,45002,118.01,-0.0246688,0.0,32.0801,52.30519104003906,0.0118727,3.85564
15,0.95262561366,284.50440062,658,47039,122.46,-0.030378,0.0,35.5912,54.42200207710266,0.00989381,3.85669
15,0.911659233272,303.677245609,673,49131,127.99,-0.0308368,0.0,51.1644,56.54766392707825,0.0115044,3.8192
13,0.924864850938,322.131945333,686,51101,132.6,-0.0313453,0.0,56.5407,58.65689182281494,0.0106792,3.78018
15,0.945645019412,338.516863838,701,53203,136.39,-0.0277744,0.0,63.4287,60.781840562820435,0.0110257,3.74619
12,0.943302664906,358.735069287,713,55175,141.0,-0.0264292,0.0,67.9023,62.890880823135376,0.00763618,3.73076
13,0.941069617867,380.729802159,726,57302,146.05,-0.0255765,0.0,89.8109,65.05029582977295,0.00661381,3.72721
12,0.901212923229,395.261763179,738,59249,149.3,-0.0239914,0.0,195.396,67.15674877166748,0.0108324,3.69173
12,0.951458193362,418.033538831,750,61403,154.2,-0.0254508,0.0,97.0845,69.23745942115784,0.0111209,3.70736
11,0.903276689351,437.668754568,761,63354,158.42,-0.0300075,0.0,219.966,71.33705043792725,0.0122712,3.66682
12,0.957607474178,460.434376104,773,65449,163.18,-0.0280304,0.0,90.5714,73.45361471176147,0.00848198,3.66574
12,0.917153574526,470.938787758,785,67465,164.85,-0.0264391,0.0,220.502,75.5788152217865,0.00999869,3.64607
11,0.961854476482,500.355438144,796,69627,171.49,-0.0271796,0.0,96.9716,77.703941822052,0.0113404,3.6055
11,0.966553214937,516.536589607,807,71648,174.57,-0.0275949,0.0,94.0156,79.78524112701416,0.0110161,3.57783
10,0.97078409791,531.916064673,817,73560,177.53,-0.0233162,0.0,76.8165,81.91576313972473,0.0110984,3.53181
12,0.972872981802,545.9978386,829,75765,179.91,-0.0309622,0.0,79.63,84.09448719024658,0.0120673,3.48922
11,0.966510035098,559.187447977,840,77787,181.59,-0.0267161,0.0,69.126,86.29723954200745,0.0103256,3.46865
10,0.969226554036,569.043980911,850,79735,183.32,-0.0308123,0.0,71.6737,88.5956461429596,0.00968402,3.40802
11,0.971433196217,577.126450822,861,81766,184.12,-0.026387,0.0,70.7531,90.83814024925232,0.00824307,3.3982
11,0.975671838969,590.161693729,872,83918,186.65,-0.0268213,0.0,51.2039,93.14073038101196,0.00819285,3.36518
11,0.983015093952,603.292045099,883,86013,189.17,-0.0275239,0.0,42.1452,95.39963746070862,0.0116234,3.34159
11,0.985419486649,601.790490551,894,88025,188.0,-0.0302874,0.0,33.6039,97.73503565788269,0.00985359,3.33862
11,0.981721049175,601.923866401,905,90012,187.36,-0.0257091,0.0,41.0343,99.96877789497375,0.00836071,3.33499
11,0.97594198212,600.180228668,916,92037,186.64,-0.0307904,0.0,51.9803,102.32850861549377,0.0105848,3.34068
11,0.973197543994,604.125205043,927,94059,187.24,-0.0295993,0.0,43.8156,104.68849015235901,0.00975998,3.32915
10,0.988716806285,612.641433319,937,96101,188.57,-0.0324271,0.0,25.0889,107.12589979171753,0.012708,3.30546
11,0.985143787228,615.197631918,948,98293,188.91,-0.0323683,0.0,31.7937,109.53421878814697,0.00955848,3.29307
11,0.981285212561,616.446733804,959,100315,189.29,-0.0310839,0.0,42.2033,111.96027493476868,0.0102025,3.26283
9,0.98502453696,621.249257467,968,102207,190.74,-0.0310003,0.0,31.0366,114.3149254322052,0.00917648,3.26577
12,0.992254176177,616.654126994,980,104366,189.22,-0.0282745,0.0,16.8278,116.74715828895569,0.0122302,3.24745
10,0.989471997134,623.120089287,990,106408,190.87,-0.025408,0.0,24.0496,119.239266872406,0.0104946,3.2194
9,0.985233344138,633.585787287,999,108380,194.33,-0.0268698,0.0,38.9417,121.75189852714539,0.00990222,3.22863
9,0.992010498419,651.352988587,1008,110381,198.63,-0.026176,0.0,21.0943,124.2599368095398,0.0104496,3.21735
9,0.929184086621,665.417842088,1017,112417,202.33,-0.0182625,0.0,289.593,126.68777537345886,0.00834588,3.2341
9,0.992526612245,683.901694235,1026,114581,207.5,-0.0280382,0.0,22.9576,129.11049914360046,0.0135067,3.23354
9,0.926923029125,685.115353209,1035,116588,208.66,-0.0201736,0.0,258.993,131.2583305835724,0.00943251,3.23422
8,0.984500097111,700.735545274,1043,118672,213.41,-0.0277487,0.0,29.7665,133.41491317749023,0.011989,3.19797
8,0.990642786026,722.912767634,1051,120786,219.55,-0.0308842,0.0,25.5728,135.51604795455933,0.0137654,3.18861
6,0.990539242513,749.034370262,1057,122628,226.75,-0.0263696,0.0,20.306,137.6101291179657,0.0100463,3.18115
8,0.990740580484,768.758244792,1065,124896,232.39,-0.0281922,0.0,20.0331,139.71955966949463,0.0136371,3.17094
7,0.991154476069,793.707693976,1072,126946,239.53,-0.0305006,0.0,22.9559,141.86345314979553,0.0118303,3.18396
7,0.992693990469,812.789334069,1079,128767,245.47,-0.027418,0.0,20.2145,143.97697019577026,0.0113779,3.15958
8,0.992994963191,836.172239905,1087,131006,252.03,-0.0295506,0.0,17.1707,146.08723974227905,0.0101331,3.15192
6,0.994256392587,864.391437715,1093,133012,259.95,-0.0211915,0.0,16.1443,148.23507380485535,0.0126552,3.14371
6,0.985715150833,882.635392527,1099,134897,265.17,-0.0265438,0.0,32.525,150.35180044174194,0.0155572,3.11652
6,0.994161032606,908.499168164,1105,136990,272.22,-0.0276092,0.0,15.523,152.52383971214294,0.0124908,3.12091
7,0.99228427792,934.370420354,1112,139204,279.66,-0.0288649,0.0,18.3359,154.69498252868652,0.0109893,3.09245
6,0.994315247517,948.801704084,1118,141030,283.46,-0.0305262,0.0,15.4893,156.91483616828918,0.0116961,3.05889
7,0.992439543363,969.770693949,1125,143216,289.32,-0.023194,0.0,24.2543,159.08576226234436,0.0178126,3.02268
6,0.99440588383,999.300345376,1131,145324,296.75,-0.0251169,0.0,13.6655,161.26670217514038,0.0119681,3.03143
