loss_vf_loss,loss_pol_entpen,loss_kl,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,EpRewMean,loss_pol_surr,EpThisIter
30.0013,0.0,0.0135209,18.87,4.20821,2030,2.7607805728912354,107,-0.031281709671,15.7157954697,-0.0284309,107
48.3347,0.0,0.0205217,22.97,4.18364,4095,5.093807220458984,192,0.415467500687,21.716433292,-0.0382634,85
110.618,0.0,0.0145256,32.64,4.16448,6081,7.40965461730957,240,0.269293248653,39.243037946,-0.032741,48
176.143,0.0,0.0106794,44.08,4.15721,8143,9.707661151885986,276,0.149379312992,62.9577046307,-0.0316402,36
185.282,0.0,0.0087918,57.14,4.1652,10211,12.05488109588623,304,0.00367909669876,92.6257091208,-0.0223644,28
218.56,0.0,0.0104387,66.91,4.15928,12249,14.386048793792725,330,0.273078739643,118.932557966,-0.0280904,26
204.563,0.0,0.00789945,72.9,4.16209,14304,16.83961820602417,354,0.484992980957,138.756634671,-0.0215129,24
164.972,0.0,0.00962376,82.49,4.17149,16353,19.203766345977783,375,0.698209673166,164.793424084,-0.0261281,21
162.111,0.0,0.00984216,88.2,4.14344,18420,21.635112285614014,396,0.728407293558,182.03770693,-0.02811,21
132.737,0.0,0.00804934,93.39,4.13988,20474,24.06254482269287,417,0.828064516187,197.76718908,-0.0227069,21
144.04,0.0,0.00860926,96.4,4.10958,22437,26.52329111099243,437,0.81974118948,207.093908145,-0.0207766,20
94.4954,0.0,0.00890509,99.15,4.12545,24484,28.963595151901245,457,0.884258881211,216.057060686,-0.0268875,20
110.767,0.0,0.00998746,99.41,4.11664,26618,31.39093518257141,478,0.860745251179,219.341840841,-0.0228635,21
78.1422,0.0,0.00820643,101.7,4.13778,28590,33.90223979949951,496,0.928183980286,228.816295713,-0.0244182,18
92.0238,0.0,0.0106565,104.52,4.14681,30628,36.39227509498596,514,0.917939268053,239.184366772,-0.0302489,18
82.193,0.0,0.0119418,107.37,4.15977,32670,38.95185112953186,532,0.927243351936,250.862809805,-0.0269289,18
74.4634,0.0,0.00712327,109.83,4.15971,34738,41.406644105911255,550,0.91345641017,259.951753215,-0.0244008,18
