EpisodesSoFar,TimestepsSoFar,loss_kl,TimeElapsed,loss_pol_surr,loss_pol_entpen,loss_vf_loss,EpRewMean,EpThisIter,ev_tdlam_before,EpLenMean,loss_ent
111,2028,0.013622,2.392942190170288,-0.02796,0.0,16.8711,14.3260146035,111,-0.0308388471603,18.63,4.24792
198,4090,0.0238469,4.5112245082855225,-0.0403471,0.0,33.6008,20.5000525455,87,0.414389252663,22.93,4.20067
248,6141,0.0136876,6.59130334854126,-0.0310074,0.0,113.426,38.7689160797,50,0.263059794903,31.9,4.15721
285,8141,0.0106029,8.674664735794067,-0.0316103,0.0,180.495,61.9990899111,37,0.134244978428,42.83,4.16972
318,10229,0.00948256,10.784247398376465,-0.0264477,0.0,177.676,89.7729375986,33,-8.48770141602e-05,55.15,4.15141
352,12268,0.0114447,12.893847942352295,-0.0311933,0.0,174.692,99.8418419335,34,0.230065524578,57.66,4.12728
381,14262,0.0103177,15.014172077178955,-0.0303736,0.0,170.722,115.604130184,29,0.382981657982,63.26,4.09081
407,16323,0.0102824,17.08077597618103,-0.0267413,0.0,190.915,130.140703703,26,0.492333173752,67.79,4.07164
432,18355,0.0102542,19.175665855407715,-0.029159,0.0,195.853,144.597454734,25,0.59629291296,72.63,4.06064
454,20399,0.00929883,21.260406732559204,-0.024484,0.0,123.24,166.143242812,22,0.790472492576,80.26,4.05348
476,22509,0.00992503,23.35509967803955,-0.0224603,0.0,99.031,181.488849027,22,0.865494862199,85.04,4.03079
498,24552,0.00851891,25.433204174041748,-0.0212022,0.0,128.967,194.45118504,22,0.841108709574,89.36,3.99536
519,26591,0.0120835,27.5168240070343,-0.02674,0.0,63.8681,205.03036474,21,0.905231967568,92.95,3.96911
540,28602,0.00868913,29.604773998260498,-0.0242523,0.0,65.9941,212.879914577,21,0.915934257209,95.64,3.97947
561,30697,0.00871053,31.70092272758484,-0.0249283,0.0,47.9347,215.055218849,21,0.945957135409,96.12,3.96963
580,32673,0.0104971,33.80049014091492,-0.0279854,0.0,46.197,222.316567158,19,0.958675928414,98.31,3.93736
600,34763,0.00953071,35.87745261192322,-0.0274023,0.0,46.3451,229.366534253,20,0.952587641776,100.05,3.93638
618,36790,0.0111165,37.972315311431885,-0.0293029,0.0,48.0168,240.556353345,18,0.946630802006,102.95,3.89001
636,38864,0.0121338,40.034223318099976,-0.0283755,0.0,50.0014,253.719114044,18,0.952120810747,106.36,3.84599
652,40845,0.012045,42.127464056015015,-0.0255953,0.0,61.8392,269.446235318,16,0.916642449796,110.65,3.82473
669,42933,0.0117608,44.21694469451904,-0.0285333,0.0,56.8133,284.318163917,17,0.944792300463,114.17,3.79454
686,45004,0.0120351,46.283432483673096,-0.0244719,0.0,45.4181,297.430436985,17,0.963481333107,117.23,3.77886
702,46980,0.0114953,48.34571957588196,-0.0267029,0.0,44.3451,310.836274084,16,0.958195060492,120.18,3.77329
718,49080,0.00987959,50.41690492630005,-0.0252672,0.0,37.2415,322.485176593,16,0.971033802256,122.9,3.74369
734,51174,0.0120262,52.511752128601074,-0.0279097,0.0,40.584,334.422449399,16,0.973509008065,125.47,3.71784
750,53241,0.0104292,54.58911442756653,-0.0248629,0.0,31.1906,341.789468893,16,0.97630424425,126.75,3.68262
765,55276,0.0126438,56.65113282203674,-0.0234187,0.0,28.527,349.756128323,15,0.97774747014,128.18,3.68236
780,57230,0.0109934,58.713655948638916,-0.0264008,0.0,28.313,356.876522349,15,0.98130768165,129.59,3.67765
796,59312,0.0133362,60.79192233085632,-0.0221289,0.0,14.913,362.340824819,16,0.989872707985,130.54,3.66727
812,61386,0.0107328,62.862956047058105,-0.0259779,0.0,15.264,365.610266008,16,0.987796893343,131.07,3.63047
827,63380,0.00885141,64.934898853302,-0.0266004,0.0,16.9415,367.202220715,15,0.988622194156,131.1,3.61039
842,65407,0.00932121,66.97194504737854,-0.0254276,0.0,23.9947,372.086891837,15,0.985255490988,132.01,3.60172
858,67494,0.00984676,69.03479242324829,-0.0252624,0.0,25.6497,372.39112879,16,0.986680272967,132.07,3.59306
873,69551,0.0104865,71.1130166053772,-0.0285019,0.0,34.4169,374.870832411,15,0.977523349226,132.28,3.56581
889,71640,0.0128121,73.19831609725952,-0.0247636,0.0,8.47896,376.303579501,16,0.995001025032,132.49,3.5419
904,73654,0.0185803,75.27630519866943,-0.0288447,0.0,143.805,379.215923475,15,0.926390238106,133.12,3.49216
918,75700,0.00854231,77.32341051101685,-0.0268103,0.0,36.6568,389.104115633,14,0.973348068073,135.35,3.45142
931,77720,0.0140661,79.38604474067688,-0.0281544,0.0,46.7659,401.403396808,13,0.970130937174,138.09,3.42376
944,79719,0.0115728,81.46412229537964,-0.0301255,0.0,70.814,411.798455172,13,0.962475672364,140.44,3.39094
957,81913,0.0106787,83.51916575431824,-0.0246873,0.0,48.8441,433.723795578,13,0.978387596086,145.43,3.34823
969,83900,0.0140592,85.53471422195435,-0.0270963,0.0,37.1482,449.932600951,12,0.980499250814,149.24,3.31077
980,85842,0.0114078,87.59704375267029,-0.0261233,0.0,63.4792,468.681842955,11,0.96780231595,153.72,3.29018
992,87986,0.0114747,89.6458375453949,-0.0274478,0.0,38.6896,492.190560218,12,0.980634361506,159.26,3.27747
1003,89984,0.00873356,91.71510171890259,-0.0235202,0.0,32.6225,515.664335841,11,0.985894666985,164.91,3.27067
1015,92086,0.0137862,93.77697110176086,-0.023863,0.0,40.4978,529.234796605,12,0.984268827364,168.05,3.27643
1027,94207,0.00733731,95.82704734802246,-0.0221943,0.0,19.0392,540.729310395,12,0.99240771262,170.68,3.25818
1038,96196,0.0133948,97.87729382514954,-0.028315,0.0,28.316,555.842915655,11,0.983621334657,174.37,3.2159
1049,98185,0.0141609,99.93677997589111,-0.0272352,0.0,22.3191,563.272779345,11,0.991521270014,175.98,3.1983
1060,100222,0.0160278,102.01788640022278,-0.0187181,0.0,14.8899,571.056073979,11,0.993960987777,177.87,3.15315
1072,102398,0.00774289,104.09678149223328,-0.0252529,0.0,17.9408,578.979585442,12,0.990738985129,179.8,3.14247
1083,104362,0.0104897,106.1588191986084,-0.0241449,0.0,11.6617,581.295870803,11,0.993995851371,179.76,3.11437
1094,106354,0.00900582,108.20633220672607,-0.0243921,0.0,10.9288,583.168189151,11,0.995204037521,179.96,3.12805
1106,108537,0.0103748,110.26965308189392,-0.0261483,0.0,7.95185,585.575491663,12,0.996867673704,180.2,3.10302
1117,110531,0.00866172,112.33222794532776,-0.0308282,0.0,7.83427,587.397247469,11,0.995606688783,180.95,3.06799
1128,112471,0.0132371,114.41052532196045,-0.0276737,0.0,11.6358,587.192298653,11,0.995491574984,180.7,3.03532
1140,114674,0.00992066,116.43410968780518,-0.0310117,0.0,9.06214,590.27790085,12,0.994285393041,181.18,3.03015
1151,116626,0.0128093,118.49574375152588,-0.0260818,0.0,7.11272,589.243005973,11,0.996795860352,180.48,3.03649
1162,118623,0.0102916,120.56228160858154,-0.0264174,0.0,6.60597,589.2240465,11,0.997239668621,180.41,3.02978
1174,120812,0.0135498,122.62842297554016,-0.0230663,0.0,8.24379,590.691434819,12,0.994676635601,180.72,3.00179
1185,122861,0.0114375,124.70662021636963,-0.0327039,0.0,7.83192,592.174981432,11,0.996352161514,181.31,2.99829
1196,124906,0.00926582,126.73794913291931,-0.0257862,0.0,7.88794,593.456659787,11,0.996462895535,181.71,2.97482
1207,126942,0.0118569,128.7995846271515,-0.0202506,0.0,18.9128,593.981050506,11,0.991202775389,182.14,2.95048
1218,129001,0.00786399,130.84752941131592,-0.0239876,0.0,9.57488,596.650911862,11,0.993082514033,182.83,2.92098
1229,131054,0.0102111,132.9202275276184,-0.0268035,0.0,7.21649,600.982740802,11,0.99497064529,184.04,2.91685
1240,133087,0.0143927,134.97089791297913,-0.027911,0.0,8.51135,601.70916351,11,0.994354336523,184.13,2.92154
1251,135120,0.0109035,137.01987552642822,-0.0282384,0.0,8.28616,603.987742839,11,0.997109567281,184.94,2.94033
1262,137188,0.00867336,139.07328724861145,-0.024638,0.0,9.14784,605.034044061,11,0.995231564157,185.65,2.95732
1273,139254,0.0195933,141.1207938194275,-0.0328394,0.0,14.0761,606.959331069,11,0.99346234696,186.25,2.93839
