loss_ent,EpThisIter,EpLenMean,TimeElapsed,loss_vf_loss,EpRewMean,loss_pol_entpen,TimestepsSoFar,loss_kl,EpisodesSoFar,loss_pol_surr,ev_tdlam_before
4.23508,104,19.62,2.4144351482391357,45.555,16.6144323523,0.0,2041,0.0111048,104,-0.0273053,0.00230467319489
4.18518,96,21.16,4.492686986923218,43.5131,19.9044497868,0.0,4081,0.0215729,200,-0.0398042,0.421272754669
4.15922,58,28.76,6.633480072021484,94.7768,33.9413323361,0.0,6139,0.0180212,258,-0.0380033,0.303059518337
4.12356,39,42.14,8.743010759353638,162.448,62.880055922,0.0,8165,0.0114438,297,-0.0297097,0.145606219769
4.13133,34,49.23,10.807620286941528,151.264,81.6406455284,0.0,10212,0.0107535,331,-0.0299769,0.230644285679
4.11304,27,61.36,12.895325183868408,169.11,110.425544878,0.0,12275,0.0161506,358,-0.0267448,0.396195590496
4.10215,23,68.57,14.993005514144897,203.721,130.368745402,0.0,14255,0.00840249,381,-0.0279555,0.455534160137
4.10274,23,76.96,17.07884645462036,184.22,153.143188232,0.0,16332,0.011254,404,-0.0284661,0.535251170397
4.06368,22,85.14,19.1871976852417,157.046,176.401374387,0.0,18430,0.00657172,426,-0.0177875,0.748356163502
4.06033,21,89.59,21.246350288391113,140.605,190.915469497,0.0,20403,0.00839161,447,-0.0222546,0.81060269475
4.0687,21,92.89,23.327807426452637,88.2956,201.749928961,0.0,22498,0.00769928,468,-0.0210799,0.899099513888
4.07462,21,94.84,25.43733263015747,117.932,208.894660827,0.0,24489,0.0086979,489,-0.0252677,0.851013973355
4.08518,20,96.73,27.530956983566284,72.8479,216.34512249,0.0,26537,0.00883217,509,-0.0228187,0.933226242661
4.05972,20,98.99,29.656256914138794,92.1676,223.233845692,0.0,28580,0.0111736,529,-0.030248,0.885911740363
4.04954,20,100.97,31.750165462493896,74.2593,228.852800337,0.0,30688,0.00965632,549,-0.0231355,0.903323695064
4.01519,19,102.56,33.82868576049805,88.0131,235.142580752,0.0,32754,0.0110444,568,-0.0310169,0.913014940917
3.98656,17,107.32,35.906862020492554,58.5823,250.694389707,0.0,34804,0.00940378,585,-0.0282045,0.925905518234
4.00088,17,110.15,37.97270441055298,84.7064,260.141842552,0.0,36841,0.0102352,602,-0.0237329,0.906496047974
3.99717,16,113.84,40.08495330810547,53.5214,273.675989032,0.0,38800,0.0139912,618,-0.0317433,0.940493509173
3.9481,17,117.13,42.180031061172485,64.6168,286.930636901,0.0,40916,0.0113725,635,-0.0278369,0.94118803367
3.9078,15,120.96,44.24985671043396,60.1799,302.218606248,0.0,42892,0.0100978,650,-0.0273558,0.951429989189
3.87198,16,124.71,46.32782578468323,48.6699,316.067295362,0.0,45003,0.0115713,666,-0.0269491,0.959293745458
3.84834,15,127.02,48.40788793563843,87.2129,325.645888305,0.0,47017,0.00913462,681,-0.0235513,0.901207752526
3.83106,15,129.76,50.469640493392944,63.0151,336.936688054,0.0,49090,0.0116565,696,-0.0282981,0.957597889006
3.8021,15,132.33,52.53095817565918,57.0109,346.46047006,0.0,51170,0.00950419,711,-0.0249836,0.951217159629
3.78977,14,134.57,54.59373450279236,52.0589,355.225995467,0.0,53128,0.0102497,725,-0.0267969,0.962930221111
3.77013,14,137.55,56.64039158821106,62.4062,368.299063391,0.0,55178,0.0134126,739,-0.0265267,0.957563575357
3.73566,14,139.76,58.73512053489685,125.454,377.370988783,0.0,57251,0.0118998,753,-0.0243123,0.926993831992
3.67505,12,144.24,60.799729108810425,74.375,394.169704336,0.0,59298,0.00992773,765,-0.0249849,0.958272669464
