loss_ent,TimeElapsed,EpLenMean,loss_kl,EpThisIter,loss_vf_loss,EpisodesSoFar,ev_tdlam_before,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_pol_surr
24.0372,3.8037896156311035,22.2527472527,0.0278949,91,1.06721,91,-0.0550317764282,2025,0.0,10.4528994947,-0.106555
23.9991,7.373675584793091,24.22,0.0295512,85,1.1283,176,0.455464065075,4088,0.0,11.4183199008,-0.1084
23.929,10.92909288406372,24.46,0.0340279,85,0.944609,261,0.713027536869,6126,0.0,11.5345494201,-0.116997
23.9121,14.483589887619019,25.78,0.0332406,79,1.10594,340,0.686729878187,8187,0.0,12.1424008218,-0.11976
23.8973,18.07329797744751,27.81,0.0414143,73,1.46295,413,0.689194113016,10240,0.0,13.1280122602,-0.123328
23.8386,21.656136512756348,31.01,0.0337559,59,1.25414,472,0.693727970123,12268,0.0,14.6290376135,-0.132797
23.8097,25.28837752342224,34.35,0.0408121,60,1.39112,532,0.79008051753,14307,0.0,16.1734396142,-0.13194
23.7613,28.936034679412842,36.46,0.0386784,54,0.982069,586,0.8135971874,16380,0.0,17.177677539,-0.135577
23.7196,32.57815217971802,39.2,0.0391196,51,1.16583,637,0.784058094025,18415,0.0,18.5091261283,-0.134109
23.6641,36.33021545410156,41.81,0.041249,46,0.972603,683,0.840133681893,20470,0.0,19.9817955943,-0.133141
23.6302,40.19418668746948,45.01,0.042163,44,0.827259,727,0.833987817168,22491,0.0,21.6513838043,-0.135809
23.5964,44.09871482849121,48.14,0.041487,41,0.963699,768,0.786267459393,24528,0.0,23.2797187341,-0.135393
23.6272,48.10137987136841,50.29,0.0402118,38,0.646629,806,0.832680791616,26563,0.0,24.335208885,-0.135625
23.5661,52.16330885887146,52.01,0.0387083,39,0.866143,845,0.827661544085,28621,0.0,25.2998187205,-0.134077
23.5072,56.338114500045776,54.77,0.0444695,36,0.671128,881,0.84673923254,30716,0.0,26.7382917404,-0.141595
23.4557,60.53893423080444,56.11,0.0442617,35,0.882111,916,0.865273416042,32727,0.0,27.3942079521,-0.135895
23.3953,64.74419713020325,59.2,0.0455285,33,0.848669,949,0.865060001612,34797,0.0,29.0542418396,-0.137266
23.337,69.06272745132446,60.44,0.0427911,33,0.603472,982,0.889230892062,36801,0.0,29.6819147954,-0.141376
23.2876,73.37151885032654,60.74,0.0397994,35,0.738434,1017,0.897183597088,38886,0.0,29.7762332665,-0.131518
23.2532,77.01459050178528,60.02,0.0451358,34,0.551572,1051,0.912919647992,40937,0.0,29.5701642745,-0.141555
23.1922,81.14764952659607,61.38,0.0491961,32,0.538832,1083,0.876910157502,43003,0.0,30.1241039743,-0.134917
23.1395,85.48529958724976,63.5,0.0472606,30,0.583454,1113,0.877934485674,44984,0.0,31.3629566153,-0.138587
23.0878,89.8192310333252,66.41,0.0492405,30,0.675319,1143,0.903614677489,47090,0.0,32.8006802731,-0.139968
23.074,94.21064591407776,67.11,0.0534719,31,0.546684,1174,0.913360260427,49124,0.0,33.2638539537,-0.141746
23.0383,98.51427841186523,67.25,0.0499169,32,0.570599,1206,0.91102707386,51200,0.0,33.3475998895,-0.141766
22.9573,102.89552140235901,66.92,0.0503386,29,0.524235,1235,0.913310721517,53219,0.0,33.0417621539,-0.138211
22.9443,107.25851464271545,68.54,0.051829,28,0.46206,1263,0.898918427527,55270,0.0,33.8438416229,-0.139009
22.8977,111.58522772789001,69.98,0.0503825,29,0.444093,1292,0.890130437911,57279,0.0,34.7366633113,-0.136819
22.8765,115.65077066421509,70.72,0.0521468,29,0.390565,1321,0.932490676641,59307,0.0,35.3124166483,-0.138635
22.8564,119.49131345748901,69.61,0.056789,30,0.40542,1351,0.929712310433,61438,0.0,34.7920080657,-0.142285
22.8198,123.68629860877991,70.45,0.054586,28,0.459315,1379,0.935316942632,63441,0.0,35.3415546038,-0.137988
22.7666,127.46039390563965,72.87,0.0523488,27,0.355577,1406,0.933675318956,65529,0.0,36.1361441109,-0.14697
22.7716,131.45199728012085,73.5,0.0544966,28,0.450689,1434,0.906438946724,67557,0.0,36.2275933533,-0.134548
22.7711,135.543359041214,74.07,0.0536577,28,0.361551,1462,0.93057616055,69631,0.0,36.3840193697,-0.142914
22.7726,139.3438858985901,75.75,0.057723,25,0.478577,1487,0.93450409919,71610,0.0,37.0380389683,-0.142366
22.7616,143.41958713531494,74.67,0.0511256,28,0.412694,1515,0.930400930345,73686,0.0,36.8714579775,-0.146234
22.7057,147.44431614875793,74.73,0.0546521,28,0.501432,1543,0.947243291885,75727,0.0,37.1258855594,-0.13766
22.6557,151.24435377120972,74.82,0.0585803,27,0.533804,1570,0.921261273324,77824,0.0,37.1861676522,-0.143766
22.6451,155.5143482685089,76.37,0.059964,26,0.478346,1596,0.902973763645,79864,0.0,38.084809873,-0.144418
22.6144,159.80355763435364,76.37,0.0596002,26,0.534783,1622,0.924444280565,81860,0.0,38.1035294948,-0.143106
22.5773,163.6558334827423,76.73,0.0540837,28,0.521031,1650,0.923245474696,83942,0.0,38.2244653722,-0.136445
22.5088,167.7815260887146,78.07,0.0633385,25,0.361838,1675,0.933838881552,86007,0.0,38.8674232747,-0.144952
22.4704,171.92117166519165,78.03,0.0595475,25,0.334644,1700,0.920826129615,87992,0.0,38.7364157538,-0.13902
22.4134,175.65628361701965,79.33,0.0573624,26,0.594687,1726,0.876828230917,90091,0.0,39.3323478608,-0.136865
22.3416,179.55396342277527,78.44,0.0648596,27,0.576334,1753,0.920875482261,92122,0.0,38.908662695,-0.143012
22.295,183.69677567481995,77.41,0.063358,28,0.464511,1781,0.934109859169,94205,0.0,38.1632028123,-0.145085
22.23,187.79595804214478,76.51,0.066146,26,0.657107,1807,0.92393103987,96193,0.0,37.8459503344,-0.141849
22.1987,191.56094431877136,76.99,0.0646642,23,0.45246,1830,0.939284045249,98230,0.0,38.2056604747,-0.144329
22.1942,195.31221675872803,82.09,0.0611157,23,0.387735,1853,0.926433235407,100331,0.0,40.5245237693,-0.143512
22.1801,199.32030963897705,83.25,0.0658414,26,0.500272,1879,0.94248624891,102364,0.0,41.06360111,-0.143142
22.122,203.6329927444458,85.43,0.0622714,24,0.4419,1903,0.934208892286,104422,0.0,42.1878534735,-0.146435
22.0542,207.77313256263733,85.35,0.0612335,24,0.347221,1927,0.937397800386,106492,0.0,41.750815416,-0.141502
22.0473,211.7333905696869,82.31,0.0720187,25,0.370455,1952,0.955137833953,108497,0.0,40.4669287943,-0.147302
22.0188,215.76597714424133,82.88,0.0636224,26,0.269805,1978,0.959991917014,110588,0.0,40.8790243323,-0.145009
21.9907,220.1464660167694,83.44,0.0689544,23,0.353657,2001,0.947127189487,112613,0.0,41.2281909241,-0.146107
21.99,224.48482394218445,84.94,0.0709794,22,0.352518,2023,0.934170641005,114645,0.0,42.3221322543,-0.142721
21.936,228.39878821372986,85.0,0.0688094,26,0.346607,2049,0.949980158359,116735,0.0,42.4134075126,-0.144461
21.8883,232.16361737251282,85.77,0.0685518,24,0.32589,2073,0.953341905028,118731,0.0,42.6448847648,-0.138853
21.824,235.92777800559998,85.48,0.0736955,24,0.410017,2097,0.947822269052,120827,0.0,42.2102710348,-0.143542
21.7651,239.9529914855957,82.83,0.062062,25,0.43272,2122,0.925588712096,122796,0.0,40.6672561616,-0.139107
21.7115,244.19416046142578,82.35,0.0716935,26,0.376896,2148,0.941440183669,124901,0.0,40.6858158121,-0.140489
