loss_pol_entpen,EpisodesSoFar,loss_ent,EpThisIter,TimestepsSoFar,TimeElapsed,EpLenMean,loss_pol_surr,loss_vf_loss,EpRewMean,ev_tdlam_before,loss_kl
0.0,97,24.1581,97,2037,3.722003936767578,21.0,-0.106584,0.84011,9.93947816086,-0.0761941671371,0.0301384
0.0,185,24.143,88,4091,7.234481334686279,22.93,-0.111578,0.578986,10.7659748895,0.624883025885,0.0279323
0.0,271,24.1558,86,6128,10.847025156021118,23.75,-0.113148,0.81232,11.2269310133,0.708882749081,0.0331589
0.0,349,24.1134,78,8184,14.422391653060913,26.3,-0.124412,1.00395,12.4000077359,0.743586301804,0.0337511
0.0,414,24.0508,65,10210,17.97678232192993,30.05,-0.124871,0.98109,14.0904779466,0.748055547476,0.0348203
0.0,481,23.9923,67,12277,21.508501529693604,30.32,-0.131512,1.63907,14.4486039692,0.724986881018,0.038742
0.0,543,23.9369,62,14329,25.05043315887451,31.72,-0.132711,1.58492,15.144338461,0.725284665823,0.0387943
0.0,599,23.8917,56,16382,28.63460373878479,35.06,-0.134821,1.1248,16.6376750276,0.781839028001,0.0418772
0.0,648,23.8237,49,18395,32.21110534667969,39.29,-0.135366,1.15466,18.5962668512,0.802346020937,0.0389146
0.0,694,23.8268,46,20480,35.82087063789368,43.16,-0.13926,1.18898,20.6846823423,0.778816148639,0.0376838
0.0,741,23.8041,47,22513,39.425599098205566,43.99,-0.140112,1.06362,21.0393216449,0.796325281262,0.038252
0.0,786,23.7557,45,24575,43.00210881233215,44.8,-0.14023,0.970283,21.4830487419,0.806356802583,0.0381235
0.0,825,23.6945,39,26614,46.586397886276245,47.64,-0.138235,0.775456,22.9189413318,0.848320156336,0.0419247
0.0,863,23.6608,38,28631,50.21885704994202,50.92,-0.141255,1.0203,24.6536079244,0.875978715718,0.0417396
0.0,900,23.6063,37,30710,53.81184220314026,54.64,-0.139641,0.711301,26.5792233593,0.838731378317,0.0427157
0.0,936,23.6051,36,32739,57.43810677528381,55.18,-0.143057,0.601825,26.9463353824,0.901539266109,0.0412738
0.0,974,23.6171,38,34796,61.07140612602234,55.43,-0.137751,0.717198,27.1704118964,0.876388214529,0.0398386
0.0,1006,23.5582,32,36853,64.67247676849365,57.82,-0.143668,0.516594,28.304218447,0.879204936326,0.04008
0.0,1041,23.5348,35,38860,68.31316041946411,58.2,-0.142859,0.619351,28.3801438874,0.887131109834,0.0438835
0.0,1074,23.5308,33,40922,71.9759681224823,61.26,-0.136468,0.532964,29.8638641059,0.869527548552,0.043102
0.0,1107,23.5296,33,43002,75.57829308509827,61.11,-0.143313,0.554623,29.7293590933,0.890718452632,0.0450186
0.0,1137,23.4198,30,45033,79.22184944152832,63.76,-0.142585,0.547592,30.9375984556,0.89107080549,0.0451302
0.0,1168,23.3549,31,47051,82.84688591957092,64.97,-0.142788,0.581225,31.4344977826,0.884514391422,0.047765
0.0,1200,23.3377,32,49073,86.46036839485168,64.85,-0.137471,0.502498,31.5509304387,0.885031349957,0.0486478
0.0,1231,23.3165,31,51152,90.11086535453796,64.71,-0.143168,0.628563,31.6607873899,0.89361846447,0.0424152
0.0,1262,23.2824,31,53176,93.73446869850159,64.98,-0.14217,0.39765,32.028012329,0.918552912772,0.0470208
0.0,1292,23.2566,30,55246,97.3367714881897,66.77,-0.142296,0.475801,32.8220696984,0.912460014224,0.0464769
0.0,1324,23.2037,32,57283,100.9869704246521,65.91,-0.138662,0.477256,32.2586600758,0.904687166214,0.0481669
0.0,1354,23.1906,30,59377,104.62814855575562,67.27,-0.141753,0.313996,33.1358723565,0.936888806522,0.0534073
0.0,1384,23.1646,30,61398,108.25009775161743,67.06,-0.144625,0.39885,33.1016901166,0.929792270064,0.0512737
0.0,1412,23.1512,28,63372,111.88480639457703,68.77,-0.142329,0.469409,33.9602451922,0.91506228596,0.048888
