#{"t_start": 1536375009.2858915, "env_id": "Humanoid-v2"}
r,l,t
151.344027,30,1.181707
81.127845,17,1.212957
150.270954,34,1.244207
116.736036,24,1.259833
102.064647,21,1.291082
113.540626,23,1.306708
88.905654,19,1.337957
116.112625,25,1.353582
77.958538,17,1.369208
136.861952,28,1.400456
133.905506,27,1.431707
108.46523,22,1.462957
81.034727,17,1.478582
76.727379,16,1.494207
85.03555,18,1.509833
98.412101,20,1.525457
81.381424,17,1.541082
100.686945,22,1.572331
161.115783,37,1.603581
81.370796,17,1.619207
86.025186,18,1.650456
147.42505,31,1.681706
76.488321,16,1.697332
84.359222,18,1.712956
137.19118,29,1.744205
115.41296,24,1.759831
76.328776,16,1.78883
103.074263,21,1.804456
146.083537,30,1.835705
98.565046,20,1.851331
141.662023,29,1.882581
89.916725,19,1.898206
84.260123,18,1.929455
88.233409,20,1.94508
202.161133,45,1.991955
76.325152,16,2.007581
92.981458,20,2.023205
81.100647,17,2.038831
91.327355,19,2.07008
99.587571,22,2.085706
85.927061,18,2.10133
80.794432,17,2.116955
129.110685,28,2.148204
81.522409,17,2.16383
84.551023,18,2.179454
86.442289,18,2.210705
164.71793,34,2.241955
84.869933,18,2.25758
96.639756,20,2.273205
100.241219,21,2.304454
76.59202,16,2.32008
162.946665,35,2.351329
76.55311,16,2.366955
80.378266,17,2.382579
85.71628,18,2.398206
86.087229,18,2.429454
114.332216,24,2.44508
79.272628,17,2.460704
101.53752,22,2.491954
122.46026,27,2.523204
80.700609,17,2.538829
83.435853,18,2.554454
116.482912,25,2.570079
73.678682,16,2.585703
85.329131,18,2.616953
79.468403,17,2.632579
130.232908,25,2.648203
156.037659,33,2.695078
82.903061,18,2.710703
96.868385,23,2.726328
80.274962,17,2.741957
76.627285,16,2.757578
121.976429,28,2.788828
81.439054,17,2.804453
76.674043,16,2.820079
81.04842,17,2.851327
93.036396,19,2.866953
71.879834,15,2.886675
111.839904,24,2.906327
76.564759,16,2.921952
81.070486,17,2.937577
130.789518,27,2.968826
74.79638,16,2.984453
81.097208,17,3.000077
91.550268,19,3.015702
81.405997,17,3.031326
125.799893,29,3.062576
149.9238,31,3.093825
80.516448,17,3.125076
124.101464,27,3.140702
96.261224,20,3.171951
70.087874,15,3.187576
130.747665,27,3.218826
111.916436,24,3.234451
93.056816,19,3.250076
154.939813,31,4.666452
83.945982,18,4.682078
136.636855,32,4.713327
85.233692,18,4.728953
93.77762,22,4.760201
147.533764,31,4.78846
81.561867,17,4.804087
90.121043,19,4.819711
149.711376,30,4.850961
86.587556,18,4.882211
145.625347,31,4.913461
115.380334,24,4.929086
85.046251,18,4.944712
81.35613,17,4.960336
86.10699,18,4.991585
133.48941,29,5.022835
157.337952,35,5.054085
112.268547,24,5.085336
112.545012,26,5.100961
116.937041,24,5.13221
116.048314,24,5.16346
235.645149,46,5.210335
147.317874,30,5.241585
155.480169,33,5.272835
173.773563,35,5.304085
91.142844,20,5.335334
89.485263,19,5.35096
81.252893,17,5.366584
159.251081,35,5.397835
169.861215,36,5.444709
81.118718,17,5.460335
91.178199,19,5.47596
131.330552,28,5.507209
165.786922,38,5.538459
156.522593,33,5.585334
85.976874,18,5.600959
86.399826,18,5.616584
127.846968,27,5.647833
134.976566,29,5.679084
130.723761,28,5.710333
75.831706,16,5.725959
80.905701,17,5.741584
81.496628,17,5.757208
85.880593,18,5.772834
114.432003,24,5.804083
118.419489,25,5.819708
105.644665,22,5.850958
73.901294,16,5.866583
87.229167,18,5.89035
81.073304,17,5.905977
86.090756,18,5.921603
86.186399,18,5.937227
81.618683,17,5.952853
172.298647,36,5.999727
140.484322,32,6.030977
85.431512,18,6.046602
81.404127,17,6.062227
76.679302,16,6.077852
130.118382,29,6.109101
107.933865,24,6.140352
101.470099,21,6.155977
103.199386,21,6.187226
78.22642,17,6.202852
145.536796,32,6.234101
98.34945,20,6.249727
104.050251,22,6.280976
81.324708,17,6.296602
86.802549,19,6.312227
74.994413,16,6.327852
79.995653,17,6.359101
75.837525,16,6.374726
95.22806,20,6.390352
114.485497,24,6.421601
109.842364,25,6.437227
81.691074,17,6.468476
90.90008,19,6.484101
105.791247,22,6.499726
81.152762,17,6.530976
100.893469,22,6.546601
201.196781,43,6.593475
81.441429,17,6.609101
91.105976,19,6.624725
94.593083,20,6.655975
90.498784,19,6.671601
76.106847,16,6.687226
76.01201,17,6.702851
152.375746,33,6.749725
85.862734,18,6.76535
147.781292,30,8.015515
81.035486,17,8.031141
91.069905,19,8.062389
127.440179,26,8.093639
156.665098,33,8.124889
95.149939,21,8.156139
145.389912,31,8.187389
81.203889,17,8.203014
80.916357,17,8.218639
80.678499,17,8.234265
76.687052,16,8.249888
124.882912,26,8.281139
86.722138,18,8.296765
181.525077,43,8.343638
81.131863,17,8.374888
151.841046,36,8.406138
163.948901,33,8.453013
86.009551,18,8.468639
81.059487,17,8.484264
73.014173,16,8.499889
85.055801,18,8.531138
126.425702,26,8.546764
203.802221,42,8.609262
152.039781,32,8.640514
199.839513,40,8.687387
86.319163,18,8.703012
81.507059,17,8.718643
80.734329,17,8.734262
143.381675,30,8.765512
86.164843,18,8.787784
155.522902,32,8.834659
183.880584,40,8.86591
92.196258,20,8.9003
106.550914,23,8.915925
139.227819,32,8.9628
118.771025,25,8.99405
89.726815,20,9.009676
125.370805,27,9.040925
68.804102,15,9.056551
193.101193,40,9.103425
120.495801,27,9.119051
171.683547,36,9.165925
131.066939,28,9.197175
135.603578,29,9.228425
114.198589,23,9.244051
78.529691,17,9.259674
212.254577,45,9.306549
152.610336,37,9.353424
141.896487,30,9.384674
84.868119,18,9.4003
79.604443,17,9.415924
90.820155,19,9.431549
84.861852,18,9.462799
92.02708,19,9.478424
76.140706,16,9.494049
101.038884,21,9.509674
86.764306,18,9.525299
155.406491,33,9.572173
139.340775,28,9.603423
86.133484,18,9.619049
149.579352,32,9.650298
86.570466,18,9.665924
132.87402,27,9.697173
154.49364,34,9.728423
116.376466,25,9.759673
96.300143,21,9.788631
80.55051,17,9.804329
160.36443,36,9.835578
88.954323,19,9.851204
156.359578,32,9.898077
85.958722,18,9.913703
81.177854,17,9.929328
97.067907,22,9.944953
85.974418,18,9.976202
189.59138,38,10.007452
95.562834,20,10.038702
77.154463,16,10.054328
86.548936,18,10.069953
147.91786,34,10.101202
133.880119,30,10.132452
133.307122,28,10.163702
131.731024,28,10.194952
148.861886,30,10.226202
85.944895,18,11.38962
94.895082,21,11.405246
81.38988,17,11.420869
