TimestepsSoFar,TimeElapsed,EpRewMean,EpLenMean,EpThisIter,EpisodesSoFar,loss_pol_entpen,loss_vf_loss,loss_ent,loss_kl,loss_pol_surr,ev_tdlam_before
2035,3.515994071960449,10.1282953488,21.4210526316,95,95,0.0,0.877356,24.0947,0.0278917,-0.109822,-0.0727697610855
4068,6.896307468414307,10.8157527605,22.95,88,183,0.0,0.762296,24.0679,0.0296226,-0.111274,0.542596787214
6143,10.254786729812622,11.4942564952,24.43,83,266,0.0,1.00512,24.0607,0.032154,-0.123734,0.706917077303
8155,13.559273958206177,11.8215399512,25.13,80,346,0.0,1.12017,23.9859,0.0352495,-0.120821,0.666626542807
10230,16.884289979934692,13.0399890765,27.83,71,417,0.0,1.19132,24.0219,0.035041,-0.130069,0.74027878046
12270,20.215999126434326,15.0345259096,32.0,62,479,0.0,1.06551,23.9584,0.0404521,-0.136534,0.749684661627
14314,23.55937957763672,16.5933202472,35.2,55,534,0.0,1.05198,23.8926,0.0413778,-0.133897,0.778662979603
16376,26.90759038925171,18.5559667596,39.1,50,584,0.0,0.97437,23.8352,0.0406987,-0.138758,0.791934818029
18430,30.287233114242554,20.1785463267,42.28,47,631,0.0,0.653342,23.7947,0.0410554,-0.138361,0.823640838265
20457,33.644248962402344,20.3119441077,42.44,49,680,0.0,1.33101,23.7371,0.0366514,-0.138272,0.790572956204
22494,36.98944711685181,20.9482017954,43.92,43,723,0.0,0.84224,23.6994,0.0409822,-0.134335,0.797490149736
24547,40.372246742248535,22.1945968088,45.94,44,767,0.0,1.17957,23.6565,0.0450048,-0.136408,0.841127336025
26615,43.74673533439636,23.7571535975,48.9,41,808,0.0,0.913587,23.5752,0.0415371,-0.144404,0.835321903229
28638,47.1637761592865,25.4449712465,52.07,35,843,0.0,0.530894,23.5487,0.0424075,-0.1403,0.869406506419
30716,50.593671560287476,26.8645559862,55.12,37,880,0.0,0.81556,23.512,0.0444822,-0.145842,0.887375555933
32730,53.9974319934845,27.4654923991,56.63,36,916,0.0,0.601225,23.476,0.043521,-0.1442,0.865397363901
34811,57.39636588096619,26.491642538,54.81,39,955,0.0,0.6774,23.4429,0.0406247,-0.137845,0.883933722973
36816,60.797635316848755,27.2162626407,55.99,34,989,0.0,0.795308,23.4083,0.0437828,-0.143579,0.890508361161
38889,64.21633052825928,28.51915698,58.11,34,1023,0.0,0.58805,23.3531,0.0439733,-0.142732,0.902025535703
40917,67.6302900314331,30.0867664485,61.06,32,1055,0.0,0.650484,23.2883,0.0447459,-0.137648,0.884483762085
42927,71.05280613899231,30.6126872609,62.16,32,1087,0.0,0.600168,23.234,0.0433199,-0.137978,0.890161268413
45002,74.4726550579071,31.7772594613,64.33,31,1118,0.0,0.541538,23.2467,0.044281,-0.140614,0.897819235921
47053,77.88765501976013,32.1136363153,64.97,31,1149,0.0,0.414667,23.1725,0.0437413,-0.138803,0.92000143975
49130,81.3012261390686,32.3928375794,65.52,32,1181,0.0,0.475333,23.1213,0.0408679,-0.138046,0.904337279499
51191,84.73162937164307,32.5808502214,65.68,31,1212,0.0,0.461176,23.0662,0.0465416,-0.137279,0.913328170776
53228,88.1404812335968,33.0683696331,66.59,29,1241,0.0,0.496205,23.0426,0.0496997,-0.139234,0.909150160849
55283,91.5786452293396,33.5484665781,67.96,31,1272,0.0,0.487345,22.9739,0.0488764,-0.140059,0.9171391204
57302,95.01300001144409,33.4878119051,67.49,30,1302,0.0,0.400547,22.9478,0.0520133,-0.145347,0.908624194562
59339,98.44212818145752,33.6048452075,67.64,30,1332,0.0,0.465229,22.8692,0.049651,-0.144075,0.919273450971
61397,101.8411979675293,32.5970445222,65.79,32,1364,0.0,0.497882,22.832,0.0488748,-0.139497,0.912473984063
63439,105.27140998840332,33.3915973683,67.42,29,1393,0.0,0.401985,22.7957,0.048519,-0.143302,0.90988496691
65522,108.68465995788574,32.5144874974,65.76,33,1426,0.0,0.458305,22.731,0.0454141,-0.132687,0.915627785027
67546,112.12250256538391,33.3149688181,66.9,30,1456,0.0,0.434991,22.6872,0.0562034,-0.142086,0.929211825132
69628,115.54408526420593,33.397099869,67.0,29,1485,0.0,0.413054,22.6558,0.052674,-0.137268,0.932849414647
71610,118.96639394760132,34.2468283566,68.41,29,1514,0.0,0.498657,22.6179,0.0510504,-0.1437,0.938525017351
73672,122.4040117263794,35.6861106383,71.48,27,1541,0.0,0.408821,22.5753,0.0534981,-0.146389,0.924139738083
75767,125.81746697425842,35.22832998,70.47,31,1572,0.0,0.456525,22.5122,0.0580618,-0.142877,0.919420652092
