TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_ent,loss_kl,EpRewMean,loss_vf_loss
2028,0.0,3.5156145095825195,-0.127239704132,91,22.2857142857,-0.103587,91,24.0817,0.0276586,10.4212846519,1.05707
4080,0.0,6.7499799728393555,0.555794596672,92,22.19,-0.108948,183,24.0766,0.0275291,10.4863240882,0.734777
6141,0.0,10.046845436096191,0.652842372656,83,24.37,-0.112153,266,24.0728,0.0291271,11.4895817784,0.829399
8190,0.0,13.328524589538574,0.762413755059,76,26.45,-0.121642,342,24.0497,0.0336395,12.4871842581,1.13384
10220,0.0,16.633840084075928,0.770725503564,74,27.13,-0.121062,416,24.0176,0.0343874,12.7415552567,1.10391
12283,0.0,19.95273756980896,0.766124770045,65,30.06,-0.129203,481,23.9695,0.0370197,14.0987404549,1.01107
14336,0.0,23.28842806816101,0.751386627555,62,33.14,-0.129691,543,23.9294,0.0384775,15.5787020393,1.02175
16381,0.0,26.618744134902954,0.798505574465,58,34.07,-0.134742,601,23.8977,0.040129,16.0964967467,0.887609
18413,0.0,29.95555543899536,0.818777769804,53,36.85,-0.139561,654,23.8923,0.0394485,17.3877060592,0.60508
20464,0.0,33.30662703514099,0.836887598038,54,38.21,-0.136186,708,23.8696,0.0376276,18.0690430374,0.698314
22525,0.0,36.640385150909424,0.814991742373,52,38.68,-0.135558,760,23.7927,0.0390438,18.3278976778,0.737918
24570,0.0,39.98412561416626,0.857284098864,46,41.65,-0.137105,806,23.7598,0.040274,19.8033567198,0.59255
26616,0.0,43.32786560058594,0.868694588542,45,44.34,-0.141649,851,23.7002,0.0427996,21.2270118024,0.609719
28667,0.0,46.70285773277283,0.887993142009,43,46.57,-0.14432,894,23.6297,0.0424193,22.4683430961,0.474234
30677,0.0,50.062800884246826,0.879599653184,42,47.19,-0.142069,936,23.5989,0.0415444,22.9651872356,0.455692
32751,0.0,53.43997550010681,0.878252610564,41,49.17,-0.136152,977,23.5576,0.0407254,23.9554456402,0.529391
34778,0.0,56.82322931289673,0.871572270989,37,51.01,-0.138971,1014,23.5022,0.0427382,24.8763171095,0.463376
36851,0.0,60.213828325271606,0.87661857903,39,52.85,-0.138671,1053,23.4354,0.045071,25.845838141,0.717839
38892,0.0,63.598414182662964,0.860740721226,35,55.39,-0.140637,1088,23.3743,0.04219,27.0371727999,0.456332
40951,0.0,66.96918535232544,0.858628690243,35,56.76,-0.144837,1123,23.3267,0.0469592,27.8341575812,0.564368
42962,0.0,70.35903739929199,0.880030483007,32,59.79,-0.143012,1155,23.2462,0.0471085,29.4509638811,0.512976
45039,0.0,73.72818970680237,0.895461581647,36,59.63,-0.145017,1191,23.2181,0.0471162,29.5226897574,0.498227
47098,0.0,77.11209988594055,0.90614939481,36,59.2,-0.142167,1227,23.176,0.0473171,29.1022609801,0.538104
49100,0.0,80.49997615814209,0.908264964819,33,58.27,-0.13853,1260,23.1246,0.0489229,28.6002450323,0.516045
51189,0.0,83.89813661575317,0.912153966725,32,60.94,-0.141718,1292,23.1026,0.0470923,30.230817201,0.550863
53188,0.0,87.30057215690613,0.89444372803,33,62.24,-0.145029,1325,23.0701,0.0519667,30.9885880791,0.620579
55264,0.0,90.70299315452576,0.876465626061,33,63.04,-0.136465,1358,23.0624,0.0505054,31.5090087349,0.560899
57344,0.0,94.1259081363678,0.927866227925,32,62.8,-0.139558,1390,22.9899,0.0463361,31.4738633795,0.576411
