loss_pol_surr,TimeElapsed,loss_kl,EpisodesSoFar,loss_vf_loss,loss_pol_entpen,EpThisIter,ev_tdlam_before,loss_ent,TimestepsSoFar,EpRewMean,EpLenMean
-0.108999,3.5782768726348877,0.0300977,88,1.23613,0.0,88,-0.0600537061691,24.0284,2047,11.0052594545,23.2613636364
-0.114028,6.82847785949707,0.0300452,181,0.637262,0.0,93,0.631288170815,24.0157,4091,10.4696404538,22.24
-0.116586,10.094318151473999,0.0316918,266,0.902125,0.0,85,0.716881304979,23.9622,6128,11.2507790791,23.76
-0.125535,13.386624097824097,0.0353627,344,0.892155,0.0,78,0.74480971694,23.9465,8177,12.2003635958,25.71
-0.126908,16.672001123428345,0.0360046,419,0.957352,0.0,75,0.762625589967,23.9045,10211,12.9463138959,27.38
-0.128203,19.977343559265137,0.0403222,486,1.17809,0.0,67,0.754690945148,23.8618,12286,13.8580934925,29.26
-0.133909,23.270298719406128,0.0358411,545,1.15992,0.0,59,0.767846867442,23.839,14324,15.7261774674,33.27
-0.134082,26.563101768493652,0.0419307,603,1.44991,0.0,58,0.730768233538,23.8119,16363,16.8215012522,35.39
-0.135703,29.923367977142334,0.0397565,656,1.13261,0.0,53,0.813809260726,23.7372,18425,17.9830138045,37.61
-0.136461,33.28091073036194,0.0384291,700,0.922343,0.0,44,0.820832133293,23.7052,20444,20.0608385778,42.09
-0.13813,36.63321590423584,0.037,744,0.667498,0.0,44,0.810273632407,23.6833,22510,21.803455715,45.51
-0.141582,39.96260094642639,0.0389108,784,0.841468,0.0,40,0.838650897145,23.641,24572,23.4396129009,48.45
-0.139567,43.30567669868469,0.0399797,825,0.617697,0.0,41,0.853392332792,23.5941,26562,23.856706141,49.32
-0.143809,46.68022394180298,0.037143,862,0.60187,0.0,37,0.847731694579,23.5612,28653,24.9748717519,51.73
-0.139408,50.03941607475281,0.0409442,899,0.443431,0.0,37,0.871184393764,23.5261,30687,25.9379009168,53.41
-0.140536,53.438923835754395,0.0423129,934,0.50606,0.0,35,0.889849379659,23.5033,32713,27.3613826198,56.33
-0.142658,56.78168988227844,0.0433594,966,0.559793,0.0,32,0.893260411918,23.4543,34780,28.8160494459,59.1
-0.138669,60.187493324279785,0.040702,1000,0.663751,0.0,34,0.876950256526,23.3781,36829,29.6907253146,60.72
-0.141045,63.570985078811646,0.0430434,1033,0.507003,0.0,33,0.877020090818,23.3286,38889,30.3783850294,62.21
-0.142836,66.97586059570312,0.0458816,1064,0.466838,0.0,31,0.898758411407,23.2677,40907,30.7663666575,62.64
-0.137122,70.37519907951355,0.0452267,1095,0.484228,0.0,31,0.926656834781,23.2024,42979,31.4282712148,64.28
-0.148398,73.7794177532196,0.0437621,1124,0.456479,0.0,29,0.899060569704,23.1316,44989,32.7483320944,66.68
-0.143366,77.1581130027771,0.0465543,1154,0.44182,0.0,30,0.932981967926,23.0637,47092,34.0301513192,68.9
-0.143704,80.53950762748718,0.0482144,1183,0.481305,0.0,29,0.924629881978,23.0345,49148,34.4502390281,69.52
-0.144912,83.92195057868958,0.0499922,1211,0.485685,0.0,28,0.877166584134,23.0327,51183,35.4459888978,71.85
-0.136391,87.320552110672,0.0508629,1242,0.371141,0.0,31,0.920781157911,22.9645,53228,34.2407152356,69.26
-0.142149,90.76625204086304,0.0480329,1269,0.453806,0.0,27,0.892177216709,22.9431,55254,34.5694218425,70.47
-0.143192,94.15433692932129,0.0507442,1299,0.357685,0.0,30,0.915894269943,22.9112,57333,34.9950382692,71.43
-0.143078,97.55454063415527,0.047026,1326,0.422759,0.0,27,0.915721543133,22.8643,59342,35.0719151324,71.45
-0.145842,100.98479437828064,0.0558564,1354,0.505237,0.0,28,0.931301429868,22.8699,61371,35.2521306146,71.78
-0.13181,104.41308236122131,0.0500772,1381,0.620767,0.0,27,0.876514986157,22.8665,63434,36.1451936089,73.48
-0.137911,107.87642550468445,0.05028,1407,0.41081,0.0,26,0.916427671909,22.8262,65525,36.9590561155,75.67
-0.136982,111.31992411613464,0.0501081,1434,0.463808,0.0,27,0.946207795292,22.8056,67556,37.1028391376,75.89
-0.139642,114.71884036064148,0.0491353,1464,0.406955,0.0,30,0.917617298663,22.7584,69612,36.0663269424,74.1
-0.145729,118.15703582763672,0.0560434,1489,0.361371,0.0,25,0.8931729123,22.7437,71607,36.6747312939,75.22
-0.145051,121.60153484344482,0.0520655,1516,0.441146,0.0,27,0.933651916683,22.7272,73711,36.5571234825,75.28
-0.146646,125.00800704956055,0.0568331,1542,0.493701,0.0,26,0.939310275018,22.648,75737,36.9510720258,76.52
-0.145314,128.46119809150696,0.0532539,1567,0.408122,0.0,25,0.947714142501,22.6472,77745,38.4757752107,78.96
-0.139151,131.8991117477417,0.0555701,1595,0.500953,0.0,28,0.935645200312,22.6098,79869,38.4452651701,78.03
-0.144104,135.3267524242401,0.0561921,1620,0.497487,0.0,25,0.930107556283,22.5842,81849,38.5522059537,78.4
-0.143938,138.71933221817017,0.059452,1646,0.424277,0.0,26,0.916358016431,22.5714,83855,38.6706496389,78.34
-0.144838,142.15703988075256,0.0612184,1671,0.325368,0.0,25,0.931664466858,22.5328,85989,39.1669044603,79.42
-0.149101,145.53970074653625,0.0588997,1696,0.309169,0.0,25,0.949279200286,22.4847,87988,39.481723822,80.54
-0.144076,148.94610714912415,0.0606622,1722,0.34289,0.0,26,0.94312126562,22.4342,90099,39.831243247,80.92
