#{"t_start": 1536429738.7755265, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
26.76395,3,1.148722
35.500231,4,1.148722
45.265806,5,1.148722
35.978184,4,1.148722
54.727323,6,1.164349
54.591125,6,1.164349
44.828945,5,1.164349
44.892728,5,1.164349
44.885584,5,1.164349
45.21583,5,1.179974
45.272364,5,1.179974
45.27873,5,1.179974
26.880069,3,1.179974
35.865236,4,1.179974
45.149435,5,1.179974
45.111789,5,1.195599
35.189242,4,1.195599
35.888888,4,1.195599
54.328978,6,1.195599
35.594625,4,1.195599
63.85609,7,1.211223
45.285519,5,1.211223
45.007881,5,1.211223
35.719711,4,1.211223
26.771224,3,1.211223
36.233304,4,1.211223
72.686957,8,1.226847
45.059363,5,1.226847
101.117994,11,1.226847
82.11688,9,1.242473
45.632662,5,1.242473
44.651218,5,1.242473
45.2196,5,1.242473
35.715863,4,1.242473
54.434172,6,1.258099
44.808677,5,1.258099
45.080644,5,1.258099
64.243392,7,1.258099
45.312473,5,1.258099
54.71981,6,1.273722
64.123175,7,1.273722
63.802926,7,1.273722
45.215457,5,1.273722
45.057194,5,1.273722
91.039724,10,1.293959
63.948027,7,1.296999
45.265488,5,1.296999
36.226992,4,1.296999
45.248802,5,1.296999
54.614337,6,1.296999
35.843611,4,1.296999
35.596018,4,1.312626
36.057051,4,1.312626
54.471103,6,1.312626
45.347254,5,1.312626
45.645237,5,1.312626
54.598702,6,1.32825
54.3025,6,1.32825
35.550435,4,1.32825
45.390975,5,1.32825
63.521071,7,1.32825
45.604572,5,1.343874
36.395711,4,1.343874
63.507215,7,1.343874
45.599603,5,1.343874
35.923305,4,1.343874
26.871771,3,1.343874
45.452061,5,1.3595
45.136833,5,1.3595
36.039706,4,1.3595
73.131714,8,1.3595
63.713792,7,1.375128
73.460578,8,1.375128
44.861332,5,1.375128
54.041743,6,1.375128
72.883808,8,1.39075
45.032887,5,1.39075
63.967549,7,1.39075
44.944592,5,1.39075
36.216103,4,1.39075
36.008415,4,1.406376
45.361615,5,1.406376
35.932531,4,1.406376
35.891416,4,1.406376
54.507581,6,1.406376
64.382819,7,1.422
44.811023,5,1.422
44.917368,5,1.422
73.048485,8,1.422
35.899866,4,1.422
63.840909,7,1.437625
45.07131,5,1.437625
35.796852,4,1.437625
72.050374,8,1.437625
36.064736,4,1.437625
64.02347,7,1.453251
54.200257,6,1.453251
35.637233,4,1.453251
26.888186,3,1.453251
82.171151,9,1.468874
26.911865,3,1.468874
54.267292,6,1.468874
35.715537,4,1.468874
82.705289,9,1.468874
54.465579,6,1.4845
54.536748,6,1.4845
45.298299,5,1.4845
35.699089,4,1.4845
63.637852,7,1.4845
73.103482,8,1.500126
63.463687,7,1.500126
63.610833,7,1.500126
54.42291,6,1.500126
35.556152,4,1.515751
73.132958,8,1.515751
45.282629,5,1.515751
54.181907,6,1.515751
45.412098,5,1.531375
36.058444,4,1.531375
36.053131,4,1.531375
72.559123,8,1.531375
80.991043,9,1.531375
63.748038,7,1.547
72.906539,8,1.547
45.258205,5,1.547
45.62579,5,1.547
54.047257,6,1.562625
35.883705,4,1.562625
64.048409,7,1.562625
63.864184,7,1.562625
54.024042,6,1.562625
64.12608,7,1.57825
72.855922,8,1.57825
44.690753,5,1.57825
45.33286,5,1.57825
72.816752,8,1.593875
54.545987,6,1.593875
44.851906,5,1.593875
44.865177,5,1.593875
53.767609,6,1.6095
63.27127,7,1.6095
35.381968,4,1.6095
36.098804,4,1.6095
54.368588,6,1.6095
36.181432,4,1.625125
63.202692,7,1.625125
63.323206,7,1.625125
36.02603,4,1.625125
119.616976,13,1.640749
44.887041,5,1.640749
54.111953,6,1.640749
54.20092,6,1.640749
44.94623,5,1.656374
45.47554,5,1.656374
35.978361,4,1.656374
63.719224,7,1.656374
35.924194,4,1.656374
63.85374,7,1.671999
63.973825,7,1.671999
45.134229,5,1.671999
26.840522,3,1.671999
44.949047,5,1.671999
35.520577,4,1.671999
35.626403,4,1.687625
91.151553,10,1.687625
45.209645,5,1.687625
72.945464,8,1.687625
53.990155,6,1.703249
35.45269,4,1.703249
54.740105,6,1.703249
53.985461,6,1.703249
54.312611,6,1.718875
53.935986,6,1.718875
91.260986,10,1.718875
63.654448,7,1.718875
36.215324,4,1.734499
44.912135,5,1.734499
54.759937,6,1.734499
63.919579,7,1.734499
64.165236,7,1.734499
72.693751,8,1.750125
45.205111,5,1.750125
64.052681,7,1.750125
54.38234,6,1.750125
54.103445,6,1.765749
54.540559,6,1.765749
63.839988,7,1.765749
44.939127,5,1.765749
54.420503,6,1.781374
63.303771,7,1.781374
45.248674,5,1.781374
81.97137,9,1.781374
44.672273,5,1.796999
45.214482,5,1.796999
54.128128,6,1.796999
35.527928,4,1.796999
73.369121,8,1.796999
36.138377,4,1.812624
63.726698,7,1.812624
73.285353,8,1.812624
35.704388,4,1.812624
54.107617,6,1.82825
36.038113,4,1.82825
36.023235,4,1.82825
100.767847,11,1.82825
63.531224,7,1.843875
44.639362,5,1.843875
63.475825,7,1.843875
45.083355,5,1.843875
35.438428,4,1.843875
35.879929,4,1.859499
35.730204,4,1.859499
45.186908,5,1.859499
26.675699,3,1.859499
44.674911,5,1.859499
53.937471,6,1.859499
54.021599,6,1.875124
35.454143,4,1.875124
45.08441,5,1.875124
35.836626,4,1.875124
91.890464,10,1.875124
54.158199,6,1.890749
36.146459,4,1.890749
26.757098,3,1.890749
26.709033,3,1.890749
36.026926,4,1.890749
81.997479,9,1.906374
44.974304,5,1.906374
63.828408,7,1.906374
63.822634,7,1.906374
45.052624,5,1.906374
45.194153,5,1.921999
54.439201,6,1.921999
63.798304,7,1.921999
36.09218,4,1.921999
36.056516,4,1.921999
53.919497,6,1.937624
44.945913,5,1.937624
36.195458,4,1.937624
72.726617,8,1.937624
35.976793,4,1.95325
36.04855,4,1.95325
44.890055,5,1.95325
26.718553,3,1.95325
54.727582,6,1.95325
54.786953,6,1.95325
45.30008,5,1.968873
54.454846,6,1.968873
26.943827,3,1.968873
54.014293,6,1.968873
45.324105,5,1.968873
36.000366,4,1.984499
35.947994,4,1.984499
35.077471,4,1.984499
35.952736,4,1.984499
36.05208,4,1.984499
45.146494,5,1.984499
35.45977,4,1.984499
35.41698,4,2.000124
