EpThisIter,loss_pol_surr,EpisodesSoFar,TimeElapsed,ev_tdlam_before,TimestepsSoFar,EpLenMean,loss_kl,EpRewMean,loss_pol_entpen,loss_ent,loss_vf_loss
368,-0.0285456,368,2.109551429748535,0.000462830066681,2045,5.51,0.0193669,49.8874833801,0.0,1.37254,592.041
330,-0.0470632,698,3.936800956726074,0.477125644684,4094,6.05,0.024921,54.8620454438,0.0,1.32125,407.618
287,-0.0402532,985,5.764011383056641,0.237434625626,6143,7.69,0.0197899,70.1263189938,0.0,1.24462,504.44
254,-0.0334844,1239,7.561839580535889,0.232183039188,8181,8.42,0.0165308,76.9146947937,0.0,1.18315,585.067
228,-0.0281756,1467,9.390137672424316,0.242788434029,10240,8.84,0.013667,80.8934822133,0.0,1.12101,638.54
200,-0.0296355,1667,11.179013967514038,0.336458802223,12286,10.48,0.0141681,96.118055828,0.0,1.06084,721.947
179,-0.0211497,1846,12.976446628570557,0.398009419441,14333,11.55,0.0140101,106.158178141,0.0,1.01468,746.91
165,-0.0189006,2011,14.777522563934326,0.444734454155,16372,12.36,0.0142969,113.573670758,0.0,0.975769,864.0
159,-0.014687,2170,16.56918168067932,0.506769150496,18430,12.57,0.0108128,115.566131424,0.0,0.949571,745.919
143,-0.0185072,2313,18.366050481796265,0.524171024561,20478,14.28,0.0115932,131.338509771,0.0,0.904213,923.404
126,-0.014282,2439,20.147294521331787,0.496902763844,22528,16.11,0.0108175,148.350110907,0.0,0.861747,1256.06
131,-0.0162544,2570,21.944166660308838,0.574498385191,24574,15.46,0.0112856,142.213121515,0.0,0.842815,966.964
111,-0.0149038,2681,23.70978546142578,0.518589377403,26624,18.62,0.00626188,171.507351862,0.0,0.799021,1493.27
105,-0.014215,2786,25.506654262542725,0.556187391281,28646,19.31,0.00854481,177.78358221,0.0,0.784377,1489.48
108,-0.0171373,2894,27.2878999710083,0.589168429375,30702,18.82,0.00820028,173.148192293,0.0,0.739475,1189.63
96,-0.0116891,2990,29.084768533706665,0.580962359905,32762,21.29,0.0098583,196.069693111,0.0,0.714747,1509.75
86,-0.015508,3076,30.86601233482361,0.610192239285,34799,22.88,0.00803121,210.873734085,0.0,0.680683,1660.28
89,-0.015433,3165,32.64708638191223,0.634342104197,36852,22.94,0.0106695,211.411610861,0.0,0.650848,1425.9
82,-0.0161402,3247,34.412705183029175,0.616028577089,38893,24.63,0.00771708,227.001327464,0.0,0.621589,1874.87
74,-0.0126027,3321,36.16270089149475,0.597361505032,40956,26.93,0.0145499,248.39236785,0.0,0.588067,2354.68
68,-0.0127389,3389,37.92832064628601,0.599135428667,42995,29.73,0.0100862,274.424455513,0.0,0.549375,2383.35
61,-0.0128352,3450,39.69605350494385,0.594191998243,45043,32.2,0.0097826,297.295684779,0.0,0.512718,2894.7
55,-0.0156863,3505,41.475348472595215,0.610313534737,47103,35.1,0.00980984,324.293984086,0.0,0.48448,3128.07
58,-0.0117867,3563,43.240967750549316,0.608301132917,49107,34.48,0.00444147,318.522233362,0.0,0.454323,2916.53
60,-0.0143614,3623,44.99096202850342,0.65109500289,51173,34.39,0.0102117,317.722148427,0.0,0.422217,2485.95
49,-0.0176631,3672,46.787832260131836,0.621709644794,53230,37.51,0.00775503,346.501368904,0.0,0.400352,3512.56
44,-0.0138564,3716,48.537827491760254,0.623965144157,55261,43.12,0.00731688,398.74342155,0.0,0.377929,3771.19
46,-0.0152837,3762,50.30344605445862,0.687016308308,57314,44.28,0.00656167,409.707993426,0.0,0.363038,3093.14
39,-0.00781599,3801,52.084691524505615,0.686967223883,59365,47.38,0.00986564,438.632958789,0.0,0.340852,3666.58
44,-0.0119563,3845,53.86593580245972,0.691820114851,61431,48.13,0.00688325,445.64161161,0.0,0.3268,3191.55
42,-0.0104555,3887,55.620001554489136,0.679494142532,63440,47.47,0.0134428,439.285820615,0.0,0.295488,3597.85
36,-0.0102892,3923,57.40934205055237,0.661379367113,65486,51.11,0.00892805,473.320661196,0.0,0.256112,4103.05
33,-0.0112597,3956,59.1827187538147,0.648147851229,67550,56.8,0.0056829,526.18668102,0.0,0.241629,4821.62
38,-0.0121718,3994,60.94857692718506,0.66183373332,69582,57.92,0.00834126,536.793166516,0.0,0.212573,4315.13
30,-0.0165557,4024,62.7094509601593,0.683392941952,71571,60.25,0.00680901,558.391181976,0.0,0.181372,5004.5
34,-0.0125266,4058,64.47413039207458,0.702100753784,73662,60.47,0.00639888,560.547828797,0.0,0.157797,4247.35
31,-0.00576481,4089,66.22586631774902,0.669522076845,75705,62.8,0.0118135,582.175791476,0.0,0.131968,4898.14
26,-0.0146084,4115,67.99138689041138,0.696541160345,77790,67.04,0.0102105,621.68928389,0.0,0.0989265,5140.34
27,-0.0125875,4142,69.73658990859985,0.681986063719,79829,71.01,0.0106398,658.668835724,0.0,0.0850228,5396.3
29,-0.013227,4171,71.51811027526855,0.695537239313,81866,74.75,0.00501025,693.548217724,0.0,0.053302,4764.59
24,-0.00605927,4195,73.24564528465271,0.729124188423,83897,77.58,0.00558634,719.866595521,0.0,0.0474033,5301.93
22,-0.0168636,4217,74.9973578453064,0.597568929195,86011,80.42,0.0121448,746.318544048,0.0,0.026866,5684.84
17,-0.00935023,4234,76.76551008224487,0.660034477711,88058,86.96,0.0132817,807.204998329,0.0,0.0127658,6544.98
18,-0.00572612,4252,78.5154082775116,0.66277334094,89985,95.78,0.0257305,889.303307395,0.0,0.018351,5912.29
15,-0.00852559,4267,80.25874495506287,0.616357684135,92081,105.42,0.0084729,979.007461171,0.0,0.0030247,6662.45
20,-0.013403,4287,81.99248242378235,0.700698554516,94065,106.54,0.00736132,989.519886643,0.0,0.00569272,5897.52
10,-0.0127613,4297,83.74157786369324,0.648041576147,96149,121.0,0.00632565,1124.05421608,0.0,0.00179064,7031.04
18,-0.00724153,4315,85.5071759223938,0.689885318279,98173,122.36,0.0118283,1136.73168912,0.0,-0.000311971,6328.1
14,-0.0137844,4329,87.24218678474426,0.651800483465,100297,127.49,0.0113148,1184.46038389,0.0,-0.0130776,7098.36
9,-0.0127614,4338,88.99928140640259,0.617760121822,102054,136.0,0.00725758,1263.70892056,0.0,-0.0301079,7090.11
6,-0.00697251,4344,90.73352789878845,0.545296132565,104156,153.17,0.00734075,1423.53811416,0.0,-0.0534848,7687.53
10,-0.00431107,4354,92.50646376609802,0.619908601046,106046,155.63,0.0167346,1446.48234017,0.0,-0.0726502,6871.98
5,-0.00929398,4359,94.2408344745636,0.681610256433,108526,172.81,0.0139307,1606.52011169,0.0,-0.0681611,7313.48
4,-0.0115402,4363,96.00645518302917,0.607357144356,110471,188.0,0.00677876,1747.94295453,0.0,-0.0607167,7411.29
3,-0.00446785,4366,97.74082207679749,0.48299986124,112508,205.42,0.0121104,1910.11053567,0.0,-0.0726159,7541.36
4,-0.00819168,4370,99.49081754684448,0.473771452904,114118,215.99,0.0120491,2008.55576659,0.0,-0.07023,7541.53
7,-0.0157371,4377,101.25751304626465,0.552842974663,116522,235.53,0.00685973,2190.48257259,0.0,-0.0782523,6896.69
7,-0.0118999,4384,102.994882106781,0.601033627987,118507,247.93,0.0128322,2305.9375262,0.0,-0.107723,7038.38
5,-0.00617017,4389,104.74099397659302,0.545584440231,120558,261.25,0.0231385,2429.94256272,0.0,-0.112628,7071.68
3,-0.0118776,4392,106.483633518219,0.457962810993,122590,273.89,0.0126189,2547.67618414,0.0,-0.124849,6821.71
5,-0.00854522,4397,108.25721001625061,0.593933790922,124054,279.05,0.0175634,2595.79817424,0.0,-0.133757,6121.77
8,0.00236858,4405,109.99250054359436,0.556264460087,126915,300.04,0.02161,2791.35597616,0.0,-0.158012,7318.63
7,-0.01416,4412,111.74835729598999,0.731646746397,128864,311.77,0.0102638,2900.64362474,0.0,-0.162198,5989.12
6,-0.0110846,4418,113.47905254364014,0.697108656168,130932,323.63,0.00969066,3011.13150311,0.0,-0.180446,5854.42
4,-0.00769759,4422,115.22642254829407,0.479007124901,133053,339.66,0.0100879,3160.40740414,0.0,-0.209202,6547.58
5,-0.00491932,4427,116.97103261947632,0.610290378332,135111,351.95,0.0222138,3274.90614633,0.0,-0.227348,6226.32
4,-0.0119451,4431,118.70541310310364,0.525465041399,136837,359.93,0.0116469,3349.24449241,0.0,-0.231056,6046.4
3,-0.0102208,4434,120.45548129081726,0.5278403759,138891,373.46,0.0129729,3475.21919073,0.0,-0.227348,5818.49
