TimestepsSoFar,ev_tdlam_before,loss_kl,EpRewMean,TimeElapsed,EpLenMean,EpisodesSoFar,loss_vf_loss,loss_pol_surr,loss_ent,loss_pol_entpen,EpThisIter
2047,-0.00100326538086,0.0168578,47.4689846083,2.092310667037964,5.25,376,593.278,-0.0269362,1.40613,0.0,376
4095,0.437889277935,0.0316065,54.748699802,3.9522316455841064,6.03,712,434.739,-0.0463764,1.34579,0.0,336
6140,0.279255986214,0.0225383,60.9421008066,5.765767812728882,6.71,1004,412.364,-0.0379081,1.2787,0.0,292
8188,0.251287221909,0.0193619,70.4603031549,7.592419385910034,7.73,1261,493.312,-0.0324639,1.23206,0.0,257
10240,0.267182826996,0.0139503,82.4840311804,9.38929033279419,9.02,1484,641.85,-0.0275101,1.17741,0.0,223
12279,0.327757358551,0.0123187,92.9598378523,11.18615984916687,10.14,1687,693.451,-0.0237985,1.12679,0.0,203
14326,0.392509877682,0.014065,104.697084797,12.983028650283813,11.4,1874,651.169,-0.0232754,1.07082,0.0,187
16378,0.456216990948,0.0088133,113.588024273,14.779898881912231,12.36,2039,801.513,-0.0178525,1.03544,0.0,165
18427,0.459783494473,0.0106228,120.100228682,16.592393398284912,13.07,2196,907.198,-0.0193108,0.992189,0.0,157
20473,0.471552550793,0.0134568,142.207776415,18.38926124572754,15.47,2326,1259.1,-0.0145753,0.965555,0.0,130
22526,0.505023926497,0.0103936,148.471174273,20.154881477355957,16.15,2453,1110.19,-0.0163696,0.926491,0.0,127
24569,0.52554705739,0.00864515,162.127516871,21.951751232147217,17.62,2571,1189.83,-0.0177364,0.895823,0.0,118
26614,0.526071339846,0.00789538,177.119466718,23.732996225357056,19.26,2677,1519.42,-0.0162028,0.859665,0.0,106
28670,0.51552516222,0.00828594,196.877579518,25.514241456985474,21.38,2774,1875.85,-0.0163249,0.819911,0.0,97
30705,0.538748770952,0.00845441,195.474960664,27.279860019683838,21.24,2868,1703.92,-0.0158739,0.785406,0.0,94
32754,0.54250729084,0.0109046,201.16927287,29.061104774475098,21.85,2960,1821.74,-0.014366,0.737619,0.0,92
34805,0.58446586132,0.00799262,223.00627363,30.826725482940674,24.23,3045,1912.82,-0.0172096,0.695453,0.0,85
36860,0.581413686275,0.00800185,250.705689963,32.59234547615051,27.23,3120,2209.51,-0.0126495,0.669347,0.0,75
38899,0.620686680079,0.010048,262.234208898,34.358847856521606,28.48,3188,2209.58,-0.00795771,0.647219,0.0,68
40937,0.545676410198,0.00734194,259.71711995,36.13161301612854,28.21,3260,2827.39,-0.0150966,0.626999,0.0,72
42992,0.646047055721,0.00805996,236.653419665,37.898415088653564,25.71,3338,1862.72,-0.0136733,0.59666,0.0,78
45036,0.653033435345,0.00643325,277.266281223,39.679234743118286,30.08,3401,2432.25,-0.0139697,0.573819,0.0,63
