loss_pol_entpen,loss_ent,EpLenMean,EpThisIter,EpRewMean,loss_pol_surr,EpisodesSoFar,loss_kl,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_vf_loss
0.0,1.38032,5.5,364,49.7509164377,-0.0313085,364,0.0213154,2.093743085861206,2047,0.0170016884804,623.401
0.0,1.31774,6.18,333,56.139542264,-0.049579,697,0.0319055,3.968736410140991,4092,0.477664887905,399.462
0.0,1.25438,6.78,291,61.6261223121,-0.0371465,988,0.0176499,5.812954425811768,6143,0.300893962383,430.515
0.0,1.18707,7.73,254,70.5439649715,-0.0323555,1242,0.0142634,7.650353908538818,8190,0.201303720474,578.445
0.0,1.1327,9.09,229,83.2073726693,-0.0274972,1471,0.0156696,9.468729734420776,10231,0.307776868343,566.972
0.0,1.06994,10.81,195,99.1357008508,-0.0282817,1666,0.0129526,11.328099012374878,12287,0.349709093571,767.775
0.0,1.00911,12.16,168,111.697568357,-0.0240363,1834,0.0173336,13.124969482421875,14332,0.368207931519,865.991
0.0,0.953535,13.7,147,125.936143963,-0.021733,1981,0.0109223,14.953087568283081,16376,0.424219667912,1014.35
0.0,0.932394,16.18,129,148.813797458,-0.0145757,2110,0.00651448,16.736086130142212,18430,0.403191745281,1448.61
0.0,0.886824,16.21,127,149.25788733,-0.0160779,2237,0.0131546,18.556567668914795,20452,0.462215483189,1236.92
0.0,0.836056,17.61,117,162.029120047,-0.0176777,2354,0.0079882,20.340012073516846,22522,0.476335167885,1464.78
0.0,0.800765,19.39,106,178.499663692,-0.015545,2460,0.0104988,22.136241912841797,24564,0.503796577454,1460.5
0.0,0.768713,20.57,100,189.311426046,-0.0110186,2560,0.0082055,23.937718152999878,26621,0.509321182966,1816.13
0.0,0.740513,22.47,89,206.887124463,-0.0146714,2649,0.00738605,25.718962907791138,28651,0.473209917545,2238.59
0.0,0.699159,22.0,93,202.600623679,-0.0168271,2742,0.00861924,27.609583854675293,30709,0.517194479704,1875.71
0.0,0.627715,26.75,76,246.518741972,-0.0206672,2818,0.00973423,29.390827417373657,32765,0.52360367775,2753.46
0.0,0.593747,27.26,73,251.140643918,-0.00995283,2891,0.00594486,31.17207098007202,34794,0.553320407867,2359.11
0.0,0.567251,30.02,68,276.794197792,-0.0113687,2959,0.00440783,32.972474575042725,36850,0.571534365416,2765.19
0.0,0.545164,29.61,67,273.062192488,-0.00814691,3026,0.00554351,34.735395669937134,38902,0.574989408255,2706.71
0.0,0.512733,32.64,60,301.270492489,-0.00806878,3086,0.00633361,36.52688455581665,40941,0.547418802977,3207.37
0.0,0.481883,33.95,61,313.580763235,-0.0101242,3147,0.0110187,38.30944085121155,42992,0.614259779453,2809.91
