EpThisIter,EpRewMean,TimeElapsed,loss_ent,EpisodesSoFar,loss_pol_surr,TimestepsSoFar,loss_pol_entpen,ev_tdlam_before,loss_kl,loss_vf_loss,EpLenMean
370,49.8892279218,2.1249170303344727,1.38215,370,-0.0316755,2036,0.0,-0.0130364894867,0.0177519,625.803,5.52
332,55.7115874383,3.999910831451416,1.33248,702,-0.0466119,4094,0.0,0.486814260483,0.033577,414.561,6.14
290,63.4209293307,5.842874050140381,1.25881,992,-0.0411531,6141,0.0,0.32437646389,0.0215367,462.85,6.97
243,76.7574351934,7.701105833053589,1.19187,1235,-0.0318857,8185,0.0,0.226041734219,0.0191461,562.73,8.4
226,82.0679022828,9.522897005081177,1.13492,1461,-0.0261807,10231,0.0,0.266182422638,0.013285,634.586,8.97
200,89.1839893892,11.365951776504517,1.07395,1661,-0.0262108,12284,0.0,0.329032123089,0.0151155,772.936,9.73
171,111.569338023,13.178512334823608,1.02768,1832,-0.0193054,14324,0.0,0.397416651249,0.0110404,838.879,12.14
160,116.252401513,15.038473129272461,0.992975,1992,-0.0212482,16371,0.0,0.452978014946,0.0104165,868.753,12.65
142,136.884547996,16.87713050842285,0.947808,2134,-0.0211691,18431,0.0,0.437840402126,0.00859471,1234.44,14.89
126,148.292495663,18.716705322265625,0.905592,2260,-0.0174614,20466,0.0,0.478011071682,0.0142752,1168.24,16.13
113,166.787959137,20.52071213722229,0.869028,2373,-0.0167596,22525,0.0,0.461736142635,0.00689443,1558.44,18.12
105,178.062169169,22.332362174987793,0.861646,2478,-0.0155094,24552,0.0,0.472880899906,0.00824026,1802.36,19.34
103,182.704113455,24.137371301651,0.853075,2581,-0.0154442,26615,0.0,0.524310231209,0.00925576,1618.52,19.86
94,200.0009682,25.9530348777771,0.830412,2675,-0.0127607,28660,0.0,0.51490676403,0.0048636,1822.83,21.73
89,209.372068686,27.754901885986328,0.797295,2764,-0.0189211,30711,0.0,0.544205486774,0.00946141,2021.13,22.73
80,230.325704722,29.544785499572754,0.757575,2844,-0.0131605,32765,0.0,0.510242044926,0.00795214,2434.29,25.0
77,245.111872932,31.3584406375885,0.717705,2921,-0.0133526,34777,0.0,0.559182375669,0.0093202,2361.44,26.61
80,245.300638583,33.15565609931946,0.689809,3001,-0.0120144,36859,0.0,0.623711645603,0.00775493,1813.92,26.63
81,235.180360481,34.952781677246094,0.663775,3082,-0.0118839,38891,0.0,0.628101944923,0.00698777,1765.41,25.56
70,255.322046708,36.74988102912903,0.641855,3152,-0.0104973,40943,0.0,0.582829356194,0.00557681,2726.74,27.74
