loss_pol_surr,EpLenMean,EpisodesSoFar,loss_ent,loss_kl,TimestepsSoFar,EpThisIter,ev_tdlam_before,TimeElapsed,loss_vf_loss,loss_pol_entpen,EpRewMean
-0.0323125,5.56,364,1.37148,0.0189509,2047,364,0.00717055797577,2.1244518756866455,627.712,0.0,50.368621937
-0.0536279,6.16,690,1.29872,0.0316237,4096,326,0.477433383465,3.9529976844787598,430.395,0.0,55.9173615366
-0.0349514,6.63,975,1.23931,0.0238249,6144,285,0.275555372238,5.777860164642334,480.58,0.0,60.3138885056
-0.0315741,8.39,1224,1.17705,0.0198321,8185,249,0.24338555336,7.605905532836914,567.001,0.0,76.6417754854
-0.0254802,8.71,1450,1.11728,0.0191384,10234,226,0.269488990307,9.418378353118896,624.612,0.0,79.6178929083
-0.019257,10.65,1642,1.07338,0.0138136,12281,192,0.329264521599,11.215804100036621,813.79,0.0,97.6961074062
-0.0186177,11.56,1818,1.01661,0.00989219,14333,176,0.404492616653,13.012519121170044,761.736,0.0,106.093725203
-0.0185862,12.79,1978,0.972062,0.0119629,16384,160,0.4610055089,14.825928926467896,788.673,0.0,117.495913293
-0.0194907,13.85,2124,0.927042,0.00799411,18428,146,0.475835800171,16.614304304122925,942.96,0.0,127.320953303
-0.0119156,14.12,2267,0.88867,0.00686208,20470,143,0.507796317339,18.46144700050354,974.69,0.0,129.766641368
-0.0185249,16.75,2390,0.863862,0.007584,22525,123,0.506389141083,20.24028706550598,1246.27,0.0,154.170086327
-0.0203121,16.09,2512,0.82279,0.0105618,24566,122,0.505475223064,22.007955074310303,1317.37,0.0,148.129158913
-0.0171616,18.14,2625,0.790047,0.0118867,26614,113,0.57095643878,23.80394721031189,1201.81,0.0,166.926211007
-0.0165907,20.53,2725,0.745973,0.0116621,28667,100,0.570899903774,25.57805848121643,1418.57,0.0,189.145480681
-0.0168454,22.58,2815,0.71076,0.00892423,30705,90,0.545223534107,27.35579752922058,1929.03,0.0,208.125631765
-0.0184249,25.44,2894,0.668333,0.011978,32767,79,0.537751913071,29.122320652008057,2339.71,0.0,234.55380135
-0.0133602,24.74,2973,0.635972,0.00505834,34816,79,0.585960358381,30.904705286026,2013.08,0.0,227.882635555
-0.0161129,27.44,3045,0.603237,0.00742812,36863,72,0.601995766163,32.67743492126465,2165.42,0.0,253.031237336
-0.0132665,29.06,3115,0.576024,0.00678468,38886,70,0.567154616117,34.46001958847046,2459.22,0.0,268.097762669
-0.0140267,31.49,3178,0.555833,0.00707102,40936,63,0.601269990206,36.20874261856079,2738.74,0.0,290.56122921
-0.0139768,31.94,3242,0.525745,0.00803445,42976,64,0.613335609436,37.99105787277222,2537.79,0.0,294.725059364
-0.0127458,33.7,3301,0.488756,0.00562664,45017,59,0.63964048028,39.75038290023804,2574.83,0.0,311.00119608
-0.0126673,34.17,3363,0.451809,0.00598358,47104,62,0.686281442642,41.53195309638977,2194.73,0.0,315.442333043
-0.0124376,34.95,3419,0.437322,0.012249,49132,56,0.656870245934,43.324885845184326,2503.78,0.0,322.780316086
-0.00990439,37.99,3470,0.415704,0.012742,51178,51,0.678446859121,45.10845398902893,2783.44,0.0,351.054723452
-0.00630982,38.7,3525,0.398599,0.0106388,53240,55,0.700652688742,46.874441623687744,2467.88,0.0,357.544862845
-0.012323,39.13,3573,0.402598,0.00900748,55258,48,0.652044534683,48.66284132003784,3226.08,0.0,361.657879179
-0.0098505,41.94,3622,0.375369,0.00612814,57316,49,0.681257337332,50.41317963600159,2987.9,0.0,387.912726834
-0.0108887,42.42,3671,0.336098,0.00623713,59383,49,0.671807616949,52.20452690124512,3165.21,0.0,392.303599363
-0.0105823,42.51,3718,0.313925,0.00912388,61427,47,0.707499355078,53.95768880844116,2933.01,0.0,393.145289635
-0.00660374,42.56,3766,0.305023,0.00925457,63455,48,0.71447879076,55.74654030799866,2862.83,0.0,393.733154291
-0.0148246,39.85,3821,0.264401,0.00978829,65535,55,0.68687197566,57.51232433319092,3096.53,0.0,368.572473241
-0.0113578,40.32,3869,0.243742,0.00777337,67579,48,0.746074557304,59.29366159439087,2494.87,0.0,373.027339855
-0.0122394,43.81,3912,0.214521,0.00968179,69602,43,0.727484822273,61.071160316467285,3005.15,0.0,405.558062698
-0.013167,49.41,3946,0.197145,0.00726881,71654,34,0.727233678102,62.84082627296448,3547.38,0.0,457.748897239
-0.0125207,51.14,3990,0.178107,0.00583934,73685,44,0.704030841589,64.6135585308075,3439.91,0.0,473.727983686
-0.0104721,52.82,4025,0.166776,0.00834522,75724,35,0.737929940224,66.38678550720215,3536.21,0.0,489.450401664
-0.0113005,56.01,4059,0.158571,0.00707293,77756,34,0.766480967402,68.15350914001465,3346.29,0.0,519.064560036
-0.00263823,56.68,4098,0.139346,0.00851715,79795,39,0.662810593843,69.92115926742554,4129.13,0.0,525.312256891
-0.010082,59.64,4128,0.131452,0.00883989,81906,30,0.691572099924,71.67986392974854,4611.29,0.0,552.805033838
-0.0119657,62.05,4158,0.100219,0.00442823,83899,30,0.702419131994,73.45973753929138,4128.52,0.0,575.173623939
-0.00878495,65.76,4192,0.0912788,0.0118807,85976,34,0.711460977793,75.22591590881348,4305.18,0.0,609.759274113
-0.00676247,65.91,4223,0.0665581,0.0139133,88063,31,0.736974895,76.99184560775757,3839.74,0.0,611.215690098
-0.00994052,65.42,4251,0.0512809,0.0133673,90039,28,0.650437414646,78.76306653022766,4930.73,0.0,606.799635168
-0.0154557,68.17,4280,0.0360842,0.00742141,92140,29,0.698997437954,80.53680968284607,4624.01,0.0,632.360909414
-0.0128502,72.09,4307,0.0151519,0.00815646,94204,27,0.655278295279,82.30381321907043,5131.01,0.0,668.755867323
-0.00641191,78.35,4328,-0.00193453,0.0218212,96207,21,0.709338068962,84.06968140602112,5011.17,0.0,726.872142663
-0.0114651,79.33,4352,-0.014895,0.00917513,98064,24,0.678430885077,85.83663439750671,5290.33,0.0,735.939360303
-0.011583,88.64,4371,-0.0245489,0.00619538,100340,19,0.712124884129,87.60225558280945,5070.62,0.0,822.630758977
-0.0143065,95.46,4389,-0.0552994,0.0143935,102392,18,0.694394379854,89.36709952354431,5738.15,0.0,886.077064383
-0.0154983,102.92,4404,-0.064528,0.00744173,104319,15,0.684618860483,91.13295865058899,6519.31,0.0,955.568809794
-0.0164637,112.0,4418,-0.0706232,0.00789833,106387,14,0.676121264696,92.88242721557617,6481.46,0.0,1040.18557441
-0.0100353,121.56,4430,-0.0761468,0.011275,108528,12,0.620947033167,94.64183282852173,6577.9,0.0,1129.30532724
-0.0137932,129.64,4439,-0.103854,0.00917642,110326,9,0.598300933838,96.39501237869263,7074.93,0.0,1204.58179222
-0.0083832,144.96,4450,-0.118073,0.0090732,112485,11,0.67620152235,98.14714503288269,7097.36,0.0,1347.15160612
-0.0139822,152.36,4457,-0.134201,0.00964627,113976,7,0.498479127884,99.91264700889587,7583.43,0.0,1416.00124903
-0.0153887,170.27,4464,-0.13631,0.0160442,116554,7,0.577784895897,101.65647840499878,6791.19,0.0,1582.72208299
-0.00970363,187.58,4468,-0.15909,0.016724,118707,4,0.50668245554,103.42822289466858,7207.65,0.0,1743.83657384
-0.0110358,196.62,4475,-0.168711,0.00961377,120562,7,0.487172961235,105.17867016792297,6821.4,0.0,1828.04400004
-0.0123094,210.47,4480,-0.181302,0.00906851,122364,5,0.435814619064,106.94460678100586,7190.4,0.0,1957.00168354
-0.0132666,228.73,4486,-0.200971,0.0176397,124843,6,0.548582345247,108.68671345710754,6897.51,0.0,2126.92957794
-0.0120602,241.92,4493,-0.204042,0.00881072,126911,7,0.607906222343,110.45177507400513,6542.63,0.0,2249.69145621
-0.0072763,252.63,4495,-0.212095,0.0221352,128136,2,0.415282905102,112.19298887252808,6431.39,0.0,2349.3874731
-0.00992515,275.2,4499,-0.211608,0.015355,130978,4,0.24487477541,113.95876812934875,7007.54,0.0,2559.47048849
-0.0168716,283.67,4505,-0.196643,0.014783,132824,6,0.650478512049,115.71615672111511,5892.97,0.0,2638.29303932
-0.00872939,287.8,4517,-0.192303,0.0141881,135000,12,0.650422602892,117.47645950317383,6062.71,0.0,2676.55204789
-0.0190549,296.51,4523,-0.189105,0.00709402,136884,6,0.614847272635,119.21004962921143,6136.59,0.0,2757.53837615
-0.0101468,304.48,4528,-0.200484,0.0109128,138642,5,0.593085706234,120.97503232955933,6220.95,0.0,2831.64057782
-0.00863642,314.39,4533,-0.200282,0.0144852,140495,5,0.535963386297,122.73275518417358,6061.0,0.0,2923.78391056
-0.0150561,319.69,4544,-0.20722,0.020435,143283,11,0.605072885752,124.49980974197388,6668.55,0.0,2972.91836314
-0.0101415,319.5,4552,-0.211781,0.0148303,145374,8,0.613555639982,126.25936841964722,6227.29,0.0,2971.18847482
-0.00563644,335.82,4555,-0.231209,0.00960944,147401,3,0.316740334034,128.0196943283081,6039.91,0.0,3123.05815878
-0.0145022,345.68,4558,-0.24542,0.022344,149383,3,0.648360788822,129.77771162986755,5045.13,0.0,3214.85164058
-0.0128344,349.32,4562,-0.244166,0.0141223,151337,4,0.522142261267,131.54429721832275,5866.66,0.0,3248.71502937
-0.00930074,362.15,4566,-0.239662,0.0239298,153596,4,0.440531432629,133.29535913467407,5660.28,0.0,3368.00831237
-0.0054939,362.49,4572,-0.254548,0.0286002,155536,6,0.641871422529,135.06114077568054,5173.12,0.0,3370.97517828
-0.00840357,352.67,4576,-0.267194,0.0158616,156829,4,0.571628719568,136.8096981048584,5558.31,0.0,3279.44436543
-0.0144064,369.35,4580,-0.281003,0.00919329,159299,4,0.416445314884,138.5677809715271,5899.57,0.0,3434.70695968
-0.00607904,374.86,4583,-0.277979,0.0109948,161665,3,0.33743429184,140.31978583335876,5637.56,0.0,3486.00443898
-0.0140304,385.04,4586,-0.299808,0.0134827,163347,3,0.142328619957,142.08445000648499,5382.24,0.0,3580.68249935
-0.00866493,395.75,4588,-0.302173,0.0144872,165347,2,-0.108319163322,143.83531832695007,5388.61,0.0,3680.31698301
-0.00670813,412.94,4590,-0.299675,0.0174746,167319,2,0.291429936886,145.57782649993896,4974.16,0.0,3840.23064702
-0.00829881,418.25,4595,-0.300349,0.0209029,169961,5,0.31867390871,147.3602602481842,5785.45,0.0,3889.49722009
-0.0112701,402.38,4600,-0.307678,0.00956904,171995,5,0.595032691956,149.11441850662231,4870.58,0.0,3741.63681966
-0.0151016,407.55,4605,-0.301159,0.0230023,173579,5,0.679734379053,150.8659007549286,4012.8,0.0,3789.67970785
-0.00348092,421.4,4611,-0.292498,0.0151506,176118,6,0.395171821117,152.6238214969635,7225.58,0.0,3918.57177039
-0.0179057,421.06,4619,-0.286642,0.01013,177766,8,0.601084977388,154.38997435569763,5292.8,0.0,3915.39990144
-0.0113844,431.78,4623,-0.287313,0.0124945,180062,4,0.52177888155,156.1392102241516,4843.89,0.0,4015.26372054
-0.0122371,442.45,4625,-0.279168,0.0102781,181956,2,0.26444464922,157.88958883285522,4381.84,0.0,4114.63310965
-0.0122572,448.29,4630,-0.302012,0.0202856,184311,5,0.526942580938,159.64767837524414,5409.19,0.0,4169.05710637
-0.0127631,457.3,4632,-0.324566,0.00920007,186065,2,0.273315191269,161.60145258903503,4536.96,0.0,4252.97470179
-0.00707185,465.7,4634,-0.315742,0.011337,188065,2,-0.0328065156937,163.3575849533081,4945.18,0.0,4331.31616325
-0.0135285,481.6,4637,-0.329472,0.0111784,190274,3,0.3991766572,165.12397623062134,4808.84,0.0,4479.43688938
-0.00524106,497.66,4640,-0.327689,0.00703249,192489,3,0.183489143848,166.87422609329224,5007.32,0.0,4629.1003634
0.000432661,514.3,4642,-0.31128,0.0204638,194489,2,-0.00171184539795,168.63396382331848,4901.92,0.0,4784.21634592
0.00182246,527.74,4646,-0.333796,0.0236377,196336,4,0.588598549366,170.39174151420593,3690.85,0.0,4909.357651
-0.0062543,545.21,4648,-0.333514,0.0134873,198336,2,-0.108595967293,172.14669513702393,4665.59,0.0,5072.10491348
-0.00602323,553.48,4651,-0.333166,0.0219298,200382,3,0.587366729975,173.89771723747253,4266.98,0.0,5149.15219347
