TimestepsSoFar,loss_kl,loss_pol_entpen,loss_vf_loss,EpLenMean,loss_pol_surr,EpisodesSoFar,ev_tdlam_before,EpRewMean,TimeElapsed,EpThisIter,loss_ent
2045,0.0215772,0.0,624.915,5.71,-0.0291928,364,-0.015865445137,51.7713749345,2.1258225440979004,364,1.37842
4091,0.0320425,0.0,384.122,6.04,-0.0482555,691,0.508117944002,54.7990419614,4.035079717636108,327,1.30606
6144,0.0202874,0.0,459.645,7.28,-0.0409677,979,0.27110850811,66.3672860683,5.891316652297974,288,1.2418
8191,0.0190312,0.0,555.458,7.93,-0.0336455,1230,0.235575675964,72.3482332784,7.78595757484436,251,1.17353
10237,0.0144539,0.0,628.62,9.54,-0.030364,1451,0.279116213322,87.3314315923,9.61768102645874,221,1.10285
12283,0.014549,0.0,642.528,10.34,-0.0241996,1651,0.34788942337,94.8490503208,11.495500326156616,200,1.05369
14329,0.0101439,0.0,889.931,11.89,-0.0206905,1825,0.390292942524,109.178338569,13.322636842727661,174,1.00271
16378,0.0117978,0.0,928.924,13.06,-0.0233711,1983,0.428912460804,120.048164053,15.188839673995972,158,0.957868
18425,0.0110429,0.0,1098.9,14.03,-0.0172984,2125,0.433242082596,128.94308128,17.002744436264038,142,0.910768
20469,0.0127585,0.0,1113.69,15.75,-0.017767,2256,0.491383075714,145.011463663,18.829946041107178,131,0.878748
22527,0.0093744,0.0,1575.27,18.24,-0.0114188,2370,0.48363918066,167.907072038,20.649569272994995,114,0.850994
24557,0.0115361,0.0,1449.26,18.51,-0.017048,2482,0.515183866024,170.435071567,22.477985382080078,112,0.814048
26623,0.00950403,0.0,1841.21,20.41,-0.0130837,2583,0.512961298227,187.907425819,24.29082751274109,101,0.784281
28669,0.00851228,0.0,1972.52,21.77,-0.0171603,2676,0.519997209311,200.438201305,26.118227005004883,93,0.726461
30713,0.011177,0.0,2621.22,23.71,-0.0150936,2758,0.494568884373,218.467988982,27.91694188117981,82,0.687536
32759,0.0129965,0.0,2083.29,24.36,-0.0119174,2840,0.570556819439,224.566794388,29.73824143409729,82,0.649305
34795,0.00571502,0.0,2683.26,26.72,-0.0136954,2913,0.551844239235,246.440801822,31.535314083099365,73,0.602113
36858,0.00744778,0.0,2606.45,28.25,-0.0128393,2983,0.577914655209,260.526407047,33.37844204902649,70,0.557534
38870,0.00846478,0.0,2802.43,31.11,-0.0155503,3044,0.598959207535,287.076630629,35.175689697265625,61,0.524979
40924,0.00722694,0.0,3218.66,34.58,-0.0130118,3100,0.576753169298,319.320556897,36.987536668777466,56,0.488932
42982,0.00979319,0.0,3257.7,36.06,-0.0140417,3157,0.572783112526,332.989984704,38.812824010849,57,0.449107
45027,0.0046828,0.0,2696.96,34.88,-0.00938257,3217,0.614348649979,322.139425904,40.635594606399536,60,0.427734
47067,0.00767242,0.0,2914.45,34.44,-0.013477,3270,0.639406502247,318.184957115,42.440566301345825,53,0.40344
49152,0.00535874,0.0,2549.12,36.94,-0.00857626,3329,0.664608478546,341.511701675,44.25209331512451,59,0.380642
51175,0.00553343,0.0,3668.02,39.64,-0.0118673,3375,0.666919618845,366.652155719,46.04987645149231,46,0.36379
53229,0.00643205,0.0,3554.63,44.49,-0.0130822,3419,0.679927021265,411.806380043,47.86950922012329,44,0.338525
55287,0.00637134,0.0,3390.8,46.22,-0.00978261,3464,0.686306625605,427.940608363,49.67540407180786,45,0.313806
57301,0.00646672,0.0,3081.81,47.23,-0.0122687,3507,0.728423207998,437.299353879,51.487367153167725,43,0.305638
59376,0.0125092,0.0,3717.49,46.38,-0.00636022,3551,0.661378860474,429.480594243,53.29919934272766,44,0.286703
61401,0.0116019,0.0,4296.34,49.89,-0.0104662,3589,0.658926099539,462.103576612,55.117435932159424,38,0.2594
63449,0.00586922,0.0,4248.85,51.34,-0.00884585,3629,0.638974070549,475.590097396,56.92896628379822,40,0.227075
65498,0.00674025,0.0,3602.43,52.16,-0.0125161,3668,0.716597676277,483.261955127,58.734370946884155,39,0.212202
67484,0.0073808,0.0,4684.85,53.44,-0.0107578,3702,0.658058673143,495.082578989,60.54492974281311,34,0.211911
69608,0.00534322,0.0,4110.98,57.04,-0.0082763,3736,0.689237833023,528.579860472,62.344074964523315,34,0.200302
71618,0.00808837,0.0,5006.06,62.95,-0.00587666,3765,0.680521607399,583.594271742,64.14304494857788,29,0.179742
73727,0.00773161,0.0,4595.61,65.02,-0.0116505,3798,0.665698885918,602.951419599,65.93999934196472,33,0.151362
75739,0.0144165,0.0,4594.29,66.27,-0.00449315,3827,0.700328290462,614.717756569,67.74498414993286,29,0.126618
77804,0.0104977,0.0,5152.16,65.91,-0.00881127,3860,0.702206104994,611.385765291,69.55858063697815,33,0.101934
79840,0.00688732,0.0,5059.92,67.58,-0.0112727,3888,0.671041667461,626.86874202,71.3544409275055,28,0.0839745
81888,0.00781017,0.0,4182.37,66.26,-0.0142341,3921,0.712230324745,614.487546779,73.15149068832397,33,0.080833
83901,0.0111425,0.0,4862.97,66.72,-0.00591021,3948,0.702462494373,618.641108442,74.94887685775757,27,0.0548687
85973,0.0107603,0.0,5902.14,73.16,-0.011718,3974,0.678368955851,678.533503616,76.81252336502075,26,0.0286913
88039,0.015866,0.0,5149.02,75.24,-0.00406237,3998,0.726430416107,697.905777964,78.63051247596741,24,0.0248994
90082,0.0188742,0.0,5758.9,79.51,-0.00559338,4023,0.688397169113,737.650466361,80.42250847816467,25,0.0106696
92122,0.00894567,0.0,5808.12,83.16,-0.0164834,4047,0.656111449003,771.595543205,82.23478555679321,24,-0.00400794
94113,0.0117847,0.0,5913.64,87.58,-0.0123482,4065,0.686649143696,812.810588593,84.02346515655518,18,-0.0156399
96175,0.00878024,0.0,6406.95,94.93,-0.00943541,4081,0.66627278924,881.296364029,85.82864284515381,16,-0.0172403
98284,0.0087106,0.0,6402.47,104.01,-0.0159379,4097,0.717895001173,965.878492755,87.62754893302917,16,-0.0197866
100300,0.00891547,0.0,6936.69,111.96,-0.0144163,4112,0.647637665272,1039.88795068,89.42415070533752,15,-0.049781
102351,0.0111501,0.0,6980.93,121.74,-0.0136384,4124,0.648580044508,1130.9318494,91.20757341384888,12,-0.0599884
104342,0.00474918,0.0,6543.54,132.39,-0.0113641,4137,0.648766934872,1230.11446722,93.00621294975281,13,-0.0885458
105973,0.00736912,0.0,7023.09,139.1,-0.012327,4146,0.63531729579,1292.55284268,94.80513191223145,9,-0.12022
108417,0.0170857,0.0,6698.15,154.46,-0.0074081,4154,0.69675052166,1435.53751474,96.58593964576721,8,-0.142034
110467,0.00750229,0.0,6874.72,167.41,-0.0144113,4161,0.648515433073,1555.97257658,98.38392472267151,7,-0.142092
112261,0.0127992,0.0,7178.21,183.59,-0.00949678,4164,0.656414926052,1706.57189983,100.16428112983704,3,-0.146458
114424,0.0264,0.0,7365.74,200.29,-0.00791142,4167,0.459936797619,1861.99289142,101.94468522071838,3,-0.134985
115909,0.023787,0.0,7272.42,212.18,-0.0113443,4171,0.44478482008,1972.62745412,103.73471021652222,4,-0.147374
118426,0.0158046,0.0,6830.35,230.15,-0.0119336,4175,0.645724177361,2139.8547088,105.51918935775757,4,-0.140745
120584,0.0103385,0.0,7305.28,245.45,-0.00689284,4180,0.435521125793,2282.24238097,107.30081534385681,5,-0.159851
122721,0.00734257,0.0,6846.11,263.09,-0.00821752,4184,0.492248356342,2446.36462788,109.09697794914246,4,-0.153808
124654,0.00790225,0.0,7184.01,275.6,-0.0112711,4190,0.498899936676,2562.79502995,110.89105272293091,6,-0.164111
126934,0.010336,0.0,6827.26,291.84,-0.0139358,4194,0.538490563631,2713.92631573,112.66794323921204,4,-0.167647
128379,0.00831262,0.0,6108.42,295.43,-0.00938017,4199,0.703887403011,2747.32514173,114.46328139305115,5,-0.16481
131044,0.00748375,0.0,6167.95,317.32,-0.00846209,4203,0.657489299774,2951.17330147,116.2463071346283,4,-0.178588
132458,0.00602863,0.0,5769.97,325.18,-0.0123669,4206,0.69449532032,3024.35032853,118.02695226669312,3,-0.18771
134903,0.0222169,0.0,6347.48,346.03,-0.00425117,4212,0.537538230419,3218.47311766,119.8159761428833,6,-0.203833
137001,0.00738603,0.0,6219.63,362.42,-0.00569326,4216,0.521176815033,3371.17155195,121.59658932685852,4,-0.221245
139092,0.0114302,0.0,6724.21,377.88,-0.00424906,4219,0.125989258289,3515.23617071,123.3937737941742,3,-0.232976
140941,0.00774933,0.0,5881.78,387.86,-0.0125112,4223,0.516236752272,3608.20902162,125.17426681518555,4,-0.224901
142696,0.0186101,0.0,5866.2,397.99,-0.00931197,4229,0.683342248201,3702.54857129,126.97205829620361,6,-0.239809
145226,0.0112909,0.0,5882.97,415.34,-0.0163543,4233,0.556884437799,3864.19937982,128.76038312911987,4,-0.247581
146708,0.0109273,0.0,5194.43,428.1,-0.00699544,4235,0.413716495037,3983.04483454,130.54186463356018,2,-0.252685
149150,0.0432199,0.0,6528.75,446.55,0.00249274,4238,0.159949243069,4154.83401719,132.3226203918457,3,-0.266017
151081,0.0081157,0.0,5659.17,461.14,-0.0108894,4241,0.37087726593,4290.72123914,134.1189513206482,3,-0.268609
153095,0.00666986,0.0,6366.05,473.66,-0.00626478,4244,0.127278506756,4407.40872761,135.8925976753235,3,-0.262218
154761,0.0226787,0.0,5468.76,480.65,-3.50417e-05,4247,0.441770493984,4472.50260681,137.69081616401672,3,-0.26173
157435,0.0137372,0.0,5766.96,480.03,-0.00989131,4256,0.608666867018,4466.76686274,139.50356817245483,9,-0.261625
159033,0.0130201,0.0,4657.85,485.66,-0.00864775,4261,0.702459365129,4519.10744371,141.31439423561096,5,-0.260496
161256,0.0154044,0.0,5676.97,489.95,-0.00282981,4264,0.345995485783,4559.04564871,143.0969054698944,3,-0.246818
163270,0.0117651,0.0,4982.88,488.46,-0.0132402,4267,0.261200010777,4545.08703317,144.8909351825714,3,-0.266256
165272,0.00622871,0.0,5601.95,475.16,-0.0107287,4273,0.453296542168,4421.23767026,146.68141913414001,6,-0.288228
167272,0.0127848,0.0,5151.9,488.46,-0.00879068,4275,-0.162511348724,4544.94582338,148.47859048843384,2,-0.2829
169691,0.025042,0.0,4451.88,496.46,-0.00038691,4279,0.491394639015,4619.29769378,150.259907245636,4,-0.280888
171997,0.00959392,0.0,5637.84,492.76,-0.0112262,4284,0.535530686378,4584.79150389,152.0726134777069,5,-0.295656
174060,0.0124053,0.0,5323.42,486.91,-0.0115169,4292,0.654701679945,4530.17170916,153.86160945892334,8,-0.280371
176116,0.00847305,0.0,4636.71,480.91,-0.0150672,4298,0.715866923332,4474.16218719,155.67532753944397,6,-0.288247
178038,0.00804958,0.0,5292.96,460.62,-0.0115526,4305,0.730524897575,4285.08135004,157.4568338394165,7,-0.300782
179890,0.0224073,0.0,4239.31,464.32,-0.00685887,4307,0.340229809284,4319.37022378,159.2379665374756,2,-0.300459
182247,0.016214,0.0,5200.93,481.93,-0.0105104,4310,0.366145789623,4483.11290548,161.03164792060852,3,-0.298335
184107,0.0118438,0.0,5313.73,451.06,-0.00866021,4318,0.670118093491,4195.36117258,162.82866764068604,8,-0.303865
185673,0.0178907,0.0,3981.69,463.52,-0.0120651,4320,0.52166184783,4311.23149647,164.6045253276825,2,-0.305223
188227,0.0488317,0.0,5444.58,468.98,0.00951309,4324,0.531306445599,4361.78424283,166.4027144908905,4,-0.331399
190248,0.00919492,0.0,3466.64,480.73,-0.0106071,4327,0.71371909976,4470.92682698,168.1842131614685,3,-0.333288
191728,0.0239474,0.0,3394.75,471.7,-0.0108193,4331,0.722205966711,4386.60256233,169.968909740448,4,-0.348123
194134,0.0138159,0.0,5777.63,484.26,-0.00889829,4334,0.128611981869,4503.34101744,171.74265050888062,3,-0.342682
196407,0.0173902,0.0,4487.91,482.57,-0.0161224,4337,0.560375034809,4487.32296542,173.52596378326416,3,-0.361162
197936,0.00831193,0.0,2815.23,458.55,-0.00733176,4342,0.645607054234,4263.50316156,175.30625867843628,5,-0.355732
200013,0.010482,0.0,4002.47,459.18,-0.0120651,4345,0.642346292734,4269.20050294,177.10087394714355,3,-0.350817
201983,0.0602399,0.0,3689.1,472.22,0.0164255,4347,0.551118671894,4390.48106371,178.87614226341248,2,-0.351384
204574,0.0111891,0.0,4994.13,479.32,-0.0152133,4350,0.142499744892,4456.4967797,180.66542792320251,3,-0.352502
