#{"env_id": "InvertedDoublePendulum-v2", "t_start": 1536437509.372463}
r,l,t
45.201367,5,1.148727
36.028405,4,1.148727
35.577183,4,1.148727
26.850621,3,1.16435
54.853956,6,1.16435
45.039842,5,1.16435
26.915594,3,1.16435
53.831464,6,1.16435
72.560464,8,1.179973
73.228021,8,1.179973
72.950574,8,1.179973
54.842682,6,1.179973
45.384148,5,1.195598
36.068238,4,1.195598
54.215059,6,1.195598
54.138576,6,1.195598
45.356244,5,1.195598
53.895172,6,1.211225
73.295416,8,1.211225
35.98367,4,1.211225
82.039567,9,1.211225
45.194303,5,1.22685
63.973865,7,1.22685
45.278907,5,1.22685
36.070044,4,1.22685
35.957602,4,1.22685
35.675791,4,1.242475
54.161847,6,1.242475
91.285398,10,1.242475
26.906039,3,1.242475
36.088078,4,1.242475
44.919126,5,1.258099
45.208484,5,1.258099
54.49664,6,1.258099
45.145216,5,1.258099
44.954511,5,1.258099
45.087446,5,1.273724
35.911152,4,1.273724
36.102739,4,1.273724
35.264843,4,1.273724
63.799472,7,1.273724
35.91076,4,1.273724
54.200286,6,1.289349
63.851488,7,1.289349
54.265951,6,1.289349
54.539647,6,1.289349
45.488651,5,1.304974
35.834452,4,1.304974
64.093275,7,1.304974
64.089853,7,1.304974
54.195732,6,1.304974
45.127872,5,1.320599
44.840175,5,1.320599
35.780383,4,1.320599
54.632375,6,1.320599
35.34394,4,1.320599
44.905954,5,1.320599
45.098059,5,1.336224
54.689223,6,1.336224
54.101032,6,1.336224
35.997976,4,1.336224
54.202045,6,1.336224
54.837261,6,1.351848
146.93992,16,1.351848
44.873669,5,1.351848
35.974004,4,1.367473
54.209535,6,1.367473
44.935954,5,1.367473
36.090909,4,1.367473
54.436088,6,1.367473
35.380823,4,1.383098
64.050291,7,1.383098
45.151136,5,1.383098
73.560496,8,1.383098
45.488831,5,1.383098
36.047225,4,1.398724
91.683486,10,1.398724
63.293659,7,1.398724
62.811272,7,1.398724
73.228674,8,1.414347
72.967401,8,1.414347
54.144867,6,1.414347
54.246536,6,1.414347
45.48494,5,1.429972
91.25303,10,1.429972
35.731371,4,1.429972
45.364102,5,1.429972
45.168785,5,1.445597
35.550109,4,1.445597
45.045959,5,1.445597
35.491567,4,1.445597
35.818471,4,1.445597
63.675858,7,1.445597
63.795956,7,1.461222
26.815359,3,1.461222
45.181366,5,1.461222
35.828037,4,1.461222
45.504116,5,1.461222
35.748102,4,1.461222
35.533877,4,1.476848
35.947028,4,1.476848
45.07042,5,1.476848
73.1523,8,1.476848
44.881334,5,1.476848
35.976841,4,1.492474
26.915761,3,1.492474
35.199557,4,1.492474
35.806128,4,1.492474
53.990096,6,1.492474
54.785713,6,1.492474
54.146299,6,1.508097
35.790254,4,1.508097
44.830879,5,1.508097
45.118078,5,1.508097
82.334181,9,1.523723
45.075698,5,1.523723
54.079452,6,1.523723
35.727949,4,1.523723
54.721326,6,1.523723
54.369325,6,1.539349
35.620088,4,1.539349
36.023397,4,1.539349
63.559868,7,1.539349
63.533456,7,1.539349
54.158462,6,1.554974
54.578087,6,1.554974
91.663428,10,1.554974
54.3048,6,1.554974
45.419141,5,1.570598
36.059926,4,1.570598
54.063514,6,1.570598
53.975776,6,1.570598
91.100923,10,1.586222
36.249471,4,1.586222
63.474126,7,1.586222
35.803333,4,1.586222
54.524753,6,1.586222
54.488209,6,1.601847
36.03658,4,1.601847
63.784519,7,1.601847
92.016804,10,1.601847
44.65189,5,1.601847
92.171424,10,1.617472
54.772941,6,1.617472
35.825942,4,1.617472
45.083557,5,1.617472
54.470103,6,1.633098
35.963678,4,1.633098
35.81685,4,1.633098
100.971764,11,1.633098
54.423456,6,1.648722
26.950196,3,1.648722
82.221884,9,1.648722
45.402628,5,1.648722
82.622846,9,1.648722
45.03385,5,1.664348
45.143293,5,1.664348
35.617559,4,1.664348
35.606503,4,1.664348
45.002966,5,1.664348
54.664259,6,1.679972
54.174123,6,1.679972
35.684172,4,1.679972
35.781686,4,1.679972
35.373981,4,1.679972
