EpRewMean,EpThisIter,ev_tdlam_before,loss_pol_entpen,loss_kl,TimeElapsed,TimestepsSoFar,EpLenMean,loss_vf_loss,loss_pol_surr,EpisodesSoFar,loss_ent
49.9660613576,368,-0.00949192047119,0.0,0.0285271,2.123941421508789,2046,5.52,640.36,-0.0345578,368,1.38057
57.25422274,322,0.47310179472,0.0,0.0293347,3.952303409576416,4091,6.31,444.683,-0.0474024,690,1.30616
64.9689911168,282,0.282377958298,0.0,0.0236905,5.7805657386779785,6138,7.14,487.945,-0.0368895,972,1.23684
77.3385083989,241,0.193240702152,0.0,0.0197054,7.582066059112549,8186,8.46,658.462,-0.0281416,1213,1.17814
89.9959894588,210,0.249324560165,0.0,0.0136284,9.37892460823059,10236,9.82,734.991,-0.0279479,1423,1.09777
96.1144420796,198,0.354669630527,0.0,0.012535,11.178011178970337,12287,10.48,694.907,-0.0271519,1621,1.04737
115.057848147,167,0.378494858742,0.0,0.00956712,12.976452112197876,14320,12.53,923.657,-0.0216791,1788,0.995066
123.954804842,152,0.392806112766,0.0,0.0109841,14.762047529220581,16381,13.48,1100.42,-0.021332,1940,0.933298
141.92585036,132,0.40641772747,0.0,0.0114211,16.542065382003784,18420,15.43,1368.65,-0.0187213,2072,0.882677
144.606858245,127,0.452588200569,0.0,0.00965852,18.324647903442383,20470,15.71,1338.34,-0.0201748,2199,0.843242
171.250974655,109,0.467416346073,0.0,0.00917296,20.10748028755188,22525,18.6,1798.57,-0.0164063,2308,0.821001
187.811678557,99,0.443309724331,0.0,0.00934761,21.874502897262573,24557,20.39,2034.56,-0.0177494,2407,0.79032
196.387101819,95,0.500369399786,0.0,0.0113878,23.660076141357422,26586,21.32,2050.72,-0.0171449,2502,0.770178
197.208152551,96,0.508906692266,0.0,0.0122155,25.42032480239868,28671,21.42,2050.17,-0.0139252,2598,0.722915
237.169721239,76,0.534725576639,0.0,0.00755573,27.186287879943848,30718,25.74,2442.99,-0.0137958,2674,0.68651
237.913675136,77,0.54684472084,0.0,0.00706472,28.942429542541504,32752,25.82,2223.53,-0.0157174,2751,0.657371
253.780252522,72,0.562334924936,0.0,0.00831994,30.709450006484985,34802,27.53,2454.1,-0.0121375,2823,0.636157
271.375711817,69,0.565074473619,0.0,0.0066371,32.466567516326904,36840,29.43,2623.42,-0.0127404,2892,0.613648
275.747018206,70,0.595209032297,0.0,0.00731992,34.232257604599,38898,29.91,2481.36,-0.0123805,2962,0.57775
297.662551925,59,0.60373467207,0.0,0.00747315,35.99851322174072,40922,32.27,2913.77,-0.014564,3021,0.566666
324.780606366,60,0.604839473963,0.0,0.01045,37.76347041130066,42976,35.18,2768.25,-0.0114433,3081,0.545061
303.101691058,63,0.633727967739,0.0,0.0100943,39.51972842216492,45028,32.85,2496.68,-0.0146882,3144,0.507013
323.520201554,57,0.60781827569,0.0,0.00653081,41.47919797897339,47100,35.04,3215.59,-0.0105954,3201,0.477486
314.623423027,60,0.657874912024,0.0,0.00449648,43.250503063201904,49148,34.07,2408.37,-0.00718293,3261,0.459148
321.578714719,57,0.68257561326,0.0,0.0128203,45.00417757034302,51181,34.84,2397.01,-0.006446,3318,0.436796
337.038753811,55,0.67737787962,0.0,0.00958734,46.771090507507324,53219,36.51,2681.57,-0.0111556,3373,0.408237
368.716654089,47,0.692192465067,0.0,0.00734891,48.528209924697876,55246,39.91,2992.57,-0.013036,3420,0.389833
397.420622717,47,0.616259396076,0.0,0.009029,50.2800567150116,57330,42.99,3858.64,-0.0112897,3467,0.345614
391.37266427,51,0.658832907677,0.0,0.00786961,52.062073945999146,59372,42.33,3083.42,-0.0113251,3518,0.328029
382.577380064,47,0.680346041918,0.0,0.00641709,53.811203956604004,61399,41.38,3112.96,-0.00921213,3565,0.29275
373.282241127,53,0.704058229923,0.0,0.00796235,55.60000538825989,63410,40.38,2665.62,-0.0103438,3618,0.270444
405.79116542,40,0.675388842821,0.0,0.0054742,57.35107946395874,65501,43.88,3646.76,-0.00989543,3658,0.26741
468.795819698,37,0.650322526693,0.0,0.00385254,59.10919189453125,67560,50.65,4722.85,-0.0095414,3695,0.243382
485.490562577,41,0.647687971592,0.0,0.0112002,60.86899399757385,69607,52.44,4170.36,-0.0128018,3736,0.243491
470.139360376,40,0.66937571764,0.0,0.0117132,62.6288857460022,71672,50.79,4154.66,-0.00826643,3776,0.233123
501.459526075,36,0.662301599979,0.0,0.00608396,64.37352132797241,73715,54.17,4424.63,-0.010081,3812,0.238295
492.522812189,39,0.653760284185,0.0,0.00648115,66.13817524909973,75775,53.21,4133.52,-0.0122049,3851,0.230045
503.873380353,37,0.690324544907,0.0,0.0148612,67.89447283744812,77803,54.42,4064.58,-0.00653956,3888,0.220571
528.729304705,32,0.669987201691,0.0,0.0162237,69.64464712142944,79852,57.11,4910.85,-0.00486313,3920,0.203431
565.564210662,31,0.60616850853,0.0,0.00654255,71.41841721534729,81882,61.07,5503.48,-0.0115388,3951,0.18532
603.029596277,30,0.674145698547,0.0,0.00811961,73.16980600357056,83948,65.11,4945.21,-0.0135541,3981,0.176786
629.052852963,32,0.626920312643,0.0,0.00885537,74.93468523025513,86014,67.89,5701.27,-0.012176,4013,0.139436
637.247590824,26,0.645276784897,0.0,0.00875796,76.67183494567871,87990,68.77,5664.23,-0.00754031,4039,0.115344
618.687301034,32,0.68368011713,0.0,0.00967426,78.42977285385132,90096,66.77,4709.78,-0.0102379,4071,0.117396
666.825657433,27,0.634459972382,0.0,0.00956688,80.18026185035706,92139,71.95,5897.72,-0.00948074,4098,0.087553
716.248342783,20,0.622993737459,0.0,0.00747822,81.91842317581177,94174,77.27,6375.98,-0.0133482,4118,0.0656453
786.334575181,17,0.570759743452,0.0,0.00653065,83.66337561607361,96254,84.82,6779.52,-0.012731,4135,0.0518451
875.03491608,18,0.564991682768,0.0,0.00461121,85.4123113155365,98287,94.36,6909.79,-0.00902166,4153,0.0384183
951.742330269,17,0.591850578785,0.0,0.00971748,87.16295170783997,100322,102.61,6702.68,-0.00761183,4170,0.0244029
976.614246214,18,0.651453256607,0.0,0.00548343,88.91188502311707,102120,105.27,6683.56,-0.0122236,4188,-0.00298572
1098.18367686,15,0.671719759703,0.0,0.0103497,90.6451506614685,104421,118.33,6459.18,-0.0113029,4203,-0.00726902
1107.1395524,19,0.640443116426,0.0,0.00886088,92.40439820289612,106453,119.28,6321.62,-0.00784664,4222,-0.0401127
1099.5490662,18,0.696101874113,0.0,0.0197128,94.15549063682556,108526,118.45,6124.76,0.00194579,4240,-0.0692515
1112.55688853,16,0.699239999056,0.0,0.0186365,95.90518832206726,110511,119.84,5784.29,-0.0106841,4256,-0.0977476
1150.68879049,12,0.646671921015,0.0,0.0125155,97.64710354804993,112635,123.93,6716.9,-0.0113339,4268,-0.115395
1237.2263915,13,0.700496643782,0.0,0.0140845,99.39718914031982,114530,133.24,6257.18,-0.00225176,4281,-0.121092
1338.71362509,6,0.602643668652,0.0,0.00696042,101.13247513771057,116493,144.15,6753.26,-0.0070247,4287,-0.139222
1393.71829918,11,0.681666195393,0.0,0.00578469,102.89679861068726,118553,150.06,6574.9,-0.010743,4298,-0.148501
1408.52112921,13,0.635059893131,0.0,0.00708733,104.6449179649353,120688,151.65,5808.33,-0.0111376,4311,-0.143286
1508.41045946,12,0.668946295977,0.0,0.0203528,106.38957142829895,122746,162.38,6568.88,-0.0016884,4323,-0.163552
1600.15220822,8,0.68862259388,0.0,0.0117748,108.12973642349243,124653,172.24,6186.97,-0.00652411,4331,-0.192549
1694.98717908,7,0.633378565311,0.0,0.0080119,109.9290623664856,126687,182.43,6389.65,-0.00823678,4338,-0.189178
1861.46391908,6,0.506594479084,0.0,0.0145562,111.66053700447083,129010,200.34,7012.37,-0.00989411,4344,-0.203662
2011.52694492,5,0.39417296648,0.0,0.0448712,113.41850924491882,131021,216.47,6816.11,0.00358333,4349,-0.198762
2023.25694598,9,0.619432806969,0.0,0.015493,115.16970801353455,132704,217.73,6119.61,-0.00928386,4358,-0.206971
2120.83275353,7,0.695784419775,0.0,0.00860166,116.93663907051086,134946,228.22,5785.06,-0.0140234,4365,-0.206692
2228.57304402,6,0.655928641558,0.0,0.0198883,118.66312742233276,136926,239.79,5962.62,-0.00262794,4371,-0.238878
2278.46412509,10,0.654620856047,0.0,0.0180449,120.41245865821838,139045,245.15,6322.32,-0.00825698,4381,-0.258664
2207.55792928,9,0.591105431318,0.0,0.0113837,122.14710116386414,141306,237.53,6960.91,-0.0129519,4390,-0.274974
2297.53274267,6,0.780566543341,0.0,0.0230482,123.92610430717468,142882,247.2,5088.38,-0.00778306,4396,-0.277018
2408.13528583,5,0.645617067814,0.0,0.0114278,125.67724466323853,145000,259.08,5638.09,-0.0125039,4401,-0.291093
2565.39750407,4,0.438544213772,0.0,0.016837,127.43435740470886,147385,275.97,6118.96,-0.00291722,4405,-0.311859
2696.37301183,5,0.499457657337,0.0,0.0198615,129.17101335525513,149476,290.04,6240.42,-0.00612776,4410,-0.322342
2794.87405486,4,0.611075520515,0.0,0.0104744,130.95752215385437,151391,300.62,5357.7,-0.012008,4414,-0.32403
2936.37119766,4,0.740419715643,0.0,0.035332,132.7026126384735,153550,315.81,4856.89,-0.000614288,4418,-0.330077
3032.61742468,4,0.540733873844,0.0,0.0163882,134.47468781471252,155297,326.14,5612.05,-0.00828866,4422,-0.369898
3145.09023818,3,0.691833853722,0.0,0.0192779,136.22761487960815,157095,338.22,4923.79,-0.00569972,4425,-0.379477
3142.69752112,7,0.699393540621,0.0,0.0183261,137.9811110496521,158994,337.95,5158.2,-0.00376793,4432,-0.383702
3214.64604246,5,0.690846800804,0.0,0.0242629,139.7253975868225,161213,345.68,5146.31,-0.00453323,4437,-0.392472
3297.10210939,6,0.676835805178,0.0,0.0118187,141.46924352645874,163798,354.52,4933.77,-0.0149533,4443,-0.407923
3329.24384053,5,0.743646800518,0.0,0.0362519,143.22384357452393,165817,357.96,4100.85,0.00675475,4448,-0.408916
3367.95919035,2,0.503285467625,0.0,0.00771757,144.95965790748596,167481,362.1,4710.83,-0.00413908,4450,-0.412443
3492.75541445,2,-0.0826091766357,0.0,0.0152228,146.70827102661133,169481,375.49,5232.12,0.00723357,4452,-0.425983
3638.42461026,3,0.593269199133,0.0,0.0119249,148.45074200630188,171402,391.13,4682.72,-0.00508568,4455,-0.434958
3818.27109432,2,-0.0323832035065,0.0,0.0657087,150.18654990196228,173402,410.44,5210.78,0.014518,4457,-0.44501
3920.56151823,5,0.390740513802,0.0,0.0103924,151.9511260986328,176095,421.41,5583.29,-0.00563658,4462,-0.428379
4002.20140736,3,0.425764799118,0.0,0.0112776,153.6835663318634,177963,430.17,5030.24,-0.0109086,4465,-0.446
