loss_kl,loss_pol_surr,TimeElapsed,ev_tdlam_before,EpThisIter,EpisodesSoFar,EpLenMean,loss_ent,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_vf_loss
0.0123237,-0.0279594,2.137228488922119,0.00598222017288,368,368,5.57,1.38789,2047,0.0,50.402642633,607.736
0.0289579,-0.0475317,4.015579462051392,0.447269439697,339,707,5.75,1.32058,4092,0.0,52.1025684153,424.228
0.0208409,-0.0388106,5.85932469367981,0.2907782197,305,1012,6.99,1.25562,6138,0.0,63.6200936711,413.29
0.0116567,-0.0303344,7.718693494796753,0.244293093681,267,1279,7.57,1.19052,8191,0.0,69.0183297224,482.554
0.0211138,-0.0258994,9.562766075134277,0.278491377831,230,1509,9.06,1.13988,10228,0.0,82.9281742369,609.434
0.0122239,-0.024479,11.390460729598999,0.373977184296,209,1718,9.45,1.07353,12282,0.0,86.5807172147,573.866
0.0134266,-0.0255187,13.218581199645996,0.361227273941,170,1888,11.87,1.01386,14336,0.0,109.097636262,929.008
0.0105278,-0.0204454,15.046700716018677,0.465366363525,170,2058,11.91,0.965185,16383,0.0,109.376737832,725.32
0.0116724,-0.0222008,16.859195232391357,0.453621923923,148,2206,13.57,0.913175,18428,0.0,124.864484777,993.213
0.0109993,-0.0151282,18.68731451034546,0.488884210587,134,2340,14.94,0.864279,20456,0.0,137.447036585,1086.07
0.00941637,-0.0169214,20.499809741973877,0.520711481571,128,2468,15.79,0.818443,22520,0.0,145.248096484,1109.99
0.0147232,-0.0128607,22.296678066253662,0.49867618084,116,2584,17.9,0.767609,24568,0.0,164.712445943,1371.7
0.00796823,-0.0153463,24.109174013137817,0.49390745163,99,2683,20.64,0.745022,26623,0.0,190.172529855,1825.67
0.0101091,-0.0138362,25.90604257583618,0.496226847172,94,2777,21.67,0.706193,28661,0.0,199.783810203,2111.89
0.0118109,-0.0157936,27.719690561294556,0.557153552771,84,2861,23.45,0.680937,30696,0.0,216.194427593,2011.53
0.0117957,-0.00936869,29.51560068130493,0.575422227383,77,2938,25.15,0.654663,32746,0.0,231.755319124,2130.38
0.0109162,-0.0144297,31.328096628189087,0.564829796553,80,3018,25.43,0.633629,34794,0.0,234.366425616,2064.45
0.00540077,-0.0112001,33.12496495246887,0.614086717367,67,3085,29.24,0.630451,36843,0.0,269.674882013,2430.36
0.00836974,-0.0139769,34.92183566093445,0.601110845804,76,3161,27.63,0.595499,38904,0.0,254.624684955,2039.85
0.00720985,-0.0121624,36.73432898521423,0.636058390141,69,3230,28.37,0.566373,40951,0.0,261.569530813,2313.4
0.00651017,-0.0119666,38.53119921684265,0.624335020781,60,3290,32.7,0.537199,43003,0.0,301.774356936,2644.07
0.0076984,-0.0136188,40.33035492897034,0.626411944628,63,3353,33.7,0.509988,45048,0.0,310.90473474,2449.38
0.00730629,-0.00978622,42.140419006347656,0.667438238859,56,3409,34.89,0.494429,47086,0.0,322.009470951,2422.28
0.0128885,-0.014486,43.92860555648804,0.681944161654,58,3467,36.04,0.461402,49136,0.0,332.870586455,2378.16
0.00489139,-0.0113827,45.734203815460205,0.650157868862,49,3516,37.73,0.447589,51193,0.0,348.662706014,3227.22
0.00653897,-0.00818592,47.53107237815857,0.645033806562,57,3573,38.57,0.422457,53233,0.0,356.437704782,3035.85
0.0119355,-0.00916703,49.34356760978699,0.681247383356,56,3629,36.0,0.388749,55276,0.0,332.583378773,2464.08
0.00442579,-0.0123929,51.14043641090393,0.695666342974,51,3680,38.24,0.366311,57323,0.0,353.385050054,2586.52
0.0117176,-0.00751652,52.95293211936951,0.688108146191,43,3723,42.74,0.335087,59326,0.0,395.340075118,3287.08
0.00732216,-0.01339,54.73417568206787,0.737712979317,45,3768,45.78,0.330774,61382,0.0,423.569380044,2793.96
0.00927458,-0.0144665,56.54667115211487,0.700826764107,45,3813,46.8,0.321182,63456,0.0,433.0995293,3067.71
0.00796734,-0.0148434,58.340452671051025,0.723230451345,48,3861,44.02,0.293996,65471,0.0,407.25610919,2938.68
0.0135299,-0.00799443,60.14073657989502,0.723952591419,41,3902,46.71,0.274947,67562,0.0,432.291694089,3072.13
0.00644881,-0.0123544,61.937620639801025,0.723309844732,41,3943,47.47,0.258101,69596,0.0,439.603800253,3156.82
0.00834298,-0.00943613,63.734434843063354,0.722410321236,41,3984,49.68,0.241674,71668,0.0,460.240622321,3043.7
0.00923317,-0.011014,65.52288389205933,0.713525444269,39,4023,51.85,0.209638,73711,0.0,480.400333023,3888.48
0.00540723,-0.0104005,67.3286452293396,0.684024810791,39,4062,51.75,0.193587,75775,0.0,479.457734526,3761.09
0.0105618,-0.00701771,69.11764287948608,0.735203802586,40,4102,52.58,0.165303,77810,0.0,487.153838789,3412.35
0.00818384,-0.0120596,70.91915726661682,0.714089334011,29,4131,57.15,0.140673,79842,0.0,529.651628474,4467.18
0.010111,-0.0104625,72.70321226119995,0.731261134148,31,4162,60.95,0.130594,81870,0.0,564.978988942,4095.48
0.0136935,-0.00331056,74.50008249282837,0.684420675039,25,4187,69.46,0.138195,83898,0.0,644.148883307,5137.75
