TimestepsSoFar,EpThisIter,loss_ent,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,EpRewMean,loss_kl,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpLenMean
2046,373,1.38873,0.0,0.00289505720139,-0.0287458,51.8253808066,0.0181143,373,606.008,2.10003399848938,5.72
4095,336,1.31573,0.0,0.493868708611,-0.0468039,55.4277468049,0.0299054,709,386.49,3.9536473751068115,6.11
6140,282,1.23748,0.0,0.284646511078,-0.040338,66.1968497788,0.0198274,991,453.957,5.750473976135254,7.27
8184,269,1.18625,0.0,0.268887400627,-0.032192,71.5413331481,0.0174588,1260,421.807,7.609519004821777,7.84
10237,224,1.11973,0.0,0.252984106541,-0.0281603,82.7443729174,0.0154041,1484,651.698,9.406542539596558,9.04
12282,204,1.06185,0.0,0.342297792435,-0.0248249,92.6125206117,0.0114079,1688,648.58,11.223987102508545,10.09
14335,188,1.01217,0.0,0.448935449123,-0.0213533,98.4403327169,0.0148107,1876,614.576,13.001086473464966,10.73
16373,170,0.983047,0.0,0.453769028187,-0.0193317,107.583494486,0.00911811,2046,771.808,14.804092407226562,11.71
18422,150,0.930779,0.0,0.446908175945,-0.0217705,126.693270098,0.0107426,2196,1052.25,16.57899785041809,13.78
20465,141,0.899085,0.0,0.544210851192,-0.0164595,129.980244458,0.0105772,2337,842.36,18.374865770339966,14.13
22505,125,0.863026,0.0,0.511504411697,-0.0167221,152.164758,0.011149,2462,1218.07,20.140485048294067,16.52
24558,111,0.833783,0.0,0.470628082752,-0.0179111,165.693024511,0.0116627,2573,1897.13,21.921730279922485,18.0
26623,107,0.776398,0.0,0.498421728611,-0.0174998,177.351865767,0.00915809,2680,1876.27,23.687349557876587,19.26
28667,94,0.738493,0.0,0.5160330832,-0.0184566,195.121663082,0.0109742,2774,1928.26,25.468595027923584,21.16
30696,86,0.691102,0.0,0.55827113986,-0.0144795,211.872993147,0.00643522,2860,1889.31,27.218588829040527,22.98
32737,79,0.675157,0.0,0.564555794001,-0.0130005,228.693100564,0.00601396,2939,2113.92,28.999833822250366,24.81
34783,73,0.6609,0.0,0.557768911123,-0.0136425,249.97844776,0.00855242,3012,2651.82,30.76545286178589,27.11
36841,78,0.616442,0.0,0.601378202438,-0.015815,232.260283511,0.00622417,3090,1883.42,32.54669904708862,25.2
38909,70,0.59556,0.0,0.615893930197,-0.0143324,271.48745705,0.00601898,3160,2406.28,34.29823017120361,29.43
40942,68,0.560659,0.0,0.618747293949,-0.00993778,269.192014881,0.013042,3228,2417.24,36.12105655670166,29.18
42969,63,0.518856,0.0,0.631877779961,-0.0103994,288.143524317,0.00575219,3291,2408.21,37.87667155265808,31.23
45006,64,0.483295,0.0,0.670789897442,-0.011787,292.787662261,0.00710038,3355,2306.54,39.65527677536011,31.75
47076,55,0.462636,0.0,0.635083943605,-0.0150648,326.066249169,0.00860708,3410,2865.17,41.428656578063965,35.32
49140,54,0.439657,0.0,0.674644321203,-0.00844218,345.05634801,0.0100039,3464,2745.85,43.18816685676575,37.35
51166,62,0.421036,0.0,0.671362608671,-0.0115373,326.999279829,0.00596401,3526,2318.77,44.953152656555176,35.4
53212,51,0.406211,0.0,0.684988260269,-0.0113285,331.40050981,0.00772082,3577,3149.5,46.71877336502075,35.88
55290,52,0.371273,0.0,0.6969640553,-0.00829832,368.181481677,0.00487949,3629,2700.2,48.49061465263367,39.82
57339,50,0.363052,0.0,0.678827494383,-0.0111976,373.961009471,0.00706929,3679,3067.96,50.250088691711426,40.44
59370,55,0.338592,0.0,0.703515172005,-0.012164,359.162092538,0.00787437,3734,2409.31,52.00721573829651,38.86
61417,47,0.332156,0.0,0.747223973274,-0.0109744,372.11100886,0.0104562,3781,2527.02,53.781901836395264,40.24
63470,44,0.297609,0.0,0.683416843414,-0.0138049,414.438650248,0.00985765,3825,3753.67,55.54750323295593,44.79
65534,46,0.258848,0.0,0.737069159746,-0.00987038,424.651194591,0.00715035,3871,2779.66,57.32859396934509,45.88
67510,38,0.245741,0.0,0.706271618605,-0.00972628,459.682335853,0.00733266,3909,3826.51,59.07931637763977,49.64
69587,37,0.238534,0.0,0.665339797735,-0.00743718,484.358977688,0.0093547,3946,4283.91,60.843510389328,52.28
71639,47,0.208296,0.0,0.691324561834,-0.00891465,457.099674067,0.0084179,3993,3443.18,62.62475371360779,49.34
73712,36,0.19979,0.0,0.732565462589,-0.0108946,456.684410625,0.0116197,4029,3575.65,64.37474870681763,49.3
75748,38,0.175627,0.0,0.674358427525,-0.0126309,484.609987098,0.00922104,4067,4151.73,66.14036822319031,52.3
77804,35,0.160975,0.0,0.710440784693,-0.0105281,534.236542416,0.0110793,4102,3794.5,67.90598917007446,57.63
79869,34,0.140242,0.0,0.714539885521,-0.00952653,531.123547187,0.0090124,4136,3897.33,69.67160773277283,57.3
81815,41,0.113965,0.0,0.711445569992,-0.00994386,500.464843611,0.00579974,4177,3576.13,71.42216968536377,54.0
83885,30,0.077369,0.0,0.708276957273,-0.0156472,524.962170099,0.00660085,4207,4536.18,73.20308113098145,56.63
