EpisodesSoFar,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,loss_pol_surr,ev_tdlam_before,TimeElapsed,EpThisIter
362,2047,5.69,51.4949929642,0.0215614,1.36398,0.0,655.176,-0.0357297,-0.00482285022736,2.1406168937683105,362
697,4093,5.99,54.3388727119,0.0276256,1.28675,0.0,387.922,-0.0462404,0.488673746586,4.000077962875366,335
989,6142,6.91,62.8632127184,0.0212105,1.23477,0.0,457.499,-0.0367749,0.256291270256,5.844156265258789,292
1253,8191,7.83,71.4849536814,0.0169699,1.18739,0.0,504.062,-0.0302013,0.238336861134,7.657242298126221,264
1482,10235,8.91,81.5190069607,0.0122684,1.12945,0.0,546.335,-0.0273987,0.305105268955,9.485140323638916,229
1687,12273,10.16,93.1534913913,0.0134835,1.07905,0.0,664.147,-0.026531,0.3552339077,11.266178131103516,205
1879,14335,11.18,102.579984071,0.0134276,1.01937,0.0,646.562,-0.0207121,0.424630761147,13.079471349716187,192
2042,16383,12.71,116.811498444,0.0125631,0.98267,0.0,855.822,-0.0176235,0.436128854752,14.86034369468689,163
2208,18428,12.5,114.863150087,0.00817453,0.94351,0.0,643.88,-0.0162873,0.530763179064,16.671908378601074,166
2351,20472,14.15,130.202569576,0.014789,0.92117,0.0,925.308,-0.0191033,0.52188962698,18.453154802322388,143
2490,22517,14.62,134.505335077,0.012174,0.882843,0.0,908.118,-0.0200398,0.544120490551,20.22990322113037,139
2616,24573,16.97,156.098348248,0.0128325,0.827566,0.0,1136.6,-0.023452,0.536304563284,22.000033140182495,126
2721,26610,19.2,176.83881922,0.0118778,0.786608,0.0,1665.74,-0.0161393,0.498765051365,23.78169059753418,105
2820,28663,20.69,190.644805882,0.00777866,0.7556,0.0,1641.52,-0.013661,0.526398032904,25.547642469406128,99
2918,30716,21.06,194.226701742,0.00967453,0.726616,0.0,1673.23,-0.0170182,0.54762750864,27.335291862487793,98
3014,32762,21.15,194.730566042,0.0092987,0.685572,0.0,1552.18,-0.0158254,0.598779171705,29.1097309589386,96
3093,34797,24.86,229.079562677,0.00972071,0.648268,0.0,1708.54,-0.00999871,0.607020586729,30.875173091888428,79
3167,36841,27.45,253.228082954,0.01139,0.628366,0.0,2419.78,-0.0186817,0.561089962721,32.64797830581665,74
3244,38912,27.31,251.898356844,0.00701082,0.597943,0.0,1880.36,-0.0144016,0.623830378056,34.42198348045349,77
3309,40934,30.4,280.324730447,0.010412,0.580464,0.0,2332.4,-0.00510426,0.629851818085,36.18760275840759,65
3367,43004,33.55,309.732064058,0.00687037,0.562542,0.0,3224.67,-0.0135349,0.578534543514,37.95322370529175,58
3426,45032,34.69,320.360431063,0.00731536,0.539702,0.0,3396.14,-0.0115116,0.572826176882,39.703216791152954,59
