EpThisIter,TimeElapsed,loss_kl,loss_pol_entpen,loss_vf_loss,TimestepsSoFar,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,ev_tdlam_before,EpRewMean
368,2.141059398651123,0.0161971,0.0,619.053,2042,-0.0270745,368,1.39847,5.49,0.00495404005051,49.6677836633
332,3.969139575958252,0.0231666,0.0,420.487,4093,-0.0488064,700,1.32559,5.97,0.475259244442,54.1189852343
301,5.781623601913452,0.0267287,0.0,429.401,6144,-0.0406722,1001,1.24892,6.95,0.330656588078,63.2975735349
264,7.5937817096710205,0.0144561,0.0,474.041,8186,-0.0327144,1265,1.19424,7.7,0.252716958523,70.2290015947
223,9.375025987625122,0.0156799,0.0,623.604,10238,-0.0296217,1488,1.13465,9.42,0.274066269398,86.26061419
207,11.17189621925354,0.0142216,0.0,612.424,12280,-0.0294153,1695,1.06099,9.6,0.366004884243,87.9758323413
187,12.968765020370483,0.00947139,0.0,696.023,14332,-0.0207606,1882,1.00975,10.96,0.410252153873,100.524059723
165,14.750011205673218,0.0124757,0.0,828.406,16381,-0.0201653,2047,0.963749,12.62,0.435281336308,115.984740587
146,16.515629529953003,0.00888382,0.0,1084.92,18421,-0.0153255,2193,0.925914,13.3,0.450087666512,122.212145189
142,18.28125,0.00962025,0.0,939.382,20476,-0.01767,2335,0.885009,14.32,0.510462611914,131.751783946
125,20.17121386528015,0.00928596,0.0,1380.7,22522,-0.0196546,2460,0.852026,16.23,0.491044402122,149.445531973
117,21.95245933532715,0.0114815,0.0,1563.41,24566,-0.0181469,2577,0.834416,17.04,0.487464785576,156.969581728
115,23.734344005584717,0.0110178,0.0,1223.05,26620,-0.0195514,2692,0.786114,17.68,0.566422432661,162.656893507
94,25.49996590614319,0.0142637,0.0,1932.48,28671,-0.0151759,2786,0.74535,21.68,0.525345504284,199.718451397
94,27.265583276748657,0.010506,0.0,1822.81,30692,-0.0121877,2880,0.714288,21.71,0.53755646944,199.846085514
83,29.03120517730713,0.00948772,0.0,1874.82,32745,-0.0170433,2963,0.678111,24.5,0.557607501745,225.744174573
81,30.796823024749756,0.00844482,0.0,1906.98,34801,-0.0102396,3044,0.637316,25.33,0.571446239948,233.475496048
71,32.57806849479675,0.0108596,0.0,2251.93,36834,-0.0153882,3115,0.626143,27.4,0.592688679695,252.665162527
66,34.32806205749512,0.013184,0.0,2512.59,38887,-0.00719794,3181,0.603701,30.39,0.595214307308,280.397909343
70,36.09368324279785,0.00602132,0.0,2458.83,40946,-0.0107948,3251,0.574077,30.22,0.575514763594,278.928518157
60,37.844242811203,0.00711117,0.0,3289.97,43002,-0.0165612,3311,0.555128,32.12,0.573933303356,296.652146496
62,39.62518620491028,0.0127567,0.0,2201.54,45005,-0.0126374,3373,0.526002,33.28,0.669974178076,307.290290579
60,41.37553095817566,0.00902693,0.0,2578.36,47095,-0.0119606,3433,0.495134,33.86,0.650502413511,312.565972578
65,43.13349771499634,0.0164149,0.0,2113.09,49143,-0.00573376,3498,0.455877,31.91,0.68229174614,294.526134299
53,44.89095497131348,0.00575152,0.0,2756.83,51192,-0.0119083,3551,0.431423,35.65,0.661406993866,329.325711894
57,46.6574809551239,0.00825794,0.0,2692.94,53248,-0.0112927,3608,0.40777,37.76,0.6715477705,349.008304148
50,48.39903473854065,0.0109337,0.0,3189.42,55296,-0.0116017,3658,0.381443,38.61,0.668557584286,356.821380456
55,50.17199969291687,0.006588,0.0,2582.44,57332,-0.0149418,3713,0.352583,39.17,0.680483072996,362.074979242
49,51.921993017196655,0.0101226,0.0,3235.59,59368,-0.0121203,3762,0.324112,39.53,0.679906904697,365.586435248
43,53.68057322502136,0.00577003,0.0,3387.85,61340,-0.0128967,3805,0.289503,43.13,0.688768565655,399.15629994
