EpLenMean,loss_vf_loss,loss_kl,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_surr,EpRewMean,EpisodesSoFar,TimeElapsed,EpThisIter,loss_pol_entpen
5.31,629.137,0.0201604,0.00690114498138,1.36465,2046,-0.0318673,48.001142012,367,2.1253843307495117,367,0.0
5.85,393.024,0.0343237,0.486268877983,1.30532,4092,-0.0495961,53.0796601489,708,4.0160510540008545,341,0.0
7.09,506.868,0.0165452,0.268637478352,1.2324,6140,-0.0388663,64.5249037301,994,5.844237565994263,286,0.0
7.65,537.684,0.0175043,0.231112897396,1.16867,8188,-0.0329045,69.8179459917,1248,7.702814102172852,254,0.0
9.29,713.846,0.0132736,0.250402092934,1.11208,10239,-0.028822,85.0686994946,1471,9.53328800201416,223,0.0
10.29,758.944,0.0152385,0.314952611923,1.06523,12286,-0.0259629,94.3947496684,1669,11.374901533126831,198,0.0
11.72,710.195,0.0103811,0.407836079597,1.01809,14335,-0.0215379,107.646981184,1850,13.189324140548706,181,0.0
13.74,998.231,0.0100377,0.405221760273,0.958948,16379,-0.0198033,126.393926531,2004,15.028258800506592,154,0.0
14.75,1234.94,0.00772646,0.433541238308,0.924728,18429,-0.0173828,135.748791764,2144,16.843428373336792,140,0.0
15.05,1023.55,0.0129985,0.506464511156,0.87689,20480,-0.0241986,138.501246154,2283,18.655922889709473,139,0.0
16.78,1277.73,0.00881682,0.504363238811,0.835444,22511,-0.0175468,154.574284514,2407,20.468417644500732,124,0.0
18.28,1268.29,0.0109178,0.543012171984,0.790426,24551,-0.0175531,168.466742321,2521,22.280911684036255,114,0.0
19.71,1659.38,0.00786628,0.52895835042,0.764023,26620,-0.0130865,181.636635811,2625,24.09340786933899,104,0.0
20.97,1692.19,0.0104247,0.544723004103,0.74495,28672,-0.017933,193.16564282,2723,25.905900955200195,98,0.0
22.77,2117.3,0.00889101,0.534584403038,0.715447,30698,-0.0159755,209.950010027,2811,27.718395233154297,88,0.0
22.61,2092.45,0.00572809,0.539302378893,0.700159,32752,-0.0125121,208.225310889,2902,29.515264749526978,91,0.0
24.04,1908.84,0.00985698,0.574602901936,0.666475,34795,-0.0152144,221.481768539,2987,31.312134742736816,85,0.0
25.85,2310.6,0.00369433,0.562383294106,0.653101,36844,-0.00873651,238.282260291,3064,33.1090042591095,77,0.0
25.97,2160.39,0.0066926,0.595823824406,0.63003,38901,-0.0108271,239.218556058,3142,34.92149901390076,78,0.0
26.85,2252.19,0.00857439,0.583574801683,0.58631,40953,-0.0128479,247.577999311,3219,36.71836805343628,77,0.0
28.69,2486.15,0.00836779,0.617226630449,0.556503,42984,-0.0175934,264.603931183,3286,38.515536069869995,67,0.0
30.37,2415.73,0.0084401,0.590827405453,0.511704,45032,-0.0177407,280.226609548,3355,40.31214714050293,69,0.0
31.41,2676.41,0.00798316,0.633997619152,0.481167,47075,-0.00855147,289.823022358,3417,42.10901689529419,62,0.0
34.24,2621.54,0.00589567,0.646571487188,0.454336,49118,-0.0118883,315.995632014,3476,43.89053010940552,59,0.0
35.38,2652.7,0.00579821,0.661240011454,0.438375,51197,-0.0118153,326.582953411,3533,45.68869090080261,57,0.0
35.57,2740.25,0.00636066,0.664198547602,0.41206,53234,-0.0134525,328.272236853,3590,47.48461937904358,57,0.0
38.1,2716.37,0.00653639,0.704173475504,0.403395,55293,-0.0118219,351.942473552,3640,49.2890202999115,50,0.0
38.48,2649.29,0.00465785,0.647799044847,0.383981,57331,-0.0122358,355.649823912,3694,51.07845902442932,54,0.0
38.14,2575.77,0.00702991,0.71532741189,0.379047,59350,-0.00911116,352.49047059,3746,52.87468695640564,52,0.0
40.32,2990.77,0.00752093,0.664273232222,0.349094,61422,-0.00835225,372.862963721,3795,54.6559317111969,49,0.0
43.24,3473.93,0.0141019,0.656289249659,0.332477,63475,-0.00575649,399.952658772,3840,56.43717670440674,45,0.0
46.95,3637.03,0.00894242,0.681923657656,0.32512,65525,-0.0108942,434.374498934,3882,58.234046459198,42,0.0
49.87,3924.07,0.00501806,0.690853893757,0.3022,67521,-0.0130209,461.579024949,3918,60.01529049873352,36,0.0
50.27,3194.82,0.00627907,0.709237128496,0.283282,69531,-0.0118353,465.316605835,3961,61.827786445617676,43,0.0
48.25,3085.29,0.0083777,0.701908916235,0.254239,71657,-0.0125916,446.591363465,4005,63.60902953147888,44,0.0
48.37,3514.34,0.0124637,0.712073743343,0.22266,73689,-0.0126251,447.621852431,4045,65.4058997631073,40,0.0
52.96,4099.5,0.00984519,0.712887167931,0.208035,75748,-0.0117345,490.465569153,4080,67.18714380264282,35,0.0
55.04,3455.2,0.00720209,0.738208472729,0.188007,77780,-0.0101316,509.914002809,4115,68.98401379585266,35,0.0
62.2,4785.13,0.00944361,0.69169062376,0.178838,79828,-0.0102432,576.709505681,4143,70.76525831222534,28,0.0
67.61,4745.57,0.00834596,0.679879397154,0.181742,81877,-0.0135416,626.997564894,4169,72.54702186584473,26,0.0
74.21,5942.26,0.00653253,0.651261925697,0.166791,83966,-0.013586,688.364509141,4193,74.33609938621521,24,0.0
80.09,5519.87,0.0113189,0.657435119152,0.144205,85945,-0.0107438,743.013611211,4218,76.1208987236023,25,0.0
88.77,7448.15,0.0157649,0.592825651169,0.117654,88019,-0.00405919,823.675154149,4234,77.90572214126587,16,0.0
94.34,6950.62,0.00871944,0.627386242151,0.0973756,89997,-0.015651,875.520549803,4252,79.68696713447571,18,0.0
102.6,7044.53,0.00829035,0.582521647215,0.0813447,92058,-0.0119548,952.24424607,4267,81.48911476135254,15,0.0
111.04,7042.07,0.0102612,0.573359459639,0.0796038,94143,-0.0134927,1030.74689528,4285,83.26536011695862,18,0.0
112.76,7601.47,0.00845237,0.529434114695,0.0714747,96213,-0.015387,1046.68046651,4303,85.046541929245,18,0.0
