EpThisIter,TimeElapsed,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,loss_pol_surr,loss_vf_loss,loss_pol_entpen,TimestepsSoFar,EpLenMean,loss_kl
257,2.057288408279419,257,7.68,0.00183397531509,1.37552,-0.0406641,4.93747,0.0,2044,7.68,0.0252702
192,3.6836304664611816,449,9.63,0.109591722488,1.31996,-0.0431409,9.92585,0.0,4089,9.63,0.0219015
127,5.338243007659912,576,16.27,0.198088288307,1.25559,-0.039232,22.9277,0.0,6142,16.27,0.0173676
83,6.963341236114502,659,23.26,0.256267428398,1.20201,-0.0334703,32.4224,0.0,8173,23.26,0.0148444
42,8.573347330093384,701,34.27,0.377595067024,1.15932,-0.022291,30.5937,0.0,10207,34.27,0.0102137
26,10.181939840316772,727,49.62,0.571669340134,1.11964,-0.0207656,28.4014,0.0,12273,49.62,0.0103427
15,11.806920528411865,742,65.8,0.665155768394,1.09797,-0.0167498,27.1934,0.0,14314,65.8,0.00852009
10,13.401382684707642,752,83.36,0.895093485713,1.10301,-0.0166808,8.04798,0.0,16286,83.36,0.00908779
3,15.026219129562378,755,99.17,0.819592773914,1.1025,-0.018577,10.0487,0.0,17980,99.17,0.0124816
3,16.604707717895508,758,119.18,0.069532096386,1.10989,-0.00735844,26.1221,0.0,20068,119.18,0.00563398
3,18.21397638320923,761,139.68,0.219370663166,1.08912,-0.0119696,33.2948,0.0,22198,139.68,0.00768532
2,19.823302030563354,763,158.72,-0.0546585321426,1.08254,-0.0029262,38.7238,0.0,24198,158.72,0.00573193
2,21.43238091468811,765,178.05,-0.0071679353714,1.07587,-0.00264804,43.0446,0.0,26198,178.05,0.00512768
2,23.025902271270752,767,196.92,-0.0026547908783,1.07995,-0.00368513,46.9514,0.0,28198,196.92,0.0135033
2,24.651463747024536,769,216.19,-0.00455617904663,1.08015,-0.00263785,50.3212,0.0,30198,216.19,0.00575719
2,26.260892391204834,771,235.45,-0.00219631195068,1.07448,-0.00381829,53.2095,0.0,32198,235.45,0.0054235
2,27.885706424713135,773,254.74,-0.00430941581726,1.08008,-0.00455835,55.6925,0.0,34198,254.74,0.00873677
2,29.557765245437622,775,274.14,0.0033745765686,1.08263,-0.00481137,44.3351,0.0,36198,274.14,0.00270141
2,31.16712474822998,777,293.44,-0.051256775856,1.07143,-0.00353871,60.3203,0.0,38198,293.44,0.0034513
2,32.77583622932434,779,312.45,-0.0135991573334,1.07428,-0.00540806,61.3331,0.0,40198,312.45,0.00611876
2,34.386066198349,781,330.64,-0.0032525062561,1.0649,-0.00573417,62.4981,0.0,42198,330.64,0.0138276
2,35.995545625686646,783,349.4,-0.000988960266113,1.05176,-0.00336028,63.6267,0.0,44198,349.4,0.0073639
3,37.60495114326477,786,375.12,0.00225836038589,1.05025,-0.00717109,84.3659,0.0,46891,375.12,0.00692232
2,39.21369528770447,788,394.37,-0.0338497161865,1.05094,-0.0102979,53.3189,0.0,48891,394.37,0.0114868
2,40.83014726638794,790,412.85,-0.0252259969711,1.05886,-0.00363435,65.7328,0.0,50891,412.85,0.00622556
5,42.46461486816406,795,431.01,0.816631540656,1.06719,-0.0126094,13.1686,0.0,52983,431.01,0.00242948
6,44.103946924209595,801,449.33,0.834956616163,1.04746,-0.0186444,41.1947,0.0,55140,449.33,0.0146102
2,45.7072958946228,803,468.73,0.0177918076515,1.05453,-0.00892948,60.1365,0.0,57140,468.73,0.0085759
2,47.29292011260986,805,487.64,-0.0215224027634,1.0467,-0.00322381,68.855,0.0,59140,487.64,0.00256729
2,48.90072727203369,807,506.87,-0.00507259368896,1.03888,-0.00388004,68.6146,0.0,61140,506.87,0.0017564
2,50.51108455657959,809,525.78,-0.00464677810669,1.06689,-0.00260895,68.6306,0.0,63140,525.78,0.00544539
2,52.121312618255615,811,543.97,-0.00640594959259,1.10521,-0.00372508,68.5597,0.0,65140,543.97,0.00440205
2,53.72966527938843,813,562.55,-0.00822913646698,1.11664,-0.00603513,68.2348,0.0,67140,562.55,0.00760607
4,55.339837074279785,817,576.92,0.351361095905,1.09872,-0.0146947,73.6784,0.0,69099,576.92,0.00670257
2,56.932278871536255,819,595.13,-0.0329018831253,1.07123,-0.00532225,69.1462,0.0,71099,595.13,0.00719146
2,58.542805671691895,821,613.68,-0.0107675790787,1.05922,-0.00413581,69.101,0.0,73099,613.68,0.00277681
2,60.1509051322937,823,631.6,0.0173744559288,1.03625,-0.00523844,67.5312,0.0,75099,631.6,0.0103453
4,61.7625937461853,827,653.75,0.745229393244,1.04193,-0.00926897,17.5446,0.0,77648,653.75,0.0018515
2,63.3855721950531,829,671.18,0.348370432854,1.04336,-0.0114463,53.3837,0.0,79648,671.18,0.00804809
2,64.99477791786194,831,688.51,0.0013382434845,1.03427,-0.00483173,71.8676,0.0,81648,688.51,0.0076984
2,66.60482430458069,833,701.84,-0.00901997089386,1.02814,-0.00506372,71.2562,0.0,83648,701.84,0.00527972
3,68.21009826660156,836,721.88,0.0150189995766,1.02256,-0.00550276,95.7695,0.0,85991,721.88,0.0118801
2,69.79194355010986,838,740.31,-0.0191062688828,1.01202,-0.00503819,69.8739,0.0,87991,740.31,0.0101754
2,71.43230676651001,840,758.56,-0.0306091308594,0.992761,-0.00357147,69.3408,0.0,89991,758.56,0.00863666
2,73.02718138694763,842,776.77,0.0044019818306,0.979569,-0.00778346,61.4659,0.0,91991,776.77,0.00562239
3,74.65087080001831,845,788.51,0.487682938576,0.992214,-0.0128814,59.5566,0.0,93573,788.51,0.0147561
