#{"t_start": 1536415476.2703023, "env_id": "InvertedPendulum-v2"}
r,l,t
5.0,5,1.171603
11.0,11,1.171603
11.0,11,1.171603
5.0,5,1.171603
5.0,5,1.187226
5.0,5,1.187226
6.0,6,1.187226
24.0,24,1.20285
13.0,13,1.20285
9.0,9,1.20285
14.0,14,1.218476
15.0,15,1.218476
6.0,6,1.234102
5.0,5,1.234102
3.0,3,1.234102
4.0,4,1.234102
16.0,16,1.249725
20.0,20,1.249725
7.0,7,1.249725
4.0,4,1.26535
4.0,4,1.26535
9.0,9,1.26535
6.0,6,1.26535
8.0,8,1.26535
12.0,12,1.280978
11.0,11,1.280978
4.0,4,1.280978
4.0,4,1.280978
6.0,6,1.296601
6.0,6,1.296601
4.0,4,1.296601
4.0,4,1.296601
5.0,5,1.296601
5.0,5,1.312224
5.0,5,1.312224
6.0,6,1.312224
8.0,8,1.312224
6.0,6,1.312224
14.0,14,1.32785
13.0,13,1.32785
6.0,6,1.32785
8.0,8,1.343475
5.0,5,1.343475
11.0,11,1.343475
7.0,7,1.343475
3.0,3,1.3591
4.0,4,1.3591
9.0,9,1.3591
10.0,10,1.3591
5.0,5,1.374725
7.0,7,1.374725
6.0,6,1.374725
7.0,7,1.374725
8.0,8,1.374725
7.0,7,1.390352
6.0,6,1.390352
14.0,14,1.390352
7.0,7,1.405975
4.0,4,1.405975
8.0,8,1.405975
14.0,14,1.405975
25.0,25,1.421599
6.0,6,1.421599
9.0,9,1.437224
5.0,5,1.437224
6.0,6,1.437224
6.0,6,1.437224
4.0,4,1.437224
5.0,5,1.452849
5.0,5,1.452849
5.0,5,1.452849
5.0,5,1.452849
6.0,6,1.452849
4.0,4,1.452849
7.0,7,1.468475
6.0,6,1.468475
5.0,5,1.468475
10.0,10,1.468475
3.0,3,1.468475
11.0,11,1.4841
10.0,10,1.4841
4.0,4,1.4841
7.0,7,1.4841
19.0,19,1.499725
5.0,5,1.499725
14.0,14,1.515348
6.0,6,1.515348
4.0,4,1.515348
5.0,5,1.515348
7.0,7,1.515348
5.0,5,1.530975
13.0,13,1.530975
7.0,7,1.530975
3.0,3,1.530975
9.0,9,1.546599
10.0,10,1.546599
4.0,4,1.546599
4.0,4,1.546599
11.0,11,1.562224
5.0,5,1.562224
5.0,5,1.562224
6.0,6,1.562224
13.0,13,1.577849
4.0,4,1.577849
5.0,5,1.577849
7.0,7,1.577849
4.0,4,1.577849
7.0,7,1.577849
14.0,14,1.593474
6.0,6,1.593474
8.0,8,1.593474
14.0,14,1.609098
7.0,7,1.609098
5.0,5,1.609098
6.0,6,1.609098
8.0,8,1.624724
5.0,5,1.624724
18.0,18,1.624724
6.0,6,1.640348
6.0,6,1.640348
31.0,31,1.655974
6.0,6,1.655974
6.0,6,1.655974
3.0,3,1.655974
4.0,4,1.655974
19.0,19,1.671599
5.0,5,1.671599
11.0,11,1.687224
8.0,8,1.687224
14.0,14,1.687224
12.0,12,1.702849
9.0,9,1.702849
9.0,9,1.702849
8.0,8,1.702849
4.0,4,1.718473
8.0,8,1.718473
5.0,5,1.718473
11.0,11,1.718473
11.0,11,1.734098
4.0,4,1.734098
6.0,6,1.734098
9.0,9,1.734098
8.0,8,1.749723
21.0,21,1.749723
7.0,7,1.749723
5.0,5,1.765348
4.0,4,1.765348
5.0,5,1.765348
9.0,9,1.765348
6.0,6,1.765348
4.0,4,1.780974
4.0,4,1.780974
7.0,7,1.780974
8.0,8,1.780974
4.0,4,1.780974
22.0,22,1.804914
5.0,5,1.806914
9.0,9,1.811913
6.0,6,1.812956
5.0,5,1.812956
9.0,9,1.812956
9.0,9,1.812956
6.0,6,1.828581
5.0,5,1.828581
10.0,10,1.828581
4.0,4,1.828581
5.0,5,1.828581
3.0,3,1.844217
8.0,8,1.844217
7.0,7,1.844217
5.0,5,1.844217
13.0,13,1.859832
9.0,9,1.859832
3.0,3,1.859832
6.0,6,1.859832
14.0,14,1.876591
4.0,4,1.878591
4.0,4,1.881591
6.0,6,1.884589
4.0,4,1.886588
7.0,7,1.890587
5.0,5,1.892588
6.0,6,1.896585
11.0,11,1.897645
7.0,7,1.897645
4.0,4,1.897645
7.0,7,1.897645
4.0,4,1.91327
8.0,8,1.91327
5.0,5,1.91327
6.0,6,1.91327
9.0,9,1.91327
4.0,4,1.928896
6.0,6,1.928896
6.0,6,1.928896
7.0,7,1.928896
5.0,5,1.928896
4.0,4,1.944521
10.0,10,1.944521
9.0,9,1.944521
7.0,7,1.944521
9.0,9,1.960146
10.0,10,1.960146
13.0,13,1.960146
13.0,13,1.97577
6.0,6,1.97577
6.0,6,1.97577
6.0,6,1.97577
4.0,4,1.991396
4.0,4,1.991396
7.0,7,1.991396
7.0,7,1.991396
5.0,5,1.991396
9.0,9,2.007021
5.0,5,2.007021
15.0,15,2.007021
3.0,3,2.007021
7.0,7,2.022646
32.0,32,2.038271
5.0,5,2.038271
6.0,6,2.038271
6.0,6,2.038271
4.0,4,2.038271
7.0,7,2.038271
8.0,8,2.053896
9.0,9,2.053896
9.0,9,2.053896
5.0,5,2.053896
9.0,9,2.06952
5.0,5,2.06952
5.0,5,2.06952
5.0,5,2.06952
4.0,4,2.06952
10.0,10,2.085146
7.0,7,2.085146
8.0,8,2.085146
16.0,16,2.10077
6.0,6,2.10077
8.0,8,2.10077
3.0,3,2.10077
6.0,6,2.116395
6.0,6,2.116395
12.0,12,2.116395
6.0,6,2.116395
6.0,6,2.116395
3.0,3,2.132021
9.0,9,2.132021
8.0,8,2.132021
4.0,4,2.132021
8.0,8,2.147645
6.0,6,2.147645
10.0,10,2.147645
4.0,4,2.147645
17.0,17,2.163271
4.0,4,2.163271
10.0,10,2.163271
9.0,9,2.163271
8.0,8,2.178895
6.0,6,2.178895
11.0,11,2.178895
5.0,5,2.178895
10.0,10,2.194521
6.0,6,2.194521
3.0,3,2.194521
14.0,14,2.210145
3.0,3,2.210145
7.0,7,2.210145
5.0,5,2.210145
15.0,15,3.062545
10.0,10,3.062545
19.0,19,3.078172
6.0,6,3.078172
21.0,21,3.093796
9.0,9,3.093796
4.0,4,3.093796
9.0,9,3.109422
5.0,5,3.109422
6.0,6,3.109422
5.0,5,3.109422
11.0,11,3.109422
4.0,4,3.125046
19.0,19,3.125046
17.0,17,3.140671
6.0,6,3.140671
49.0,49,3.156296
7.0,7,3.171921
4.0,4,3.171921
5.0,5,3.171921
6.0,6,3.171921
8.0,8,3.171921
9.0,9,3.187545
7.0,7,3.187545
31.0,31,3.20317
11.0,11,3.20317
5.0,5,3.20317
4.0,4,3.218796
6.0,6,3.218796
20.0,20,3.218796
6.0,6,3.234421
15.0,15,3.234421
11.0,11,3.234421
11.0,11,3.250045
21.0,21,3.250045
4.0,4,3.250045
7.0,7,3.265669
3.0,3,3.265669
9.0,9,3.265669
10.0,10,3.265669
13.0,13,3.281296
21.0,21,3.281296
4.0,4,3.296921
12.0,12,3.296921
7.0,7,3.296921
12.0,12,3.312545
22.0,22,3.312545
29.0,29,3.328169
20.0,20,3.343794
18.0,18,3.343794
12.0,12,3.359419
27.0,27,3.375046
11.0,11,3.375046
11.0,11,3.375046
4.0,4,3.375046
11.0,11,3.390669
5.0,5,3.390669
8.0,8,3.390669
7.0,7,3.390669
12.0,12,3.406294
9.0,9,3.406294
6.0,6,3.406294
25.0,25,3.421919
9.0,9,3.421919
10.0,10,3.437544
5.0,5,3.437544
10.0,10,3.437544
4.0,4,3.437544
5.0,5,3.437544
6.0,6,3.453169
3.0,3,3.453169
20.0,20,3.453169
5.0,5,3.468793
8.0,8,3.468793
13.0,13,3.468793
4.0,4,3.468793
6.0,6,3.48442
13.0,13,3.48442
6.0,6,3.48442
6.0,6,3.48442
11.0,11,3.500046
12.0,12,3.500046
11.0,11,3.500046
6.0,6,3.515669
21.0,21,3.515669
5.0,5,3.515669
32.0,32,3.531295
5.0,5,3.54692
16.0,16,3.54692
16.0,16,3.562543
7.0,7,3.562543
7.0,7,3.562543
14.0,14,3.578168
10.0,10,3.578168
10.0,10,3.578168
7.0,7,3.578168
8.0,8,3.593795
16.0,16,3.593795
29.0,29,3.609418
11.0,11,3.609418
8.0,8,3.625045
27.0,27,3.625045
4.0,4,3.640669
4.0,4,3.640669
25.0,25,3.656293
8.0,8,3.656293
17.0,17,3.656293
15.0,15,3.671919
17.0,17,3.671919
7.0,7,3.687543
16.0,16,3.687543
40.0,40,3.703168
5.0,5,3.703168
4.0,4,3.718793
5.0,5,3.718793
9.0,9,3.718793
9.0,9,3.718793
23.0,23,3.734419
17.0,17,3.750043
6.0,6,3.750043
39.0,39,3.765669
5.0,5,3.765669
9.0,9,3.765669
5.0,5,3.781292
10.0,10,3.781292
6.0,6,3.781292
15.0,15,3.796919
4.0,4,3.800228
9.0,9,3.804226
6.0,6,3.807226
7.0,7,3.811224
8.0,8,3.812255
29.0,29,3.827884
10.0,10,3.827884
9.0,9,3.827884
5.0,5,3.827884
8.0,8,3.843507
7.0,7,3.843507
5.0,5,3.843507
4.0,4,3.843507
15.0,15,3.859132
5.0,5,3.859132
5.0,5,3.859132
23.0,23,3.874756
9.0,9,3.874756
6.0,6,3.874756
21.0,21,3.890381
8.0,8,3.890381
8.0,8,3.890381
21.0,21,3.906005
16.0,16,3.921632
19.0,19,3.921632
11.0,11,3.937256
16.0,16,3.937256
6.0,6,3.937256
17.0,17,3.952883
13.0,13,3.952883
4.0,4,3.952883
27.0,27,3.968506
4.0,4,3.968506
9.0,9,3.984132
8.0,8,3.984132
7.0,7,3.984132
14.0,14,3.999756
14.0,14,3.999756
5.0,5,3.999756
18.0,18,4.015381
13.0,13,4.015381
8.0,8,4.015381
9.0,9,4.031006
11.0,11,4.031006
6.0,6,4.031006
20.0,20,4.04663
5.0,5,4.04663
4.0,4,4.04663
4.0,4,4.04663
11.0,11,4.062256
15.0,15,4.062256
17.0,17,4.077882
7.0,7,4.702893
25.0,25,4.718504
5.0,5,4.718504
4.0,4,4.718504
4.0,4,4.718504
4.0,4,4.734129
6.0,6,4.734129
5.0,5,4.734129
8.0,8,4.734129
8.0,8,4.749754
13.0,13,4.749754
14.0,14,4.749754
16.0,16,4.765378
7.0,7,4.765378
9.0,9,4.765378
5.0,5,4.781003
9.0,9,4.781003
9.0,9,4.781003
42.0,42,4.812309
6.0,6,4.812309
6.0,6,4.812309
21.0,21,4.827935
39.0,39,4.84356
17.0,17,4.84356
5.0,5,4.859185
8.0,8,4.859185
14.0,14,4.859185
16.0,16,4.87481
5.0,5,4.87481
38.0,38,4.890436
17.0,17,4.90606
28.0,28,4.90606
27.0,27,4.921688
26.0,26,4.93731
25.0,25,4.952936
5.0,5,4.952936
14.0,14,4.968561
4.0,4,4.968561
39.0,39,4.984186
5.0,5,4.984186
13.0,13,4.99981
6.0,6,4.99981
18.0,18,4.99981
8.0,8,5.015435
7.0,7,5.015435
14.0,14,5.015435
10.0,10,5.031059
24.0,24,5.031059
10.0,10,5.046685
18.0,18,5.046685
12.0,12,5.06231
22.0,22,5.06231
5.0,5,5.06231
11.0,11,5.077933
4.0,4,5.077933
23.0,23,5.093558
35.0,35,5.109185
5.0,5,5.109185
13.0,13,5.109185
3.0,3,5.109185
16.0,16,5.124808
26.0,26,5.140434
11.0,11,5.140434
36.0,36,5.15606
11.0,11,5.15606
4.0,4,5.171683
16.0,16,5.171683
17.0,17,5.187309
28.0,28,5.202933
16.0,16,5.202933
5.0,5,5.202933
13.0,13,5.218558
9.0,9,5.218558
13.0,13,5.218558
6.0,6,5.234184
24.0,24,5.234184
10.0,10,5.249809
36.0,36,5.265434
8.0,8,5.265434
4.0,4,5.265434
9.0,9,5.265434
20.0,20,5.281059
7.0,7,5.281059
6.0,6,5.281059
8.0,8,5.296682
22.0,22,5.296682
10.0,10,5.312308
5.0,5,5.312308
5.0,5,5.312308
50.0,50,5.343557
12.0,12,5.343557
8.0,8,5.343557
85.0,85,5.390434
6.0,6,5.390434
21.0,21,5.406057
23.0,23,5.406057
8.0,8,5.421683
44.0,44,5.437309
