EpLenMean,loss_kl,loss_vf_loss,loss_pol_entpen,EpThisIter,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_ent,ev_tdlam_before,TimeElapsed,EpisodesSoFar
7.32,0.0196941,5.98632,0.0,268,7.32,2048,-0.0405353,1.37381,-0.00815200805664,1.9378197193145752,268
11.78,0.0201122,14.7744,0.0,179,11.78,4094,-0.0423231,1.315,0.125962793827,3.5781679153442383,447
16.19,0.0196474,26.9957,0.0,132,16.19,6133,-0.0400429,1.24291,0.176650464535,5.203438997268677,579
23.92,0.0138365,34.65,0.0,76,23.92,8183,-0.0306318,1.18249,0.249755501747,6.828428268432617,655
35.33,0.00930817,32.6425,0.0,45,35.33,10224,-0.0225171,1.13313,0.386556148529,8.437023878097534,700
45.35,0.00864118,28.6035,0.0,33,45.35,12256,-0.0159184,1.1021,0.574057757854,10.047147989273071,733
60.93,0.0106716,20.594,0.0,22,60.93,14276,-0.0153318,1.09435,0.746906101704,11.656316757202148,755
77.14,0.00469481,29.0087,0.0,10,77.14,16284,-0.0121614,1.07932,0.67364269495,13.2499361038208,765
93.79,0.00834558,23.4342,0.0,5,93.79,18189,-0.0147953,1.06538,0.616344064474,14.84351897239685,770
109.59,0.00929439,15.5996,0.0,2,109.59,19866,-0.0126425,1.07109,0.622240483761,16.43827795982361,772
134.61,0.00343314,27.2731,0.0,3,134.61,22501,-0.00710411,1.06094,0.402847409248,18.046510457992554,775
152.86,0.00884485,37.5747,0.0,2,152.86,24501,-0.00718219,1.03947,0.00971508026123,19.641966581344604,777
167.5,0.00492141,24.5922,0.0,2,167.5,26085,-0.00967679,1.03475,0.134491443634,21.234615564346313,779
186.26,0.00329877,46.9132,0.0,2,186.26,28085,-0.00396248,1.01721,-0.0520157814026,22.843566417694092,781
210.01,0.00592904,68.3481,0.0,3,210.01,30650,-0.00625898,1.01078,0.0222197175026,24.43730616569519,784
229.03,0.0172825,45.9774,0.0,2,229.03,32650,-0.00776847,1.02487,0.00729209184647,26.030858278274536,786
248.38,0.00499737,52.2161,0.0,2,248.38,34650,-0.00305336,1.02587,0.0190263390541,27.640790462493896,788
267.26,0.00565878,57.7562,0.0,2,267.26,36650,-0.00770352,1.00643,-0.0543715953827,29.234421253204346,790
287.1,0.00982753,59.2373,0.0,2,287.1,38650,-0.00556362,1.01599,-0.0347218513489,30.84403157234192,792
306.51,0.00882699,60.36,0.0,2,306.51,40650,-0.00565126,1.01379,-0.000470638275146,32.453376054763794,794
325.65,0.00926888,61.7916,0.0,2,325.65,42650,-0.0043228,1.03081,-0.00268447399139,34.0626904964447,796
