EpThisIter,EpRewMean,loss_pol_entpen,TimeElapsed,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_pol_surr,loss_vf_loss,loss_kl,loss_ent,ev_tdlam_before
267,7.39,0.0,1.905085802078247,2047,7.39,267,-0.0404153,4.86006,0.0205622,1.3586,-0.00416278839111
187,9.78,0.0,3.4998512268066406,4090,9.78,454,-0.0407732,11.889,0.0174359,1.30146,0.147004246712
130,14.91,0.0,5.100276470184326,6132,14.91,584,-0.0366608,23.1222,0.0130392,1.24663,0.187061429024
79,23.9,0.0,6.68685245513916,8186,23.9,663,-0.031461,32.3086,0.0132064,1.19942,0.144540250301
51,33.09,0.0,8.24934720993042,10218,33.09,714,-0.0287358,43.1626,0.0134917,1.15614,0.243089854717
25,46.65,0.0,9.812522649765015,12248,46.65,739,-0.0215416,43.931,0.00920172,1.12494,0.342500269413
13,63.35,0.0,11.367974996566772,14208,63.35,752,-0.0143451,30.2491,0.00458588,1.11935,0.39654302597
9,82.37,0.0,12.952064990997314,16360,82.37,761,-0.0125393,40.8304,0.00698545,1.11811,0.469975948334
2,101.74,0.0,14.514641284942627,18360,101.74,763,-0.00798797,23.4738,0.00692789,1.1133,0.00495994091034
2,120.56,0.0,16.061468839645386,20318,120.56,765,-0.00589804,28.6555,0.00551289,1.09896,0.0065786242485
5,139.6,0.0,17.62514591217041,22393,139.6,770,-0.00808629,39.9063,0.00232664,1.09357,0.349014639854
2,157.73,0.0,19.170724391937256,24264,157.73,772,-0.0101036,33.2205,0.0100015,1.09477,0.19175362587
2,176.87,0.0,20.733722448349,26264,176.87,774,-0.00602497,42.5137,0.00461899,1.0835,0.00127518177032
2,196.65,0.0,22.264610767364502,28264,196.65,776,-0.00352386,46.3437,0.00702075,1.0798,-0.00188839435577
2,215.98,0.0,23.826746702194214,30264,215.98,778,-0.00367385,49.6781,0.00514522,1.07007,-0.00185453891754
2,234.34,0.0,25.37664818763733,32264,234.34,780,-0.00284398,52.548,0.00496947,1.06513,-0.0167260169983
2,253.73,0.0,26.93690514564514,34264,253.73,782,-0.00542102,54.9009,0.00415479,1.07177,-0.00562059879303
2,272.2,0.0,28.500422716140747,36264,272.2,784,-0.00496968,57.1156,0.00415467,1.05774,-0.0030255317688
2,291.42,0.0,30.06251287460327,38264,291.42,786,-0.00257057,59.1383,0.00493376,1.07398,-0.00129866600037
2,310.51,0.0,31.608684301376343,40264,310.51,788,-0.00490735,60.184,0.00458869,1.07533,-0.0201225280762
4,335.8,0.0,33.16992259025574,42934,335.8,792,-0.00519959,29.5856,0.00549446,1.07952,0.149381935596
2,354.67,0.0,34.71812558174133,44934,354.67,794,-0.00265603,64.3201,0.00251727,1.08923,-0.016731262207
2,373.93,0.0,36.2806396484375,46934,373.93,796,-0.0039098,64.096,0.00539785,1.10135,0.00644707679749
2,389.49,0.0,37.85876178741455,48598,389.49,798,-0.00569731,34.6553,0.00374766,1.10694,0.431431412697
