loss_vf_loss,TimeElapsed,EpisodesSoFar,ev_tdlam_before,loss_ent,TimestepsSoFar,EpThisIter,loss_kl,EpLenMean,loss_pol_entpen,EpRewMean,loss_pol_surr
6.30666,1.9382262229919434,263,-0.00862061977386,1.37804,2041,263,0.0142683,7.76,0.0,7.76,-0.0343077
13.1828,3.6245429515838623,467,0.115662813187,1.32223,4093,204,0.0284726,9.34,0.0,9.34,-0.0429958
22.9147,5.266183376312256,593,0.209231436253,1.25702,6135,126,0.0191299,15.8,0.0,15.8,-0.0415846
37.733,6.921372175216675,670,0.175924301147,1.21445,8184,77,0.0157418,23.74,0.0,23.74,-0.0320037
43.912,8.55563759803772,714,0.239831626415,1.1672,10217,44,0.0130672,35.01,0.0,35.01,-0.0238527
42.4087,10.18766188621521,740,0.39170062542,1.13353,12249,26,0.00542915,49.06,0.0,49.06,-0.0162291
49.4429,11.828067302703857,758,0.37784665823,1.08893,14130,18,0.00870901,62.04,0.0,62.04,-0.0185139
32.9182,13.447940826416016,765,0.509612381458,1.06611,16263,7,0.00618057,82.17,0.0,82.17,-0.01318
10.4147,15.078736066818237,768,0.502453714609,1.03978,18091,3,0.00607446,99.49,0.0,99.49,-0.0145766
23.3866,16.671847581863403,770,0.192549288273,1.02211,19887,2,0.00750341,117.03,0.0,117.03,-0.00820524
34.2637,18.312210083007812,772,0.018335044384,1.02919,21887,2,0.00625201,136.08,0.0,136.08,-0.00593654
38.3828,19.922406673431396,774,-0.00231063365936,1.02285,23887,2,0.00820833,155.44,0.0,155.44,-0.00384981
42.6802,21.5466091632843,776,-0.00323045253754,1.01525,25887,2,0.00696856,174.5,0.0,174.5,-0.00438384
48.628,23.156808376312256,779,0.262568891048,1.00603,28598,3,0.00595077,199.21,0.0,199.21,-0.00506946
49.7094,24.796772718429565,781,-0.000572800636292,0.988399,30598,2,0.00366031,218.5,0.0,218.5,-0.0041185
52.7239,26.40575361251831,783,-0.00574624538422,1.00295,32598,2,0.0118182,237.26,0.0,237.26,-0.00558411
37.9649,28.048238277435303,785,0.00515258312225,1.005,34598,2,0.00746583,256.81,0.0,256.81,-0.00213424
5.04578,29.67230725288391,789,0.619746744633,1.01107,36727,4,0.00509508,276.07,0.0,276.07,-0.0106236
60.2305,31.296458959579468,791,-0.0260084867477,1.01028,38727,2,0.00963229,295.47,0.0,295.47,-0.00680657
11.0434,32.92298078536987,793,0.830595448613,1.00879,39962,2,0.00776002,307.49,0.0,307.49,-0.0147822
70.9207,34.53099989891052,796,-0.0016450881958,1.01118,42962,3,0.00553712,336.36,0.0,336.36,-0.0052925
64.6177,36.18704962730408,798,-0.00415694713593,0.997725,44962,2,0.00577912,354.71,0.0,354.71,-0.00511375
65.1839,37.796353340148926,800,-0.00206232070923,1.01079,46962,2,0.00721754,373.27,0.0,373.27,-0.00411984
57.0041,39.422340869903564,802,0.0265148282051,0.995981,48860,2,0.00562214,390.72,0.0,390.72,-0.00695209
39.1052,41.038434982299805,804,0.474633336067,0.997786,50211,2,0.00306531,403.91,0.0,403.91,-0.00667437
92.3429,42.67179846763611,807,-0.0236654281616,1.00494,53211,3,0.00590273,431.31,0.0,431.31,-0.00395995
66.3702,44.28086256980896,809,0.00852620601654,1.00891,55211,2,0.00915296,450.67,0.0,450.67,-0.00853605
39.7024,45.92228078842163,811,0.354848623276,1.01798,56350,2,0.00446946,461.71,0.0,461.71,-0.00535921
85.9755,47.5309841632843,814,-0.00193536281586,1.01785,59350,3,0.00556541,491.33,0.0,491.33,-0.0027214
38.8106,49.17301797866821,816,0.501773834229,1.01594,60513,2,0.00652639,501.67,0.0,501.67,-0.00666256
69.0727,50.796844720840454,818,-0.00850331783295,1.03359,62513,2,0.00499412,520.34,0.0,520.34,-0.00544759
100.846,52.40629291534424,821,-0.000958800315857,1.05436,65513,3,0.00548948,546.65,0.0,546.65,-0.00374469
35.097,54.04767179489136,823,0.541846960783,1.04005,66636,2,0.00473155,555.04,0.0,555.04,-0.00678011
51.3268,55.672147274017334,827,0.662848979235,1.04069,68841,4,0.0129463,573.69,0.0,573.69,-0.0118205
47.444,57.31192970275879,830,0.61137971282,1.03047,70981,3,0.00490088,593.92,0.0,593.92,-0.00931786
64.2419,58.90768527984619,833,0.573254257441,1.06952,73663,3,0.0127182,618.59,0.0,618.59,-0.0124585
12.176,60.547661542892456,836,0.772199034691,1.05412,74943,3,0.00124642,630.21,0.0,630.21,-0.00523443
