EpRewMean,EpisodesSoFar,loss_vf_loss,ev_tdlam_before,loss_ent,loss_pol_surr,EpLenMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,loss_kl,TimeElapsed
7.51,263,6.09995,-0.00748777389526,1.37011,-0.0389718,7.51,0.0,263,2047,0.0168204,1.96901535987854
11.71,445,13.9801,0.101379871368,1.3025,-0.0447451,11.71,0.0,182,4091,0.0309884,3.6531693935394287
17.42,565,23.3589,0.230923056602,1.23701,-0.0411053,17.42,0.0,120,6140,0.0195156,5.296839475631714
26.54,631,34.8659,0.293476164341,1.17779,-0.0348834,26.54,0.0,66,8138,0.0200056,6.970580816268921
38.43,673,30.7985,0.451555192471,1.12182,-0.0264484,38.43,0.0,42,10199,0.0130101,8.641582250595093
49.95,699,30.4524,0.544348031282,1.08126,-0.0173654,49.95,0.0,26,12280,0.00762598,10.28141975402832
64.85,709,19.937,0.704147696495,1.077,-0.0135093,64.85,0.0,10,14027,0.0103467,11.921748161315918
86.43,716,19.0434,0.711463153362,1.06672,-0.0144597,86.43,0.0,7,16343,0.0125028,13.568668603897095
105.87,718,17.0663,0.282780587673,1.04644,-0.00819522,105.87,0.0,2,18343,0.00564677,15.205060482025146
120.66,721,43.3577,-0.0213265419006,1.03162,-0.00904444,120.66,0.0,3,19848,0.00963849,16.843785285949707
140.51,723,34.3984,0.0154774785042,1.01468,-0.00407778,140.51,0.0,2,21848,0.00368496,18.486364364624023
161.85,726,53.9533,0.00418967008591,1.00701,-0.00323825,161.85,0.0,3,24122,0.00193992,20.125348806381226
181.06,728,43.1082,-0.0280314683914,1.00018,-0.00421013,181.06,0.0,2,26122,0.00584089,21.765950441360474
200.21,730,46.6555,0.00175476074219,0.992318,-0.00474311,200.21,0.0,2,28122,0.00872957,23.398350477218628
219.23,732,17.445,0.451977074146,1.00318,-0.00857634,219.23,0.0,2,30122,0.0119468,25.031006813049316
238.58,734,54.2534,0.00168699026108,1.00977,-0.00602586,238.58,0.0,2,32122,0.00741701,26.67215657234192
257.92,736,44.7819,0.00131720304489,1.00193,-0.00501867,257.92,0.0,2,34122,0.00808635,28.312761783599854
