loss_pol_surr,loss_kl,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,EpThisIter,loss_ent,TimestepsSoFar,loss_pol_entpen,ev_tdlam_before,TimeElapsed
-0.040194,0.0221419,7.59,7.59,4.64905,260,260,1.36902,2045,0.0,-0.000705718994141,1.9406843185424805
-0.044278,0.0294246,11.64,11.64,13.3961,449,189,1.31528,4083,0.0,0.138932943344,3.573713541030884
-0.0374136,0.016374,17.65,17.65,25.586,559,110,1.24904,6113,0.0,0.21262794733,5.207530736923218
-0.0279369,0.0175564,29.03,29.03,36.4454,616,57,1.19373,8187,0.0,0.246142327785,6.815200567245483
-0.0206108,0.00756959,43.36,43.36,32.616,641,25,1.15996,10145,0.0,0.377199113369,8.425315618515015
-0.0159114,0.0125487,60.67,60.67,50.108,661,20,1.12485,12233,0.0,0.329241812229,10.026185750961304
-0.0141964,0.00668278,76.9,76.9,20.1319,668,7,1.11267,14110,0.0,0.620306968689,11.731565952301025
-0.00962108,0.00798497,98.37,98.37,36.7166,672,4,1.10066,16372,0.0,0.0764044523239,13.32768702507019
-0.00621251,0.00377412,108.81,108.81,38.3838,675,3,1.07707,17532,0.0,0.00853461027145,14.947161674499512
-0.00293753,0.0132821,133.32,133.32,45.2202,678,3,1.08462,20101,0.0,0.0163354873657,16.541507244110107
-0.00967453,0.0067963,151.89,151.89,32.9371,680,2,1.07341,21994,0.0,0.0414273738861,18.128206253051758
-0.0135149,0.00919218,168.39,168.39,22.287,682,2,1.08396,23712,0.0,0.211306035519,19.722245454788208
-0.00363211,0.00507892,188.07,188.07,44.7489,684,2,1.0585,25712,0.0,-0.00086522102356,21.3160343170166
-0.00276626,0.00466947,207.27,207.27,48.2967,686,2,1.0631,27712,0.0,-0.00373089313507,22.948188543319702
-0.0104858,0.00463688,236.08,236.08,91.4625,690,4,1.0303,30708,0.0,0.00690746307373,24.53435468673706
-0.00556676,0.00440982,253.13,253.13,29.9214,692,2,1.03471,32492,0.0,0.288121640682,26.136221647262573
-0.00548268,0.00610583,271.51,271.51,55.8445,694,2,1.0316,34492,0.0,-4.95910644531e-05,27.745705366134644
-0.0129489,0.00590166,293.0,293.0,42.8029,701,7,1.04876,36849,0.0,0.668372690678,29.355252027511597
-0.0108087,0.00638706,310.81,310.81,34.5871,703,2,1.05765,38695,0.0,0.269061982632,30.94097399711609
-0.00690852,0.0119468,329.97,329.97,62.2768,705,2,1.04311,40695,0.0,-0.00564765930176,32.552242279052734
-0.0093679,0.00779117,348.6,348.6,40.6885,707,2,1.02091,42650,0.0,-0.00909113883972,34.15249752998352
-0.00313051,0.00903711,367.71,367.71,64.5187,709,2,1.01001,44650,0.0,-0.0193942785263,35.747150182724
-0.00608557,0.00920719,386.65,386.65,64.8102,711,2,1.01213,46650,0.0,-0.018191576004,37.34680223464966
-0.00242095,0.0033743,406.31,406.31,65.4229,713,2,1.01596,48650,0.0,-0.000251054763794,38.94054698944092
-0.00811757,0.0061357,423.87,423.87,34.3926,715,2,1.03038,50509,0.0,0.423556268215,40.549474477767944
-0.00654002,0.00885131,444.11,444.11,70.0428,718,3,1.01874,52752,0.0,0.493154764175,42.14322090148926
-0.00514746,0.00292097,462.38,462.38,49.6,720,2,1.0125,54752,0.0,0.0653972029686,43.75259041786194
-0.00788628,0.00674087,480.78,480.78,51.399,722,2,0.993777,56752,0.0,0.0854726433754,45.34633493423462
-0.00715422,0.0108469,499.67,499.67,57.1536,724,2,0.988953,58752,0.0,0.473107516766,46.95570611953735
-0.00306913,0.0040591,518.17,518.17,67.1978,726,2,0.989077,60752,0.0,0.0261536240578,48.55773973464966
-0.0041698,0.00432459,536.34,536.34,72.1746,728,2,0.977549,62752,0.0,0.129469275475,50.15987968444824
-0.00863609,0.0116063,554.96,554.96,68.9437,730,2,0.937067,64752,0.0,-0.00508761405945,51.768818616867065
-0.00243451,0.00425729,573.8,573.8,69.0742,732,2,0.931051,66752,0.0,-0.0022646188736,53.36534333229065
-0.00337299,0.00539644,593.21,593.21,69.0401,734,2,0.922857,68752,0.0,-0.0032742023468,54.96625232696533
-0.00408376,0.00659524,611.4,611.4,68.8388,736,2,0.930086,70752,0.0,-0.00597023963928,56.56144452095032
-0.00716994,0.00287548,631.93,631.93,57.9522,739,3,0.906853,72986,0.0,0.0600000023842,58.1637020111084
-0.00657282,0.00630846,648.41,648.41,71.5773,741,2,0.887538,74986,0.0,-0.0752254724503,59.76456880569458
-0.00298471,0.00617532,666.52,666.52,68.5163,743,2,0.894642,76986,0.0,-0.033118724823,61.37417531013489
-0.0102327,0.0054424,687.13,687.13,115.811,747,4,0.893072,79537,0.0,0.00886636972427,62.97156858444214
-0.00596926,0.00343416,702.37,702.37,59.0479,749,2,0.882356,81181,0.0,-0.0423759222031,64.57399487495422
-0.00474348,0.00543672,719.15,719.15,66.9508,751,2,0.885487,83181,0.0,-0.000961661338806,66.17806911468506
-0.00510444,0.00790485,738.23,738.23,67.5372,753,2,0.874928,85181,0.0,-0.00524508953094,67.76431322097778
-0.00654448,0.00489486,761.98,761.98,91.7441,756,3,0.867203,87915,0.0,0.0411700606346,69.37005233764648
-0.00645496,0.0100598,780.66,780.66,67.2964,758,2,0.862039,89915,0.0,-0.0152300596237,70.97255945205688
-0.00545081,0.00309715,797.2,797.2,50.3963,760,2,0.872851,91915,0.0,0.120155215263,72.56551575660706
-0.00996846,0.00617834,811.7,811.7,25.0294,762,2,0.865957,93747,0.0,0.587709397078,74.17488741874695
-0.00210395,0.00272797,830.0,830.0,70.1637,764,2,0.87582,95747,0.0,-0.0172815322876,75.77769112586975
-0.00619309,0.00654898,838.38,838.38,35.386,766,2,0.877123,97520,0.0,0.561947733164,77.37155103683472
-0.00885445,0.00969075,854.1,854.1,66.8434,768,2,0.900141,99520,0.0,0.0721364617348,78.9896924495697
-0.00449612,0.00795862,868.35,868.35,69.6682,770,2,0.898569,101520,0.0,-0.0302195549011,80.58253169059753
-0.00605263,0.00567017,871.48,871.48,69.3073,772,2,0.886515,103520,0.0,-0.000788807868958,82.18438410758972
-0.00683366,0.00733864,880.79,880.79,69.441,774,2,0.889666,105520,0.0,-0.00959634780884,83.7774658203125
-0.0035031,0.00804979,894.19,894.19,100.604,777,3,0.902426,108520,0.0,-0.00340151786804,85.37793707847595
-0.00486714,0.00341189,895.26,895.26,68.2014,779,2,0.916199,110520,0.0,-8.39233398438e-05,86.98730611801147
-0.00363098,0.00434192,895.26,895.26,68.2886,781,2,0.929157,112520,0.0,-0.00243306159973,88.58105063438416
-0.00784144,0.00527981,898.08,898.08,68.3039,783,2,0.939268,114520,0.0,-0.00179207324982,90.19042134284973
-0.00622271,0.00919904,898.08,898.08,68.3235,785,2,0.947569,116520,0.0,-0.00129497051239,91.78416776657104
-0.00926734,0.00569204,890.82,890.82,36.7211,787,2,0.943453,117794,0.0,0.185865461826,93.39353775978088
-0.00612383,0.0041352,892.16,892.16,65.6897,790,3,0.934099,119924,0.0,0.456403672695,94.9950020313263
-0.00864255,0.00804417,894.32,894.32,51.4145,792,2,0.921007,121924,0.0,0.127808094025,96.58889651298523
-0.0044517,0.00439922,900.46,900.46,103.053,795,3,0.919174,124924,0.0,-0.0190305709839,98.19120264053345
-0.00315145,0.00940547,909.53,909.53,68.4715,797,2,0.913641,126924,0.0,0.00297248363495,99.78498387336731
-0.00526088,0.00455768,924.25,924.25,68.6725,799,2,0.915678,128924,0.0,-0.00070583820343,101.39534711837769
-0.00277024,0.00320521,940.75,940.75,68.6232,801,2,0.907461,130924,0.0,0.000437617301941,102.98060393333435
-0.00693835,0.0104959,942.29,942.29,68.6737,803,2,0.898004,132924,0.0,-0.000675439834595,104.5894067287445
-0.0046781,0.00311974,942.29,942.29,68.6145,805,2,0.886062,134924,0.0,0.0004723072052,106.19160985946655
-0.00599997,0.00690644,942.74,942.74,68.324,807,2,0.867437,136924,0.0,0.00149303674698,107.78644585609436
-0.007172,0.00647747,938.32,938.32,36.3342,809,2,0.86404,138482,0.0,0.586580365896,109.38226437568665
-0.00383852,0.00468527,938.32,938.32,69.427,811,2,0.867649,140482,0.0,-0.00183033943176,111.00273823738098
-0.0100139,0.00957709,938.32,938.32,67.4479,813,2,0.874628,142482,0.0,-0.00992894172668,112.59648394584656
