EpRewMean,TimeElapsed,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,TimestepsSoFar,EpisodesSoFar,EpLenMean,loss_ent,loss_kl,EpThisIter,loss_vf_loss
7.73,1.930574893951416,0.0,0.000261425971985,-0.0394513,2047,270,7.73,1.36205,0.0237864,270,5.13299
10.49,3.587273597717285,0.0,0.115405797958,-0.0412128,4071,461,10.49,1.30306,0.0212829,191,13.4917
16.45,5.2179248332977295,0.0,0.250770151615,-0.0403507,6138,583,16.45,1.24327,0.0159013,122,22.2454
24.98,6.842918395996094,0.0,0.249721646309,-0.034387,8189,658,24.98,1.18785,0.0159833,75,34.3345
35.55,8.452289819717407,0.0,0.356874704361,-0.0218553,10229,700,35.55,1.15305,0.00874022,42,37.1908
49.76,10.07728385925293,0.0,0.556587576866,-0.0184911,12180,722,49.76,1.11522,0.00671904,22,31.8518
65.83,11.671030044555664,0.0,0.647276490927,-0.0166352,14252,738,65.83,1.08895,0.00764238,16,28.9233
82.8,13.280953168869019,0.0,0.786157160997,-0.00447344,16230,749,82.8,1.07285,0.0179852,11,19.6095
101.17,14.88379979133606,0.0,0.0640715956688,-0.01274,18126,753,101.17,1.04985,0.00858451,4,38.549
118.46,16.49949836730957,0.0,0.0799245834351,-0.00774947,19933,755,118.46,1.04166,0.0102731,2,28.3257
137.86,18.093244552612305,0.0,-0.00242531299591,-0.0016016,21933,757,137.86,1.04816,0.00316979,2,33.6861
162.21,19.702614068984985,0.0,0.0215653777122,-0.00517142,24430,760,162.21,1.03024,0.00327314,3,54.1234
178.3,21.328160762786865,0.0,0.403627157211,-0.00642815,26093,762,178.3,1.01694,0.00548578,2,23.1772
197.64,22.935216426849365,0.0,-0.00254321098328,-0.0016627,28093,764,197.64,1.0285,0.00215578,2,46.692
216.78,24.546278476715088,0.0,-0.00223004817963,-0.00185445,30093,766,216.78,1.02358,0.0032074,2,50.0952
236.02,26.140023469924927,0.0,-0.00155031681061,-0.00241339,32093,768,236.02,1.03375,0.00576547,2,53.0908
254.34,27.749393463134766,0.0,-0.00191044807434,-0.00293314,34093,770,254.34,1.0401,0.00493057,2,55.6307
277.25,29.358762741088867,0.0,0.027009665966,-0.00803048,36591,774,277.25,1.03854,0.00377913,4,71.1221
296.3,30.97078824043274,0.0,-0.0330622196198,-0.00455222,38591,776,296.3,1.01812,0.00199354,2,59.1813
315.9,32.577256202697754,0.0,-0.00735330581665,-0.00665423,40591,778,315.9,1.01833,0.00524371,2,60.7556
334.49,34.17972755432129,0.0,0.00225323438644,-0.00418197,42591,780,334.49,1.0042,0.00492851,2,62.3603
353.42,35.796534061431885,0.0,-0.00108516216278,-0.00451222,44591,782,353.42,1.02763,0.00749557,2,63.0655
372.32,37.436960220336914,0.0,-0.000841021537781,-0.00517668,46591,784,372.32,1.03829,0.00918465,2,63.9491
391.74,39.04633021354675,0.0,0.313457250595,-0.00574788,48591,786,391.74,1.04543,0.0128989,2,35.7444
410.96,40.640074491500854,0.0,-0.00309276580811,-0.00614806,50591,788,410.96,1.06248,0.00940491,2,66.4197
427.17,42.24944567680359,0.0,0.00980621576309,-0.00868149,52319,790,427.17,1.01657,0.00481489,2,59.2852
445.93,43.84940791130066,0.0,-0.00725269317627,-0.00407361,54319,792,445.93,1.00682,0.00300569,2,67.0277
474.38,45.459877729415894,0.0,0.00224059820175,-0.00437009,57319,795,474.38,1.01222,0.0038657,3,97.8747
492.27,47.07036256790161,0.0,-0.0102972984314,-0.00461761,59319,797,492.27,0.996582,0.00533517,2,66.9305
510.96,48.671690702438354,0.0,-0.010665178299,-0.00640573,61319,799,510.96,0.990209,0.00711388,2,67.1001
530.06,50.281139612197876,0.0,-0.000840306282043,-0.00375278,63319,801,530.06,0.998978,0.00979172,2,67.3717
547.95,51.89761734008789,0.0,-0.00565111637115,-0.0048681,65319,803,547.95,0.984386,0.00811256,2,67.4412
564.49,53.50808811187744,0.0,-0.0108491182327,-0.00361803,67138,805,564.49,0.968349,0.00239442,2,67.0694
581.36,55.102336406707764,0.0,0.00619298219681,-0.00740386,69138,807,581.36,0.95916,0.00368531,2,43.0605
599.87,56.72045111656189,0.0,0.0609430074692,-0.00439489,71138,809,599.87,0.945892,0.00408725,2,70.8889
618.16,58.31642937660217,0.0,0.0446051359177,-0.00591279,73138,811,618.16,0.957911,0.00558969,2,62.0182
636.83,59.93293595314026,0.0,0.00302475690842,-0.00710621,75138,813,636.83,0.973879,0.0088907,2,69.7197
655.75,61.52693223953247,0.0,-0.00985372066498,-0.0049015,77138,815,655.75,0.97423,0.00831593,2,69.7992
675.47,63.11679744720459,0.0,-0.00922667980194,-0.00293614,79138,817,675.47,0.975836,0.00374258,2,69.3591
692.79,64.73487305641174,0.0,-0.000295162200928,-0.00785409,81138,819,692.79,0.966551,0.00869034,2,69.1756
710.49,66.32321405410767,0.0,-0.000416994094849,-0.00463959,83138,821,710.49,0.994546,0.00843842,2,69.1059
727.13,67.92553329467773,0.0,0.00103008747101,-0.00747017,85138,823,727.13,1.00002,0.00544278,2,67.9323
745.79,69.5349178314209,0.0,-0.00947678089142,-0.0033314,87138,825,745.79,0.997521,0.00538343,2,68.7243
763.81,71.12971043586731,0.0,-0.00218319892883,-0.00540432,89138,827,763.81,0.99185,0.00938138,2,68.7311
791.62,72.71845769882202,0.0,-0.000962018966675,-0.00608431,92138,830,791.62,1.00785,0.008167,3,100.577
809.93,74.32793498039246,0.0,-0.00157880783081,-0.00364578,94138,832,809.93,1.0206,0.00565901,2,67.9022
824.15,75.92878293991089,0.0,-0.00230765342712,-0.006504,96138,834,824.15,1.03068,0.00858099,2,67.9218
840.13,77.53937005996704,0.0,0.00607889890671,-0.00810027,98198,837,840.13,1.00696,0.00363877,3,76.9081
