loss_pol_surr,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_ent,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,TimeElapsed
-0.0418497,264,-0.0242257118225,0.0252734,0.0,2045,1.36787,7.93,7.93,5.55841,264,2.0468695163726807
-0.0405901,188,0.0883728265762,0.0234303,0.0,4072,1.30489,11.37,11.37,13.5456,452,3.6874897480010986
-0.0411432,124,0.172761559486,0.0245476,0.0,6136,1.24012,16.2,16.2,25.5033,576,5.328110218048096
-0.0299742,67,0.221301794052,0.0123335,0.0,8174,1.184,25.74,25.74,36.4771,643,6.937478303909302
-0.0183718,33,0.373405814171,0.00623936,0.0,10189,1.14269,40.53,40.53,34.2923,676,8.546850442886353
-0.0178845,22,0.594058871269,0.00963402,0.0,12185,1.12103,54.44,54.44,25.6522,698,10.171845436096191
-0.0165158,14,0.71123149991,0.00930441,0.0,14302,1.11667,70.94,70.94,21.5315,712,11.843714952468872
-0.0136007,9,0.732429295778,0.00776287,0.0,16168,1.11322,86.56,86.56,25.7661,721,13.437460660934448
-0.00856198,3,0.428138077259,0.00419584,0.0,18199,1.09013,106.4,106.4,24.4231,724,15.062458515167236
-0.00850042,3,0.130904018879,0.00452948,0.0,20027,1.0835,123.02,123.02,37.5619,727,16.65619969367981
-0.00785585,2,0.0140014886856,0.00827348,0.0,21710,1.07023,139.75,139.75,34.0485,729,18.26557159423828
-0.00290067,2,-0.00769448280334,0.00461844,0.0,23710,1.08004,159.25,159.25,39.6316,731,19.859314680099487
-0.00712504,3,0.447501063347,0.00619192,0.0,26058,1.08134,181.45,181.45,41.0873,734,21.45663022994995
-0.00276301,2,-0.0231199264526,0.00219264,0.0,28058,1.09465,200.67,200.67,37.8203,736,23.078864574432373
-0.0130524,3,0.55134049058,0.00758499,0.0,30412,1.0858,223.25,223.25,34.1975,739,24.66529607772827
-0.00818783,2,0.00191819667816,0.0104803,0.0,32356,1.08829,242.4,242.4,51.9733,741,26.278347492218018
-0.00746588,3,0.612587213516,0.00752754,0.0,34097,1.10521,258.74,258.74,4.158,744,27.882879972457886
-0.00256577,2,-0.00941812992096,0.0087557,0.0,36040,1.0923,277.28,277.28,56.3181,746,29.47851800918579
-0.00442166,2,-0.0115512609482,0.00339404,0.0,38040,1.08417,295.74,295.74,61.0513,748,31.077933311462402
-0.00279248,2,-0.00709974765778,0.00598125,0.0,40040,1.09034,314.51,314.51,62.3013,750,32.687302589416504
-0.00458517,2,0.000407040119171,0.00503502,0.0,42040,1.0764,332.95,332.95,63.3753,752,34.28104829788208
-0.00500348,3,0.0028920173645,0.0016358,0.0,45040,1.09043,360.87,360.87,92.248,755,35.89041876792908
-0.00678633,2,-0.00336992740631,0.00756764,0.0,47040,1.09929,379.4,379.4,64.5491,757,37.48416328430176
-0.00294732,2,-0.00209975242615,0.00697071,0.0,49040,1.10514,398.2,398.2,65.2483,759,39.09353423118591
-0.00843017,2,0.0120814442635,0.00638027,0.0,50340,1.10034,410.52,410.52,17.1201,761,40.7029070854187
-0.00337485,2,-0.0175001621246,0.00330698,0.0,52340,1.08134,429.38,429.38,67.3883,763,42.29664921760559
-0.00396538,2,-0.0246071815491,0.0053824,0.0,54340,1.07892,448.59,448.59,68.4181,765,43.90601849555969
-0.00226647,3,-0.0106327533722,0.00198724,0.0,57340,1.08064,476.63,476.63,99.2336,768,45.49976372718811
-0.0037241,2,-0.00125765800476,0.00652725,0.0,59340,1.06846,495.48,495.48,66.5592,770,47.093509674072266
-0.00909124,2,0.15431189537,0.0054241,0.0,60688,1.07109,507.35,507.35,37.6385,772,48.70287895202637
-0.00787937,2,0.0124774575233,0.00484471,0.0,62688,1.05387,526.38,526.38,57.9646,774,50.29662489891052
-0.00712992,2,-0.0570846796036,0.00588992,0.0,64688,1.04347,544.99,544.99,68.775,776,51.90599536895752
-0.0039165,2,-0.0146703720093,0.0049951,0.0,66688,1.06249,563.24,563.24,68.6776,778,53.49974060058594
