loss_pol_entpen,loss_pol_surr,loss_ent,EpLenMean,ev_tdlam_before,TimeElapsed,EpThisIter,loss_vf_loss,EpisodesSoFar,EpRewMean,loss_kl,TimestepsSoFar
0.0,-0.0413898,1.36983,7.93,-0.0480405092239,1.8906197547912598,255,6.26782,255,7.93,0.0172512,2047
0.0,-0.0422238,1.30665,10.3,0.169214427471,3.5156145095825195,210,11.8211,465,10.3,0.0181374,4086
0.0,-0.0394729,1.2542,15.09,0.163421332836,5.109360694885254,141,25.0808,606,15.09,0.0189542,6136
0.0,-0.0314719,1.21096,25.02,0.218664228916,6.718731164932251,76,34.6676,682,25.02,0.0126806,8190
0.0,-0.0251196,1.15799,34.62,0.305193781853,8.296849966049194,45,38.2237,727,34.62,0.00885582,10201
0.0,-0.0173388,1.11827,47.01,0.54113176465,9.890595197677612,31,33.1808,758,47.01,0.00663036,12226
0.0,-0.0191737,1.0836,63.51,0.666601806879,11.453091621398926,19,31.9302,777,63.51,0.00647328,14315
0.0,-0.0137351,1.06991,76.25,0.67977887392,12.999961853027344,16,32.1922,793,76.25,0.00529113,16278
0.0,-0.0163976,1.05975,92.36,0.702146083117,14.562463760375977,10,29.2423,803,92.36,0.00891429,18414
0.0,-0.0160819,1.03605,111.09,0.625702410936,16.12495255470276,3,18.9896,806,111.09,0.00741207,20414
0.0,-0.00399757,1.03864,130.17,-0.00444710254669,17.703071355819702,2,32.3646,808,130.17,0.00667814,22414
0.0,-0.00506536,1.04046,149.3,0.0467810630798,19.249943256378174,2,23.3601,810,149.3,0.00711937,24414
0.0,-0.00787101,1.05221,160.13,0.2628865242,20.82806372642517,2,21.8371,812,160.13,0.00518562,25636
0.0,-0.00849795,1.05156,183.95,0.0421298146248,22.35930895805359,3,61.4978,815,183.95,0.00800185,28151
0.0,-0.00227925,1.05735,203.19,-0.0164616107941,23.937428951263428,2,48.5872,817,203.19,0.00668225,30151
0.0,-0.0105745,1.03372,225.63,0.245602011681,25.48988938331604,3,53.7281,820,225.63,0.00959118,32544
0.0,-0.00346324,1.03768,245.17,-0.0085072517395,27.044349908828735,2,54.449,822,245.17,0.00256007,34544
0.0,-0.00381903,1.03673,264.37,-0.00399255752563,28.610538482666016,2,56.9311,824,264.37,0.00658061,36544
0.0,-0.00903055,1.04915,283.94,0.710532218218,30.17225670814514,3,6.53886,827,283.94,0.00554323,38595
0.0,-0.00574065,1.05307,304.35,0.444011449814,31.757490396499634,3,68.6943,830,304.35,0.00727803,40799
0.0,-0.00288133,1.05007,323.38,-0.00866830348969,33.26677179336548,2,62.9511,832,323.38,0.00624217,42799
