EpRewMean,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpisodesSoFar,loss_ent,EpLenMean,TimeElapsed
7.8,265,-0.00165891647339,0.02109,-0.040221,0.0,2048,5.21571,265,1.36859,7.8,1.9661688804626465
9.69,203,0.125440239906,0.0279767,-0.0433504,0.0,4095,13.0924,468,1.30105,9.69,3.625910520553589
16.91,127,0.221243143082,0.0183712,-0.041662,0.0,6144,21.804,595,1.24755,16.91,5.274662733078003
24.89,69,0.27108246088,0.013589,-0.0293754,0.0,8145,32.3464,664,1.19829,24.89,6.914277791976929
34.82,49,0.422293007374,0.0129603,-0.0288638,0.0,10223,32.227,713,1.14973,34.82,8.539309978485107
47.83,29,0.569797903299,0.010073,-0.0216812,0.0,12217,28.8614,742,1.11401,47.83,10.157037019729614
63.68,16,0.773899570107,0.0131185,-0.0217224,0.0,14302,13.9581,758,1.10405,63.68,11.765264511108398
80.82,8,0.680879294872,0.00685912,-0.0160908,0.0,16369,23.1966,766,1.10055,80.82,13.390259504318237
98.32,5,0.29611313343,0.00834204,-0.0120017,0.0,18318,43.5661,771,1.05558,98.32,14.984004735946655
116.43,3,0.0943182110786,0.00576892,-0.00933442,0.0,20257,35.7704,774,1.05566,116.43,16.608999490737915
136.96,3,0.0032559633255,0.00532335,-0.00577575,0.0,22486,49.3225,777,1.06244,136.96,18.202744960784912
156.21,4,0.578625053167,0.00334803,-0.00716393,0.0,24513,24.2572,781,1.07409,156.21,19.827739477157593
174.85,2,-0.00918626785278,0.00278461,-0.00251044,0.0,26513,42.7889,783,1.07733,174.85,21.437111854553223
194.09,3,0.321334838867,0.00272572,-0.00591868,0.0,28514,31.3709,786,1.06995,194.09,23.06210684776306
214.54,3,0.579019010067,0.0059866,-0.00605382,0.0,30638,29.7999,789,1.06455,214.54,24.65585160255432
226.22,2,0.706126928329,0.00377084,-0.00682512,0.0,31954,32.6208,791,1.0505,226.22,26.287145137786865
253.62,3,0.0110242962837,0.00745684,-0.00500063,0.0,34783,72.0534,794,1.05959,253.62,27.883544921875
272.92,2,-0.0104643106461,0.00315008,-0.00333834,0.0,36783,57.5711,796,1.04062,272.92,29.500584840774536
291.84,2,-0.00713396072388,0.00633698,-0.00717936,0.0,38783,59.6408,798,1.03814,291.84,31.105566024780273
310.98,2,-0.004598736763,0.00512615,-0.0038261,0.0,40783,61.2163,800,1.02799,310.98,32.71877336502075
328.74,4,0.0263510346413,0.00547443,-0.0107019,0.0,42743,74.8031,804,1.0202,328.74,34.34376907348633
345.05,2,0.165460586548,0.00440848,-0.00743151,0.0,44477,47.7071,806,1.01499,345.05,35.948097705841064
364.29,2,-0.0257716178894,0.00862959,-0.00527035,0.0,46477,64.8765,808,1.03097,364.29,37.56220245361328
383.56,2,0.0592270493507,0.00686008,-0.00609642,0.0,48477,64.5295,810,1.02407,383.56,39.171571493148804
402.87,2,-0.00157392024994,0.00360445,-0.00185672,0.0,50477,65.9848,812,1.0178,402.87,40.78094244003296
422.34,2,-0.00913739204407,0.0143766,-0.00821763,0.0,52477,66.2203,814,1.03015,422.34,42.3903124332428
441.06,2,-0.00665760040283,0.0047164,-0.00461333,0.0,54477,66.5678,816,1.04548,441.06,43.99968147277832
458.94,2,-0.00331497192383,0.00471215,-0.00489763,0.0,56477,66.9798,818,1.07954,458.94,45.60905313491821
477.87,2,-0.0149308443069,0.00982618,-0.00768317,0.0,58477,67.0917,820,1.07419,477.87,47.22970533370972
497.18,2,-0.00122332572937,0.00623138,-0.00481436,0.0,60477,67.409,822,1.08528,497.18,48.827823638916016
521.39,4,0.00731039047241,0.00458998,-0.00808229,0.0,63259,117.221,826,1.09611,521.39,50.437559843063354
541.77,3,0.288508594036,0.00359072,-0.00707174,0.0,65478,60.9438,829,1.08527,541.77,52.06255483627319
552.55,2,0.0703136324883,0.00314031,-0.00690745,0.0,66708,55.9449,831,1.07835,552.55,53.67192530632019
571.81,2,0.0963600873947,0.00451388,-0.00657704,0.0,68708,53.0283,833,1.04939,571.81,55.284807443618774
590.04,2,0.0816572904587,0.00681259,-0.00920538,0.0,70708,42.1604,835,1.05237,590.04,56.8943886756897
617.71,3,-0.00460636615753,0.00658197,-0.00344785,0.0,73708,101.712,838,1.05826,617.71,58.5156786441803
635.48,2,-0.0089989900589,0.0076538,-0.00374954,0.0,75708,68.4843,840,1.0754,635.48,60.12505030632019
654.91,2,-0.0158720016479,0.00879719,-0.0043218,0.0,77708,68.4335,842,1.08715,654.91,61.76567053794861
673.21,2,-0.0180921554565,0.00640705,-0.00474917,0.0,79708,67.9216,844,1.08784,673.21,63.37504029273987
689.41,2,0.0103880167007,0.00947998,-0.0059141,0.0,81708,63.332,846,1.08053,689.41,64.98440885543823
699.91,2,0.650065839291,0.0159901,-0.0132736,0.0,83066,35.9537,848,1.08966,699.91,66.5937807559967
717.59,2,0.00199908018112,0.00543324,-0.00767683,0.0,85066,68.429,850,1.07801,717.59,68.21877574920654
734.31,2,-0.00273525714874,0.0105353,-0.00655894,0.0,87066,68.7685,852,1.04794,734.31,69.82814574241638
760.62,3,-0.000356078147888,0.0122168,-0.00389329,0.0,90066,76.2513,855,1.03569,760.62,71.43827891349792
778.73,2,-0.00178205966949,0.0114075,-0.00458297,0.0,92066,68.6498,857,1.03102,778.73,73.0633909702301
795.51,3,0.00963723659515,0.00692965,-0.00661904,0.0,94104,94.1119,860,1.01612,795.51,74.687579870224
812.13,2,-0.0093195438385,0.0160726,-0.00808487,0.0,96104,67.9352,862,1.02284,812.13,76.2969491481781
822.68,2,-0.00379264354706,0.00990666,-0.00463819,0.0,98104,68.1015,864,1.03439,822.68,77.92194724082947
837.35,2,-0.000482082366943,0.00264251,-0.0028232,0.0,100104,68.2194,866,1.0338,837.35,79.5322778224945
846.11,3,0.557503283024,0.00864279,-0.00953355,0.0,102382,63.5806,869,1.00669,846.11,81.1497597694397
860.64,2,-0.00551688671112,0.0072963,-0.00294306,0.0,104382,68.5005,871,1.02748,860.64,82.75811219215393
862.18,2,-0.025314450264,0.00665565,-0.00549838,0.0,106382,68.5396,873,1.01542,862.18,84.37698912620544
871.25,2,-0.00525331497192,0.0132126,-0.0035523,0.0,108382,68.3589,875,1.02408,871.25,85.98878979682922
878.96,2,-0.00258588790894,0.00621301,-0.00221023,0.0,110382,68.4059,877,1.03542,878.96,87.60627341270447
892.8,2,0.228266358376,0.00358609,-0.0061211,0.0,112168,38.4327,879,1.04826,892.8,89.22584295272827
894.78,2,0.753507986665,0.00533464,-0.0044776,0.0,113991,37.7075,881,1.06097,894.78,90.8360800743103
879.81,5,0.82627697289,0.00789534,-0.0146712,0.0,116495,45.4632,886,1.06477,879.81,92.45304131507874
877.66,3,0.417587518692,0.0110969,-0.0111504,0.0,118404,44.7154,889,1.08396,877.66,94.0624098777771
884.5,2,-0.0134433507919,0.00268206,-0.00210562,0.0,120404,71.1581,891,1.09034,884.5,95.6874041557312
882.72,2,0.831304088235,0.0109591,-0.0106044,0.0,122055,41.5835,893,1.08691,882.72,97.31240034103394
882.72,2,-0.0160986185074,0.00330132,-0.00402706,0.0,124055,70.5497,895,1.08246,882.72,98.92176961898804
882.72,2,0.0167360901833,0.00905283,-0.009525,0.0,126055,63.8044,897,1.09971,882.72,100.53114056587219
882.72,2,0.0169697999954,0.0120848,-0.00899513,0.0,128055,68.8696,899,1.08057,882.72,102.15613532066345
894.74,3,-0.00391495227814,0.0088902,-0.00642718,0.0,131055,103.617,902,1.06755,894.74,103.74988102912903
