TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,EpRewMean,loss_pol_surr,loss_pol_entpen,EpThisIter,loss_ent,loss_kl,TimeElapsed,EpLenMean,loss_vf_loss
2045,-0.00344741344452,256,8.02,-0.0394939,0.0,256,1.35829,0.0225992,1.9342107772827148,8.02,5.2371
4082,0.103208422661,432,11.8,-0.0424546,0.0,176,1.29929,0.018831,3.590538501739502,11.8,16.6131
6126,0.174076974392,550,17.94,-0.0384371,0.0,118,1.2274,0.0191042,5.238295316696167,17.94,28.1979
8165,0.218638956547,623,25.37,-0.0312587,0.0,73,1.18164,0.0134117,6.871839284896851,25.37,37.9452
10238,0.346028745174,663,37.58,-0.0234896,0.0,40,1.13921,0.0117898,8.481993198394775,37.58,38.0358
12285,0.474620819092,691,49.29,-0.0223573,0.0,28,1.10728,0.0109971,10.09949803352356,49.29,40.978
14196,0.681555658579,705,65.48,-0.0177612,0.0,14,1.0905,0.00916182,11.705716848373413,65.48,23.6356
16215,0.475609779358,711,84.35,-0.0188352,0.0,6,1.04987,0.00710375,13.324539422988892,84.35,30.3451
17542,0.483127892017,713,97.25,-0.00608135,0.0,2,1.05502,0.00581802,14.93533992767334,97.25,14.2582
19542,-0.0028430223465,715,116.87,-0.00568028,0.0,2,1.05699,0.0048145,16.559112071990967,116.87,29.6906
22440,0.125760912895,718,144.99,-0.00354363,0.0,3,1.06122,0.00199947,18.145347356796265,144.99,34.2743
23928,0.0173567533493,720,158.96,-0.0062952,0.0,2,1.02148,0.00775387,19.75383234024048,158.96,36.842
25746,0.0383947491646,722,176.4,-0.00555485,0.0,2,1.00813,0.00434596,21.371562480926514,176.4,40.7201
27746,0.0434488654137,724,195.29,-0.0102712,0.0,2,0.998615,0.00664701,22.978556156158447,195.29,26.2299
29746,-0.016179561615,726,213.91,-0.00486044,0.0,2,0.992958,0.00520025,24.59086537361145,213.91,51.3449
32746,-0.00109481811523,729,242.24,-0.00345676,0.0,3,1.00827,0.00508995,26.192715644836426,242.24,78.5609
34746,-0.00669753551483,731,261.32,-0.00546369,0.0,2,1.00098,0.013187,27.801727056503296,261.32,55.3668
36746,-0.0120533704758,733,280.53,-0.00244081,0.0,2,1.00208,0.00461861,29.40287160873413,280.53,57.3163
38746,-0.0021710395813,735,299.07,-0.00330391,0.0,2,0.992237,0.00616581,31.01259970664978,299.07,59.1652
40791,0.360789179802,739,317.67,-0.00839182,0.0,4,0.975593,0.007213,32.60582971572876,317.67,44.9442
42409,0.809778019786,743,332.31,-0.0049708,0.0,4,0.969611,0.00406379,34.222309589385986,332.31,17.2479
44972,0.786098226905,749,355.25,-0.0128825,0.0,6,0.979065,0.00716777,35.833678245544434,355.25,65.7325
46972,-0.0493922233582,751,374.11,-0.00556171,0.0,2,0.96836,0.0069955,37.44194769859314,374.11,65.3776
48972,-0.00402450561523,753,393.62,-0.00294314,0.0,2,0.966251,0.00186496,39.03569269180298,393.62,65.0382
50877,0.488156378269,755,411.92,-0.00470844,0.0,2,0.973146,0.00511304,40.64438271522522,411.92,43.1119
52877,-0.00453960895538,757,430.52,-0.00248231,0.0,2,0.96088,0.00717142,42.26245903968811,430.52,66.8285
54877,-0.00169491767883,759,448.94,-0.00535312,0.0,2,0.944325,0.00735069,43.87107014656067,448.94,67.1248
56383,0.699936956167,761,463.09,-0.0111661,0.0,2,0.947715,0.0134456,45.496065855026245,463.09,20.2434
59383,0.0471900701523,764,490.59,-0.00390088,0.0,3,0.932876,0.00526496,47.09124422073364,490.59,91.5974
61383,-0.00113201141357,766,509.5,-0.00946398,0.0,2,0.942283,0.013061,48.6990647315979,509.5,68.959
63383,-0.00133180618286,768,528.71,-0.00519848,0.0,2,0.917727,0.00614407,50.32405972480774,528.71,68.8733
65383,-0.00161015987396,770,547.78,-0.00436031,0.0,2,0.907045,0.00698742,51.93342971801758,547.78,68.7233
67383,-0.0022337436676,772,566.07,-0.00433947,0.0,2,0.935322,0.00581623,53.5494122505188,566.07,68.6888
69383,0.0543150901794,774,583.63,-0.00710393,0.0,2,0.945158,0.00246293,55.16802263259888,583.63,61.2229
71383,0.069276034832,776,602.45,-0.00345647,0.0,2,0.936958,0.00364187,56.77739143371582,602.45,66.147
73383,0.11158311367,778,621.17,-0.00228776,0.0,2,0.93664,0.00307021,58.38676166534424,621.17,62.9016
75775,0.158160507679,781,641.15,-0.00836933,0.0,3,0.929815,0.00546069,59.996132135391235,641.15,78.3251
