#{"env_id": "InvertedPendulum-v2", "t_start": 1536427346.7773583}
r,l,t
6.0,6,1.147766
10.0,10,1.147766
10.0,10,1.16339
9.0,9,1.16339
4.0,4,1.16339
8.0,8,1.16339
12.0,12,1.179015
17.0,17,1.179015
6.0,6,1.179015
6.0,6,1.19464
8.0,8,1.19464
4.0,4,1.19464
9.0,9,1.19464
15.0,15,1.210264
4.0,4,1.210264
6.0,6,1.210264
5.0,5,1.210264
8.0,8,1.22589
14.0,14,1.22589
8.0,8,1.22589
4.0,4,1.22589
8.0,8,1.241515
5.0,5,1.241515
4.0,4,1.241515
11.0,11,1.241515
7.0,7,1.25714
5.0,5,1.25714
6.0,6,1.25714
3.0,3,1.25714
12.0,12,1.25714
18.0,18,1.272768
23.0,23,1.291866
10.0,10,1.297862
4.0,4,1.299862
3.0,3,1.301861
7.0,7,1.30486
6.0,6,1.308859
5.0,5,1.31086
5.0,5,1.313858
9.0,9,1.318856
5.0,5,1.321856
10.0,10,1.326853
5.0,5,1.329852
4.0,4,1.331851
13.0,13,1.335989
5.0,5,1.335989
6.0,6,1.335989
6.0,6,1.335989
3.0,3,1.335989
4.0,4,1.335989
5.0,5,1.351618
12.0,12,1.351618
11.0,11,1.351618
18.0,18,1.367243
7.0,7,1.367243
5.0,5,1.367243
8.0,8,1.382869
5.0,5,1.382869
11.0,11,1.382869
6.0,6,1.382869
4.0,4,1.398491
8.0,8,1.398491
4.0,4,1.398491
4.0,4,1.398491
4.0,4,1.398491
13.0,13,1.414116
8.0,8,1.414116
8.0,8,1.414116
5.0,5,1.414116
8.0,8,1.42974
3.0,3,1.42974
9.0,9,1.42974
10.0,10,1.42974
23.0,23,1.445365
7.0,7,1.445365
5.0,5,1.445365
8.0,8,1.46099
6.0,6,1.46099
12.0,12,1.46099
6.0,6,1.46099
5.0,5,1.476615
7.0,7,1.476615
10.0,10,1.476615
5.0,5,1.476615
5.0,5,1.492242
8.0,8,1.492242
4.0,4,1.492242
6.0,6,1.492242
8.0,8,1.492242
9.0,9,1.507865
5.0,5,1.507865
7.0,7,1.507865
20.0,20,1.523491
21.0,21,1.523491
6.0,6,1.539115
3.0,3,1.539115
10.0,10,1.539115
5.0,5,1.539115
8.0,8,1.539115
4.0,4,1.55474
8.0,8,1.55474
4.0,4,1.55474
12.0,12,1.55474
12.0,12,1.570365
13.0,13,1.570365
7.0,7,1.570365
32.0,32,1.58599
7.0,7,1.601616
5.0,5,1.601616
6.0,6,1.601616
9.0,9,1.601616
5.0,5,1.61724
4.0,4,1.61724
18.0,18,1.61724
3.0,3,1.61724
6.0,6,1.632865
6.0,6,1.632865
9.0,9,1.632865
4.0,4,1.632865
12.0,12,1.64849
3.0,3,1.64849
7.0,7,1.64849
4.0,4,1.64849
7.0,7,1.64849
13.0,13,1.664115
5.0,5,1.664115
16.0,16,1.664115
9.0,9,1.67974
11.0,11,1.67974
11.0,11,1.67974
8.0,8,1.695365
4.0,4,1.695365
14.0,14,1.695365
17.0,17,1.71099
4.0,4,1.71099
10.0,10,1.71099
6.0,6,1.726614
8.0,8,1.726614
4.0,4,1.726614
5.0,5,1.726614
5.0,5,1.726614
9.0,9,1.74224
3.0,3,1.74224
6.0,6,1.74224
7.0,7,1.74224
10.0,10,1.74224
4.0,4,1.757865
6.0,6,1.757865
4.0,4,1.757865
16.0,16,1.757865
7.0,7,1.77349
9.0,9,1.77349
6.0,6,1.77349
6.0,6,1.77349
10.0,10,1.789114
18.0,18,1.789114
10.0,10,1.80474
8.0,8,1.80474
9.0,9,1.80474
13.0,13,1.820365
6.0,6,1.820365
8.0,8,1.820365
4.0,4,1.820365
6.0,6,1.820365
5.0,5,1.83599
7.0,7,1.83599
5.0,5,1.83599
8.0,8,1.83599
14.0,14,1.851615
15.0,15,1.851615
