EpLenMean,loss_ent,EpRewMean,TimestepsSoFar,EpThisIter,loss_pol_entpen,loss_vf_loss,ev_tdlam_before,loss_pol_surr,loss_kl,TimeElapsed,EpisodesSoFar
7.17,1.37103,7.17,2044,265,0.0,5.50547,-0.0148968696594,-0.0420133,0.0258222,1.9634065628051758,265
10.75,1.31631,10.75,4088,186,0.0,13.9429,0.120538651943,-0.0392999,0.0165672,3.6121253967285156,451
16.47,1.25774,16.47,6137,123,0.0,27.094,0.144459962845,-0.0390799,0.0163483,5.271049976348877,574
23.51,1.1947,23.51,8189,80,0.0,33.7547,0.248386561871,-0.0337523,0.0184531,6.896044969558716,654
34.14,1.14589,34.14,10169,42,0.0,37.721,0.349155128002,-0.0274745,0.0112957,8.536666870117188,696
49.73,1.11578,49.73,12284,24,0.0,34.8,0.532677263021,-0.0172937,0.0107179,10.14603590965271,720
66.12,1.10172,66.12,14265,15,0.0,25.2292,0.684477627277,-0.0145217,0.00858986,11.771041631698608,735
83.42,1.09797,83.42,16126,6,0.0,23.2371,0.674948096275,-0.0137684,0.00792665,13.380402088165283,741
104.09,1.08366,104.09,18286,3,0.0,19.3092,0.545856744051,-0.0122979,0.00532978,15.005396366119385,744
116.8,1.07137,116.8,19594,2,0.0,29.2081,0.0123429894447,-0.00815047,0.00598748,16.646016120910645,746
140.38,1.07346,140.38,22030,3,0.0,41.1576,0.10984069109,-0.00726662,0.0081457,18.2553870677948,749
158.36,1.08811,158.36,23917,2,0.0,28.8913,0.00989574193954,-0.00781467,0.00486638,19.88038158416748,751
175.5,1.09423,175.5,25739,3,0.0,34.6072,0.649490058422,-0.0130938,0.00705826,21.49832320213318,754
194.79,1.12061,194.79,27739,2,0.0,46.9243,-0.004549741745,-0.0055961,0.0109358,23.10942816734314,756
218.01,1.11673,218.01,30249,4,0.0,33.3397,0.759523183107,-0.0102918,0.00638115,24.752530336380005,760
236.83,1.12623,236.83,32249,2,0.0,49.5664,0.23207950592,-0.00632701,0.0103868,26.356088161468506,762
255.08,1.11134,255.08,34249,2,0.0,56.0477,5.62071800232e-05,-0.00383289,0.00507126,27.99456548690796,764
273.66,1.1155,273.66,36249,2,0.0,58.2951,-0.00391280651093,-0.00211167,0.00288847,29.595467805862427,766
296.19,1.11558,296.19,38711,3,0.0,87.7087,-0.00732004642487,-0.00463139,0.00394578,31.212596893310547,769
309.92,1.093,309.92,40101,2,0.0,43.7134,0.0274223089218,-0.00771582,0.00633566,32.823553800582886,771
329.62,1.09054,329.62,42101,2,0.0,60.2042,0.0216622948647,-0.00377739,0.00778624,34.450504779815674,773
348.65,1.07307,348.65,44101,2,0.0,59.9026,0.018271625042,-0.00740012,0.00974432,36.06122088432312,775
377.94,1.07056,377.94,47101,3,0.0,94.5654,-0.0322204828262,-0.00228683,0.0109503,37.67846655845642,778
397.41,1.05833,397.41,49101,2,0.0,64.1367,-0.00509238243103,-0.00505338,0.00515441,39.304497718811035,780
415.64,1.06772,415.64,51101,2,0.0,64.9158,-0.00178217887878,-0.00634791,0.00634027,40.9286847114563,782
435.35,1.0553,435.35,53101,2,0.0,64.6163,0.00470232963562,-0.00387095,0.00486438,42.552796363830566,784
453.96,1.08215,453.96,55101,2,0.0,66.1613,-0.00564754009247,-0.00497902,0.00643179,44.17765831947327,786
473.08,1.0982,473.08,57101,2,0.0,66.4592,0.000956118106842,-0.0069741,0.00619718,45.795254707336426,788
492.07,1.11011,492.07,59101,2,0.0,66.9484,-0.0003821849823,-0.0047345,0.00795075,47.388123989105225,790
511.5,1.11544,511.5,61101,2,0.0,67.2309,2.34842300415e-05,-0.00290283,0.00430801,49.006282329559326,792
530.56,1.10729,530.56,63101,2,0.0,66.7489,0.00543296337128,-0.00571866,0.00933268,50.63135504722595,794
549.32,1.1245,549.32,65101,2,0.0,67.6931,-0.00754129886627,-0.00291862,0.00574063,52.255433559417725,796
567.02,1.12107,567.02,67101,2,0.0,67.8749,-0.000265955924988,-0.0023537,0.00145499,53.87689542770386,798
584.62,1.11374,584.62,69230,3,0.0,93.6322,0.00909197330475,-0.00849908,0.0094449,55.49068236351013,801
603.05,1.1122,603.05,71230,2,0.0,65.4723,-0.000699996948242,-0.00431423,0.00386096,57.10716676712036,803
623.34,1.11044,623.34,73485,3,0.0,86.9499,0.047438621521,-0.00826104,0.0067791,58.73270130157471,806
641.63,1.11843,641.63,75485,2,0.0,67.2754,-0.0202374458313,-0.00332194,0.00446753,60.344093322753906,808
659.88,1.12498,659.88,77485,2,0.0,66.8633,0.00321906805038,-0.00579697,0.00853874,61.958852767944336,810
674.94,1.11363,674.94,79068,2,0.0,66.5976,-0.000134825706482,-0.00660742,0.00583106,63.568222522735596,812
696.73,1.11781,696.73,81559,3,0.0,98.2887,0.0062210559845,-0.00751181,0.00948693,65.22447180747986,815
714.59,1.12492,714.59,83559,2,0.0,67.1562,-0.0162107944489,-0.00391513,0.00625675,66.8338372707367,817
733.6,1.12222,733.6,85559,2,0.0,67.3765,-0.0016450881958,-0.00546887,0.00963886,68.44321036338806,819
751.05,1.1132,751.05,87559,2,0.0,67.5916,-0.00206816196442,-0.00305705,0.00306322,70.06820440292358,821
768.93,1.11431,768.93,89559,2,0.0,67.7444,0.000485002994537,-0.00393104,0.003465,71.677574634552,823
787.29,1.10922,787.29,91559,2,0.0,67.8789,-0.00176048278809,-0.00454781,0.00344209,73.29789686203003,825
802.56,1.12314,802.56,93559,2,0.0,68.0415,-0.00131440162659,-0.00374055,0.00926979,74.91617059707642,827
