#{"env_id": "Reacher-v2", "t_start": 1536363243.5434022}
r,l,t
-123.966339,50,1.164356
-104.4596,50,1.195613
-117.821431,50,1.226865
-93.354813,50,1.242481
-109.607073,50,1.273731
-126.864162,50,1.304981
-106.222243,50,1.320606
-114.229864,50,1.351856
-128.836298,50,1.383106
-113.786411,50,1.398732
-104.060872,50,1.430042
-111.157055,50,1.461231
-99.565899,50,1.476856
-106.750351,50,1.508106
-124.305337,50,1.531012
-106.513197,50,1.562264
-114.449791,50,1.593514
-103.797272,50,1.609142
-124.049956,50,1.643499
-101.074116,50,1.659124
-109.996793,50,1.690374
-83.792472,50,1.721624
-129.739995,50,1.752874
-77.24512,50,1.768499
-91.166848,50,1.799749
-91.085019,50,1.831
-111.996429,50,1.846626
-100.382754,50,1.877875
-137.648002,50,1.909135
-109.124742,50,1.924752
-110.253799,50,1.955999
-99.501871,50,1.987249
-135.283499,50,2.018499
-118.439168,50,2.034125
-109.409703,50,2.065374
-104.685172,50,2.096623
-122.205531,50,2.11225
-120.788729,50,2.1435
-121.704833,50,2.177896
-109.24126,50,2.193523
-101.958964,50,3.124988
-80.549857,50,3.140614
-69.882157,50,3.171867
-95.293802,50,3.203113
-107.028019,50,3.218738
-98.859502,50,3.249988
-111.448625,50,3.281241
-88.786943,50,3.312547
-74.335407,50,3.328113
-97.158951,50,3.359362
-93.158387,50,3.390612
-81.352513,50,3.406237
-107.565388,50,3.437487
-95.669692,50,3.468737
-108.210644,50,3.484362
-114.439885,50,3.515612
-105.785327,50,3.546861
-114.121273,50,3.562487
-124.699457,50,3.593736
-110.58155,50,3.628049
-109.998103,50,3.648749
-83.263493,50,3.679999
-91.011841,50,3.695624
-87.002589,50,3.726874
-104.170371,50,3.758124
-92.728339,50,3.773749
-84.522777,50,3.804999
-112.580367,50,3.836249
-94.80305,50,3.851874
-115.899791,50,3.883124
-90.271639,50,3.914373
-85.385568,50,3.929998
-88.324713,50,3.961252
-99.29142,50,3.992498
-107.240987,50,4.008124
-105.865442,50,4.039373
-92.490383,50,4.070634
-106.153499,50,4.101877
-99.919572,50,4.117498
-100.182085,50,4.148749
-96.6632,50,4.179998
-93.534546,50,4.862726
-92.167509,50,4.878352
