loss_vf_loss,EpRewMean,EpLenMean,loss_ent,EpisodesSoFar,loss_pol_entpen,TimestepsSoFar,loss_kl,EpThisIter,TimeElapsed,loss_pol_surr,ev_tdlam_before
569.26,-110.714095425,50.0,2.73821,40,0.0,2000,0.0107178,40,2.023129940032959,-0.0242507,-0.00311124324799
136.155,-104.410115916,50.0,2.64267,81,0.0,4050,0.0107571,41,3.7452430725097656,-0.0239743,0.147135257721
177.272,-99.5475759569,50.0,2.56036,122,0.0,6100,0.00984372,41,5.491549015045166,-0.0198097,0.05612885952
181.144,-92.8073488702,50.0,2.46791,163,0.0,8150,0.00844898,41,7.225403547286987,-0.0182681,0.0916031599045
153.522,-86.6238749089,50.0,2.39245,204,0.0,10200,0.00840304,41,8.960637092590332,-0.0202994,0.135572612286
149.527,-79.7413947655,50.0,2.32694,245,0.0,12250,0.0071658,41,10.697863101959229,-0.0169136,0.197403550148
119.259,-74.9623531817,50.0,2.25892,286,0.0,14300,0.00688883,41,12.430245637893677,-0.0161609,0.262418091297
93.7391,-71.3111128066,50.0,2.18411,327,0.0,16350,0.00906511,41,14.151175737380981,-0.0219972,0.376648247242
77.7583,-67.4227275081,50.0,2.12049,368,0.0,18400,0.00834474,41,15.906577110290527,-0.0194193,0.483682692051
69.5102,-65.2538050279,50.0,2.06191,409,0.0,20450,0.00797132,41,17.6303653717041,-0.0180803,0.452246785164
54.6755,-63.3271178357,50.0,2.0086,450,0.0,22500,0.00945606,41,19.373846769332886,-0.0194641,0.515055298805
63.407,-60.0079147105,50.0,1.9245,491,0.0,24550,0.0100091,41,21.0926833152771,-0.0247064,0.540516883135
36.0669,-55.9465701729,50.0,1.84512,532,0.0,26600,0.00855528,41,22.84189224243164,-0.0207039,0.627717524767
36.7411,-53.1053931536,50.0,1.79399,573,0.0,28650,0.0068721,41,24.585171937942505,-0.0194075,0.582866102457
37.2322,-51.0737236215,50.0,1.70621,614,0.0,30700,0.0103102,41,26.327664136886597,-0.0225877,0.551409006119
26.0441,-48.7808199614,50.0,1.63554,655,0.0,32750,0.00951325,41,28.060861587524414,-0.022265,0.59695443511
25.3799,-44.9755572101,50.0,1.5527,696,0.0,34800,0.0102753,41,29.79502511024475,-0.0232595,0.639063358307
20.9673,-42.4243859541,50.0,1.46565,737,0.0,36850,0.0115663,41,31.529364109039307,-0.0261667,0.689835965633
20.4798,-39.71278712,50.0,1.40971,778,0.0,38900,0.00918543,41,33.27936148643494,-0.0209643,0.59640905261
14.9295,-37.8946020181,50.0,1.32671,819,0.0,40950,0.0105849,41,35.01547646522522,-0.0237017,0.658871650696
15.5378,-36.1092261635,50.0,1.28999,860,0.0,43000,0.00742541,41,36.75501370429993,-0.0197873,0.60971736908
12.4129,-34.7065453419,50.0,1.25046,901,0.0,45050,0.00678786,41,38.49317669868469,-0.0188935,0.706428021193
13.5217,-33.5708632296,50.0,1.16487,942,0.0,47100,0.0103394,41,40.225404500961304,-0.0218548,0.605830103159
11.5995,-32.495586063,50.0,1.11626,983,0.0,49150,0.00937466,41,41.99169206619263,-0.0248586,0.636014461517
10.0545,-31.9051393171,50.0,1.08578,1024,0.0,51200,0.00844882,41,43.710529804229736,-0.019379,0.666112482548
8.39476,-31.4161286627,50.0,1.01864,1064,0.0,53200,0.0103507,40,45.44409251213074,-0.0256998,0.749352663755
8.9048,-31.3106869142,50.0,0.952786,1105,0.0,55250,0.0100881,41,47.16372275352478,-0.0253395,0.659324079752
8.17826,-30.422670404,50.0,0.889763,1146,0.0,57300,0.00770498,41,48.89799976348877,-0.0227799,0.731831490993
7.52092,-28.5453490486,50.0,0.811972,1187,0.0,59350,0.0100504,41,50.61882424354553,-0.0260576,0.686193495989
5.14478,-26.9327625457,50.0,0.763177,1228,0.0,61400,0.00885824,41,52.35125946998596,-0.0225477,0.770866632462
